001_00	Alif Lam Ra. Dit zijn Verzen van het Boek, en een duidelijke Koran.
022_00	En Wij hebben de winden gezonden als bestuivers en Wij hebben regen neergezonden uit de hemel, waarmee wij jullie te drinken geven. En jullie zijn daar niet de bewaarders van.
023_00	Voorwaar, Wij zijn het Die doen leven en doen sterven. En Wij zijn de erfgenamen.
024_00	En voorzeker, Wij kennen de mensen die jullie zijn voorgegaan (in de dood). En voorzeker, Wij kennen de achterblijvers.
025_00	En voorwaar, jouw Heer is het Die hen verzamelt. Voorwaar, Hij is Alwijs, Alwetend.
026_00	En voorzeker, Wij hebben de mens (Adam) geschapen uit klei, van zwart slijk gevormd.
027_00	En Wij hebben daarvoor de Djinn's geschapen uit een gloeiend vuur.
028_00	(Gedenkt) toen jouw Heer tot de Engelen zei: "Voorwaar, Ik zal een mens scheppen van klei, uit zwart slijk gevormd."
029_00	Toen Ik hem vervolmaakt had en Mijn (geschapen) Geest erin geblazen had, toen knielden zij (de Engelen) voor hem.
030_00	Toen knielden de Engelen allen gezamenlijk.
031_00	Behalve Iblis, bij weigerde te behoren tot de knielenden.
032_00	Hij (Allah) zei: "O Iblis, wat is er met jou dat jij niet bij de knielenden behoort?"
033_00	Hij (Iblis) zei: "Ik zal niet knielen voor een mens die U heeft geschapen uit klei, uit zwarte slijk gevormd."
034_00	Hij (Allah) zei: "Ga eruit (het Paradijs), voor- waar, jij bent een vervloekte!
035_00	En voorwaar, de vervloeking rust op jou tot aan de Dag des Oordeels."
036_00	Hij (Iblis) zei: "Mijn Heer, schenk mij dan uitstel tot de Dag waarop zij zullen worden opgewekt."
037_00	Hij (Allah) zei: "Voorwaar, jij behoort tot degenen die uitdel kregen.
038_00	Tot de Dag van het vastgestelde tijdstip."
039_00	Hij (Iblis) zei. "Mijn Heer, omdat U mij heeft doen dwalen, zal ik voor ben (hun slechte daden) zeker schoonschijnend maken op de aarde, en ik zal hen zeker allen doen dwalen.
040_00	Behalve Uw dienaren, onder hen die oprecht zijn."
041_00	Hij (Allah) zei: "Dit is een recht Pad, op Mij rust (het waken erover).
042_00	Voorwaar, jij hebt geen macht over Mijn dienaren, behalve (over) degene die jou volgt van de dwalenden."
043_00	En voorwaar, de Het is aan hen allen zeker toegezegd.
044_00	Zij heeft zeven poorten. Aan iedere poort is een deel van hen toegewezen.
045_00	Voorwaar, de Moettaqoen zullen in de Tuinen (het Paradijs) en bij bronnen vertoeven.
046_00	(Tegen hen wordt gezegd:) "Treedt deze binnen in vrede en veiligheid."
047_00	En Wij nemen weg wat er in hun harten aan wrok is, (zij zijn daarin) als broeders, op rustbanken zitten zij tegenover elkaar.
048_00	Daarin raakt hen geen vermoeidheid en zij worden daaruit niet verdreven.
049_00	Bericht mijn dienaren (O Moehammad:) "Voorwaar, ik ben de Vergevensgezinde, de meest Barmhartige.
050_00	En dat Mijn bestraffing een pijnlijke bestraffing is."
051_00	En bericht hun over de gasten van Ibrâhîm.
052_00	Toen zij bij hem binnenkwamen, zeiden zij: "Salam." (Vrede) Ibrâhîm zei: "Voorwaar, wij zijn bang voor jullie."
053_00	Zij zeiden: "Wees niet bang. Voorwaar, wij geven jou een verheugende tijding over (de geboorte van) een jongen, die kennis bezit."
054_00	Hij (Ibrâhîm) zei: "Geven jullie mij een verheugende tijding, terwijl de ouderdom mij heeft bereikt? Waarover geven jullie mij dan een verheugende tijding?"
055_00	Zij zeiden: "Wij hebben jou in waarheid een verheugende tijding gegeven, behoor daarom niet tot de wanhopigen."
056_00	Hij (Ibrâhîm) zei: "Niemand wanhoopt aan de Barmhartigheid van zijn Heer dan de dwalenden."
057_00	Hij (Ibrâhîm) zei: "Wat is jullie zaak, O, gezanten?"
058_00	Zij (de Engelen) zeiden: "Voorwaar, wij zijn gezonden tot een misdadig volk.
059_00	Uitgezonderd de volgelingen van Loeth. Voorwaar, wij zullen hen (in opdracht van Allah) zeker allen redden.
060_00	Behalve zijn vrouw, wij hebben besloten dat zij tot de achterblijversi zal behoren."
061_00	En toen de gezanten tot de volgelingen van Loeth kwamen.
062_00	Hij (Loeth) zei: "Jullie zijn een onbekend volk."
063_00	De gezanten (de Engelen) zeiden: "Eigenlijk zijn wij tot jou gekomen, met dat waarover zij plachten te twijfelen (de bestraffing).
064_00	En wij zijn tot jou gekomen met de Waarheid. En voorwaar, wij zijn zeker waarachtigen.
065_00	Dus vertrek daarom met jouw familie in het laatste gedeelte van de nacht. En volg achter hen (jouw familie) en laat niemand van jullie omkijken en vervolg (de reis) zoals jullie bevolen is."
066_00	En Wij openbaarden aan hem (Loeth) die zaak: dat zij in de ochtend zullen worden uitgeroeid.
067_00	En de bewoners van de stad (Sodom) verheugden zich.
068_00	Hij (Loeth) zei: "Voorwaar, dit zijn mijn gasten; maakt mij dus niet te schande.
069_00	En vreest Allah en vernedert mij niet."
070_00	Zij zeiden: "Hebben wij jou niet verboden (over ons te praten) tegen de mensen?"
071_00	Ilij (Loeth) zei: "Dit zijn mijn dochters (vrouwen uit mijn volk), als jullie (iets op toegestane wijze willen) doen."
072_00	Bij jouw leven (O Moehammad): voorwaar, zij verkeren onrustig in hun dwaling.
073_00	Toen trof de donderslag hen bij zonsopgang.
074_00	Toen keerden Wij haar (de stad) ondersteboven en deden Wij op hen stenen van harde klei neerkomen.
075_00	Voorwaar, daarin zijn zeker Tekenen voor degenen die er lering uit trekken.
076_00	En voorwaar, zij (de stad) ligt aan een (nog) bestaande weg.
077_00	En voorwaar, daarin is zeker een Teken voor de gelovigen.
078_00	en voorwaar, de bewoners van Aikah waren zeker onrechtplegers.
079_00	Toen hebben Wij hen vernietigd. En voorwaar, de beide steden liggen aan een duidelijke weg.
080_00	En voorzeker, de bewoners van Hidjr loochenden de Boodschappers.
081_00	En Wij hebben ben Onze Tekenen gegeven, maar zij plachten zich daarvan af te wenden.
082_00	En zij hieuwen de rotsen uit tot veilige woningen.
083_00	Toen trof de donderslag hen in de ochtend.
084_00	Toen baatte wat zij plachten te verrichten hen niet.
085_00	En Wij hebben de hemelen en de aarde en wat er tussen is niet geschapen behalve met de Waarheid. En voorwaar, het Uur zal zeker komen, geeft daarom em passende kwijtschelding.
086_00	Voorwaar, jouw fleer is de Schepper, de Alwetende.
087_00	En voorzeker, Wij hebben jou de zeven vaak herhaalde (Verzen) gegeven en de geweldige Koran.
088_00	Kijk niet verlangend uit naar de genietingen die Wij aan een groep van hen (de ongelovigen) hebben gegeven. En treur niet over hen, en wees nederig tegenover de gelovigen.
089_00	En zeg (O Moehammad): "Voorwaar, ik ben de duidelijke waarschuwer."
090_00	Zoals Wij (de bestraffing) hebben neergezonden naar de verdelers.
091_00	Degenen die de Koran hebben opgedeeld.
092_00	Bij jouw Heer, Wij zullen hen zeker allen ondervragen.
093_00	Over wat zij plachten te doen.
094_00	Verkondig daarom wat bevolen is, en wend je af van de veelgodenaanbidders.
095_00	Voorwaar, Wij hebben jou beschermd (tegen het kwaad) van de spotters.
096_00	Degenen die naast Allah een andere god plaatsen, later zullen zij (het) te weten komen.
097_00	En voorzeker, Wij weten dat jouw borst benauwd is wegens wat zij zeggen.
098_00	Heilig daarom jouw Heer met een lofprijzing en behoor tot hen die zich neerknielen.
099_00	En aanbid jouw Heer totdat het zekere (de dood) tot jou komt.
