001_00	തുടരെത്തുടരെ അയക്കപ്പെടുന്നവയും,
038_00	(അന്നവരോട് പറയപ്പെടും:) തീരുമാനത്തിന്‍റെ ദിവസമാണിത്‌. നിങ്ങളെയും പൂര്‍വ്വികന്‍മാരെയും നാം ഇതാ ഒരുമിച്ചുകൂട്ടിയിരിക്കുന്നു.
039_00	ഇനി നിങ്ങള്‍ക്ക് വല്ല തന്ത്രവും പ്രയോഗിക്കാനുണ്ടെങ്കില്‍ ആ തന്ത്രം പ്രയോഗിച്ചു കൊള്ളുക.
040_00	അന്നേ ദിവസം നിഷേധിച്ചു തള്ളിയവര്‍ക്കാകുന്നു നാശം.
041_00	തീര്‍ച്ചയായും സൂക്ഷ്മത പാലിച്ചവര്‍ (സ്വര്‍ഗത്തില്‍) തണലുകളിലും അരുവികള്‍ക്കിടയിലുമാകുന്നു.
042_00	അവര്‍ ഇഷ്ടപ്പെടുന്ന തരത്തിലുള്ള പഴവര്‍ഗങ്ങള്‍ക്കിടയിലും.
043_00	(അവരോട് പറയപ്പെടും:) നിങ്ങള്‍ പ്രവര്‍ത്തിച്ചിരുന്നതിന്‍റെ ഫലമായി ആഹ്ലാദത്തോടെ നിങ്ങള്‍ തിന്നുകയും കുടിക്കുകയും ചെയ്തുകൊള്ളുക.
044_00	തീര്‍ച്ചയായും നാം അപ്രകാരമാകുന്നു സദ്‌വൃത്തര്‍ക്ക് പ്രതിഫലം നല്‍കുന്നത്‌.
045_00	അന്നേ ദിവസം നിഷേധിച്ചു തള്ളിയവര്‍ക്കാകുന്നു നാശം.
046_00	(അവരോട് പറയപ്പെടും:) നിങ്ങള്‍ അല്‍പം തിന്നുകയും സുഖമനുഭവിക്കുകയും ചെയ്തു കൊള്ളുക. തീര്‍ച്ചയായും നിങ്ങള്‍ കുറ്റവാളികളാകുന്നു.
047_00	അന്നേ ദിവസം നിഷേധിച്ചു തള്ളിയവര്‍ക്കാകുന്നു നാശം.
048_00	അവരോട് കുമ്പിടൂ എന്ന് പറയപ്പെട്ടാല്‍ അവര്‍ കുമ്പിടുകയില്ല.
049_00	അന്നേ ദിവസം നിഷേധിച്ചു തള്ളിയവര്‍ക്കാകുന്നു നാശം.
050_00	ഇനി ഇതിന് (ഖുര്‍ആന്ന്‌) ശേഷം ഏതൊരു വര്‍ത്തമാനത്തിലാണ് അവര്‍ വിശ്വസിക്കുന്നത്‌?
