001_00	ഹാമീം,
035_00	നമ്മുടെ ഒന്നാമത്തെ മരണമല്ലാതെ മറ്റൊന്നുമില്ല. നാം ഉയിര്‍ത്തെഴുന്നേല്‍പിക്കപ്പെടുന്നവരുമല്ല.
036_00	അതിനാല്‍ നിങ്ങള്‍ സത്യവാന്‍മാരാണെങ്കില്‍ ഞങ്ങളുടെ പിതാക്കളെ നിങ്ങള്‍ (ജീവിപ്പിച്ചു) കൊണ്ട് വരിക എന്ന്‌.
037_00	ഇവരാണോ കൂടുതല്‍ മെച്ചപ്പെട്ടവര്‍, അതല്ല തുബ്ബഇന്‍റെ ജനതയും അവര്‍ക്കു മുമ്പുള്ളവരുമാണോ? അവരെയെല്ലാം നാം നശിപ്പിക്കുകയുണ്ടായി. കാരണം അവര്‍ കുറ്റവാളികളായിരുന്നത് തന്നെ.
038_00	ആകാശങ്ങളും ഭൂമിയും അവയ്ക്കിടയിലുള്ളതും നാം കളിയായിക്കൊണ്ട് സൃഷ്ടിച്ചതല്ല.
039_00	ശരിയായ ഉദ്ദേശത്തോടു കൂടി തന്നെയാണ് നാം അവയെ സൃഷ്ടിച്ചത്‌. പക്ഷെ അവരില്‍ അധികപേരും അറിയുന്നില്ല.
040_00	തീര്‍ച്ചയായും ആ നിര്‍ണായക തീരുമാനത്തിന്‍റെ ദിവസമാകുന്നു അവര്‍ക്കെല്ലാമുള്ള നിശ്ചിത സമയം.
041_00	അതെ, ഒരു ബന്ധു മറ്റൊരു ബന്ധുവിന് യാതൊരു പ്രയോജനവും ചെയ്യാത്ത, അവര്‍ക്ക് ഒരു സഹായവും ലഭിക്കാത്ത ഒരു ദിവസം.
042_00	അല്ലാഹു ആരോട് കരുണ കാണിച്ചുവോ അവര്‍ക്കൊഴികെ. തീര്‍ച്ചയായും അവന്‍ തന്നെയാകുന്നു പ്രതാപിയും കരുണാനിധിയും.
043_00	തീര്‍ച്ചയായും സഖ്ഖൂം വൃക്ഷമാകുന്നു.
044_00	(നരകത്തില്‍) പാപിയുടെ ആഹാരം.
045_00	ഉരുകിയ ലോഹം പോലിരിക്കും (അതിന്‍റെ കനി.) അത് വയറുകളില്‍ തിളയ്ക്കും.
046_00	ചുടുവെള്ളം തിളയ്ക്കുന്നത് പോലെ
047_00	നിങ്ങള്‍ അവനെ പിടിക്കൂ. എന്നിട്ട് നരകത്തിന്‍റെ മദ്ധ്യത്തിലേക്ക് വലിച്ചിഴക്കൂ.
048_00	അനന്തരം ചുടുവെള്ളം കൊണ്ടുള്ള ശിക്ഷ അവന്‍റെ തലയ്ക്കുമീതെ നിങ്ങള്‍ ചൊരിഞ്ഞേക്കൂ. (എന്ന് നിര്‍ദേശിക്കപ്പെടും.)
049_00	ഇത് ആസ്വദിച്ചോളൂ. തീര്‍ച്ചയായും നീ തന്നെയായിരുന്നല്ലോ പ്രതാപിയും മാന്യനും.
050_00	നിങ്ങള്‍ ഏതൊരു കാര്യത്തില്‍ സംശയാലുക്കളായിരുന്നുവോ ആ കാര്യമത്രെ ഇത്‌.
051_00	സൂക്ഷ്മത പാലിച്ചവര്‍ തീര്‍ച്ചയായും നിര്‍ഭയമായ വാസസ്ഥലത്താകുന്നു.
052_00	തോട്ടങ്ങള്‍ക്കും അരുവികള്‍ക്കുമിടയില്‍
053_00	നേര്‍ത്ത പട്ടുതുണിയും കട്ടിയുള്ള പട്ടുതുണിയും അവര്‍ ധരിക്കും. അവര്‍ അന്യോന്യം അഭിമുഖമായിട്ടായിരിക്കും ഇരിക്കുന്നത്‌.
054_00	അങ്ങനെയാകുന്നു (അവരുടെ അവസ്ഥ.) വിശാലമായ നേത്രങ്ങളുള്ള വെളുത്ത സ്ത്രീകളെ അവര്‍ക്ക് ഇണകളായി നല്‍കുകയും ചെയ്യും.
055_00	സുരക്ഷിതത്വ ബോധത്തോട് കൂടി എല്ലാവിധ പഴങ്ങളും അവര്‍ അവിടെ വെച്ച് ആവശ്യപ്പെട്ടുകൊണ്ടിരിക്കും.
056_00	ആദ്യത്തെ മരണമല്ലാതെ മറ്റൊരു മരണം അവര്‍ക്കവിടെ അനുഭവിക്കേണ്ടതില്ല. നരകശിക്ഷയില്‍ നിന്ന് അല്ലാഹു അവരെ കാത്തുരക്ഷിക്കുകയും ചെയ്തിരിക്കുന്നു.
057_00	നിന്‍റെ രക്ഷിതാവിങ്കല്‍ നിന്നുള്ള ഔദാര്യമത്രെ അത്‌. അത് തന്നെയാണ് മഹത്തായ ഭാഗ്യം.
058_00	നിനക്ക് നിന്‍റെ ഭാഷയില്‍ ഇതിനെ (ഖുര്‍ആനിനെ) നാം ലളിതമാക്കിത്തന്നിട്ടുള്ളത് അവര്‍ ആലോചിച്ചു മനസ്സിലാക്കാന്‍ വേണ്ടി മാത്രമാകുന്നു.
059_00	ആകയാല്‍ നീ കാത്തിരിക്കുക. അവരും കാത്തിരിക്കുന്നവര്‍ തന്നെയാകുന്നു.
