001_00	Ametukuka aliye teremsha Furqani kwa mja wake, ili awe mwonyaji kwa walimwengu wote.
040_00	Na kwa yakini wao wanafika kwenye nchi ilio teremshiwa mvua mbaya. Basi, je, hawakuwa wakiiona? Bali walikuwa hawataraji kufufuliwa.
041_00	Na wanapo kuona hawakuchukulii ila ni mzaha tu, na (wanasema): Ati ndiye huyu Mwenyezi Mungu aliye mtuma kuwa Mtume?
042_00	Kwa hakika alikuwa karibu kutupoteza tuiache miungu yetu, ingeli kuwa hatukushikamana nayo kwa kuvumilia. Bado watakuja jua, watakapo iona adhabu, ni nani aliye potea njia.
043_00	Je! Umemwona aliye yafanya matamanio yake kuwa ndio mungu wake? Basi je, wewe utakuwa ni wakili wake?
044_00	Au wewe unadhani kwamba wengi wao wanasikia au wanaelewa? Hao hawakuwa ila ni kama nyama hoa tu, bali wao wamepotea zaidi njia.
045_00	Je! Huoni jinsi Mola wako Mlezi anavyo kitandaza kivuli. Na angeli taka angeli kifanya kikatulia tu. Kisha tumelifanya jua kuwa ni kiongozi wake.
046_00	Kisha tunakivutia kwetu kidogo kidogo.
047_00	Naye ndiye aliye kufanyieni usiku kuwa ni vazi, na usingizi kuwa mapumziko, na akakufanyieni mchana ni kufufuka.
048_00	Naye ndiye anaye zituma pepo kuwa bishara njema kabla ya rehema yake, na tunayateremsha kutoka mbinguni maji safi.
049_00	Ili kwa hayo tuihuishe nchi iliyo kufa, na tuwanyweshe wanyama na watu wengi tulio waumba.
050_00	Na kwa yakini tumeisarifu kati yao wapate kukumbuka. Lakini watu wengi wanakataa ila kukufuru.
051_00	Na tungeli taka tungeli peleka katika kila mji Mwonyaji.
052_00	Basi usiwat'ii makafiri. Na pambana nao kwayo kwa Jihadi kubwa.
053_00	Naye ndiye aliye zipeleka bahari mbili, hii tamu mno, na hii ya chumvi chungu. Na akaweka baina yao kinga na kizuizi kizuiacho.
054_00	Naye ndiye aliye muumba mwanaadamu kutokana na maji, akamjaalia kuwa na nasaba na ushemeji. Na Mola wako Mlezi ni Muweza.
055_00	Na wanayaabudu badala ya Mwenyezi Mungu yasiyo wafaa wala yasiyo wadhuru. Na kafiri daima ni msaidizi wa kumpinga Mola wake Mlezi.
056_00	Nasi hatukukutuma ila kuwa ni Mbashiri na Mwonyaji.
057_00	Sema: Sikukuombeni ujira juu yake; ila atakaye na ashike njia iendayo kwa Mola wake Mlezi.
058_00	Na mtegemee Aliye Hai, ambaye hafi. Na umtukuze kwa sifa zake. Na yatosha kwake kuwa yeye ni Mwenye khabari za dhambi za waja wake.
059_00	Ambaye ameziumba mbingu na ardhi, na viliomo ndani yake kwa siku sita. Kisha akatawala juu ya A'rshi, Arrahman, Mwingi wa Rehema! Uliza khabari zake kwa wamjuaye.
060_00	Na wanapo ambiwa: Msujudieni Arrahman! Wao husema: Ni nani Arrahman? Je! Tumsujudie unaye tuamrisha wewe tu? Na huwazidishia chuki.
061_00	Ametukuka aliye zijaalia nyota mbinguni, na akajaalia humo taa na mwezi unao ng'ara.
062_00	Naye ndiye aliye fanya usiku na mchana kufuatana kwa nafuu ya anaye taka kukumbuka, au anaye taka kushukuru.
063_00	Na waja wa Arrahman Mwingi wa Rehema ni wale wanao tembea ulimwenguni kwa staha, na wajinga wakiwasemeza hujibu: Salama!
064_00	Na wale wanao kesha kwa ajili ya Mola wao Mlezi kwa kusujudu na kusimama.
065_00	Na wale wanao sema: Mola wetu Mlezi! Tuondolee adhabu ya Jahannamu. Hakika adhabu yake ikimpata mtu haimwachi.
066_00	Hakika hiyo ni kituo na makao mabaya.
067_00	Na wale ambao wanapo tumia hawatumii kwa fujo wala hawafanyi ubakhili, bali wanakuwa katikati baina ya hayo.
068_00	Na wale wasio mwomba mungu mwengine pamoja na Mwenyezi Mungu, wala hawaui nafsi aliyo iharimisha
068_01	Mwenyezi Mungu isipo kuwa kwa haki, wala hawazini - na atakaye fanya hayo atapata madhara,
069_00	Atazidishiwa adhabu Siku ya Kiyama, na atadumu humo kwa kufedheheka.
070_00	Isipo kuwa atakaye tubu, na akaamini, na akatenda vitendo vyema. Basi hao Mwenyezi Mungu atayabadilisha maovu yao yawe mema. Na Mwenyezi Mungu ni Mwenye kusamehe, Mwenye kurehemu.
071_00	Na aliye tubu na akafanya mema, basi hakika huyo ametubu kweli kweli kwa Mwenyezi Mungu.
072_00	Na wale ambao hawatoi ushahidi wa uwongo, na pindi wapitapo penye upuuzi, hupita kwa hishima yao.
073_00	Na wale ambao wanapo kumbushwa Ishara za Mola wao Mlezi hawajifanyi viziwi nazo, na vipofu.
074_00	Na wale wanao sema: Mola wetu Mlezi! Tupe katika wake zetu na wenetu yaburudishayo macho, na utujaalie tuwe waongozi kwa wachamngu.
075_00	Hao ndio watakao lipwa makao ya juu kwa kuwa walisubiri, na watakuta humo maamkio na salamu.
076_00	Wadumu humo - kituo na makao mazuri kabisa.
077_00	Sema: Mola wangu Mlezi asinge kujalini lau kuwa si kuomba kwenu. Lakini nyinyi mmemkadhibisha. Basi adhabu lazima iwe.
