001_00	H'A MIM
025_00	Unaangamiza kila kitu kwa amri ya Mola wake Mlezi. Wakawa hawaonekani ila nyumba zao tu. Hivyo ndivyo tuwalipavyo wakosefu!
026_00	Na bila ya shaka tuliwaweka vizuri sio kama tulivyo kuwekeni nyinyi; na tuliwapa masikio, na macho, na nyoyo.
026_01	Na hayakuwafaa kitu masikio yao, wala macho yao, wala nyoyo zao kwa lolote. Kwani hao walikuwa wakizikataa Ishara za Mwenyezi Mungu, na yale waliyo kuwa wakiyafanyia maskhara ndiyo yakawazunguka.
027_00	Na hakika tuliiangamiza miji ilio jirani zenu, na tulizitumia Ishara ili wapate kurejea.
028_00	Basi mbona wale walio washika badala ya Mwenyezi Mungu, kuwa ati hao ndio wawakurubishe, hawakuwanusuru? Bali waliwapotea! Na huo ndio uwongo walio kuwa wakiuzua.
029_00	Na wakati tulipo waleta kundi la majini kuja kwako kusikiliza Qur'ani. Basi walipo ihudhuria walisema: Sikilizeni! Na ilipo kwisha somwa, walirudi kwa kaumu yao kwenda kuwaonya.
030_00	Wakasema: Enyi kaumu yetu! Sisi tumesikia Kitabu kilicho teremshwa baada ya Musa, kinacho sadikisha yaliyo kuwa kabla yake, na kinacho ongoza kwenye Haki na kwenye Njia Iliyo Nyooka.
031_00	Enyi kaumu yetu! Muitikieni Mwenye kuitia kwa Mwenyezi Mungu, na muaminini, Mwenyezi Mungu atakusameheni, na atakukingeni na adhabu chungu.
032_00	Na wasio mwitikia Mwitaji wa Mwenyezi Mungu basi hao hawatashinda katika ardhi, wala hawatakuwa na walinzi mbele yake. Hao wamo katika upotovu ulio dhaahiri.
033_00	Je! Hawaoni ya kwamba Mwenyezi Mungu, aliye ziumba mbingu na ardhi, na hakuchoka kwa kuziumba, kuwa ni Muweza wa kuwafufua wafu?
033_01	Kwani? Hakika Yeye ni Muweza wa kila kitu.
034_00	Na siku watakapo letwa makafiri Motoni wakaambiwa: Je! Haya si kweli? Watasema: Kwani? Tunaapa kwa Mola wetu Mlezi, ni kweli! Atasema: Basi onjeni adhabu kwa sababu ya kule kukataa kwenu.
035_00	Basi subiri, kama walivyo subiri Mitume wenye stahmala kubwa, wala usiwafanyie haraka. Siku watakayo yaona waliyo ahidiwa itakuwa kama kwamba hawakukaa ulimwenguni ila saa moja ya mchana.
035_01	Huu ndio ufikisho! Kwani huangamizwa wengine isipo kuwa walio waovu tu?
