001_00	T'aa Siin. (T'. S.), Hizi ni Aya za Qur'ani na Kitabu kinacho bainisha;
070_00	Wala usiwahuzunukie wala usiwe katika dhiki kwa sababu ya hila zao wanazo zifanya.
071_00	Na wanasema: Ahadi hii itatokea lini, ikiwa mnasema kweli?
072_00	Sema: Asaa ni karibu kukufikieni sehemu ya yale mnayo yahimiza.
073_00	Na hakika Mola wako Mlezi ni Mwenye fadhila kwa watu, lakini wengi wao hawashukuru.
074_00	Na hakika Mola wako Mlezi anayajua yanayo ficha vifua vyao na wanayo yatangaza.
075_00	Na hakuna siri katika mbingu na ardhi ila imo katika Kitabu kinacho bainisha.
076_00	Hakika Qur'ani hii inawasimulia Wana wa Israili mengi wanayo khitalifiana nayo.
077_00	Nayo hakika ni Uwongofu na Rehema kwa Waumini.
078_00	Hakika Mola wako Mlezi atawahukumu kwa hukumu yake, naye ni Mwenye nguvu Mjuzi.
079_00	Basi mtegemee Mweneyezi Mungu; hakika wewe uko juu ya Haki iliyo wazi.
080_00	Kwa hakika wewe huwezi kuwafanya maiti wasikie, wala kuwafanya viziwi wasikie wito, wanapo kwisha geuka kwenda zao.
081_00	Wala huwezi kuwaongoa vipofu waache upotovu wao. Huwezi kuwafanya wasikie isipo kuwa wenye kuziamini Ishara zetu; na hao ndio wat'iifu.
082_00	Na itapo waangukia kauli juu yao, tutawatolea mnyama katika ardhi atakaye wasemeza, ya kuwa watu walikuwa hawana na yakini na Ishara zetu.
083_00	Na Siku tutapo kusanya kutoka kila umma kundi katika wanao kadhibisha Ishara zetu, nao watagawanywa mafungu mafungu.
084_00	Hata watakapo fika, atasema (Mwenyezi Mungu): Je! Nyinyi si mlizikanusha Ishara zangu pasipo kuzijua vyema? Au mlikuwa mkifanya nini?
085_00	Na kauli itawaangukia juu yao kwa vile walivyo dhulumu. Basi hao hawatasema lolote.
086_00	Je! Hawaoni kwamba sisi tumeufanya usiku ili watulie, na mchana wa kuangaza. Hakika katika hayo zipo Ishara kwa watu wanao amini.
087_00	Na Siku litapo pulizwa baragumu, watahangaika waliomo mbinguni na katika ardhi, ila amtakaye Mwenyezi Mungu. Na wote watamfikia nao ni wanyonge.
088_00	Na unaiona milima unaidhunia imetulia; nayo inakwenda kama mwendo wa mawingu. Huo ndio ufundi wa Mwenyezi Mungu aliye tengeneza vilivyo kila kitu. Hakika Yeye anazo khabari za yote myatendayo.
089_00	Watakao kuja na mema, watapata bora kuliko hayo. Nao watasalimika na mahangaiko ya Siku hiyo.
090_00	Na watakao kuja na uovu, basi zitasunukishwa nyuso zao Motoni. Je! Kwani mnalipwa isipo kuwa mliyo kuwa mkiyatenda?
091_00	Ama mimi nimeamrishwa nimuabudu Mola Mlezi wa mji huu aliye ufanya ni mtakatifu; na ni vyake Yeye tu vitu vyote. Na nimeamrishwa niwe miongoni mwa Waislamu, wenye kunyenyekea.
092_00	Na niisome Qur'ani. Na mwenye kuongoka, basi ameongoka kwa faida ya nafsi yake; na aliye potea - basi sema: Hakika mimi ni miongoni mwa waonyaji.
093_00	Na sema: Alhamdu Lillahi, Sifa njema zote ni za Mwenyezi Mungu. Yeye atakuonyesheni Ishara zake, na mtazijua. Na Mola wako Mlezi si mwenye kughafilika na myatendayo.
