001_00	IMEWAKARIBIA watu hisabu yao, nao wamo katika mghafala wanapuuza.
089_00	Na Zakariya alipo mwita Mola wake Mlezi: Mola wangu Mlezi! Usiniache peke yangu, na Wewe ndiye Mbora wa wanao rithi.
090_00	Basi tukamwitikia, na tukampa Yahya na tukamponyeshea mkewe.
090_01	Hakika wao walikuwa wepesi wa kutenda mema, na wakituomba kwa shauku na khofu. Nao walikuwa wakitunyenyekea.
091_00	Na mwanamke aliye linda uke wake, na tukampulizia katika roho yetu, na tukamfanya yeye na mwanawe kuwa ni Ishara kwa walimwengu.
092_00	Kwa hakika huu umma wenu ni umma mmoja, na Mimi ni Mola wenu Mlezi. Kwa hivyo niabuduni Mimi.
093_00	Nao wakalikata jambo lao hili mapande mapande baina yao. Wote watarudi kwetu.
094_00	Na atendaye mema naye ni Muumini basi haitakataliwa juhudi yake. Na hakika Sisi tunamwandikia.
095_00	Na haiwi kwa wana-mji tulio uangamiza, ya kwamba hawatarejea,
096_00	Mpaka watapo funguliwa Juju na Maajuju wakawa wanateremka kutoka kila mlima;
097_00	Na miadi ya haki ikakaribia. Hapo ndipo yatapo kodoka macho ya walio kufuru (na watasema:) Ole wetu! Bila ya shaka tulikuwa tumeghafilika na haya, bali tulikuwa wenye kudhulumu.
098_00	Hakika nyinyi na hao mnao waabudu badala ya Mwenyezi Mungu ni kuni za Jahannamu; huko mtaingia tu.
099_00	Lau kuwa hawa ni miungu, wasingeli ingia. Na wote watadumu humo.
100_00	Lao wao humo ni kupiga mayowe, na wala hawatasikia (jenginelo).
101_00	Ama wale ambao wema wetu umewatangulia, hao watatenganishwa na hayo.
102_00	Hawatausikia mvumo wake, na wao watadumu katika yale zinayo yatamani nafsi zao.
103_00	Hicho Kitisho Kikubwa hakito wahuzunisha. Na Malaika watawapokea (kwa kuwaambia): Hii ndiyo Siku yenu mliyo kuwa mkiahidiwa!
104_00	Siku tutakapo zikunja mbingu kama mkunjo wa karatasi za vitabu. Kama tulivyo anza umbo la mwanzo tutalirudisha tena. Ni ahadi iliyo juu yetu. Hakika Sisi ni watendao.
105_00	Na hakika tulikwisha andika katika Zaburi baada ya Kumbukumbu, ya kwamba nchi watairithi waja wangu walio wema.
106_00	Hakika katika haya yapo mawaidha kwa watu wafanyao ibada.
107_00	Nasi hatukukutuma ila uwe ni Rehema kwa walimwengu wote.
108_00	Sema: Hakika imefunuliwa kwangu ya kwamba hakika Mungu wenu ni Mungu Mmoja tu. Je! Mmesilimu?
109_00	Na kama wakigeuka, basi sema: Nimekutangazieni sawa sawa, wala sijui yako karibu au mbali hayo mliyo ahidiwa.
110_00	Hakika Yeye anajua kauli ya dhaahiri na anajua myafichayo.
111_00	Wala sijui pengine huu ni mtihani tu kwenu na starehe mpaka muda kidogo.
112_00	Sema: Mola wangu Mlezi! Hukumu kwa haki. Na Mola wetu Mlezi ni Mwingi wa Rehema, aombwaye msaada juu ya mnayo yazua.
