001_00	Alif Laam Miim.
014_00	Watu wamepambiwa kupenda matamanio ya wanawake, na wana, na mirundi ya dhahabu na fedha, na farasi asili, na mifugo, na mashamba.
014_01	Hayo ni starehe ya maisha ya duniani; na kwa Mwenyezi Mungu ndio kwenye marejeo mema.
015_00	Sema: Nikwambieni yaliyo bora kuliko hayo?
015_01	Kwa wachamngu ziko Bustani kwa Mola wao zipitazo mito kati yake.
015_02	Watadumu humo, na wake walio takaswa, na wanazo radhi za Mwenyezi Mungu. Na Mwenyezi Mungu ni Mwenye kuwaona waja wake,
016_00	Ambao husema: Mola wetu Mlezi! Hakika sisi tumeamini, basi tufutie madhambi yetu, na tuepushe na adhabu ya Moto,
017_00	Wanao subiri, wanao sema kweli, na wat'iifu, na wanao toa sadaka, na wanao omba maghafira kabla ya alfajiri.
018_00	Mwenyezi Mungu, na Malaika, na wenye ilimu, wameshuhudia kuwa hakika hapana mungu ila Yeye, ndiye Mwenye kusimamisha uadilifu; hapana mungu ila Yeye Mwenye nguvu na Mwenye hikima.
019_00	Bila ya shaka Dini mbele ya Mwenyezi Mungu ni Uislamu.
019_01	Na walio pewa Kitabu hawakukhitalifiana ila baada ya kuwajia ujuzi, kwa sababu ya uhasidi ulio kuwa baina yao. Na anaye zikataa Ishara za Mwenyezi Mungu basi hakika Mwenyezi Mungu ni Mwepesi wa kuhisabu.
020_00	Na pindi wakikuhoji, basi sema: Mimi nimeusalimisha uso wangu kumwelekea Mwenyezi Mungu, na kadhaalika walio nifuata. Na waambie walio pewa Kitabu na wasio na kisomo: Je! Mmesilimu?
020_01	Wakisilimu basi wameongoka. Na wakikengeuka basi juu yako ni kufikisha ujumbe tu. Na Mwenyezi Mungu ni Mwenye kuwaona waja wake.
021_00	Hakika wanao zikataa Ishara za Mwenyezi Mungu, na wakawauwa Manabii
021_01	pasipo haki, na wakawauwa watu waamrishao Haki wabashirie adhabu kali.
022_00	Hao ndio ambao vitendo vyao vimeharibika duniani na Akhera. Nao hawatapata wa kuwanusuru.
023_00	Huwaoni wale walio pewa sehemu ya Kitabu? Wanaitwa kukiendea Kitabu cha Mwenyezi Mungu ili kiwahukumu baina yao; kisha baadhi yao wanageuka wanakikataa.
024_00	Hayo ni kwa sababu walisema: Hautatugusa Moto isipo kuwa kwa siku chache tu. Na yakawadanganya katika dini yao yale ambayo wenyewe waliyo kuwa wakiyazua.
025_00	Basi itakuwaje tutakapo wakusanya Siku ambayo haina shaka kuja kwake? Na kila nafsi italipwa kama ilivyo chuma, bila ya kudhulumiwa.
026_00	Sema: Ewe Mwenyezi Mungu uliye miliki ufalme wote! Wewe humpa ufalme umtakaye, na humwondolea ufalme umtakaye, na humtukuza umtakaye, na humuangusha umtakaye.
026_01	Kheri yote iko mikononi mwako. Hakika Wewe ni Muweza wa kila kitu.
027_00	Wewe huingiza usiku katika mchana, na huuingiza mchana katika usiku.
027_01	Na humtoa hai kutokana na maiti, na humtoa maiti kutokana na aliye hai. Na unamruzuku umtakaye bila ya hisabu.
028_00	Waumini wasiwafanye makafiri kuwa wapenzi wao badala ya Waumini. Na anaye fanya hivyo, basi hatakuwa chochote mbele ya Mwenyezi Mungu.
028_01	Ila ikiwa kwa ajili ya kujilinda na shari zao. Na Mwenyezi Mungu anakuhadharisheni naye. Na marejeo ni kwa Mwenyezi Mungu.
029_00	Sema: Mkificha yaliyomo vifuani mwenu au mkiyafichua Mwenyezi Mungu anayajua; na anayajua yaliyomo mbinguni na yaliyomo duniani. Na Mwenyezi Mungu ni Muweza wa kila kitu.
030_00	Siku ambayo kila nafsi itakuta mema iliyo yafanya yamehudhurishwa, na pia ubaya ilio ufanya. Itapenda nafsi lau kungekuwako masafa marefu baina ya ubaya huo na yeye.
030_01	Na Mwenyezi Mungu anakuhadharisheni naye. Na Mwenyezi Mungu ni Mpole kwa waja wake.
031_00	Sema: Ikiwa nyinyi mnampenda Mwenyezi Mungu basi nifuateni mimi, Mwenyezi Mungu atakupendeni na atakufutieni madhambi yenu. Na Mwenyezi Mungu ni Mwenye kufuta madhambi na Mwenye kurehemu.
032_00	Sema: Mt'iini Mwenyezi Mungu na Mtume. Na wakigeuka basi Mwenyezi Mungu hawapendi makafiri.
033_00	Hakika Mwenyezi Mungu alimteuwa Adam na Nuhu na ukoo wa Ibrahim na ukoo wa Imran juu ya walimwengu wote.
034_00	Ni wazao wao kwa wao; na Mwenyezi Mungu ni Mwenye kusikia na Mwenye kujua.
035_00	Alipo sema mke wa Imran: Mola wangu Mlezi! Nimekuwekea nadhiri kilichomo tumboni mwangu kuwa wakfu; basi nikubalie. Hakika Wewe ndiye Mwenye kusikia na Mwenye kujua.
036_00	Basi alipo mzaa alisema: Mola wangu Mlezi! Nimemzaa mwanamke - na Mwenyezi Mungu anajua sana aliye mzaa - Na mwanamume si sawa na mwanamke.
036_01	Na mimi nimemwita Maryamu. Nami namkinga kwako, yeye na uzao wake, uwalinde na Shet'ani aliye laaniwa.
037_00	Tena Mola wake Mlezi akampokea kwa mapokeo mema na akamkuza makuzo mema, na akamfanya Zakariya awe mlezi wake. Kila mara Zakariya alipo ingia chumbani kwake alimkuta na vyakula.
037_01	Basi alimwambia: Ewe Maryamu! Unavipata wapi hivi? Naye akasema: Hivi vinatoka kwa Mwenyezi Mungu; na Mwenyezi Mungu humruzuku amtakaye bila ya hisabu.
038_00	Pale pale Zakariya akamwomba Mola wake Mlezi, akasema: Mola wangu Mlezi! Nipe kutoka kwako uzao mwema. Wewe ndiye unaye sikia maombi.
039_00	Alipo kuwa kasimama chumbani akisali, Malaika kamnadia: Hakika Mwenyezi Mungu anakubashiria Yahya, ataye kuwa mwenye
039_01	kusadikisha neno litokalo kwa Mwenyezi Mungu, na ni bwana na mt'awa na Nabii kwa watu wema.
040_00	Akasema Zakariya: Mola wangu Mlezi! Vipi nitapata mwana na hali ukongwe umenifikia, na mke wangu ni tasa? Akasema: Ndivyo vivyo hivyo, Mwenyezi Mungu hufanya apendavyo.
041_00	Akasema: Mola wangu Mlezi! Niwekee alama. Akasema: Alama yako ni kuwa hutasema na watu kwa siku tatu, isipo kuwa kwa kuashiria tu. Na mdhukuru Mola Mlezi wako kwa wingi na mtakase jioni na asubuhi.
042_00	Na angalia pale Malaika walipo sema: Ewe Maryamu! Kwa hakika Mwenyezi Mungu amekuteuwa, na akakutakasa, na akakutukuza kuliko wanawake wote.
043_00	Ewe Maryamu! Mnyenyekee Mola Mlezi wako na usujudu na uiname pamoja na wainamao.
044_00	Hizi ni khabari za ghaibu tunazo kufunulia; nawe hukuwa nao walipo kuwa wakitupa kalamu zao nani wao atamlea Maryamu, na hukuwa nao walipo kuwa wakishindana.
045_00	Na pale Malaika walipo sema: Ewe Maryamu!
045_01	Hakika Mwenyezi Mungu anakubashiria (mwana) kwa neno litokalo kwake. Jina lake ni Masihi Isa mwana wa Maryamu, mwenye hishima katika dunia na Akhera, na miongoni mwa walio karibishwa (kwa Mwenyezi Mungu).
046_00	Naye atazungumza na watu katika utoto wake na katika utuuzima wake, na atakuwa katika watu wema.
047_00	Maryamu akasema: Mola wangu Mlezi! Vipi nitampata mwana na hali hajanigusa mwanaadamu? Mwenyezi Mungu akasema: Ndivyo vivyo hivyo, Mwenyezi Mungu huumba apendacho. Anapo hukumu jambo, huliambia: Kuwa! Likawa.
048_00	Na atamfunza kuandika na Hikima na Taurati na Injili.
049_00	Na ni Mtume kwa Wana wa Israili kuwaambia: Mimi nimekujieni na Ishara kutoka kwa Mola Mlezi wenu, ya kwamba nakuundieni kwa udongo kama sura ya ndege.
049_01	Kisha nampuliza anakuwa ndege kwa idhini ya Mwenyezi Mungu.
049_02	Na ninawaponesha vipofu wa tangu kuzaliwa na wakoma, na ninawafufua maiti kwa idhini ya Mwenyezi Mungu, na ninakwambieni mnacho kila na mnacho weka akiba katika nyumba zenu.
049_03	Hakika katika haya ipo Ishara kwenu ikiwi nyinyi ni wenye kuamini.
050_00	Na ninasadikisha yaliyo kuwa kabla yangu katika Taurati, na ili nikuhalalishieni baadhi ya yale mlio harimishiwa, na nimekujieni na Ishara kutokana na Mola Mlezi wenu.
050_01	Kwa hivyo mcheni Mwenyezi Mungu na nit'iini mimi.
051_00	Hakika Mwenyezi Mungu ni Mola wangu Mlezi na ni Mola wenu Mlezi. Basi muabudni Yeye. Hii ndiyo Njia Iliyo Nyooka.
052_00	Isa alipo hisi kuwa kati yao pana ukafiri alisema: Nani wasaidizi wangu kwa Mwenyezi Mungu?
052_01	Wanafunzi wake wakasema: Sisi ni wasaidizi wa Mwenyezi Mungu. Tumemuamini Mwenyezi Mungu, na shuhudia kwamba sisi hakika ni Waislamu.
053_00	Mola wetu Mlezi! Tumeyaamini uliyo yateremsha, na tumemfuata huyu Mtume, basi tuandike pamoja na wanao shuhudia.
054_00	Na Makafiri walipanga mipango na Mwenyezi Mungu akapanga mipango, na Mwenyezi Mungu ndiye mbora wa wenye kupanga.
055_00	Pale Mwenyezi Mungu alipo sema: Ewe Isa! Mimi nitakufisha, na nitakunyanyua kwangu, na nitakutakasa na wale walio kufuru, na nitawaweka wale walio kufuata juu ya wale walio kufuru, mpaka Siku ya Kiyama.
055_01	Kisha marejeo yenu yatakuwa kwangu, nikuhukumuni katika yale mliyo kuwa mkikhitalifiana.
056_00	Ama wale walio kufuru, nitawaadhibu adhabu kali katika dunia na Akhera, wala hawatapata wa kuwanusuru.
057_00	Na ama wale walio amini na wakatenda mema basi Mwenyezi Mungu atawalipa ujira wao kaamili. Na Mwenyezi Mungu hawapendi madhaalimu.
058_00	Haya tunayo kusomea ni katika Aya na Ukumbusho wenye hikima.
059_00	Hakika mfano wa Isa kwa Mwenyezi Mungu ni kama mfano wa Adam; alimuumba kwa udongo kisha akamwambia: Kuwa! Basi akawa.
060_00	Hii ni kweli itokayo kwa Mola wako Mlezi. Basi usiwe miongoni mwa wanao fanya shaka.
061_00	Watakao kuhoji katika haya baada ya kukufikilia ilimu hii waambie: Njooni tuwaite watoto wetu na watoto wenu, na wake zetu n
061_01	a wake zenu, na sisi wenyewe na nyinyi wenyewe, kisha tuombe kwa unyenyekevu tutake laana ya Mwenyezi Mungu iwashukie waongo.
062_00	Hakika haya ndiyo maelezo ya kweli. Na hakuna mungu ila Mwenyezi Mungu tu, na hakika Mwenyezi Mungu ndiye Mwenye nguvu na Mwenye hikima.
063_00	Na kama wakigeuka basi Mwenyezi Mungu anawajua waharibifu.
064_00	Sema: Enyi Watu wa Kitabu!
064_01	Njooni kwenye neno lilio sawa baina yetu na nyinyi: Ya kwamba tusimuabudu yeyote ila Mwenyezi Mungu, wala tusimshirikishe na chochote; wala tusifanyane sisi kwa sisi kuwa Waola Walezi badala ya Mwenyezi Mungu. Na wakigeuka basi semeni: Shuhudieni ya kwamba sisi ni Waislamu.
065_00	Enyi Watu wa Kitabu! Mbona mnabishana juu ya Ibrahim, na hali Taurati na Injili hazikuteremshwa ila baada yake? Basi hamzingatii?
066_00	Angalieni! Nyinyi mlibishana katika yale mliyo yajua. Mbona sasa mnabishana katika yale msiyo yajua? Na Mwenyezi Mungu ndiye ajuaye, na nyinyi hamjui.
067_00	Ibrahim hakuwa Yahudi wala Mkristo, lakini alikuwa mwongofu Muislamu, wala hakuwa katika washirikina.
068_00	Watu wanao mkaribia zaidi Ibrahim ni wale walio mfuata yeye na Nabii huyu na walio amini. Na Mwenyezi Mungu ndiye Mlinzi wa Waumini.
069_00	Kipo kikundi katika Watu wa Kitabu wanao penda kukupotezeni; lakini hawapotezi ila nafsi zao, nao wenyewe hawatambui.
070_00	Enyi Watu wa Kitabu! Mbona mnazikataa Ishara za Mwenyezi Mungu ilhali nyinyi mnashuhudia?
071_00	Enyi Watu wa Kitabu! Mbona kweli mnaivisha uwongo, na kweli mnaificha na hali mnajua?
072_00	Na kikundi katika Watu wa Kitabu walisema: Yaaminini yale waliyo teremshiwa wenye kuamini mwanzo wa mchana, na yakataeni mwisho wake; huenda wakarejea.
073_00	Wala msimuamini ila anaye fuata dini yenu. Sema: Hakika uwongofu ni uwongofu wa Mwenyezi Mungu, kuwa apewe mtu mfano wa mlio pewa nyinyi au wakuhojini mbele ya Mola wenu Mlezi.
073_01	Sema: Hakika fadhila zimo mikononi mwa Mwenyezi Mungu. Humpa amtakaye. Na Mwenyezi Mungu ni Mwenye wasaa na Mjuzi.
074_00	Yeye humchagua kumpa rehema zake amtakaye; na Mwenyezi Mungu ndiye Mwenye fadhila kubwa.
075_00	Na miongoni mwa Watu wa Kitabu yupo ambaye ukimpa amana ya mrundi wa mali atakurudishia, na miongoni mwao yupo ambaye ukimpa amana ya dinari moja hakurudishii isipo kuwa ukimsimamia kumdai.
075_01	Haya ni kwa kuwa wakisema: Hatuna lawama kwa ajili ya hawa wasio jua kusoma.
075_02	Na wanamzulia uwongo Mwenyezi Mungu, hali nao wanajua.
076_00	Sivyo hivyo, bali anaye timiza ahadi yake na akamchamngu basi Mwenyezi Mungu huwapenda wachamngu.
077_00	Hakika wanao uza ahadi ya Mwenyezi Mungu na viapo vyao thamani ndogo, hao hawatakuwa na sehemu ya kheri yoyote katika A
077_01	khera, wala Mwenyezi Mungu hatasema nao wala hatawatazama Siku ya Kiyama, wala hatawatakasa, nao watapata adhabu chungu.
078_00	Na wapo baadhi yao wanao pindua ndimi zao katika kusoma Kitabu ili mdhanie kuwa hayo yanatoka Kitabuni, na wala hayatoki Kitabuni. Na husema: Haya yametoka kwa Mwenyezi Mungu.
078_01	Na wala hayatoki kwa Mwenyezi Mungu. Na wanamsingizia Mwenyezi Mungu uwongo na wao wanajua.
079_00	Haiwezi kuwa mtu aliye pewa na Mwenyezi Mungu Kitabu na hikima na Unabii kisha awaambie watu: Kuweni wa kuniabudu mimi badala ya Mwenyezi Mungu.
079_01	Bali atawaambia: Kuweni wenye kumuabudu Mola Mlezi wa viumbe vyote, kwa kuwa nyinyi mnafundisha Kitabu na kwa kuwa mnakisoma.
080_00	Wala hatakuamrisheni kuwafanya Malaika na Manabii kuwa ni miungu. Je, atakuamrisheni ukafiri baada ya kuwa nyinyi Waislamu?
081_00	Na pale Mwenyezi Mungu alipo chukua ahadi kwa Manabii: Nikisha kupeni Kitabu na hikima, kisha akakujieni Mtume mwenye kusadikisha mliyo nayo, ni juu yenu mumuamini na mumsaidie. Akasema: Je, mmekiri na mmekubali kushika agizo langu juu ya hayo?
081_01	Wakasema: Tumekubali. Akasema: Basi shuhudieni, na Mimi ni pamoja nanyi katika kushuhudia.
082_00	Watakao geuka baada ya haya basi hao ndio wapotovu.
083_00	Je, wanataka dini isiyo kuwa ya Mwenyezi Mungu, na hali kila kilichomo mbinguni na katika ardhi kimesilimu kwa kumt'ii Yeye kikipenda kisipende, na kwake Yeye watarejeshwa?
084_00	Sema: Tumemuamini Mwenyezi Mungu, na tuliyo teremshiwa sisi, na aliyo teremshiwa Ibrahim, na Ismail, na Is-haak na Yaakub na wajukuu zao, na aliyo pewa Musa na Isa na Manabii wengine kutoka kwa Mola wao Mlezi.
084_01	Hatubagui baina yao hata mmoja, na sisi ni wenye kusilimu kwake.
085_00	Na anaye tafuta dini isiyo kuwa Uislamu haitakubaliwa kwake. Naye Akhera atakuwa katika wenye kukhasiri.
086_00	Mwenyezi Mungu atawaongoaje watu walio kufuru baada ya kuamini kwao, na wakashuhudia ya kuwa Mtume huyu ni wa haki, na zikawafikia hoja zilizo wazi? Mwenyezi Mungu hawaongoi watu madhaalimu.
087_00	Hao malipo yao ni kuwa ipo juu yao laana ya Mwenyezi Mungu na ya Malaika na ya watu wote.
088_00	Humo watadumu. Hawatapunguziwa adhabu wala hawatapewa nafasi.
089_00	Isipo kuwa wale walio tubu baada ya hayo na wakatengenea; kwani Mwenyezi Mungu ni Mwenye kusamehe na Mwenye kurehemu.
090_00	Hakika wale walio kufuru baada ya kuamini kwao, kisha wakazidi kukufuru, toba yao haitakubaliwa, na hao ndio walio potea.
091_00	Hakika wale walio kufuru, na wakafa hali ni makafiri haitakubaliwa kutoka kwa yeyote wao fidia ya dhahabu ya kujaza dunia nzima lau wangeli itoa.
091_01	Hao watapata adhabu chungu, wala hawatakuwa na wa kuwanusuru.
092_00	KABISA HAMTAFIKIA wema mpaka mtoe katika vile mnavyo vipenda. Na kitu chochote mnacho kitoa basi hakika Mwenyezi Mungu anakijua.
093_00	Kila chakula kilikuwa halali kwa Wana wa Israili isipo kuwa alicho jizuilia Israili mwenyewe kabla haijateremshwa Taurati.
093_01	Sema: Leteni Taurati muisome ikiwa nyinyi ni wasema kweli.
094_00	Na wanao mzulia uwongo Mwenyezi Mungu baada ya hayo, basi hao ndio madhaalimu.
095_00	Sema: Mwenyezi Mungu amesema kweli. Basi fuateni mila ya Ibrahim mwongofu, wala hakuwa miongoni mwa washirikina.
096_00	Hakika Nyumba ya kwanza walio wekewa watu kwa ibada ni ile iliyoko Bakka, iliyo barikiwa na yenye uwongofu kwa walimwengu wote.
097_00	Ndani yake zipo Ishara zilizo wazi - masimamio ya Ibrahim, na mwenye kuingia humo anakuwa katika amani.
097_01	Na kwa ajili ya Mwenyezi Mungu imewajibikia watu wahiji kwenye Nyumba hiyo, kwa yule awezae njia ya kwendea. Na atakaye kanusha basi Mwenyezi Mungu si mhitaji kwa walimwengu.
098_00	Sema: Enyi Watu wa Kitabu! Kwa nini mnakanusha ishara za Mwenyezi Mungu, na ilhali kuwa Mwenyezi Mungu ni Shahidi kwa yote mnayo yatenda?
099_00	Sema: Enyi Watu wa Kitabu! Kwa nini mnamzuilia aliye amini Njia ya Mwenyezi Mungu mkiitafutia kosa, na hali nyinyi mnashuhudia? Na Mwenyezi Mungu si mwenye kughafilika na mnayo yatenda.
100_00	Enyi mlio amini! Mkiwat'ii baadhi ya walio pewa Kitabu watakurudisheni kuwa makafiri baada ya Imani yenu.
101_00	Na vipi mkufuru hali nyinyi mnasomewa Aya za Mwenyezi Mungu na Mtume yuko kati yenu? Na mwenye kushikamana na Mwenyezi Mungu basi huyo ameongozwa kwenye Njia Iliyo Nyooka.
102_00	Enyi mlio amini! Mcheni Mwenyezi Mungu kama ipasavyo kumcha; wala msife ila nanyi ni Waislamu.
103_00	Na shikamaneni kwa Kamba ya Mwenyezi Mungu nyote pamoja, wala msifarikiane.
103_01	Na kumbukeni neema ya Mwenyezi Mungu iliyo juu yenu: vile mlivyo kuwa nyinyi kwa nyinyi maadui naye akaziunganisha nyoyo zenu; kwa neema yake mkawa ndugu.
103_02	Na mlikuwa ukingoni mwa shimo la Moto, naye akakuokoeni nalo. Namna hivi Mwenyezi Mungu anakubainishieni Ishara zake ili mpate kuongoka.
104_00	Na uwe kutokana na nyinyi umma unao lingania kheri na unao amrisha mema na unakataza maovu. Na hao ndio walio fanikiwa.
105_00	Wala msiwe kama wale walio farikiana na kukhitalifiana baada ya kuwafikia hoja zilizo wazi. Na hao ndio watakao kuwa na adhabu kubwa.
106_00	Siku ambayo nyuso zitanawiri na nyuso zitasawijika. Ama hao ambao nyuso zao zitasawijika wataambiwa: Je! Mlikufuru baada ya kuamini kwenu? Basi onjeni adhabu kwa vile mlivyo kuwa mnakufuru.
107_00	Ama wale ambao nyuso zao zitanawiri watakuwa katika rehema ya Mwenyezi Mungu. Wao humo watadumu.
108_00	Hizi ni Aya za Mwenyezi Mungu tunakusomea kwa haki. Na Mwenyezi Mungu hataki kuwadhulumu walimwengu.
109_00	Na kila kilichomo mbinguni na kilichomo ardhini ni cha Mwenyezi Mungu; na mambo yote yatarejea kwa Mwenyezi Mungu.
110_00	Nyinyi mmekuwa bora ya umma walio tolewa watu, kwa kuwa mnaamrisha mema na mnakataza maovu, na mnamuamini Mwenyezi Mungu.
110_01	Na lau kuwa Watu wa Kitabu nao wameamini ingeli kuwa bora kwao. Wapo miongoni mwao waumini, lakini wengi wao wapotovu.
111_00	Maadui hawatakudhuruni ila ni maudhi tu. Na wakipigana nanyi watakupeni mgongo, na tena hawatanusuriwa.
112_00	Wamepigwa na udhalili popote wanapo kutikana, isipo kuwa wakishika kamba ya Mwenyezi Mungu na kamba ya watu.
112_01	Na wakastahiki ghadhabu ya Mwenyezi Mungu, na wamepigwa na unyonge. Hayo ni kwa sababu walikuwa wakizikataa Ishara za Mwenyezi Mungu, na wakiwauwa Manabii pasina haki; hayo ni kwa sababu waliasi na walikuwa wakiruka mipaka.
113_00	Wote hao si sawa sawa. Miongoni mwa Watu wa Kitabu wamo watu walio simama baraabara, wanasoma Aya za Mwenyezi Mungu nyakati za usiku, na pia wanasujudu.
114_00	Wanamuamini Mwenyezi Mungu na Siku ya Mwisho, na wanaamrisha mema na wanakataza maovu na wanakimbilia katika mambo ya kheri. Na hao ndio miongoni mwa watenda mema.
115_00	Na kheri yoyote wanayo ifanya hawatanyimwa malipwa yake. Na Mwenyezi Mungu anawajua wachamngu.
116_00	Hakika wale walio kufuru hazitawafaa kitu mali zao wala watoto wao mbele ya Mwenyezi Mungu. Na hao ndio watu wa Motoni - humo watadumu.
117_00	Mfano wa vile wanavyo vitoa katika uhai wao wa duniani ni kama upepo ambao ndani yake ipo baridi ya barafu, ukalisibu shamba la watu walio dhulumu nafsi zao, ukaliteketeza.
117_01	Na Mwenyezi Mungu hakuwadhulumu, bali wao wenyewe wanadhulumu nafsi zao.
118_00	Enyi mlio amini! Msiwafanye wasiri wenu watu wasio kuwa katika nyinyi. Hawataacha kukufanyieni ubaya.
118_01	Wanayapenda yanayo kudhuruni. Imekwisha fichuka chuki yao katika midomo yao. Na yanayo ficha vifua vyao ni makubwa zaidi. Tumekwisha kubainishieni Ishara ikiwa nyinyi mtayatia akilini.
119_00	Hivyo basi nyinyi ndio mnawapenda watu hao, wala wao hawakupendeni. Nanyi mnaviamini Vitabu vyote. Na wanapo kutana nanyi husema: Tumeamini.
119_01	Na wanapo kuwa peke yao wanakuumieni vidole kwa chuki. Sema: Kufeni kwa chuki yenu! Hakika Mwenyezi Mungu anayajua yaliomo vifuani.
120_00	Ikikupateni kheri huwaudhi. Na ikikupateni shari wanafurahia.
120_01	Na nyinyi mkisubiri na mkajizuilia, hila zao hazitakudhuruni kitu. Hakika Mwenyezi Mungu ni mwenye kuyazunguka yote wayatendayo.
121_00	Na pale ulipo toka asubuhi, ukaacha ahali zako uwapange Waumini kwenye vituo kwa ajili ya vita - na Mwenyezi Mungu anasikia na anajua.
122_00	Makundi mawili miongoni mwenu yakaingiwa na woga kuwa watashindwa - na hali Mwenyezi Mungu ndiye Mlinzi wao; na Waumini wamtegemee Mwenyezi Mungu tu.
123_00	Na Mwenyezi Mungu alikwisha kunusuruni katika Badri nanyi mlikuwa wanyonge. Basi mcheni Mwenyezi Mungu ili mpate kushukuru.
124_00	Ulipo waambia Waumini: Je, haitakutosheni ikiwa Mola wenu atakusaidieni kwa Malaika elfu tatu walio teremshwa?
125_00	Kwani! Ikiwa mtavumilia na mkamchamngu na hata maadui wakikutokeeni kwa ghafla, basi hapo Mola wenu Mlezi atakusaidieni kwa Malaika elfu tano wanao shambulia kwa nguvu.
126_00	Na Mwenyezi Mungu hakufanya haya ila kuwa ni bishara kwenu, na ili nyoyo zenu zipate kutua. Na msaada hautoki isipo kuwa kwa Mwenyezi Mungu, Aliye tukuka, Mwenye nguvu na Mwenye hikima.
127_00	Haya ni kwa ajili awakate sehemu katika walio kufuru, au awahizi wapate kurejea nyuma nao wamepwelewa.
128_00	Wewe huna lako jambo katika haya - ama atawahurumia au atawaadhibu, kwani wao ni madhaalimu.
129_00	Na ni vya Mwenyezi Mungu vyote vilivyomo katika mbingu na vilivyomo katika ardhi. Yeye humsamehe na humuadhibu amtakaye. Na Mwenyezi Mungu ni Msamehevu Mwenye kurehemu.
130_00	Enyi mlio amini! Msile riba mkizidisha juu kwa juu, na mcheni Mwenyezi Mungu ili mpate kufanikiwa.
131_00	Na uogopeni Moto ambao umeandaliwa kwa ajili ya makafiri.
132_00	Na mt'iini Mwenyezi Mungu na Mtume ili mpate kurehemewa.
133_00	Na yakimbilieni maghfira ya Mola wenu Mlezi, na Pepo ambayo upana wake ni mbingu na ardhi, iliyo wekwa tayari kwa wachamngu,
134_00	Ambao hutoa wanapo kuwa na wasaa na wanapo kuwa na dhiki, na wanajizuia ghadhabu, na wasamehevu kwa watu; na Mwenyezi Mungu huwapenda wafanyao wema;
135_00	Na ambao pindi wafanyapo uchafu au wakajidhulumu nafsi zao humkumbuka Mwenyezi Mungu na wakamwomba msamaha kwa dhambi zao - na nani anaye futa dhambi isipo kuwa Mwenyezi Mungu?
135_01	- na wala hawaendelei na waliyo yafanya na hali wanajua.
136_00	Hao malipo yao ni msamaha kwa Mola wao Mlezi, na Bustani zipitazo mito kati yake. Humo watadumu, na mwema mno ujira wa watendao.
137_00	Kabla yenu zimepita nyendo nyingi; basi tembeeni katika ulimwengu muangalie vipi ulikuwa mwisho wa wanao kanusha.
138_00	Hii ni bayana kwa watu wote, na ni uwongofu, na mawaidha kwa wachamngu.
139_00	Wala msilegee, wala msihuzunike, kwani nyinyi ndio wa juu mkiwa ni Waumini.
140_00	Kama yamekupateni majaraha, basi na hao watu wengine yamewapata majaraha mfano wa haya.
140_01	Na siku za namna hii tunaweletea watu kwa zamu, ili Mwenyezi Mungu awapambanue walio amini na awateuwe miongoni mwenu mashahidi. Na Mwenyezi Mungu hawapendi madhaalimu;
