001_00	Alif Lam Mim (A. L. M.)
019_00	Je! Wao hawaoni jinsi Mwenyezi Mungu anavyo anzisha uumbaji, na kisha akarudisha tena. Hakika hayo kwa Mwenyezi Mungu ni mepesi.
020_00	Sema: Tembeeni katika ardhi na tazameni jinsi alivyo anzisha uumbaji; kisha Mwenyezi Mungu ndiye anaye umba umbo la baadaye. Hakika Mwenyezi Mungu ni Muweza juu ya kila kitu.
021_00	Humuadhibu amtakaye, na humrehemu amtakaye. Na kwake Yeye mtapelekwa.
022_00	Na nyinyi si wenye kushinda katika ardhi wala katika mbingu. Wala nyinyi hamna mlinzi wala msaidizi isipo kuwa Mwenyezi Mungu.
023_00	Na walio zikanusha Ishara za Mwenyezi Mungu na kukutana naye, hao ndio wenye kukata tamaa na rehema yangu, na hao ndio wenye kupata adhabu chungu.
024_00	Basi haikuwa jawabu ya watu wake ila ni kusema: Muuweni au mchomeni moto! Mwenyezi Mungu akamwokoa na moto. Hakika katika hayo zipo Ishara kwa watu wanao amini.
025_00	Na alisema: Hakika nyinyi mmeyashika masanamu badala ya Mwenyezi Mungu kwa mapenzi yaliyo baina yenu katika uhai wa duniani. Kisha Siku ya Kiyama mtakataana nyinyi kwa nyinyi, na mtalaaniana nyinyi kwa nyinyi.
025_01	Na makaazi yenu ni Motoni. Wala hamtapata wa kukunusuruni.
026_00	Lut'i akamuamini, na akasema: Mimi nahamia kwa Mola wangu Mlezi. Hakika Yeye ndiye Mwenye nguvu, Mwenye hikima.
027_00	Na tulimtunukia (Ibrahim) Is-haq na Yaa'qub.
027_01	Na tukajaalia katika dhuriya zake Unabii na Kitabu, na tukampa ujira wake katika dunia; naye hakika katika Akhera bila ya shaka ni katika watu wema.
028_00	Na pale Lut'i alipo waambia watu wake: Hakika nyinyi mnafanya uchafu, ambao hapana mmoja katika walimwengu aliye kutangulieni kwa hayo.
029_00	Je! Nyinyi mnawaingilia wanaume, na mnaikata njia?
029_01	Na katika mikutano yenu mnafanya maovu? Basi haikuwa jawabu ya watu wake isipo kuwa kusema: Tuletee hiyo adhabu ya Mwenyezi Mungu ikiwa wewe ni katika wasemao kweli.
030_00	Akasema: Ewe Mola wangu Mlezi! Ninusuru na watu mafisadi hawa!
031_00	Na wajumbe wetu walipo mjia Ibrahim na bishara, walisema: Hakika sisi hapana shaka tutawahiliki watu wa mji huu, kwani watu wake hakika wamekuwa madhaalimu.
032_00	Akasema: Hakika humo yumo Lut'i. Wao wakasema: Sisi tunajua zaidi nani yumo humo. Hapana shaka tutamwokoa yeye na ahali zake, isipo kuwa mkewe aliye miongoni mwa watao kaa nyuma.
033_00	Na wajumbe wetu walipo mfikia Lut'i, alihuzunika kwa ajili yao, na moyo uliona dhiki kwa ajili yao.
033_01	Wakasema: Usiogope, wala usihuzunike. Hakika sisi tutakuokoa wewe na ahali zako, ila mkeo aliye miongoni mwa watao kaa nyuma.
034_00	Kwa yakini sisi tutawateremshia watu wa mji huu adhabu kutoka mbinguni kwa sababu ya uchafu wanao ufanya.
035_00	Na tumeacha katika mji huo Ishara ilio wazi kwa watu wanao tumia akili zao.
036_00	Na kwa Madyana tulimtuma ndugu yao Shuaibu, naye akasema: Enyi watu wangu! Muabuduni Mwenyezi Mungu na iogopeni Siku ya Akhera, wala msende katika ardhi mkifisidi.
037_00	Lakini walimkanusha basi ukawatwaa mtikiso wa ardhi, wakapambazukiwa ndani ya nyumba zao nao wamefudikia.
038_00	Na pia kina A'di na Thamud. Nanyi yamekwisha kubainikieni kutokana na maskani zao. Na Shet'ani aliwapambia vitendo vyao, na akawazuilia Njia, na hali walikuwa wenye kuona.
039_00	Na pia Qaruni na Firauni na Hamana! Na Musa aliwajia kwa Ishara waziwazi, lakini walijivuna katika nchi, wala hawakuweza kushinda.
040_00	Basi kila mmoja tulimtesa kwa mujibu wa makosa yake.
040_01	Kati yao wapo tulio wapelekea kimbunga cha changarawe; na kati yao wapo walio nyakuliwa na ukelele; na kati yao wapo ambao tulio wadidimiza katika ardhi; na kati yao wapo tulio wazamisha.
040_02	Wala Mwenyezi Mungu hakuwa mwenye kuwadhulumu, lakini walikuwa wenyewe wakijidhulumu nafsi zao.
041_00	Mfano wa walio wafanya walinzi badala ya Mwenyezi Mungu, ni mfano wa buibui alivyo jitandia nyumba.
041_01	Na hakika nyumba dhaifu mno kuliko zote ni jumba la buibui, laiti kuwa wanajua.
042_00	Kwa hakika Mwenyezi Mungu anajua kila kitu wanacho kiomba badala yake Yeye. Na Yeye ndiye Mtukufu Mwenye nguvu Mwenye hikima.
043_00	Na hiyo ni mifano tunawapigia watu, na hawaifahamu ila wenye ilimu.
044_00	Mwenyezi Mungu ameumba mbingu na ardhi kwa Haki. Kwa hakika katika hayo ipo Ishara kwa Waumini.
045_00	SOMA uliyo funuliwa katika Kitabu, na ushike Sala. Hakika Sala inazuilia mambo machafu na maovu.
045_01	Na kwa yakini kumdhukuru Mwenyezi Mungu ndilo jambo kubwa kabisa. Na Mwenyezi Mungu anayajua mnayo yatenda.
046_00	Wala msijadiliane na Watu wa Kitabu ila kwa njia iliyo nzuri kabisa, isipo kuwa wale walio dhulumu miongoni mwao. Na semeni: Tumeyaamini yaliyo teremshwa kwetu na yaliyo teremshwa kwenu.
046_01	Na Mungu wetu na Mungu wenu ni Mmoja. Na sisi ni wenye kusilimu kwake.
047_00	Na namna hivi tumekuteremshia Kitabu (cha Qur'ani).
047_01	Basi wale tulio wapa Kitabu (cha Biblia) wataiamini (Qur'ani), na miongoni mwa hawa (washirikina) wapo watakao iamini. Na hawazikatai Ishara zetu isipo kuwa makafiri.
048_00	Na wewe hukuwa kabla yake unasoma kitabu chochote, wala hukukiandika kwa mkono wako wa kulia. Ingeli kuwa hivyo wangeli fanya shaka wavunjifu.
049_00	Bali hii (Qur'ani) ni Ishara zilizo wazi katika vifua vya walio pewa ilimu. Na hawazikatai Ishara zetu isipo kuwa wenye kudhulumu.
050_00	Na walisema: Mbona hakuteremshiwa Ishara kutoka kwa Mola wake Mlezi? Sema: Ishara ziko kwake Mwenyezi Mungu; ama mimi kwa hakika ni mwonyaji mwenye kubainisha tu.
051_00	Je! Kwani hayakuwatosha ya kwamba tumekuteremshia Kitabu hiki wanacho somewa? Hakika katika hayo zipo rehema na mawaidha kwa watu wanao amini.
052_00	Sema: Mwenyezi Mungu anatosha kuwa ni Shahidi baina yangu na nyinyi.
052_01	Anayajua yaliomo katika mbingu na ardhi. Na wale wanao amini upotovu na wakamkataa Mwenyezi Mungu, hao ndio walio khasiri.
053_00	Na wanakuhimiza waletewe adhabu kwa haraka. Na lau kuwa hapana wakati maalumu ulio wekwa, basi adhabu ingeli wajia, na ingeli watokea kwa ghafla, na hali wao hawana khabari.
054_00	Wanakuhimiza waletewe adhabu kwa haraka, na hali Jahannamu kwa hakika imewazunguka makafiri!
055_00	Siku itapo wafunika adhabu hiyo kutoka juu yao na chini ya miguu yao, na atasema: Onjeni hayo mliyo kuwa mkiyatenda!
056_00	Enyi waja wangu mlio amini! Kwa hakika ardhi yangu ina wasaa. Basi niabuduni Mimi peke yangu.
057_00	Kila nafsi itaonja mauti. Kisha mtarudishwa kwetu.
058_00	Na ambao wameamini na wakatenda mema, bila ya shaka tutawaweka katika maghorofa ya Peponi yenye kupitiwa chini yake mito, wakidumu humo. Ni mwema ulioje huo ujira wa watendao, Â
059_00	Ambao walisubiri, na wakamtegemea Mola wao Mlezi.
060_00	Na wanyama wangapi hawawezi kujimilikia riziki zao! Mwenyezi Mungu anawaruzuku hao na nyinyi pia. Na Yeye ndiye Mwenye kusikia Mwenye kujua.
061_00	Na ukiwauliza; Nani aliye umba mbingu na ardhi na akafanya jua na mwezi kuti'ii amri yake? Bila ya shaka, watasema: Mwenyezi Mungu. Wapi basi wanako geuzwa?
062_00	Mwenyezi Mungu humkunjulia, na humdhikishia, riziki amtakaye katika waja wake. Kwa hakika Mwenyezi Mungu ni Mjuzi wa kila kitu.
063_00	Na ukiwauliza: Ni nani anaye teremsha maji kutoka mbinguni, na akaihuisha ardhi baada ya kufa kwake? Bila ya shaka watasema: Ni Mwenyezi Mungu.
063_01	Sema: Alhamdu Lillahi, Sifa njema zote ni za Mwenyezi Mungu. Bali wengi katika wao hawafahamu.
064_00	Na haya maisha ya dunia si chochote ila ni pumbao na mchezo. Na nyumba ya Akhera ndiyo maisha khasa; laiti wangeli kuwa wanajua!
065_00	Na wanapo panda katika marikebu, humwomba Mwenyezi Mungu kwa kumsafia ut'iifu. Lakini anapo wavua wakafika nchi kavu, mara wanamshirikisha.
066_00	Wapate kuyakanya tuliyo wapa, na wajistareheshe. Lakini watakuja jua!
067_00	Je! Hawaoni ya kwamba tumeifanya nchi takatifu ina amani, na hali watu wengine wananyakuliwa kote kwa majirani zao? Je! Wanaamini upotovu, na neema za Mwenyezi Mungu wanazikataa?
068_00	Na nani dhaalimu mkubwa kuliko yule anaye mzulia uwongo Mwenyezi Mungu au anaye kanusha Haki inapo mjia? Je! Si katika Jahannamu ndio yatakuwa makaazi ya makafiri?
069_00	Na wanao fanya juhudi kwa ajili yetu, Sisi tutawaongoa kwenye njia zetu. Na hakika Mwenyezi Mungu yu pamoja na watu wema.
