001_00	H'a Mim
036_00	Basi vyote mlivyo pewa ni starehe ya maisha ya dunia tu, lakini kilichoko kwa Mwenyezi Mungu ni bora, na cha kudumu kwa ajili ya walio amini, na wakawa wanamtegemea Mola wao Mlezi,
037_00	Na wanayo yaepuka madhambi makubwa na mambo machafu, na wanapo kasirika wao husamehe,
038_00	Na wanao mwitikia Mola wao Mlezi, na wakashika Sala, na mambo yao yakawa ni kwa kushauriana baina yao, na kutokana na tulicho waruzuku wakawa wanatoa,
039_00	Na ambao wanapo fanyiwa jeuri hujitetea.
040_00	Na malipo ya uovu ni uovu mfano wa huo. Lakini mwenye kusamehe, na akasuluhisha, basi huyo malipo yake yapo kwa Mwenyezi Mungu. Hakika Yeye hawapendi wenye kudhulumu.
041_00	Na wanao jitetea baada ya kudhulumiwa, hao hapana njia ya kuwalaumu.
042_00	Bali lawama ipo kwa wale wanao wadhulumu watu, na wanafanya jeuri katika nchi bila ya haki. Hao watapata adhabu iliyo chungu.
043_00	Na anaye subiri, na akasamehe, hakika hayo ni katika mambo ya kuazimiwa.
044_00	Na ambaye Mwenyezi Mungu amemwacha kupotea, hana mlinzi baada yake. Na utawaona wenye kudhulumu watakapo iona adhabu wanasema: Je! Ipo njia ya kurudi?
045_00	Na utawaona wanapelekwa kwenye Moto, nao wamenyenyekea kwa unyonge, wanatazama kwa mtazamo wa kificho.
045_01	Na walio amini watasema: Hakika wapatao khasara ni hao walio khasiri nafsi zao na ahali zao Siku ya Kiyama. Ama hakika wenye kudhulumu watakuwa katika adhabu ya daima.
046_00	Wala hawatakuwa na walinzi wa kuwanusuru mbele ya Mwenyezi Mungu. Na ambaye Mwenyezi Mungu amemwacha kupotea, hana njia yoyote.
047_00	Muitikieni Mola wenu Mlezi kabla haijafika siku isiyo epukika itokayo kwa Mwenyezi Mungu. Siku hiyo hamtakuwa pa kukimbilia wala hamtakuwa na cha kukingia.
048_00	Na wakipuuza, basi Sisi hatukukupeleka ili uwe mwangalizi wao. Si juu yako ila kufikisha Ujumbe tu.
048_01	Na hakika Sisi tukimwonjesha mtu rehema kutoka kwetu, huifurahia. Na akisibiwa na ovu kwa sababu ya iliyo yatanguliza mikono yao, basi hakika mtu huyu anakufuru.
049_00	Ufalme wa mbingu na ardhi ni wa Mwenyezi Mungu; anaumba apendavyo, anamtunukia amtakaye watoto wa kike, na anamtunukia amtakaye watoto wa kiume,
050_00	Au huwachanganya wanaume na wanawake, na akamfanya amtakaye tasa. Hakika Yeye ni Mjuzi Mwenye uweza.
051_00	Na haikuwa kwa mwanaadamu kwamba Mwenyezi Mungu amsemeze ila kwa Wahyi (Ufunuo), au kwa nyuma ya pazia, au kumtuma Mjumbe. Naye humfunulia ayatakayo kwa idhini yake. Hakika Yeye ni Mtukufu, Mwenye hikima.
052_00	Na namna hivi tumekufunulia Qur'ani kwa amri yetu. Ulikuwa hujui Kitabu ni nini, wala Imani.
052_01	Lakini tumekifanya kuwa ni Nuru ambayo kwayo tunammwongoa tumtakaye katika waja wetu. Na hakika wewe unaongoa kwenye Njia Iliyo Nyooka.
053_00	Njia ya Mwenyezi Mungu ambaye ni vyake Yeye tu viliomo mbinguni na katika ardhi. Jueni kuwa mambo yote yanarudi kwa Mwenyezi Mungu.
