001_00	H'a Mim
040_01	Atakaye tupwa Motoni ni bora au atakaye kuja kwa amani Siku ya Kiyama? Tendeni mpendavyo, kwa hakika Yeye anayaona mnayo yatenda.
041_00	Kwa hakika wanayo yakataa mawaidha haya yanapo wajia (wataangamia), na haya bila ya shaka ni Kitabu chenye nguvu na utukufu.
042_00	Hautakifikia upotovu mbele yake wala nyuma yake. Kimeteremshwa na Mwenye hikima, Msifiwa.
043_00	Huambiwi ila yale yale waliyo ambiwa Mitume wa kabla yako. Hakika Mola wako Mlezi bila ya shaka ni Mwenye maghfira, na ni Mwenye adhabu chungu.
044_00	Na lau tungeli ifanya Qur'ani kwa lugha ya kigeni wangeli sema: Kwanini Aya zake haziku pambanuliwa? Yawaje lugha ya kigeni na Mtume Mwaarabu?
044_01	Sema: Hii Qur'ani ni uwongofu na poza kwa wenye kuamini. Na wasio amini umo uziwi katika masikio yao, nayo kwao imezibwa hawaioni. Hao wanaitwa nao wako pahala mbali.
045_00	Na hakika tulimpa Musa Kitabu, lakini pakatokea khitilafu kati yake. Na lau kuwa halikwisha tangulia neno la Mola wako Mlezi wangeli hukumiwa. Na hakika wao wamo katika shaka yenye kuwatia wasiwasi.
046_00	Anaye tenda mema basi anajitendea mwenyewe nafsi yake, na mwenye kutenda uovu basi ni juu ya nafsi yake vile vile; wala Mola wako Mlezi si mwenye kuwadhulumu waja.
047_00	UJUZI wa kuijua Saa ya Kiyama unarudishwa kwake tu Mwenyezi Mungu. Na matunda hayatoki katika mafumba yake, wala mwanamke hachukui mimba, wala hazai, ila kwa kujua kwake.
047_01	Na siku atakayo waita, akawaambia: Wako wapi washirika wangu? Hapo watasema: Tunakiri kwako ya kwamba hapana miongoni mwetu anaye shuhudia hayo.
048_00	Na wakawapotea wale walio kuwa wakiwaomba hapo kwanza, na wakawa na yakini kuwa hawana pa kukimbilia.
049_00	Mwanaadamu hachoki kuomba dua za kheri, na inapo mpata shari, mara huvunjika moyo akakata tamaa.
050_00	Na pindi tukimwonjesha rehema itokayo kwetu baada ya kumgusa dhara, bila ya shaka husema: Haya nayastahiki mimi, wala sidhani kuwa Kiyama kitakuja.
050_01	Na hata nikirudishwa kwa Mola wangu Mlezi bila ya shaka nina mema yangu kwake! Basi kwa yakini tutawaelezea walio kufuru hayo waliyo yatenda, na kwa yakini tutawaonjesha adhabu ngumu.
051_00	Na tukimneemesha mwanaadamu hugeuka na kujitenga upande, na inapo mgusa shari, huwa na madua marefu marefu.
052_00	Sema: Mnaonaje! Ikiwa haya yanatoka kwa Mwenyezi Mungu, nanyi ikawa ndio mmeyakataa, ni nani aliye potea zaidi kuliko aliye katika upinzani wa mbali?
053_00	Tutawaonyesha Ishara zetu katika upeo wa mbali na katika nafsi zao wenyewe mpaka iwabainikie kwamba haya ni kweli. Je! Haikutoshi kwamba Mola wako Mlezi kuwa Yeye ni Shahidi wa kila kitu?
054_00	Ama wao wamo katika shaka ya kukutana na Mola wao Mlezi! Ama hakika Yeye amekizunguka kila kitu.
