001_00	Alif Lam Raa. Hizi ni Aya za Kitabu kinacho bainisha.
017_00	Wakasema: Ewe baba yetu! Hakika tulikwenda kushindana na tukamwacha Yusuf penye vitu vyetu. Basi mbwa mwitu akamla. Lakini wewe hutuamini ijapo kuwa tunasema kweli.
018_00	Wakaja na kanzu yake ina damu ya uwongo. Akasema: Bali nafsi zenu zimekushawishini kutenda kitendo. Lakini subira ni njema; na Mwenyezi Mungu ndiye wa kuombwa msaada kwa haya mnayo yaeleza.
019_00	Ukafika msafara, wakamtuma mchota maji wao, naye akatumbukiza ndoo yake. Alisema: Kheri Inshallah! Huyu hapa mvulana! Wakamficha ili kumfanya ni bidhaa. Na Mwenyezi Mungu ni Mjuzi wa wanayo yatenda.
020_00	Na wakamuuza kwa thamani duni, kwa akali ya pesa. Wala hawakuwa na haja naye.
021_00	Na yule aliye mnunua huko Misri alimwambia mkewe: Mtengenezee makaazi ya hishima huyu; huenda akatufaa au tukamfanya mwenetu.
021_01	Na kama hivyo tulimweka Yusuf katika nchi ili tumfundishe kufasiri mambo. Na Mwenyezi Mungu ndiye Mwenye kushinda katika jambo lake, lakini watu wengi hawajui.
022_00	Na alipo fikilia utu uzima tulimpa hukumu na ilimu. Na kama hivi tunawalipa wanao tenda mema.
023_00	Na yule bibi wa nyumba aliyo kuwamo Yusuf alimtamani kinyume cha nafsi yake, na akafunga milango. Akamwambia: Njoo!
023_01	Yusuf akasema: Audhubillahi! Najikinga na Mwenyezi Mungu. Huyu bwana wangu kaniweka maskani nzuri, na hakika wenye kudhulumu hawatengenekewi.
024_00	Na hakika yule mwanamke alimtamani, na Yusuf angeli mtamani lau kuwa hakuona ishara ya Mola wake Mlezi. Hayo hivyo ni kwa ajili tumuepushe na uovu na uchafu. Hakika yeye alikuwa katika waja wetu walio safishwa.
025_00	Na wote wawili wakakimbilia mlangoni, na mwanamke akairarua kanzu yake Yusuf kwa nyuma.
025_01	Na wakamkuta bwana wake mlangoni. Mwanamke akasema: Hapana malipo ya mwenye kutaka kumfanyia maovu mkeo isipo kuwa kufungwa au kupewa adhabu chungu.
026_00	Yusuf akasema: Yeye ndiye aliye nitaka bila ya mimi kumtaka. Na shahidi aliye kuwa katika jamaa za mwanamke alisema: Ikiwa kanzu yake imechanwa mbele basi mwanamke amesema kweli, naye Yusuf ni katika waongo.
027_00	Na ikiwa kanzu yake imechanwa nyuma, basi mwanamke amesema uwongo, naye Yusuf ni katika wakweli.
028_00	Basi yule bwana alipoona kanzu yake imechanwa kwa nyuma, alisema: Hakika haya ni katika vitimbi vyenu wanawake. Bila ya shaka vitimbi vyenu ni vikuu.
029_00	Yusuf! Wachilia mbali haya. Na wewe, mwanamke, omba msamaha kwa dhambi zako. Kwa hakika wewe ni katika walio fanya makosa.
030_00	Na wanawake wa mjini wakawa wanasema: Mke wa Mheshimiwa anamtamani mtumishi wake! Hakika amesalitika kwa mapenzi. Sisi hakika tunamwona yumo katika upotovu ulio dhaahiri.
031_00	Alipo sikia yule bibi masengenyo yao aliwaita, na akawawekea matakia ya kuegemea, na akampa kila mmoja wao kisu. Akamwambia Yusuf: Tokeza mbele yao. Basi walipo mwona waliona ni kitu kikubwa kabisa, na wakajikata mikono yao.
031_01	Wakasema: Hasha Lillahi! Huyu si mwanaadamu. Hakuwa huyu ila ni Malaika mtukufu.
032_00	Yule bibi aksema: Huyu basi ndiye huyo mliye nilaumia!
032_01	Na kweli mimi nilimtaka naye akakataa. Na akitofanya ninayo muamrisha basi hapana shaka atafungwa gerezani, na atakuwa miongoni mwa walio chini kabisa.
033_00	Yusuf akasema: Ee Mola Mlezi wangu! Nastahabu kifungo kuliko haya anayo niitia. Na usipo niondoshea vitimbi vya wanawake mimi nitamili kwao, na nitakuwa katika wajinga.
034_00	Basi Mola wake Mlezi akamwitikia, na akamwondoshea vitimbi vyao. Hakika Yeye ni Msikizi Mjuzi.
035_00	Basi ikawadhihirikia baada ya kuona Ishara kuwa wamfunge kwa muda.
036_00	Wakaingia gerezani pamoja naye vijana wawili. Mmoja wao akasema: Hakika mimi nimeota nakamua mvinyo.
036_01	Na mwingine akasema: Mimi nimeota nimebeba mikate juu ya kichwa changu, na ndege wanaila. Hebu tuambie tafsiri yake, kwani sisi tunakuona wewe ni katika watu wema.
037_00	Akasema: Hakitakufikilieni chakula mtakacho pewa ila nitakwambieni hakika yake kabla hakijakufikieni.
037_01	Haya ni katika yale aliyo nifundisha Mola wangu Mlezi. Hakika mimi nimeacha mila ya watu wasio muamini Mwenyezi Mungu, na wakawa hawaiamini Akhera.
038_00	Na nimefuata mila ya baba zangu, Ibrahim, na Is-haq, na Yaa'qub.
038_01	Hatuna haki ya kumshirikisha Mwenyezi Mungu na chochote. Hiyo ni katika fadhila ya Mwenyezi Mungu juu yetu na juu ya watu; lakini watu wengi hawashukuru.
039_00	Enyi wafungwa wenzangu wawili! Je, mabwana wengi wanao farikiana wao kwa wao ni bora au Mwenyezi Mungu Mmoja Mwenye nguvu?
040_00	Hamuabudu badala yake ila majina tu mliyo yapanga nyinyi na baba zenu. Mwenyezi Mungu hakuyateremshia hayo uthibitisho wowote. Hapana hukumu ila ya Mwenyezi Mungu tu.
040_01	Yeye ameamrisha msimuabudu yeyote isipo kuwa Yeye tu. Hiyo ndiyo Dini Iliyo Nyooka. Lakini watu wengi hawajui.
041_00	Enyi wafungwa wenzangu wawili! Ama mmoja wenu atamnywesha bwana wake mvinyo.
041_01	Na ama mwengine atasulubiwa, na ndege watamla kichwa chake. Imekwisha katwa hukumu ya hilo jambo mlilo kuwa mkiuliza.
042_00	Na akamwambia yule aliye jua kuwa atavuka katika wale wawili: Nikumbuke kwa bwana wako. Lakini Shet'ani alimsahaulisha kumtaja kwa bwana wake. Basi Yusuf akakaa gerezani miaka kadhaa.
043_00	Na siku moja mfalme alisema: Hakika mimi nimeota ng'ombe saba wanene wanaliwa na ng'ombe saba walio konda. Na mashuke saba mabichi na mengine makavu.
043_01	Enyi waheshimiwa! Nambieni maana ya ndoto zangu, ikiwa nyinyi mnaweza kuagua ndoto.
044_00	Wakasema: Hizi ni ndoto zilizo paraganyika, wala sisi sio wenye kujua tafsiri ya ndoto hizi.
045_00	Hapo akasema yule aliye okoka katika wale wawili akakumbuka baada ya muda: Mimi nitakwambieni tafsiri yake. Basi nitumeni.
046_00	Yusuf! Ewe mkweli!
046_01	Tueleze nini maana ya ng'ombe saba wanene kuliwa na ng'ombe saba walio konda. Na mashuke saba mabichi na mengine makavu, ili nirejee kwa watu wapate kujua.
047_00	Akasema: Mtalima miaka saba kwa juhudi. Mtacho vuna kiwacheni katika mashuke yake, isipo kuwa kidogo mtacho kula.
048_00	Kisha itakuja baadaye miaka saba ya shida itakayo kula kile mlicho iwekea isipo kuwa kidogo mtacho kihifadhi.
049_00	Kisha baada ya haya utakuja mwaka ambao katika mwaka huo watu watasaidiwa, na watakamua.
050_00	Na mfalme akasema: Mleteni kwangu!
050_01	Basi mjumbe alipo mjia Yusuf alisema: Rejea kwa bwana wako ukamuulize khabari ya wale wanawake walio jikata mikono yao. Hakika Mola wangu Mlezi anazijua vyema hila zao.
051_00	Mfalme alisema: Mlikuwa mna nini mlipo mtaka Yusuf kinyume na nafsi yake? Wakasema: Hasha Lillahi!
051_01	Sisi hatukujua ubaya wowote kwake. Mke wa Mheshimiwa akasema: Sasa haki imedhihiri. Mimi ndiye niliye mtaka kinyume na nafsi yake, na hakika yeye ni katika wakweli.
052_00	Hayo ni apate kujua ya kwamba mimi sikumfanyia khiyana nyuma yake; na ya kwamba Mwenyezi Mungu haziongoi hila za makhaini.
053_00	NAMI sijitoi lawamani. Kwa hakika nafsi ni mno kuamrisha maovu, isipo kuwa ile ambayo Mola wangu Mlezi aliyo irehemu. Hakika Mola wangu Mlezi ni Msamehevu na Mwenye kurehemu.
054_00	Basi mfalme akasema: Mleteni kwangu, awe wangu mwenyewe khasa. Basi alipo msemeza alinena: Hakika wewe leo umekwisha tamakani kwetu na umeaminika.
055_00	Yusuf akasema: Nifanye mshika khazina za nchi. Kwani hakika mimi ni mlinzi mjuzi.
056_00	Basi namna hivi tukampa Yusuf cheo katika nchi; anakaa humo popote anapo penda. Tunamfikishia rehema zetu tumtakaye, wala hatupuuzi malipo ya wafanyao mema.
057_00	Na hakika malipo ya Akhera ni bora zaidi, kwa walio amini na wakawa wachamngu.
058_00	Wakaja ndugu zake Yusuf, na wakaingia kwake. Yeye akawajua na wao hawakumjua.
059_00	Na alipo watengenezea tayari haja yao alisema: Nileteeni ndugu yenu kwa baba. Je! Hamwoni ya kwamba mimi ninatimiza kipimo, nami ni mbora wa kukirimu?
060_00	Na msipo niletea basi hampati kipimo chochote kwangu, wala msinikurubie.
061_00	Wakasema: Sisi tutamrairai baba yake; na bila ya shaka tutafanya hayo.
062_00	Na Yusuf akawaambia watumishi wake: Tieni bidhaa zao katika mizigo yao, ili wazione watakapo rudi kwa watu wao wapate kurejea tena.
063_00	Basi walipo rejea kwa baba yao, walisema: Ewe baba yetu! Tumenyimwa chakula zaidi, basi mpeleke nasi ndugu yetu ili tupate kupimiwa; na yakini sisi tutamlinda.
064_00	Je, nikuaminini kwa huyu ila kama nilivyo kuaminini kwa nduguye zamani? Lakini Mwenyezi Mungu ndiye Mbora wa kulinda, naye ndiye Mbora wa kurehemu kuliko wenye kurehemu wote.
065_00	Na walipo fungua mizigo yao wakakuta bidhaa zao wamerudishiwa. Wakasema: Ewe baba yetu! Tutake nini zaidi?
065_01	Hizi bidhaa zetu tumerudishiwa. Wacha tuwaletee watu wetu chakula, na tutamlinda ndugu yetu, na tutaongeza shehena ya ngamia. Na hicho ni kipimo kidogo.
066_00	Akasema: Sitampeleka nanyi mpaka mnipe ahadi kwa Mwenyezi Mungu kwamba lazima mtamrejeza kwangu, ila ikiwa mmezungukwa.
066_01	Basi walipo mpa ahadi yao alisema: Mwenyezi Mungu ndiye Mtegemewa kwa tuyasemayo.
067_00	Na akasema: Enyi wanangu! Msiingie mlango mmoja, bali ingieni kwa milango mbali mbali.
067_01	Wala mimi sikufaeni kitu mbele ya Mwenyezi Mungu. Hukumu haiko ila kwa Mwenyezi Mungu tu. Juu yake Yeye mimi nimetegemea, na juu yake Yeye wategemee wanao tegemea.
068_00	Na walipo ingia kama alivyo waamrisha baba yao, haikuwafaa kitu kwa Mwenyezi Mungu, isipo kuwa ni haja tu iliyo kuwa katika nafsi ya Yaa'qub aliitimiza.
068_01	Na hakika yeye alikuwa na ilimu kwa sababu tulimfundisha; lakini watu wengi hawajui.
069_00	Na walipo ingia kwa Yusuf alimchukua nduguye akasema: Mimi hakika ni nduguyo. Basi usihuzunike kwa waliyo kuwa wakiyafanya.
070_00	Na alipo kwisha watengenezea mahitaji yao akakitia kikopo cha kunywea maji katika mzigo wa nduguye huyo, kisha mnadi akanadi: Enyi wasafiri! Hapana shaka nyinyi ni wezi!
071_00	Wakasema nao wamewakabili: Kwani mmepoteza nini?
072_00	Wakasema: Tumepoteza kopo la mfalme. Na ataye lileta atapewa shehena nzima ya ngamia. Nami ni dhaamini wa hayo.
073_00	Wakasema: Wallahi! Mnajua vyema kwamba sisi hatukuja kufanya uharibifu katika nchi hii, wala sisi si wezi.
074_00	Wakasema: Basi malipo yake yatakuwa nini ikiwa nyinyi ni waongo?
075_00	Wakasema: Malipo yake ni yule ambaye ataonekana nalo yeye huyo ndiye malipo yake. Hivi ndivyo tunavyo walipa madhaalimu.
076_00	Basi akaanza kwenye mizigo yao kabla ya mzigo wa nduguye. Kisha akakitoa katika mzigo wa nduguye.
076_01	Hivi ndivyo tulivyo mpangia Yusuf. Hakuweza kumzuia nduguye kwa sharia ya mfalme isipo kuwa alivyo taka Mwenyezi Mungu. Tunawatukuza kwenye vyeo tuwatakao; na juu ya kila ajuaye yupo ajuaye zaidi.
077_00	Wakasema: Ikiwa huyu ameiba, basi nduguye vile vile aliiba zamani.
077_01	Lakini Yusuf aliyaweka siri moyoni mwake wala hakuwaonyesha. Akawaambia: Nyinyi mko katika hali mbaya zaidi, na Mwenyezi Mungu anajua zaidi hayo mnayo singizia.
078_00	Wakasema: Ewe Mheshimiwa! Huyu anaye baba mzee sana. Kwa hivyo mchukue mmoja wetu badala yake. Hakika sisi tunakuona wewe ni katika watu wema.
079_00	Akasema: Mwenyezi Mungu apishe mbali kumshika yeyote yule isipo kuwa tuliye mkuta naye kitu chetu. Hivyo basi tutakuwa wenye kudhulumu.
080_00	Walipo kata tamaa naye wakenda kando kunong'ona.
080_01	Mkubwa wao akasema: Je! Hamjui ya kwamba baba yenu amechukua ahadi kwenu kutokana na Mwenyezi Mungu, na kabla ya hapo mlimkosa katika agano lenu juu ya Yusuf?
080_02	Basi mimi sitotoka nchi hii mpaka baba yangu anipe ruhusa au Mwenyezi Mungu anihukumie. Na Yeye ndiye Mbora wa mahakimu.
081_00	Rudini kwa baba yenu, na mwambieni: Ee baba yetu! Mwanao ameiba. Na sisi hatutoi ushahidi ila kwa tunayo yajua. Wala sisi hatukuwa wenye kuhifadhi mambo ya ghaibu.
082_00	Na waulize watu wa mji tulio kuwako, na msafara tulio kuja nao. Na hakika sisi tunasema kweli.
083_00	Akasema: Bali nafsi zenu zimekushawishini kwenye jambo fulani. Subira ni njema! Asaa Mwenyezi Mungu akaniletea wote pamoja. Hakika Yeye ni Mjuzi Mwenye hikima.
084_00	Naye akajitenga nao, na akasema: Ah! Masikini Yusuf! Na macho yake yakawa meupe kwa huzuni aliyo kuwa akiizuia.
085_00	Wakasema: Wallahi! Huachi kumkumbuka Yusuf mpaka uwe mgonjwa au uwe katika walio hiliki.
086_00	Akasema: Hakika mimi namshitakia Mwenyezi Mungu sikitiko langu na huzuni yangu. Na ninajua kwa Mwenyezi Mungu msiyo yajua nyinyi.
087_00	Enyi wanangu! Nendeni mkamtafute Yusuf na nduguye, wala msikate tamaa na faraji ya Mwenyezi Mungu. Hakika hawakati tamaa na faraji ya Mwenyezi Mungu isipo kuwa watu makafiri.
088_00	Basi walipo ingia kwa Yusuf walisema: Ewe Mheshimiwa! Imetupata shida, sisi na watu wetu.
088_01	Na tumeleta mali kidogo. Basi tupimie kipimo na fanya kama unatupa sadaka. Hakika Mwenyezi Mungu huwalipa watoao sadaka.
089_00	Akasema: Je! Mmejua mliyo mfanyia Yusuf na nduguye mlipo kuwa wajinga?
090_00	Wakasema: Kumbe wewe ndiye Yusuf? Akasema: Mimi ndiye Yusuf, na huyu ni ndugu yangu.
090_01	Mwenyezi Mungu ametufanyia hisani. Hakika anaye mcha Mungu na akasubiri, basi Mwenyezi Mungu haachi ukapotea ujira wa wafanyao mema.
091_00	Wakasema: Wallahi! Mwenyezi Mungu amekufadhilisha wewe kuliko sisi, na hakika sisi tulikuwa wenye kukosa.
092_00	Akasema: Leo hapana lawama juu yenu. Mwenyezi Mungu atakusameheni, naye ni Mwingi wa kurehemu kuliko wote wanao rehemu.
093_00	Nendeni na kanzu yangu hii na mumwekee usoni baba yangu, atakuwa mwenye kuona. Na mje nao watu wenu wote wa nyumbani.
094_00	Na ulipo ondoka tu msafara baba yao alisema: Hakika mimi nasikia harufu ya Yusuf, lau kuwa hamtanituhumu.
095_00	Wakasema: Wallahi! Hakika bado ungali katika upotovu wako wa zamani.
096_00	Basi alipo fika mbashiri na akaiweka kanzu usoni pake alirejea kuona. Akasema: Je! Sikukwambieni kuwa mimi najua ya Mwenyezi Mungu msiyo yajua nyinyi?
097_00	Wakasema: Ee baba yetu! Tuombee msamaha kwa dhambi zetu. Hapana shaka sisi tulikuwa na makosa.
098_00	Akasema: Nitakuja kuombeeni msamaha kwa Mola wangu Mlezi. Hakika Yeye ndiye Mwenye maghfira na Mwenye kusamehe.
099_00	Na walipo ingia kwa Yusuf aliwakumbatia wazazi wake na akasema: Ingieni Misri, Inshallah, mmo katika amani.
100_00	Na akawapandisha wazazi wake kwenye kiti cha enzi. Na wote wakaporomoka kumsujudia. Na akasema: Ewe baba yangu!
100_01	Hii ndiyo tafsiri ya ile ndoto yangu ya zamani. Na Mwenyezi Mungu ameijaalia iwe kweli. Na Mwenyezi Mungu amenifanyia wema kunitoa gerezani, na kukuleteni kutoka jangwani baada ya Shet'ani kuchochea baina yangu na ndugu zangu.
100_02	Hakika Mola wangu Mlezi ni Mpole kwa alitakalo. Bila ya shaka Yeye ni Mjuzi Mwenye hikima.
101_00	Ewe Mola wangu Mlezi! Hakika umenipa utawala, na umenifunza tafsiri ya mambo. Ewe Muumba wa mbingu na ardhi!
101_01	Wewe ndiye Mlinzi wangu katika dunia na Akhera. Nifishe hali ya kuwa ni Muislamu na nichanganyishe na watendao mema.
102_00	Hizi ni katika khabari za ghaibu tulizo kufunulia. Na hukuwa pamoja nao walipo azimia shauri yao, walipo fanya njama zao wakizua vitimbi.
103_00	Na wengi wa watu si wenye kuamini hata ukijitahidi vipi..
104_00	Wala wewe huwaombi ujira kwa haya. Hayakuwa haya ila ni mawaidha kwa walimwengu wote.
105_00	Na ishara ngapi katika mbingu na ardhi wanazo zipitia, na hali ya kuwa wanazipuuza.
106_00	Na wengi katika wao hawamuamini Mwenyezi Mungu pasina kuwa ni washirikina.
107_00	Je! Wanaaminisha kuwa haitowajia adhabu ya Mwenyezi Mungu ya kuwagubika, au haitawafikia Saa ya Kiyama kwa ghafla, na hali hawatambui?
108_00	Sema: Hii ndiyo Njia yangu - ninalingania kwa Mwenyezi Mungu kwa kujua - mimi na wanao nifuata. Na ametakasika Mwenyezi Mungu! Wala mimi si katika washirikina.
109_00	Na hatukuwatuma Mitume kabla yako isipo kuwa wanaume tulio wafunulia wahyi miongoni mwa watu wa mijini. Je!
109_01	Hawatembei katika ardhi wakaona jinsi ulivyo kuwa mwisho wa walio kuwa kabla yao? Na hakika nyumba ya Akhera ni bora kwa wamchao Mungu. Basi hamfahamu?
110_00	Hata Mitume walipo kata tamaa na wakaona kuwa wamekadhibishwa, hapo ikawajia nusura yetu, wakaokolewa tuwatakao. Na adhabu yetu haitowawacha kaumu ya wakosefu.
111_00	Kwa hakika katika hadithi zao limo zingatio kwa wenye akili.
111_01	Si maneno yaliyo zuliwa, bali ni ya kusadikisha yaliyo kabla yake, na ufafanuzi wa kila kitu, na ni uwongofu na rehema kwa kaumu yenye kuamini.
