001_00	H'a, Mim.
039_00	Enyi watu wangu! Hakika haya maisha ya dunia ni starehe ipitayo tu, na hakika Akhera ndiyo nyumba ya daima.
040_00	Mwenye kutenda uovu hatalipwa ila sawa na huo uwovu wake, na anaye tenda wema, akiwa
040_01	mwanamume au mwanamke, naye ni Muumini, basi hao wataingia Peponi, waruzukiwe humo bila ya hisabu.
041_00	Na enyi watu wangu! Kwa nini mimi nakuiteni kwenye uwokofu, nanyi mnaniita kwenye Moto?
042_00	Mnaniita nimkufuru Mwenyezi Mungu na nimshirikishe na yule ambaye simjui, nami nakuiteni kwa Mwenye nguvu Mwenye kusamehe?
043_00	Bila ya shaka mnaye niitia kumuabudu hastahiki wito duniani wala Akhera. Na hakika marejeo yetu ni kwa Mwenyezi Mungu. Na wanao pindukia mipaka ndio watu wa Motoni!
044_00	Basi mtayakumbuka ninayo kuambieni. Nami namkabidhi Mwenyezi Mungu mambo yangu. Hakika Mwenyezi Mungu anawaona waja wake.
045_00	Basi Mwenyezi Mungu akamlinda na ubaya wa hila walizo zifanya. Na adhabu mbaya itawazunguka watu wa Firauni.
046_00	Wanaonyeshwa Moto asubuhi na jioni. Na itapo fika Saa ya Kiyama patasemwa: Waingizeni watu wa Firauni katika adhabu kali kabisa!
047_00	Na watapo hojiana huko Motoni, wanyonge watawaambia walio jitukuza: Hakika sisi tulikuwa wafuasi wenu, basi je, hamtuondolei sehemu ya huu Moto?
048_00	Watasema walio jitukuza: Hakika sote sisi tumo humo humo! Kwani Mwenyezi Mungu kesha hukumu baina ya waja!
049_00	Na walio Motoni watawaambia walinzi wa Jahannamu: Mwombeni Mola wenu Mlezi atupunguzie walau siku moja ya adhabu.
050_00	Nao watasema: Je! Hawakuwa wakikufikieni Mitume wenu kwa hoja zilio wazi? Watasema: Kwani? Watasema: Basi ombeni! Na maombi ya makafiri hayawi ila ni kupotea bure.
051_00	Hakika bila ya shaka Sisi tunawanusuru Mitume wetu na walio amini katika uhai wa duniani na siku watapo simama Mashahidi,
052_00	Siku ambayo hautawafaa madhaalimu udhuru wao, nao watapata laana, na watapata makaazi mabaya kabisa.
053_00	Na kwa hakika tulimpa Musa uwongofu, na tukawarithisha Wana wa Israili Kitabu,
054_00	Ambacho ni Uwongofu na Ukumbusho kwa wenye akili.
055_00	Basi subiri. Hakika ahadi ya Mwenyezi Mungu ni kweli. Na omba msamaha kwa dhambi zako, na umtakase Mola wako Mlezi kwa kumhimidi jioni na asubuhi.
056_00	Hakika hao wanao bishana katika Ishara za Mwenyezi Mungu bila ya uthibitisho wowote uliyo wajia, hawana vifuani mwao ila kutaka ukubwa tu, na wala huo hawaufikilii.
056_01	Basi jikinge kwa Mwenyezi Mungu. Hakika Yeye ni Mwenye kusikia, Mwenye kuona.
057_00	Bila ya shaka kuumba mbingu na ardhi ni kukubwa zaidi kuliko kuwaumba watu. Lakini watu wengi hawajui.
058_00	Na kipofu na mwenye kuona hawalingani; na walio amini na watendao mema hawalingani na muovu. Ni machache mnayo yakumbuka.
059_00	Hakika Saa (ya Kiyama) itafika, nayo haina shaka. Lakini watu wengi hawaamini.
060_00	Na Mola wenu Mlezi anasema: Niombeni nitakuitikieni. Kwa hakika wale ambao wanajivuna na kuniabudu Mimi wataingia Jahannamu wadhalilike.
061_00	Mwenyezi Mungu aliye kufanyieni usiku ili mpate kutulia humo, na mchana wa kuonea. Hakika Mwenyezi Mungu bila ya shaka ni Mwenye fadhila juu ya watu, lakini watu wengi hawashukuru.
062_00	Huyo ndiye Mwenyezi Mungu Mola wenu Mlezi, Muumba wa kila kitu. Hapana mungu ila Yeye; basi mnageuzwa wapi?
063_00	Namna hivi ndivyo walivyo geuzwa walio kuwa wakizikataa Ishara za Mwenyezi Mungu.
064_00	Ni Mwenyezi Mungu aliye kufanyieni ardhi kuwa ni pahala pa kukaa, na mbingu kuwa dari. Na akakutieni sura, na akazifanya nzuri sura zenu, na akakuruzukuni vitu vizuri.
064_01	Huyo ndiye Mwenyezi Mungu Mola wenu Mlezi. Basi ametukuka Mwenyezi Mungu Mola Mlezi wa walimwengu wote.
065_00	Yeye ndiye aliye Hai - hapana mungu isipo kuwa Yeye. Basi muabuduni Yeye mkimsafishia Dini Yeye. Sifa njema zote ni za Mwenyezi Mungu, Mola Mlezi wa walimwengu wote.
066_00	Sema: Mimi nimekatazwa kuwaabudu hao mnao waomba badala ya Mwenyezi Mungu, zilipo nijia hoja zilizo dhaahiri kutokana na Mola wangu Mlezi. Na nimeamrishwa nisilimu kwa Mola wa walimwengu wote.
067_00	Yeye ndiye aliye kuumbeni kwa udongo, kisha kwa tone la manii, kisha kwa pande la damu, kisha akakutoeni katika hali ya mtoto mchanga, kisha mpate kufikilia utu uzima, kisha mpate kuwa wazee.
067_01	Na kati yenu wapo wanao kufa kabla, na ili mfikie muda ulio kwisha wekwa, na ili mpate kufahamu.
068_00	Yeye ndiye anaye huisha na anaye fisha. Akihukumu jambo liwe, basi huliambia: Kuwa! Likawa.
069_00	Je! Huwaoni wale wanao bishana katika Ishara za Mwenyezi Mungu? Wanageuziwa wapi?
070_00	Ambao wamekanusha Kitabu na yale tuliyo watuma Mitume wetu. Basi watakuja jua.
071_00	Zitakapo kuwa pingu shingoni mwao na minyororo, huku wanabururwa
072_00	Katika maji ya moto, kisha wanaunguzwa Motoni,
073_00	Tena wataambiwa: Wako wapi mlio kuwa mkiwashirikisha
074_00	Badala ya Mwenyezi Mungu? Watasema: Wametupotea, bali tangu zamani hatukuwa tukiomba kitu! Hivyo ndivyo Mwenyezi Mungu anawaachia makafiri wapotelee mbali.
075_00	Haya ni kwa sababu mlikuwa mkijitapa katika ardhi pasipo haki, na kwa sababu mlikuwa mkijishaua.
076_00	Ingieni kwenye milango ya Jahannamu, mdumu humo milele. Basi ni maovu yaliyoje makaazi ya wanao takabari!
077_00	Basi subiri, hakika ahadi ya Mwenyezi Mungu ni ya kweli. Na ama tukikuonyesha baadhi ya yale tuliyo waahidi au tukikufisha, lakini wao watarudishwa kwetu tu.
078_00	Na bila ya shaka tuliwatuma Mitume kabla yako. Wengine katika hao tumekusimulia khabari zao, na wengine hatukukusimulia.
078_01	Na haiwi Mtume alete Ishara yoyote ila kwa idhini ya Mwenyezi Mungu. Basi ikija amri ya Mwenyezi Mungu huhukumiwa kwa Haki, na hapo wapotofu watakhasiri.
079_00	Mwenyezi Mungu aliye kujaalieni nyama hoa, mifugo, ili muwapande baadhi yao, na muwale baadhi yao.
080_00	Na katika hao mnayo manufaa kadhaa wa kadhaa, na mnapata kwao haja ziliomo vifuani mwenu; na mnachukuliwa juu yao, na juu ya marikebu.
081_00	Naye anakuonyesheni Ishara zake. Basi Ishara gani za Mwenyezi Mungu mnazo zikataa?
082_00	Kwani hawatembei katika ardhi wakaona ulikuwaje mwisho wa walio kuwa kabla yao?
082_01	Wao walikuwa wengi kuliko hawa, na wamewashinda kwa nguvu na athari katika nchi. Wala hayakuwafaa hayo waliyo kuwa wakiyachuma.
083_00	Walipo wajia Mitume wao kwa dalili zilizo wazi walijitapa kwa ilimu waliyo kuwa nayo. Basi yakawazunguka waliyo kuwa wakiyafanyia maskhara.
084_00	Walipo iona adhabu yetu walisema: Tumemuamini Mwenyezi Mungu kuwa ni wa pekee, na tunaikataa miungu tuliyo kuwa tukiishirikisha naye.
085_00	Lakini imani yao haikuwa yenye kuwafaa kitu wakati ambao wamekwisha iona adhabu yetu. Huu ndio mwendo wa Mwenyezi Mungu ulio kuwa kwa waja wake. Na hapo walio kufuru walikhasiri.
