001_00	Enyi mlio amini! Timizeni ahadi. Mmehalalishiwa wanyama wa mifugo, ila wale mnao tajiwa.
020_01	Kumbukeni neema za Mwenyezi Mungu zilizo juu yenu, alipo wateuwa Manabii kati yenu, na akakufanyeni watawala, na akakupeni ambayo hakuwapa wowote katika walimwengu.
021_00	Enyi watu wangu! Ingieni katika nchi takatifu ambayo Mwenyezi Mungu amekuandikieni. Wala msirudi nyuma, msije mkawa wenye kukhasirika.
022_00	Wakasema: Ewe Musa! Huko wako watu majabari. Nasi hatutaingia huko mpaka wao watoke humo. Wakitoka humo hapo tutaingia.
023_00	Watu wawili miongoni mwa wachamngu ambao Mwenyezi Mungu amewaneemesha, walisema: Waingilieni kwa mlangoni.
023_01	Mtakapo waingilia basi kwa yakini nyinyi mtashinda. Na mtegemeeni Mwenyezi Mungu ikiwa nyinyi ni Waumini.
024_00	Wakasema: Ewe Musa! Sisi hatutaingia humo kamwe maadamu wao wamo humo. Basi nenda wewe na Mola wako Mlezi mkapigane. Sisi tutakaa hapa hapa.
025_00	Akasema: Mola wangu Mlezi! Hakika mimi similiki ila nafsi yangu na ndugu yangu. Basi tutenge na hawa watu wapotovu.
026_00	(Mwenyezi Mungu) akasema: Basi nchi hiyo wameharimishiwa muda wa miaka arubaini, watakuwa wakitanga-tanga katika ardhi. Basi wewe usiwasikitikie watu wapotovu.
027_00	Na wasomee khabari za wana wawili wa Adam kwa kweli. Walipo toa mhanga, ukakubaliwa wa mmoja wao, na wa mwengine haukukubaliwa.
027_01	Akasema: Nitakuuwa. Akasema mwengine: Mwenyezi Mungu huwapokelea wachamngu.
028_00	Ukininyooshea mkono wako kuniuwa, mimi sitakunyooshea mkono wangu kukuuwa. Hakika mimi namwogopa Mwenyezi Mungu, Mola wa walimwengu wote.
029_00	Mimi nataka ubebe dhambi zangu na dhambi zako, kwani wewe utakuwa miongoni mwa watu wa Motoni. Na hayo ndiyo malipo ya wenye kudhulumu.
030_00	Basi nafsi yake ikampelekea kumuuwa nduguye, akamuuwa na akawa miongoni mwa wenye kukhasirika.
031_00	Hapo Mwenyezi Mungu akamleta kunguru anaye fukua katika ardhi ili amwonyeshe vipi kumsitiri nduguye. Akasema: Ole wangu!
031_01	Nimeshindwa kuwa kama kunguru huyu nikamsitiri ndugu yangu? Basi akawa miongoni mwa wenye kujuta.
032_00	Kwa sababu ya hayo tuliwaandikia Wana wa Israili ya kwamba aliye muuwa mtu bila ya yeye kuuwa, au kufanya uchafuzi katika nchi, basi ni kama amewauwa watu wote.
032_01	Na mwenye kumuokoa mtu na mauti ni kama amewaokoa watu wote.
032_02	Na hakika waliwajia Mitume wetu na hoja zilizo wazi. Kisha wengi katika wao baada ya haya wakawa waharibifu katika nchi.
033_00	Basi malipo ya wale wanao mpiga vita Mwenyezi Mungu na Mtume wake na wakawania kufanya uchafuzi katika nchi, ni kuuwawa, au kusalibiwa, au kukatwa mikono yao na miguu yao kwa mabadilisho, au kutolewa nchi.
033_01	Hii ndiyo hizaya yao katika dunia; na katika Akhera watapata adhabu kubwa.
034_00	Isipo kuwa wale walio tubu kabla hamjawatia nguvuni. Na jueni kwamba Mwenyezi Mungu ni Mwenye maghfira na Mwenye kurehemu.
035_00	Enyi mlio amini! Mcheni Mwenyezi Mungu, na tafuteni njia ya kumfikilia. Na wanieni kwa juhudi kwa ajili yake ili mpate kuokoka.
036_00	Hakika walio kufuru lau wange kuwa na yote yaliyomo duniani, na mengine kama hayo, ili watoe
036_01	fidia ya kuepukana na adhabu ya Siku ya Kiyama, yasingeli pokelewa kwao; na watapata adhabu chungu.
037_00	Watataka watoke Motoni, lakini hawatatoka humo, na watakuwa na adhabu inayo dumu.
038_00	Na mwizi mwanamume na mwizi mwanamke, ikateni mikono yao, hayo ni malipo ya waliyo yachuma, ndiyo adhabu ya mfano itokayo kwa Mwenyezi Mungu. Na Mwenyezi Mungu ni Mwenye nguvu na Mwenye hikima.
039_00	Lakini mwenye kutubia baada ya dhulma yake, na akatengenea, basi Mwenyezi Mungu atapokea toba yake. Hakika Mwenyezi Mungu ni Mwenye maghfira na Mwenye kurehemu.
040_00	Hujui ya kwamba Mwenyezi Mungu anao ufalme wa mbingu na ardhi? Humuadhibu amtakaye, na humsamehe amtakaye. Na Mwenyezi Mungu ni Muweza wa kila kitu.
041_00	Ewe Mtume!
041_01	Wasikuhuzunishe wa fanyao haraka kukufuru, miongoni mwa wanao sema kwa vinywa vyao: Tumeamini, na hali nyoyo zao hazikuamini,
041_02	na miongoni mwa Mayahudi, wanao sikiliza kwa ajili ya uwongo, wanao sikiliza kwa ajili ya watu wengine wasio kufikia.
041_03	Wao huyabadilisha maneno kutoka pahala pake. Wanasema: Mkipewa haya basi yashikeni, na msipo pewa haya tahadharini. Na mtu ambaye Mwenyezi Mungu anataka kumfitini huwezi kuwa na madaraka naye mbele ya Mwenyezi Mungu. Hao ndio ambao Mwenyezi Mungu hataki kuzitakasa nyoyo zao. Watakuwa na hizaya duniani, na Akhera watakuwa na adhabu kubwa.
042_00	Hao ni wasikilizaji kwa ajili ya kusema uwongo, na ni walaji mno vya haramu! Basi wakikujia, wahukumu baina yao au jipuuze nao.
042_01	Na ukijipuuza nao, basi wao hawatakudhuru kitu. Na ukiwahukumu, basi hukumu baina yao kwa uadilifu. Hakika Mwenyezi Mungu anawapenda waadilifu.
043_00	Na huwaje wakufanye wewe hakimu nao wanayo Taurati yenye hukumu za Mwenyezi Mungu? Kisha baada ya hayo wanageuka. Na hao si wenye kuamini.
044_00	Hakika Sisi tuliteremsha Taurati yenye uwongofu na nuru, ambayo kwayo Manabii walio nyenyekea kiislamu, na wachamngu, na wanazuoni, waliwahukumu Mayahudi; kwani walikabidhiwa kukihifadhi Kitabu cha Mwenyezi Mungu.
044_01	Nao wakawa ni mashahidi juu yake.
044_02	Basi msiwaogope watu, bali niogopeni Mimi. Wala msibadilishe Aya zangu kwa thamani chache. Na wasio hukumu kwa aliyo teremsha Mwenyezi Mungu, basi hao ndio makafiri.
045_00	Na humo tuliwaandikia ya kwamba roho kwa roho, na jicho kwa jicho, na pua kwa pua, na sikio kwa sikio, na jino kwa jino, na kwa majaraha kisasi.
045_01	Lakini atakaye samehe basi itakuwa ni kafara kwake. Na wasio hukumu kwa yale aliyo yateremsha Mwenyezi Mungu, basi hao ndio madhaalimu.
046_00	Na tukawafuatishia hao Isa bin Maryamu kuyahakikisha yaliyo kuwa kabla yake katika Taurati, na tukampa Injili iliyomo ndani
046_01	yake uwongofu, na nuru na inayo sadikisha yaliyo kuwa kabla yake katika Taurati, na uwongofu na mawaidha kwa wachamngu.
047_00	Na wahukumu Watu wa Injili kwa yale aliyo teremsha Mwenyezi Mungu ndani yake. Na wasio hukumu kwa yale aliyo yateremsha Mwenyezi Mungu basi hao ndio wapotofu.
048_00	Na tumekuteremshia wewe, kwa haki, Kitabu hichi kinacho sadikisha yaliyo kuwa kabla yake katika Vitabu na kuyalinda.
048_01	Basi hukumu baina yao kwa aliyo yateremsha Mwenyezi Mungu, wala usifuate matamanio yao ukaacha Haki iliyo kujia.
048_02	Kila mmoja katika nyinyi tumemwekea sharia yake na njia yake. Na lau kuwa Mwenyezi Mungu angeli taka ange kufanyeni nyote umma mmoja, lakini ni kukujaribuni kwa aliyo kupeni.
048_03	Basi shindaneni kwa mambo ya kheri. Kwa Mwenyezi Mungu ndio marejeo yenu nyote, na atakuja kuwaambieni yale mliyo kuwa mkikhitalifiana.
049_00	Na wahukumu baina yao kwa aliyo yateremsha Mwenyezi Mungu, wala usifuate matamanio yao. Nawe tahadhari nao wasije kukufitini ukaacha baadhi ya aliyo kuteremshia Mwenyezi Mungu.
049_01	Na wakigeuka, basi jua kwamba hakika Mwenyezi Mungu anataka kuwasibu kwa baadhi ya dhambi zao. Na hakika wengi wa watu ni wapotofu.
050_00	Je, wao wanataka hukumu za Kijahiliya? Na nani aliye mwema zaidi katika kuhukumu kuliko Mwenyezi Mungu kwa watu wenye yakini?
051_00	Enyi mlio amini! Msiwafanye Mayahudi na Wakristo kuwa ni marafiki.
051_01	Wao ni marafiki wao kwa wao. Na miongoni mwenu mwenye kufanya urafiki nao, basi huyo ni katika wao. Hakika Mwenyezi Mungu hawaongoi watu wenye kudhulumu.
052_00	Utawaona wale wenye maradhi nyoyoni mwao wanakimbilia kwao wakisema: Tunakhofu yasitusibu mabadiliko.
052_01	Huenda Mwenyezi Mungu akaleta ushindi au jambo jingine litokalo kwake wakawa wenye kujuta kwa waliyo yaficha katika nafsi zao.
053_00	Na walio amini watasema: Hivyo hawa ndio wale walio apa ukomo wa viapo vyao kuwa wao wa pamoja nanyi? Vitendo vyao vitapotea bure, na wataamkia kuwa wenye kukhasirika.
054_00	Enyi mlio amini!
054_01	Atakaye iacha miongoni mwenu Dini yake, basi Mwenyezi Mungu atakuja leta watu anao wapenda nao wanampenda, wanyenyekevu kwa Waumini na wenye nguvu juu ya makafiri, wanapigania Jihadi katika Njia ya Mwenyezi Mungu, wala hawaogopi lawama ya anaye laumu.
054_02	Hiyo ndiyo fadhila ya Mwenyezi Mungu, humpa amtakaye. Na Mwenyezi Mungu ni Mkunjufu na Mwenye kujua.
055_00	Hakika rafiki yenu mlinzi ni Mwenyezi Mungu na Mtume wake na walio amini, ambao hushika Sala na hutoa Zaka nao wananyenyekea.
056_00	Na atakaye fanya urafiki na Mwenyezi Mungu na Mtume wake na walio amini, basi hakika kundi la Mwenyezi Mungu ndilo lenye kushinda.
057_00	Enyi mlio amini!
057_01	Msiwafanye marafiki wale walio ifanyia kejeli na mchezo Dini yenu miongoni mwa walio pewa Kitabu kabla yenu, na makafiri wengine. Na mcheni Mwenyezi Mungu kama nyinyi ni wenye kuamini.
058_00	Na mnapo adhinia Sala wao wanaichukulia maskhara na mchezo. Hayo ni kwa sababu wao ni watu wasio na akili.
059_00	Sema: Enyi Watu wa Kitabu! Hivyo mnatuchukia kwa kuwa tumemuamini Mwenyezi Mungu na tuliyo teremshiwa na yaliyo teremshwa kabla, na kwa kuwa wengi katika nyinyi ni wapotofu?
060_00	Sema: Je! Nikwambieni yule ambaye ni mwenye malipo mabaya zaidi kuliko hayo mbele ya Mwenyezi Mungu?
060_01	Ni yule ambaye Mwenyezi Mungu amemlaani na amemkasirikia, na amewafanya miongoni mwao manyani na nguruwe, na wakamuabudu Shet'ani. Hao ndio wenye mahali pabaya na wamepotea zaidi njia iliyo sawa.
061_00	Na wanapo kujieni husema: Tumeamini. Lakini hakika wao wameingia na ukafiri wao, na wametoka nao pia. Na Mwenyezi Mungu ni Mjuzi kabisa wa yote wanayo yaficha.
062_00	Na utawaona wengi katika wao wanakimbilia kwenye dhambi, na uadui, na ulaji wao vya haramu. Ni maovu mno hayo wayatendayo!
063_00	Mbona hao wanazuoni na makohani wao hawawakatazi maneno yao ya dhambi, na ulaji wao vya haramu? Ni maovu mno hayo wayafanyayo!
064_00	Na Mayahudi walisema: Mkono wa Mwenyezi Mungu umefumba. Mikono yao ndiyo iliyo fumba, na wamelaaniwa kwa sababu ya waliyo yasema. Bali mikono yake iwazi.
064_01	Hutoa apendavyo. Kwa yakini yaliyo teremshwa kwako kutoka kwa Mola wako Mlezi yatawazidisha wengi katika wao uasi na kufuru. Na Sisi tumewatilia uadui na chuki baina yao mpaka Siku ya Kiyama.
064_02	Kila mara wanapo washa moto wa vita, Mwenyezi Mungu anauzima. Na wanajitahidi kuleta uharibifu katika ardhi. Na Mwenyezi Mungu hawapendi waharibifu.
065_00	Na lau kuwa Watu wa Kitabu wangeli amini na wakachamngu hapana shaka tungeli wafutia makosa yao, na tungeli waingiza katika Bustani zenye neema.
066_00	Na lau kuwa wangeli ishika Taurati na Injili na yote waliyo teremshiwa kutokana na Mola wao Mlezi, basi hapana shaka wangeli kula vya juu yao na vya chini ya miguu yao.
066_01	Wapo watu miongoni mwao walio sawa, lakini wengi wao wanayo yafanya ni mabaya mno.
067_00	Ewe Mtume! Fikisha uliyo teremshiwa kutoka kwa Mola wako Mlezi.
067_01	Na ikiwa hukufanya hayo basi hukufikisha ujumbe wake. Na Mwenyezi Mungu atakulinda na watu. Hakika Mwenyezi Mungu hawaongoi watu makafiri.
068_00	Sema: Enyi Watu wa Kitabu! Hamna lenu jambo mpaka muishike Taurati na Injili na yote mlio teremshiwa kutokana na Mola wenu Mlezi.
068_01	Na hakika ulio teremshiwa wewe kutokana na Mola wako Mlezi yatawazidishia wengi katika wao uasi na ukafiri. Basi usiwasikitikie watu makafiri.
069_00	Hakika walio amini, na Mayahudi na Masabii na Wakristo, walio muamini Mwenyezi Mungu, na Siku ya mwisho, na wakatenda mema, basi hawatakuwa na khofu wala hawatahuzunika.
070_00	Tulifanya agano na Wana wa Israili, na tukawatumia Mitume.
070_01	Kila alipo wajia Mtume kwa wasio yapenda nafsi zao wengine waliwakanusha na wengine wakawauwa.
071_00	Na wakadhani kuwa hapatakuwa majaribio; basi wakawa vipofu na viziwi. Kisha Mwenyezi Mungu akawapokelea toba zao. Kisha tena wengi katika wao wakawa vipofu na viziwi. Na Mwenyezi Mungu ni Mwenye kuyaona hayo wayatendayo.
072_00	Hakika wamekufuru walio sema: Mwenyezi Mungu ni Masihi mwana wa Maryamu! Na hali Masihi mwenyewe alisema: Enyi Wana wa Israili!
072_01	Muabuduni Mwenyezi Mungu, Mola wangu Mlezi na Mola wenu Mlezi. Kwani anaye mshirikisha Mwenyezi Mungu, hakika Mwenyezi Mungu atamharimishia Pepo, na mahala pake ni Motoni. Na walio dhulumu hawatakuwa na wa kuwanusuru.
073_00	Kwa hakika wamekufuru walio sema: Mwenyezi Mungu ni wa tatu wa Utatu.
073_01	Hali hakuna mungu ila Mungu Mmoja. Na ikiwa hawaachi hayo wanayo yasema, kwa yakini itawakamata adhabu chungu wale wanao kufuru.
074_00	Je! Hawatubu kwa Mwenyezi Mungu na wakamwomba msamaha? Na Mwenyezi Mungu ni Mwenye maghfira na Mwenye kurehemu.
075_00	Masihi mwana wa Maryam si chochote ila ni Mtume. Wamekwisha pita Mitume kabla yake.
075_01	Na mama yake ni mwanamke mkweli. Wote wawili walikuwa wakila chakula. Angalia jinsi tunavyo wabainishia Aya, kisha angalia vipi wanavyo geuzwa.
076_00	Sema: Je! Mnawaabudu, badala ya Mwenyezi Mungu, wale ambao hawawezi kukudhuruni wala kukufaeni? Na Mwenyezi Mungu ndiye Mwenye kusikia, Mwenye kujua.
077_00	Sema: Enyi Watu wa Kitabu!
077_01	Msipite kiasi katika dini yenu bila ya haki. Wala msifuate matamanio ya watu walio kwisha potea tangu zamani, na wakawapoteza wengi, na wenyewe wakapotea njia iliyo sawa.
078_00	Walilaaniwa walio kufuru miongoni mwa Wana wa Israili kwa ulimi wa Daud na wa Isa mwana wa Maryamu. Hayo ni kwa sababu waliasi na wakawa wanapindukia mipaka.
079_00	Walikuwa hawakatazani maovu waliyo kuwa wakiyafanya. Hakika ni maovu yalioje mambo waliyo kuwa wakiyafanya!
080_00	Utawaona wengi wao wanafanya urafiki na walio kufuru. Hakika ni maovu yaliyo tangulizwa na nafsi zao hata Mwenyezi Mungu amewakasirikia, nao watadumu katika adhabu.
081_00	Na lau wangeli kuwa wanamuamini Mwenyezi Mungu, na huyu Nabii, na yaliyo teremshwa kwake, wasingeli wafanya hao marafiki. Lakini wengi katika wao ni wapotofu.
082_00	Hakika utawakuta walio shadidi kuliko watu wote katika uadui kwa walio amini ni Mayahudi na washirikina.
082_01	Na utawakuta walio karibu mno kwa mapenzi ni wale wanao sema: Sisi ni Manasara.
082_02	Hayo ni kwa sababu wapo miongoni mwao makasisi na wamonaki, na kwa sababu wao hawafanyi kiburi.
083_00	NA WANAPO SIKIA yaliyo teremshwa kwa Mtume utaona macho yao yanachururika machozi kwa sababu ya Haki waliyo itambua. Wanasema: Mola wetu Mlezi!
083_01	Tumeamini. Basi tuandike pamoja na wanao shuhudia.
084_00	Na kwa nini tusimuamini Mwenyezi Mungu na Haki iliyo tujia, na hali tunatumai Mola wetu Mlezi atuingize pamoja na watu wema?
085_00	Basi Mwenyezi Mungu atawalipa, kwa yale waliyo yasema, Bustani zipitazo mito katika yake; humo watadumu. Na haya ndiyo malipo ya wafanyao wema.
086_00	Na wale walio kufuru na wakazikanusha Ishara zetu, hao ndio watu wa Motoni.
087_00	Enyi mlio amini! Msiharimishe vizuri alivyo kuhalalishieni Mwenyezi Mungu, wala msikiuke mipaka. Hakika Mwenyezi Mungu hawapendi wakiukao mipaka.
088_00	Na kuleni katika alivyo kuruzukuni Mwenyezi Mungu, halali na vizuri. Na mcheni Mwenyezi Mungu ambaye mnamuamini.
089_00	Mwenyezi Mungu hatakushikeni kwa viapo vyenu vya upuuzi, lakini atakushikeni kwa mnavyo apa kweli kweli kwa makusudio.
089_01	Basi kafara yake ni kuwalisha masikini kumi kwa chakula cha wastani mnacho walisha ahali zenu, au kuwavisha, au kumkomboa mtumwa.
089_02	Asiye pata hayo, basi afunge siku tatu.
089_03	Hii ndiyo kafara ya viapo vyenu mnapo apa. Na hifadhini yamini zenu. Namna hivyo Mwenyezi Mungu anakubainishieni Aya zake ili mpate kushukuru.
090_00	Enyi mlio amini! Bila ya shaka ulevi, na kamari, na kuabudu masanamu, na kupiga ramli, ni uchafu katika kazi ya Shet'ani. Basi jiepusheni navyo, ili mpate kufanikiwa.
091_00	Hakika Shet'ani anataka kutia kati yenu uadui na chuki kwa ulevi na kamari, na akuzuieni kumkumbuka Mwenyezi Mungu na kusali.
091_01	Basi je, mmeacha?
092_00	Na mt'iini Mwenyezi Mungu, na mt'iini Mtume, na tahadharini. Na ikiwa mtageuka basi jueni ya kuwa juu ya Mtume wetu ni kufikisha ujumbe tu ulio wazi.
093_00	Si dhambi juu ya walio amini na wakatenda mema kwa walivyo vila (zamani) maadamu wakichamngu na wakiamini na wakitenda mema, kisha wakachamngu, na wakaamini, kisha wakachamngu na wakafanya mazuri.
093_01	Na Mwenyezi Mungu huwapenda wafanyao mazuri.
094_00	Enyi mlio amini!
094_01	Mwenyezi Mungu atakujaribuni kidogo kwa wanyama wa kuwinda inayo wafikia mikono yenu na mikuki yenu, ili Mwenyezi Mungu amjue nani anaye mkhofu kwa ghaibu. Basi atakaye ruka mipaka baada ya hayo atapata adhabu kali.
095_00	Enyi mlio amini!
095_01	Msiue wanyama wa kuwinda nanyi mmeharimia katika Hija.
095_02	Na miongoni mwenu atakaye muuwa makusudi, basi malipo yake yatakuwa kwa kuchinja kilicho sawa na alicho kiuwa, katika mifugo, kama wanavyo hukumu waadilifu wawili miongoni mwenu.
095_03	Mnyama huyo apelekwe kwenye Al Kaaba, au kutoa kafara kwa kuwalisha masikini; au badala ya hayo ni kufunga, ili aonje ubaya wa jambo lake hili. Mwenyezi Mungu amekwisha yafuta yaliyo pita; lakini atakaye fanya tena Mwenyezi Mungu atampa adhabu. Na Mwenyezi Mungu ndiye Mwenye nguvu na Mwenye kuadhibu.
096_00	Nyinyi mmehalalishiwa kuvua vinyama vya baharini na kuvila, kwa faida yenu na kwa wasafiri.
096_01	Na mmeharimishiwa mawindo ya wanyama wa bara maadamu mmeharimia Hija. Na mcheni Mwenyezi Mungu ambaye mtakusanywa kwake.
097_00	Mwenyezi Mungu ameifanya Al Kaaba, hii Nyumba Tukufu, ni simamio la watu, na kadhaalika Miezi Mitukufu, na wanyama wa dhabihu, na vigwe.
097_01	Hayo ili mjue ya kwamba Mwenyezi Mungu anayajua yaliyomo mbinguni na yaliyomo katika ardhi, na ya kwamba Mwenyezi Mungu ni Mjuzi wa kila kitu.
098_00	Jueni kwamba Mwenyezi Mungu ni Mkali wa kuadhibu, na ya kwamba Mwenyezi Mungu ni Mwenye maghfira, na Mwenye kurehemu.
099_00	Haimlazimu Mtume ila kufikisha ujumbe tu. Na Mwenyezi Mungu anajua mnacho kidhihirisha na mnacho kificha.
100_00	Sema: Haviwi sawa viovu na vyema ujapo kupendeza wingi wa viovu. Basi mcheni Mwenyezi Mungu, enyi wenye akili, ili mpate kufanikiwa.
101_00	Enyi mlio amini! Msiulize mambo ambayo mkidhihirishiwa yatakuchukizeni.
101_01	Na mkiyauliza inapo teremshwa Qur'ani mtabainishiwa. Mwenyezi Mungu amesamehe hayo. Na Mwenyezi Mungu ni Mwenye maghfira Mpole.
102_00	Waliyauliza hayo watu wa kabla yenu, kisha wakawa wenye kuyakataa.
103_00	Mwenyezi Mungu hakujaalia uharamu wowote juu ya "Bahira" wala "Saiba" wala "Wasila" wala "Hami".
103_01	Lakini walio kufuru humzulia uwongo Mwenyezi Mungu, na wengi wao hawatumii akili.
