001_00	Ta ha.
077_00	[EN DAG] gav Vi Moses befallningen: "Bege dig av under natten med Mina tjänare och röj för dem en torr väg genom havet; oroa dig inte för att [förföljarna] skall hinna upp er och var inte rädd [att vattenmassorna skall dränka er]!".
078_00	Farao förföljde dem med sin här och vattenmassorna överväldigade [och dränkte] dem;
079_00	i stället för att visa sitt folk den rätta vägen hade Farao lett dem vilse.
080_00	Söner av Israel! Vi räddade er från er fiende och slöt förbund med er på högra sidan av berget Sinai och gav er manna och vaktlar till föda
081_00	[och sade:] "Ät av det goda som Vi har skänkt er men gå inte till överdrift [och sätt er inte upp emot Mig i trots och olydnad] så att Min vrede drabbar er! Den som drabbas av Min vrede är förlorad!
082_00	Men Jag ger förvisso den full förlåtelse som ångrar sig, antar tron och sedan lever ett rättskaffens liv och följer vägledningen."
083_00	[GUD SADE:] "Moses! Vad har förmått dig att lämna ditt folk med sådan brådska?"
084_00	Han svarade: "De följer i mina spår; och jag har skyndat till Dig, Herre, för att vara Dig till lags."
085_00	[Gud] sade: "I din frånvaro har Vi satt ditt folk på prov, och samariern har lett dem vilse."
086_00	Moses återvände till sitt folk med vrede och sorg i hjärtat [och] sade: "Har inte er Herre gett er ett frikostigt löfte, mitt folk?
086_01	Har ni fått vänta för länge på att löftet [skulle infrias], eller önskar ni att Guds vrede skall drabba er och svek därför ert löfte till mig?"
087_00	De svarade: "Vi bröt inte vårt löfte till dig av egen drift; men vi tyngdes av bördan av [det egyptiska] folkets smycken och så kastade vi dem ifrån oss, liksom samariern gjorde."
088_00	Därefter [- så sade de till Moses -] tillverkade han [av det nedsmälta guldet] något som liknade en kalv och som lät höra ett bölande ljud; och de sade [till varandra]: "Detta är vår gud och även Moses gud - men det har han [nu] glömt."
089_00	Märkte de inte att den inte svarade dem och varken gjorde dem skada eller var dem till nytta
090_00	Och tidigare hade Aron sagt till dem: "Här har ni prövats, mitt folk, [och inte bestått provet]; er Herre är den Nåderike [och ingen annan]! Följ nu mig och lyd mina befallningar!"
091_00	De svarade: "Vi kommer inte att sluta att dyrka den förrän Moses återvänder till oss."
092_00	[Och när Moses återkom] sade han: "Aron! När du såg dem slå in på en ond väg, [vad hindrade dig]
093_00	från att följa mina [föreskrifter]? Du har ju handlat i strid med min befallning!"
094_00	[Aron] svarade: "Son av min moder! Grip mig inte i skägget och inte heller i håret! [Mitt skäl att inte ingripa är att] jag var orolig att du skulle förebrå mig att ha vållat splittring bland Israels barn i strid med din föreskrift."
095_00	[Moses] sade: "Och du, samarier! Vad ville du uppnå [med detta]?"
096_00	Han svarade: "Jag såg vad de inte kunde se, och tog därför en handfull av det som [Guds] sändebud hade lämnat kvar och kastade det ifrån mig; något i mitt inre drev mig till detta."
097_00	[Moses] sade: ”Bort härifrån!
097_01	Ditt [straff] i livet skall vara att [alltid] säga: 'rör mig inte!' Och du skall [en Dag] kallas till ett möte, från vilket du inte kan utebli. Se nu på din gud, som du inte vill upphöra att dyrka – jag svär att bilden skall smältas ned i eld och att [det som återstår] skall kastas i havet.
098_00	Er Gud är en Gud - det finns ingen annan gud än Han och Han omfattar allt med Sin kunskap!"
099_00	SÅ BERÄTTAR Vi för dig något av det som hände i det förgångna och Vi har [med Koranen] gett dig en [slutlig] påminnelse från Oss.
100_00	De som vänder ryggen åt Vår [påminnelse] skall ha en [tung] börda att bära på Uppståndelsens dag;
101_00	de skall bära den för evigt, men på Uppståndelsens dag skall denna börda kännas outhärdligt tung,
102_00	den Dag då det skall stötas i basunen och Vi skall samla alla de obotfärdiga syndarna med [av fasa] stelnad blick,
103_00	viskande till varandra: "Vi levde [där] högst tio [dagar]."
104_00	Vi vet bäst vad de kommer att säga; den klokaste, den med det bästa omdömet bland dem kommer att säga: "Vi levde [där] bara en dag!"
105_00	OCH DE frågar dig [vad som händer med] bergen [på Uppståndelsens Dag]. Säg: "Min Herre skall förvandla dem till fin sand som [vinden] blåser undan
106_00	och Han skall lämna [jordens yta] utslätad och öde,
107_00	utan dalar eller höjder."
108_00	Den Dagen skall [alla] utan krumbukter följa roparens kallelse; alla röster skall tystna inför den Nåderike och ingenting skall höras utom [det dämpade, knappt förnimbara] ljudet av trampande fötter.
109_00	Den Dagen skall ingen förbön vara till nytta utom från den som fått den Nåderikes tillstånd och vars ord Han har godkänt.
110_00	Han vet allt vad [människor] kan veta och allt som är dolt för dem, men de kan inte nå Honom med [sin] kunskap.
111_00	Och de [som trotsade Honom] skall ödmjukt böja rygg inför den Levande Guden, skapelsens evige Vidmakthållare. Den som bär [en börda av] orättfärdighet är räddningslöst förlorad,
112_00	men den som levde ett rättskaffens liv och var troende behöver inte frukta någon orättvisa och ingenting av [hans förtjänster] skall frånkännas honom.
113_00	OCH SÅ har Vi uppenbarat [Skriften] som en förkunnelse på det arabiska språket och Vi har på många sätt förtydligat de varningar den ger, för att människorna skall frukta Gud eller deras gudsmedvetande skärpas.
114_00	Upphöjd över allt är Gud, Konungen, den yttersta Sanningen! Undvik jäkt och brådska vad Koranen beträffar, innan den har uppenbarats för dig i sin helhet; men be [bönen]: "Herre! Låt min kunskap växa!"
115_00	[EN GÅNG i tiden] förmanade och varnade Vi Adam, men han glömde [snart Våra ord]; och Vi fann hos honom ingen fasthet i föresatsen.
116_00	När Vi befallde änglarna att falla ned på sina ansikten inför Adam lydde de [alla] utom Iblees; han vägrade.
117_00	Vi sade då: "Adam! Denne är din och din hustrus fiende; [var på din vakt] så att han inte [blir orsak till] er förvisning från lustgården och orsakar er elände.
118_00	Här skall du aldrig uppleva hunger och aldrig känna dig naken
119_00	och här skall du aldrig plågas av törst eller av solens hetta."
120_00	Men Djävulen viskade till honom och sade: "Adam! Skall jag leda dig till det eviga livets träd och till ett rike som aldrig skall gå under?"
121_00	Och de åt båda av dess [frukt] och blev på detta sätt medvetna om sin nakenhet och de försökte skyla sig med hopfästade blad från lustgården. Adam bröt [alltså] mot sin Herres befallning och slog in på en förbjuden väg.
122_00	[Efter en tid] utsåg hans Herre honom att [åter] få erfara Hans nåd och tog emot hans ånger och gav honom vägledning.
123_00	[Men i lustgården] sade Han: "Ned härifrån, båda! Ni skall alla, [ni och era efterkommande, ha er boning på jorden och] vara varandras fiender! Men om ni nås av Min vägledning - och ni kommer att nås av den - skall den som följer Min vägledning inte gå vilse och han skall besparas lidande [i det kommande livet].
124_00	Men den som vänder ryggen åt Mig [och Mina budskap] skall få ett eländigt liv och på Uppståndelsens dag skall Vi låta honom stiga fram blind."
125_00	Och han skall säga: "Herre! Varför har Du låtit mig stiga fram blind [i denna församling]? [På jorden] var jag seende."
126_00	[Gud skall] svara: "Liksom du, när du fick lyssna till Våra budskap [på jorden, skyndade dig att] glömma dem, är du [nu blind och] överlämnad åt glömskan."
127_00	Detta är den lön som Vi ger den som förslösar [sin själ] och inte tror på sin Herres budskap; straffet i det kommande livet skall med visshet bli hårdare och vara längre.
128_00	HAR DÅ de [som förnekar sanningen] inte klart för sig, hur många släkten före dem Vi har låtit gå under? Människor, vars boplatser de nu [själva] trampar! I detta ligger helt visst budskap till människor som [styrs av] sitt förnuft.
129_00	Och om din Herre inte hade beslutat annorlunda och utsatt en frist [för ånger], skulle det oundvikliga [straffet redan ha drabbat dessa förnekare].
130_00	Ha därför tålamod med deras lögner, och lova och prisa din Herre före solens uppgång och före dess nedgång och
130_01	under en del av natten och prisa [Honom] vid dagens början och dess slut, så att din glädje blir [fullständig].
131_00	Och kasta inga [avundsamma] blickar på de stunder av jordisk lycka som Vi skänker några [människor] för att på så sätt pröva dem. Den lön Gud ger er [i evigheten] är det bästa och det som består.
132_00	Uppmana ditt folk att förrätta bönen och förrätta den du [Muhammad] utan att förtröttas. Vi begär inga gåvor av dig; det är Vi som sörjer för dina behov. Den slutliga segern tillhör dem som fruktar Gud.
133_00	DE [SOM sätter gudar vid Guds sida] säger: "Om han ändå [kunde] visa oss ett tecken från sin Herre!" Har alltså det klara vittnesbörd [om sanningen i denna Skrift] som de äldre Skrifterna avger inte kommit till deras kännedom?"
134_00	Om Vi hade låtit [Vårt] straff förinta dem, innan denna [Skrift uppenbarades], skulle de [med rätta] ha kunnat säga: "Herre! Om du hade låtit ett sändebud komma till oss skulle vi ha lytt Dina bud hellre än vi hade dragit på oss förödmjukelser [och straff]!"
135_00	Säg: "Alla vill vänta och se [vem framtiden kommer att ge rätt]; vänta då - [snart] skall ni få veta vem [av oss] som följde den raka vägen och vem som hade funnit sann vägledning!"
