001_00	Ya seen.
048_00	Och de säger: "Och detta löfte [om uppståndelse och dom], när skall det infrias, om ni har talat sanning?"
049_00	Det enda de har att vänta på är [dånet av Guds straff] - ett enda dån, som skall drabba dem när de som bäst överlägger om [sina viktiga angelägenheter].
050_00	De kommer inte att få tid att upprätta testamente, och de hinner inte vända tillbaka till de sina.
051_00	Och det skall stötas i basunen och alla skall skynda ut ur gravarna för att möta sin Herre;
052_00	och de skall jämra sig och ropa: "Vem har väckt oss ur vår djupa sömn?" [Och änglarna skall svara:] "Detta är vad den Nåderike har lovat - budbärarna sade sanningen."
053_00	Ett dån, ett enda, skall ljuda, och alla skall föras fram inför Oss.
054_00	Ingen skall tillfogas orätt denna Dag och ni skall inte lönas för något annat än era egna handlingar.
055_00	Denna Dag skall de vars arvedel är paradiset helt gå upp i sin glädje,
056_00	vilande i ljuvlig skugga med sina följeslagare, stödda på divanernas [mjuka kuddar],
057_00	och där skall de njuta frukter [av alla slag] och allt vad de begär skall de få.
058_00	En nåderik Herre skall hälsa dem med ordet: "Fred!"
059_00	"Men ni, obotfärdiga syndare, håll er undan denna dag!
060_00	Befallde Jag er inte, ni söner av Adam, att inte tjäna Djävulen, som är er svurne fiende,
061_00	och befallde Jag er inte att tillbe Mig? Detta är en rak väg.
062_00	Han har lett många av er på avvägar - använde ni inte ert förstånd
063_00	Detta är helvetet, som ni gång på gång varnades för.
064_00	Pröva i dag dess heta lågor, [straffet] för att ni ständigt förnekade sanningen."
065_00	Den Dagen skall Vi försegla deras läppar, men deras händer skall tala till Oss och deras fötter skall vittna om deras handlingar.
066_00	OM VI hade velat kunde Vi helt visst ha gjort dem blinda och de skulle [sin vana trogna] ha störtat i väg för att komma först; men de skulle aldrig ha kunnat bli varse [den raka vägen].
067_00	Och hade Vi velat kunde Vi ha skapat dem [utan rörelseförmåga,] var och en på sin plats, så att de varken kunde gå framåt eller tillbaka.
068_00	Den som Vi ger ett långt liv, för honom förbyts utvecklingen [till sist] i tillbakagång. Vill de inte använda sitt förstånd?
069_00	VI HAR inte låtit [Profeten] få undervisning i diktkonsten och denna [konst] har inte med hans uppgift att göra. [Vad han läser upp] är bara en påminnelse och en klar och klargörande framställning av [Guds] sanning
070_00	för att varna dem som är levande [i anden], och för att [Guds] dom över dem som förnekar sanningen, som den måste, skall bli verklighet.
071_00	Inser de inte att Vi - bland allt det som är Våra händers verk - för dem har skapat boskapen, som de råder över
072_00	och som Vi har gjort till deras lydiga redskap, så att de använder några att rida på och [köttet av] några till föda,
073_00	och har annan nytta av dem och dricker [deras mjölk]? Känner de ingen tacksamhet
074_00	De sätter upp gudomligheter vid sidan av Gud och hoppas få [deras] hjälp;
075_00	men dessa [falska gudar] förmår inte hjälpa sina trogna; de står där [tvärtom] som en trupp som skall kallas in [till avgudarnas försvar].
076_00	Men gräm dig inte över vad de säger, dessa [förnekare av sanningen]. Vi känner deras hemligheter likaväl som det de öppet tillkännager.
077_00	INSER människan inte att det är Vi som skapar henne av en droppe säd? Och se, där står hon, en tänkande varelse, färdig att tvista och argumentera.
078_00	Hon tillämpar en liknelse på Oss och glömmer att hon [själv] är skapad och frågar: "Vem kan ge liv åt förmultnade ben?"
079_00	Säg: "Han som först skapade dem skall ge dem [nytt] liv, eftersom Han har kunskapen om allt skapande;
080_00	Han som har låtit er utvinna eld ur grönskande träd - det är ju så som ni tänder era eldar."
081_00	Skulle inte himlarnas och jordens Skapare förmå återskapa dem [som har dött] sådana de var? Jo, helt visst! Han är Den som har skapat allt, som har kunskap om allt.
082_00	Om Han vill att något skall vara säger Han endast till det: "Var!" - och det är.
083_00	Stor är Han i Sin härlighet, Han som har herraväldet över allt i Sin hand! Till Honom skall ni föras åter.
