001_00	Alif lam meem.
040_01	Finns det bland de medhjälpare som ni vill sätta vid Guds sida, den som kan göra något av allt detta? [Nej,] stor är Han i Sin härlighet, höjd högt över allt vad [människor] sätter vid Hans sida!
041_00	Ordningen har störts och fördärv har visat sig på fasta land och i havet, allt verk av människohand. Därför låter Han dem känna på några av [följderna av] deras handlingar; kanske kommer de att [ångra sig och] vända om.
042_00	Säg: "Bege er ut i världen och se [spåren som visar] hur slutet blev för dem som levde före er och som, de flesta av dem, satte medhjälpare vid Guds sida."
043_00	Ge dig därför hän med hela din själ åt den evigt sanna tron, innan en Dag kommer, fastställd i Guds beslut, vars ankomst ingen kan hindra. Den Dagen skall människorna delas [i två grupper] -
044_00	de som förnekade sanningen skall drabbas av [hela tyngden av] sin förnekelse, men de som levde ett rättskaffens liv har jämnat vägen för sig själva -
045_00	och Han skall i Sin nåd belöna dessa som trodde och levde ett rättskaffens liv. Han är inte vän till dem som förnekar sanningen.
046_00	Och till Hans under hör vindarna som Han sänder ut med gynnsamma förebud för att skänka er något av Sin nåd och för att skeppen på Hans befallning skall segla [över haven], så att ni kan söka det som Han i Sin godhet [beviljar er för er försörjning]; kanske skall ni visa tacksamhet.
047_00	Före dig har Vi sänt [Våra] sändebud, vart och ett till sitt folk, och de kom till [dem] med klara bevis [för sanningen]; men [de beskyllde
047_01	sändebuden för lögn] och Vi lät Vår hämnande vrede drabba dem som var skyldiga till denna orätt, eftersom Vi har påtagit Oss att ge de troende hjälp.
048_00	Ja, Gud sänder ut vindarna som driver upp molnbankar och dessa får enligt Hans vilja breda ut sig över himlen och [sedan] brytas upp, och då ser du regnet strömma ur deras mitt.
048_01	Och när Han låter det falla över dem Han vill av Sina tjänare fylls de av glädje,
049_00	hur modfällda de än var innan regnet kom.
050_00	Se där tecknen på Guds nåd - hur Han ger nytt liv åt jorden som varit död! Nytt liv skall Han [också] ge åt de döda! Han har allt i Sin makt.
051_00	Men om Vi sänder en [het] vind och de får se [sin gröda svedd och] gulnad, framhärdar de efter detta i sin förnekelse [glömska av Hans tidigare gåvor].
052_00	[Muhammad!] Du kan inte förmå de döda att höra, inte heller de [andligen] döva som vänder dig ryggen, att lyssna till din kallelse;
053_00	och de [andligen] blinda som har gått vilse kan du inte leda [på rätt väg]. Du kan inte få andra att lyssna än sådana som tror på Våra budskap och som har underkastat sig [Vår vilja].
054_00	GUD SKAPAR er i ett tillstånd av svaghet; därefter låter Han svagheten följas av styrka [och] därefter låter Han styrkan följas av svaghet och gråa hår.
054_01	Han skapar vad Han vill - Han är Den som har kunskap om allt, Den som är mäktig allt.
055_00	När den Yttersta stunden är inne, skall de obotfärdiga förnekarna gå ed på att deras [liv på jorden] inte varade mer än en timme; på detta sätt lät de sig alltid vilseledas.
056_00	Men de som har fått kunskap och tro skall säga: "Ni har dröjt till Uppståndelsens dag [med att bejaka] Guds uppenbarelse.
056_01	Detta är Uppståndelsens dag, men [om den] ville ni ingenting veta."
057_00	Den Dagen skall syndarna inte uppnå något med sina ursäkter och ingen skall uppmana dem att visa ånger.
058_00	VI HAR framställt alla slags liknelser för människorna i denna Koran. Men även om du visar dem ett tecken, kommer förnekarna helt säkert att säga: "Ni är bara lögnare [och bedragare]!"
059_00	Så förseglar Gud hjärtana hos dem som inte vet [och ingenting vill veta].
060_00	[Muhammad,] visa tålamod! - Guds löfte är sanning! Och låt inte dem som saknar övertygelse rubba dig i ditt lugn [och din beslutsamhet]!
