001_00	حٰم
061_00	اور وہ قیامت کی نشانی ہیں۔ تو (کہہ دو کہ لوگو) اس میں شک نہ کرو اور میرے پیچھے چلو۔ یہی سیدھا رستہ ہے
062_00	اور (کہیں) شیطان تم کو (اس سے) روک نہ دے۔ وہ تو تمہارا اعلاینہ دشمن ہے
063_00	اور جب عیسیٰ نشانیاں لے کر آئے تو کہنے لگے کہ میں تمہارے پاس دانائی (کی کتاب) لے کر آیا ہوں۔ نیز اس لئے کہ بعض باتیں جن میں تم اختلاف کر رہے ہو تم کو سمجھا دوں۔ تو خدا سے ڈرو اور میرا کہا مانو
064_00	کچھ شک نہیں کہ خدا ہی میرا اور تمہارا پروردگار ہے پس اسی کی عبادت کرو۔ یہی سیدھا رستہ ہے
065_00	پھر کتنے فرقے ان میں سے پھٹ گئے۔ سو جو لوگ ظالم ہیں ان کی درد دینے والے دن کے عذاب سے خرابی ہے
066_00	یہ صرف اس بات کے منتظر ہیں کہ قیامت ان پر ناگہاں آموجود ہو اور ان کو خبر تک نہ ہو
067_00	(جو آپس میں) دوست (ہیں) اس روز ایک دوسرے کے دشمن ہوں گے۔ مگر پرہیزگار (کہ باہم دوست ہی رہیں گے)
068_00	میرے بندو آج تمہیں نہ کچھ خوف ہے اور نہ تم غمناک ہوگے
069_00	جو لوگ ہماری آیتوں پر ایمان لائے اور فرمانبردار ہوگئے
070_00	(ان سے کہا جائے گا) کہ تم اور تمہاری بیویاں عزت (واحترام) کے ساتھ بہشت میں داخل ہوجاؤ
071_00	ان پر سونے کی پرچوں اور پیالوں کا دور چلے گا۔ اور وہاں جو جی چاہے اور جو آنکھوں کو اچھا لگے (موجود ہوگا) اور (اے اہل جنت) تم اس میں ہمیشہ رہو گے
072_00	اور یہ جنت جس کے تم مالک کر دیئے گئے ہو تمہارے اعمال کا صلہ ہے
073_00	وہاں تمہارے لئے بہت سے میوے ہیں جن کو تم کھاؤ گے
074_00	(اور کفار) گنہگار ہمیشہ دوزخ کے عذاب میں رہیں گے
075_00	جو ان سے ہلکا نہ کیا جائے گا اور وہ اس میں نامید ہو کر پڑے رہیں گے
076_00	اور ہم نے ان پر ظلم نہیں کیا۔ بلکہ وہی (اپنے آپ پر) ظلم کرتے تھے
077_00	اور پکاریں گے کہ اے مالک تمہارا پروردگار ہمیں موت دے دے۔ وہ کہے گا کہ تم ہمیشہ (اسی حالت میں) رہو گے
078_00	ہم تمہارے پاس حق لے کر آئے ہیں لیکن تم اکثر حق سے ناخوش ہوتے رہے
079_00	کیا انہوں نے کوئی بات ٹھہرا رکھی ہے تو ہم بھی کچھ ٹھہرانے والے ہیں
080_00	کیا یہ لوگ یہ خیال کرتے ہیں کہ ہم ان کی پوشیدہ باتوں اور سرگوشیوں کو سنتے نہیں؟ ہاں ہاں (سب سنتے ہیں) اور ہمارے فرشتے ان کے پاس (ان کی سب باتیں) لکھ لیتے ہیں
081_00	کہہ دو کہ اگر خدا کے اولاد ہو تو میں (سب سے) پہلے (اس کی) عبادت کرنے والا ہوں
082_00	یہ جو کچھ بیان کرتے ہیں آسمانوں اور زمین کا مالک (اور) عرش کا مالک اس سے پاک ہے
083_00	تو ان کو بک بک کرنے اور کھیلنے دو۔ یہاں تک کہ جس دن کا ان سے وعدہ کیا جاتا ہے اس کو دیکھ لیں
084_00	اور وہی (ایک) آسمانوں میں معبود ہے اور (وہی) زمین میں معبود ہے۔ اور وہ دانا (اور) علم والا ہے
085_00	اور وہ بہت بابرکت ہے جس کے لئے آسمانوں اور زمین کی اور جو کچھ ان دونوں میں ہے سب کی بادشاہت ہے۔ اور اسی کو قیامت کا علم ہے اور اسی کی طرف تم لوٹ کر جاؤ گے
086_00	اور جن کو یہ لوگ خدا کے سوا پکارتے ہیں وہ سفارش کا کچھ اختیار نہیں رکھتے۔ ہاں جو علم ویقین کے ساتھ حق کی گواہی دیں (وہ سفارش کرسکتے ہیں)
087_00	اور اگر تم ان سے پوچھو کہ ان کو کس نے پیدا کیا ہے تو کہہ دیں گے کہ خدا نے۔ تو پھر یہ کہاں بہکے پھرتے ہیں؟
088_00	اور (بسااوقات) پیغمبر کہا کرتے ہیں کہ اے پروردگار یہ ایسے لوگ ہیں کہ ایمان نہیں لاتے
089_00	تو ان سے منہ پھیر لو اور سلام کہہ دو۔ ان کو عنقریب (انجام) معلوم ہوجائے گا
