001_00	Tā Sīn. Ovo su ajeti Kur'ana i Knjige jasne,
019_00	I on se nasmija glasno riječima njegovim i reče: "Gospodaru moj, omogući mi da budem zahvalan na blagodati Tvojoj, koju si ukazao meni i roditeljima mojim, i da činim dobra djela na zadovoljstvo Tvoje,
019_01	i uvedi me, milošću Svojom, među dobre robove Svoje!"
020_00	I on izvrši smotru ptica, pa reče: "Zašto ne vidim pupavca, da nije odsutan?
021_00	Ako mi ne donese valjano opravdanje, teškom ću ga kaznom kazniti ili ću ga zaklati!"
022_00	I ne potraja dugo, a on dođe, pa reče: "Doznao sam ono što ti ne znaš, iz Sabe ti donosim pouzdanu vijest.
023_00	Vidio sam da jedna žena njima vlada i da joj je svega i svačega dato, a ima i prijesto veličanstveni;
024_00	vidio sam da se i ona i narod njezin Suncu klanjaju, a ne Allahu – šejtan im je prikazao lijepim postupke njihove i od Pravoga puta ih odvratio, te oni ne umiju naći Pravi put
025_00	pa da se klanjaju Allahu, koji izvodi ono što je skriveno na nebesima i u Zemlji i koji zna ono što krijete i ono što na javu iznosite.
026_00	Allah je, nema boga osim Njega, Gospodar svega što postoji!"
027_00	"Vidjećemo" – reče Sulejman – "da li govoriš istinu ili ne.
028_00	Odnesi ovo moje pismo pa im ga baci, a onda se od njih malo izmakni i pogledaj šta će jedni drugima reći!"
029_00	"O velikaši" – reče ona – "meni je dostavljeno jedno poštovanja vrijedno pismo
030_00	od Sulejmana i glasi: 'U ime Allaha, Milostivog, Samilosnog!
031_00	Ne pravite se većim od mene i dođite da mi se pokorite!'
032_00	O velikaši" – reče ona – "savjetujte mi šta trebam u ovom slučaju uraditi, ja bez vas neću ništa odlučiti!"
033_00	"Mi smo vrlo jaki i hrabri" – rekoše oni – "a ti se pitaš! Pa, gledaj šta ćeš narediti!"
034_00	"Kad carevi osvoje neki grad" – reče ona – "oni ga razore, a ugledne stanovnike njegove učine poniženim; eto, tako oni rade.
035_00	Poslaću im jedan dar i vidjeću sa čime će se izaslanici vratiti."
036_00	I kad on pred Sulejmana iziđe, ovaj mu reče: "Zar da blagom mene pridobijete? Ono što je Allah meni dao bolje je od onoga što je dao vama. Vi se onome što vam se daruje radujete!
037_00	Vrati se njima! Mi ćemo im dovesti vojske kojima se neće moći oduprijeti i istjeraćemo ih iz Sabe ponižene i pokorene."
038_00	"O dostojanstvenici, ko će mi od vas donijeti njezin prijesto prije nego što oni dođu da mi se pokore?"
039_00	"Ja ću ti ga donijeti" – reče Ifrit, jedan od džina – "prije nego iz ove sjednice svoje ustaneš, ja sam za to snažan i pouzdan."
040_00	"A ja ću ti ga donijeti" – reče onaj koji je učio iz Knjige – "prije nego što okom trepneš." I kad Sulejman vidje da je p
040_01	rijesto već pored njega postavljen, uzviknu: "Ovo je blagodat Gospodara moga, koji me iskušava da li ću zahvalan ili neza
040_02	hvalan biti. A ko je zahvalan – u svoju je korist zahvalan, a ko je nezahvalan – pa, Gospodar moj je neovisan i plemenit.
041_00	Promijenite izgled njezina prijestolja da vidimo hoće li ga ili neće prepoznati!"
042_00	I kad ona dođe, bî joj rečeno: "Je li ovakav prijesto tvoj?" – "Kao da je on!" – uzviknu ona. "A nama je prije nego njoj dato znanje, i mi smo muslimani."
043_00	A da nije ispravno vjerovala, nju su omeli oni kojima se ona, mimo Allaha, klanjala, jer je ona narodu nevjerničkom pripadala.
044_00	"Uđi u dvoranu!" – bî joj rečeno. I kad ona pogleda, pomisli da je duboka voda, pa zadiže haljinu uz noge svoje.
044_01	"Gospodaru moj" – uzviknu ona – "ja sam se prema sebi ogriješila i u društvu sa Sulejmanom predajem se Allahu, Gospodaru svjetova!" Ova je dvorana uglačanim staklom popločana!" – reče on. – " Ova je dvorana uglačanim staklom popločana!" – reče on. – "
045_00	A Semudu smo poslali brata njihova Saliha da se klanjaju jedino Allahu – a oni se podijeliše u dvije skupine koje su se međusobno prepirale.
046_00	"O narode moj" – govorio im je on – "zašto tražite da vas stigne kazna prije nego što se pokajete? Zašto od Allaha ne tražite oprosta, da bi vam se ukazala milost?"
047_00	"Mi smatramo hrđavim predznakom tebe i one koji su s tobom!" – rekoše oni. – "Od Allaha vam je i dobro i zlo" – reče on – "vi ste narod koji je stavljen u iskušenje."
048_00	U gradu je bilo devet osoba koje su ne red nego nered činile.
049_00	"Zakunite se najtežom zakletvom" – rekoše – "da ćemo noću njega i porodicu njegovu ubiti, a onda njegovom najbližem krvnom srodniku reći: 'Mi nismo prisustvovali pogibiji porodice njegove, mi, zaista, istinu govorimo.'"
050_00	I smišljali su spletke, ali Mi smo ih kaznili onda kad se nisu nadali,
051_00	pa pogledaj kakva je bila posljedica spletkarenja njihova: uništili smo sve – i njih i narod njihov,
052_00	eno kuća njihovih, puste su zbog nepravde koju su činili – to je zaista pouka narodu koji zna –
053_00	a spasili smo one koji su vjerovali i koji su se grijeha klonili.
054_00	I Luta, kada reče narodu svome: "Zašto činite razvrat naočigled jedni drugih?
055_00	Zar zbilja sa strašću općite sa muškarcima umjesto sa ženama? Vi ste, uistinu, bezumnici."
056_00	A odgovor naroda njegova je glasio: "Istjerajte Lutovu porodicu iz grada vašeg, oni su ljudi-čistunci!"
057_00	I Mi smo spasili njega i porodicu njegovu, sve osim žene njegove. Mi smo odredili da ona ostane s onima koji će kaznu iskusiti,
058_00	i pustili smo na njih kišu, a strašne li kiše za one koji su bili opomenuti!
059_00	Reci: "Hvala Allahu i mir robovima Njegovim koje je On odabrao!" Šta je bolje: Allah ili oni koje Njemu ravnim smatraju?
060_00	Onaj koji je nebesa i Zemlju stvorio i koji vam spušta s neba kišu pomoću koje Mi dajemo da ozelene bašče prekrasne – nemoguće je da vi učinite da izraste drveće njihovo. – Zar pored Allaha postoji drugi bog?
060_01	Ne postoji, ali su oni narod koji druge s Njim izjednačuje;
061_00	Onaj koji je Zemlju prebivalištem učinio i kroz nju rijeke proveo i na njoj brda nepomična postavio i dva mora pregradio. – Zar pored Allaha postoji drugi bog?
061_01	Ne postoji, nego većina njih u neznanju živi;
062_00	Onaj koji se nevoljniku, kad Mu se obrati, odaziva, i koji zlo otklanja i koji vas na Zemlji namjesnicima postavlja. – Zar pored Allaha postoji drugi bog? Kako nikako pouku vi da primite! –
063_00	Onaj koji vam u tminama, na kopnu i na moru, put pokazuje i koji vjetrove kao radosnu vijest ispred milosti Svoje šalje. – Zar pored Allaha postoji drugi bog?
063_01	Kako je Allah visoko iznad onih koji druge Njemu ravnim smatraju! –
064_00	Onaj koji sve iz ničega stvara, koji će zatim to ponovo učiniti, i koji vam opskrbu s neba i iz zemlje daje. – Zar pored Allaha postoji drugi bog? Reci: "Dokažite, ako istinu govorite!"
065_00	Reci: "Niko, osim Allaha, ni na nebu ni na Zemlji, ne zna što će se dogoditi; i oni ne znaju kada će oživljeni biti.
066_00	Zar oni o onome svijetu da što znaju! Ništa! – oni u nj sumnjaju, oni su slijepi prema njemu."
067_00	Nevjernici govore: "Zar ćemo, kada postanemo zemlja, i mi i preci naši, zaista, biti oživljeni?
068_00	Ovim nam se već odavno prijeti, i nama i precima našim, a ovo su samo izmišljotine naroda drevnih."
069_00	Reci: "Putujte po svijetu i vidite kako su završili grješnici!"
070_00	I ne žalosti se zbog njih i neka ti nije u duši teško zbog spletki njihovih.
071_00	"Kad će se već jednom obistiniti ta prijetnja, ako istinu govorite?" – pitaju oni.
072_00	Reci: "Stići će vas sigurno nešto od onoga što požurujete!"
073_00	A Gospodar tvoj je neizmjerno dobar ljudima, ali većina njih nije zahvalna.
074_00	Gospodar tvoj dobro zna ono što grudi njihove taje i ono što oni na javu iznose.
075_00	Nema ničeg skrivenog ni na nebu ni na Zemlji, a da nije u Knjizi jasnoj.
076_00	Ovaj Kur'an sinovima Israilovim kazuje najviše o onome u čemu se oni razilaze
077_00	i on je, uistinu, putokaz i milost svakom onom koji vjeruje.
078_00	Gospodar tvoj će im po pravdi Svojoj presuditi; On je Silni i Sveznajući,
079_00	zato se pouzdaj u Allaha, jer ti, doista, slijediš pravu istinu!
080_00	Ti ne možeš mrtve dozvati ni gluhe dovikati kada se leđima okrenu,
081_00	niti možeš slijepe od zablude njihove odvratiti; možeš jedino dozvati one koji u riječi Naše vjeruju, oni će se odazvati.
082_00	I kad dođe vrijeme da oni budu kažnjeni, Mi ćemo učiniti da iz zemlje iziđe jedna životinja koja će im reći da ljudi u dokaze Naše nisu uvjereni.
083_00	A na Dan kada od svakog naroda sakupimo gomilu onih koji su dokaze Naše poricali – oni će biti zadržani –
084_00	i kad dođu, On će upitati: "Jeste li vi dokaze Moje poricali ne razmišljajući o njima, ili, šta ste to radili?"
085_00	I njih će stići kazna zato što su mnogobošci bili, pa neće moći ni riječ izustiti.
086_00	Zar nisu vidjeli da smo učinili noć da u njoj otpočinu, a dan vidnim? – to su, zaista, dokazi za narod koji vjeruje.
087_00	A na Dan kad se u Rog puhne pa se smrtno istrave i oni na nebesima i oni na Zemlji, izuzev onih koje Allah poštedi, svi će Mu ponizno doći.
088_00	Ti vidiš planine i misliš da su nepomične, a one promiču kao što promiču oblaci – to je Allahovo djelo koji je sve savršeno stvorio; On, doista, zna ono što radite.
089_00	Ko učini dobro djelo, dobiće veliku nagradu za njega i biće straha na Sudnjem danu pošteđen;
090_00	a oni koji budu zlo činili, u vatru će naglavačke biti gurnuti. "Zar se već kažnjavate za ono što ste radili?"
091_00	Ja sam primio zapovijest da se klanjam jedino Gospodaru ovoga grada, koji je On učinio svetim – a Njemu sve pripada – i naređeno mi je da budem poslušan
092_00	i da Kur'an kazujem; onaj ko bude išao Pravim putem, na Pravome putu je za svoje dobro; a onome ko je u zabludi, ti reci: "Ja samo opominjem."
093_00	I reci: "Hvala Allahu, On će vam znamenja Svoja pokazati, pa ćete ih vi poznati!" A Gospodar tvoj motri na ono što radite.
