001_00	Knjigu objavljuje Allah, Silni i Mudri!
021_01	zatim se ono osuši i ti ga vidiš požutjelog, i najzad ga skrši. To je, doista, pouka za one koji su pametni.
022_00	Zar je isti onaj čije je srce Allah učinio sklonim islamu, pa on slijedi svjetlo Gospodara svoga? Teško onima čija su srca neosjetljiva kad se spomene Allah, oni su u pravoj zabludi!
023_00	Allah objavljuje najljepši govor, Knjigu sličnu po smislu, čije se poruke ponavljaju, zbog kojih podilazi jeza one koji se Gospodara svoga boje,
023_01	a kada spomene ime Allahovo, kože njihove i srca njihova se smiruju. Ona je Allahov Pravi put na koji On ukazuje onome kome On hoće; a onoga koga Allah ostavi u zabludi niko na Pravi put neće moći uputiti.
024_00	Zar je isti onaj koji će se na Sudnjem danu licem svojim zaklanjati od strahovite patnje? "Trpite ono što ste zaslužili!" – mnogobošcima će se reći.
025_00	Oni prije njih su poricali, pa ih je stigla kazna odakle nisu očekivali.
026_00	Allah je dao da osjete poniženje u životu na ovome svijetu, a patnja na drugome svijetu biće, zaista, još gora – kad bi oni samo znali!
027_00	Mi u ovom Kur'anu navodimo ljudima svakojake primjere da bi pouku primili,
028_00	u Kur'anu na arapskom jeziku, u kome nema nikakve protivrječnosti, da bi se Gospodara svoga pobojali.
029_00	Allah navodi kao primjer čovjeka koji je u vlasti ortākā oko koga se oni otimaju, i čovjeka koji je u vlasti samo jednog čovjeka – da li je položaj njih dvojice isti? Hvaljen neka je Allah, nije, ali većina njih ne zna.
030_00	Ti ćeš, zacijelo, umrijeti, a i oni će, također, pomrijeti,
031_00	i poslije, na Sudnjem danu, pred Gospodarom svojim ćete se jedan s drugim prepirati.
032_00	Ima li nepravednijeg od onoga koji o Allahu govori laži i smatra da je laž Istina kada mu ona dolazi? Zar u Džehennemu prebivalište za nevjernike neće biti?
033_00	A onaj koji donosi istinu i oni koji u nju vjeruju, oni su bogobojazni,
034_00	sve što zažele u Gospodara svoga će naći; to će biti nagrada onima koji su dobra djela činili,
035_00	da bi Allah preko ružnih postupaka njihovih prešao, i da bi ih za lijepa djela koja su radili nagradio.
036_00	Zar Allah sam nije dovoljan robu Svome? A oni te plaše onima kojima se, pored Njega, klanjaju. Onoga koga Allah ostavi u zabludi – niko ne može na Pravi put uputiti,
037_00	a onoga koga On na Pravi put uputi – niko ne može u zabludu dovesti. Zar Allah nije silan i strog?
038_00	Ako ih upitaš ko je stvorio nebesa i Zemlju, sigurno će reći: "Allah!"
038_01	a ti reci: "Mislite li vi da bi oni kojima se, pored Allaha, klanjate mogli otkloniti štetu, ako Allah hoće da mi je učini, ili, da bi mogli zadržati milost Njegovu, ako On hoće da mi je podari?"
038_02	Reci: "Meni je dovoljan Allah, u Njega se pouzdaju oni koji se pouzdavaju." , ,
039_00	Reci: "O narode moj, ti postupaj onako kako postupaš, a i ja ću postupati, pa ćete znati
040_00	koga će stići patnja koja će ga poniziti, i koga će patnja vječna snaći."
041_00	Mi ti objavljujemo Knjigu zbog svih ljudi – samu istinu; onaj ko bude išao Pravim putem – sebi će koristiti, a onaj ko bude išao stranputicom – sebi će nauditi, ti nisi njima tutor.
042_00	Allah uzima duše u času njihove smrti, a i onih koji spavaju, pa zadržava one kojima je odredio da umru, a ostavlja one druge do roka određenog.
042_01	To su, zaista, dokazi za one koji razmišljaju.
043_00	Oni bez Allahova odobrenja posrednike uzimaju. Reci: "Zar i onda kada su bez ikakve moći i kada ništa ne razumiju!"
044_00	Reci: "Niko ne može bez Njegove volje posredovati, vlast na nebesima i na Zemlji Njegova je, a poslije – Njemu ćete se vratiti."
045_00	Kad se Allah samo spomene, grče se srca onih koji u onaj svijet ne vjeruju, a kada se spomenu oni kojima se oni pored Njega klanjaju, odjednom ih radost obuzme.
046_00	Reci: "Allahu, Stvoritelju nebesa i Zemlje, Ti koji znaš nevidljivi i vidljivi svijet, Ti ćeš robovima Svojim presuditi u onome oko čega su se razilazili!"
047_00	Kad bi mnogobošci imali sve što je na Zemlji, i još toliko, na Sudnjem danu oni bi sve to dali da bi se teške patnje iskupili;
047_01	A Allah će ih kazniti kaznom kakvu nisu mogli ni naslutiti.
048_00	i predočiće im se hrđava djela njihova koja su radili i snaći će ih baš ono čemu su se izrugivali.
049_00	Kad čovjeka kakva nevolja snađe, Nama se moli; a kad mu Mi poslije blagodat pružimo, onda govori:
049_01	"Ovo mi je dato zato što sam to zaslužio." A nije tako, to je samo kušnja, ali većina njih ne zna.
050_00	Tako su govorili i oni prije njih, pa im nije koristilo ono što su bili stekli,
051_00	i stigla ih je kazna za ono što su radili. A i one među ovima koji nepravdu čine – stići će kazna za ono što čine, oni neće umaći.
052_00	Kako ne znaju da Allah daje obilje onome kome hoće, i da ga uskraćuje; to su, zaista, pouke narodu koji vjeruje.
053_00	Reci: "O robovi moji koji ste se prema sebi ogriješili, ne gubite nadu u Allahovu milost!
053_01	Allah će, sigurno, sve grijehe oprostiti; On, doista, mnogo prašta i On je milostiv."
054_00	I povratite se Gospodaru svome i pokorite Mu se prije nego što vam kazna dođe – poslije vam niko neće u pomoć priskočiti.
055_00	I slijedite ono najljepše, ono što vam Gospodar vaš objavljuje, prije nego što vam iznenada kazna dođe, za čiji dolazak nećete znati,
056_00	da čovjek ne bi uzviknuo: "Teško meni, koliko sam samo dužnosti prema Allahu propustio, čak sam se i izrugivao!" –
057_00	ili da ne bi rekao: "Da me je Allah Pravim putem uputio, sigurno bih se Njegove kazne sačuvao",
058_00	ili da ne bi rekao kad doživi patnju: "Da mi se samo vratiti – dobra djela bih činio!"
059_00	"Nikada! Dolazile su ti pouke Moje, pa si ih poricao i oholio se, i nevjernik si bio."
060_00	Na Sudnjem danu vidjećeš pocrnjela lica onih koji su o Allahu laži govorili. A zar u Džehennemu neće biti boravište oholih?
061_00	Allah će spasiti one koji su Njegova naređenja izvršavali, a Njegovih se zabrana klonili, i oni će postići ono što su željeli; zlo ih se neće doticati i oni neće tugovati.
062_00	Allah je Stvoritelj svega i On upravlja svim,
063_00	u Njega su ključevi nebesa i Zemlje! A oni koji u Allahove dokaze ne vjeruju, oni će biti izgubljeni!
064_00	Reci: "Zar od mene tražite da se nekome drugom, osim Allahu, klanjam, o neznalice?!"
065_00	A tebi, i onima prije tebe objavljeno je: "Ako budeš druge Allahu ravnim smatrao, tvoja djela će, sigurno, propasti, a ti ćeš izgubljen biti."
066_00	Nego, Allahu se jedino klanjaj i budi zahvalan!
067_00	Oni ne veličaju Allaha onako kako Ga treba veličati; a čitava Zemlja će na Sudnjem danu u vlasti Njegovoj biti, a nebesa će u moći Njegovoj smotana ostati.
067_01	Hvaljen neka je On i vrlo visoko iznad onih koje Njemu smatraju ravnim!
068_00	I u Rog će se puhnuti, i umrijeće oni na nebesima i oni na Zemlji, ostaće samo oni koje bude Allah odabrao; poslije će se u Rog po drugi put puhnuti i oni će, odjednom, ustati i čekati.
069_00	I Zemlja će svjetlošću Gospodara svoga zasjati i Knjiga će se postaviti, vjerovjesnici i svjedoci će se dovesti, i po pravdi će im se svima presuditi, nikome se neće nepravda učiniti;
070_00	svako će dobiti ono što je zaslužio, jer On dobro zna šta je ko radio.
071_00	Oni koji nisu vjerovali u gomilama će u Džehennem biti natjerani, i kad do njega dođu, kapije njegove će se pootvarati i č
071_01	uvari njegovi će ih upitati: "Zar vam nisu dolazili vaši poslanici, koji su vam ajete Gospodara vašeg kazivali i opominjal
071_02	i vas da ćete ovaj vaš Dan doživjeti?" – "Jesu" – reći će oni – "ali još je davno određeno da će nevjernici kažnjeni biti."
072_00	I reći će se: "Ulazite na džehennemske kapije, vječno ćete u njemu boraviti!" Grozna li prebivališta onima koji su se oholili!
073_00	A oni koji su se Gospodara svoga bojali u povorkama će u Džennet biti povedeni,
073_01	i kad do njega dođu – a kapije njegove već širom otvorene – čuvari njegovi će im reći: "Mir vama, od grijeha ste čisti, zato uđite u nj, u njemu ćete vječno boraviti!"
074_00	I oni će reći: "Hvala Allahu, koji nam je obećanje Svoje ispunio i u Džennetu nam mjesto darovao, da se u njemu nastanimo gdje hoćemo!" Divne li nagrade onima koji su se trudili!
075_00	I vidjećeš meleke kako Prijesto okružuju, veličajući i hvaleći Gospodara svoga; i svima će se po pravdi presuditi i reći će se: "Hvaljen neka je Allah, Gospodar svjetova!"
