001_00	Elif Lām Rā. Ovo su ajeti mudre Knjige.
042_00	Ima ih koji dolaze da te slušaju. A možeš li ti učiniti da te čuju gluhi, koji ni pameti nemaju?
043_00	A ima ih koji te posmatraju. A možeš li ti uputiti na Pravi put slijepe, koji ni razuma nemaju?
044_00	Allah zaista neće nikakvu nepravdu ljudima učiniti, ljudi je sami sebi čine.
045_00	A na Dan kada ih on sakupi učiniće im se da su boravili samo jedan čas u danu, i jedni druge će prepoznati. 
045_01	Oni koji su poricali da će pred Allaha stati i koji nisu Pravim putem išli biće izgubljeni.
046_00	Bilo da ti pokažemo dio onoga čime im prijetimo, bilo da ti dušu uzmemo, Nama će se oni vratiti, i tada će Allah biti svjedok za ono što su činili.
047_00	Svaki narod je imao poslanika. I kad poslanik njihov dođe među njih, njima će biti pravedno presuđeno, nasilje im neće biti učinjeno.
048_00	Oni govore: "Kada će već jednom ta prijetnja, ako istinu govorite?"
049_00	Reci: "Sam od sebe ne mogu nikakvu štetu otkloniti, a ni neku korist sebi pribaviti; biva onako kako Allah hoće!
049_01	Svaki narod ima konac, i kad konac njegov dođe – ni za tren ga neće moći ni odložiti ni ubrzati."
050_00	Reci: "Kažite vi meni: ako će vas kazna Njegova noću ili danju zadesiti, zašto je onda požuruju mnogobošci?
051_00	Zar ćete tek onda kad se dogodi – u nju povjerovati? Zar tek tada, a ranije ste je požurivali?"
052_00	Zatim će se reći onima koji su se prema sebi ogriješili: "Iskusite patnju vječnu; zar se kažnjavate više nego što ste zaslužili?"
053_00	Oni te zapitkuju: "Da li je istina da će ono biti?" Reci: "Jest, Gospodara mi moga, zaista je istina i vi nećete moći umaći!"
054_00	Kada bi nevjernik imao sve ono što na Zemlji postoji, sve bi on to dao samo da se otkupi. 
054_01	A kada oni dožive patnju, sakriće tugu, i biće im po pravdi presuđeno, neće im se ništa učiniti nažao.
055_00	Allahovo je sve što je na nebesima i na Zemlji! Allahova prijetnja će se, sigurno, ispuniti! – Ali većina njih ne zna.
056_00	On život i smrt daje i Njemu ćete se vratiti.
057_00	O ljudi, već vam je stigla pouka od Gospodara vašeg i lijek za vaša srca i uputstvo i milost vjernicima.
058_00	Reci: "Neka se zato Allahovoj blagodati i milosti raduju, to je bolje od onoga što gomilaju."
059_00	Reci: "Kažite vi meni zašto jednu hranu koju vam Allah daje smatrate zabranjenom, a drugu dopuštenom?" Reci: "Da li vam je prosuđivanje o tome Allah prepustio ili o Allahu laži iznosite?"
060_00	I šta misle oni koji o Allahu iznose laži, šta će na Sudnjem danu biti? Allah je doista neizmjerno dobar prema ljudima, ali većina njih ne zahvaljuje.
061_00	Što god ti važno činio, i što god iz Kur'ana kazivao, i kakav god vi posao radili, Mi nad vama bdijemo dok god se time zanimate.
061_01	Gospodaru tvome ništa nije skriveno ni na Zemlji ni na nebu, ni koliko trun jedan, i ne postoji ništa, ni manje ni veće od toga, što nije u Knjizi jasnoj.
062_00	I neka se ničega ne boje i ni za čim neka ne tuguju Allahovi štićenici,
063_00	oni koji budu vjerovali i koji se budu Allaha bojali,
064_00	za njih su dobre vijesti i na ovome i na onome svijetu – Allahove riječi niko ne može izmijeniti – to će, zaista, velik uspjeh biti.
065_00	Neka te ne žaloste besjede njihove! Uistinu, sva moć pripada Allahu; On sve čuje i sve zna.
066_00	U Allahovoj vlasti su svi na nebesima i na Zemlji.
066_01	A oni koji se pored Allaha božanstvima klanjaju, povode se samo za pretpostavkama i samo uobražavaju.
067_00	On vam je dao noć da u njoj počinak imate, i dan da vidite. To su dokazi za ljude koji čuju.
068_00	Oni govore: "Allah je sebi uzeo dijete!" – Hvaljen neka je On! On ni o kome ovisan nije!
068_01	Sve što je na nebesima i na Zemlji Njegovo je! Vi za to nikakav dokaz nemate. Zašto o Allahu govorite ono što ne znate!
069_00	Reci: "Oni koji o Allahu laži iznose neće postići ono što žele."
070_00	Uživaće kratko na ovome svijetu, a zatim će se Nama vratiti i Mi ćemo im dati da iskuse nesnosnu patnju zato što nisu vjerovali.
071_00	Kaži im povijest o Nuhu!
071_01	Kad on reče narodu svome: "O narode moj, ako vam je dodijao moj boravak među vama i moje opominjanje Allahovim dokazima – a ja se stalno uzdam u Allaha – onda se, zajedno sa božanstvima svojim, odlučite, i to ne krijte; zatim to nada mnom izvršite i ne odgađajte!
072_00	A ako glave okrenete – pa, ja od vas nikakvu nagradu ne tražim, mene će Allah nagraditi, meni je naređeno da budem musliman."
073_00	Ali, nazvaše ga lašcem, pa Mi u lađi njega i one koji bijahu uz njega spasismo i namjesnicima ih učinismo,
073_01	a one koji dokaze Naše nisu priznavali potopismo, pa pogledaj kako su završili oni koji se na opomene nisu osvrtali!
074_00	Zatim smo, poslije njega, poslanike narodima njihovim slali i oni su im jasne dokaze donosili, ali oni nisu htjeli vjerovati u ono što prije nisu priznavali.
074_01	Tako Mi pečatimo srca onih koji u zlu prelaze svaku mjeru.
075_00	Zatim smo, poslije njih, Musaa i Haruna poslali sa čudima Našim faraonu i glavešinama njegovim, ali su se oni uzoholili – a bio je to grješan narod:
076_00	kad im je od Nas došla Istina, rekli su: "Ovo je doista prava čarolija!"
077_00	"Zar za istinu koja vam je došla kažete da je čarolija?" – reče Musa – "a čarobnjaci neće nikada uspjeti!"
078_00	A oni rekoše: "Zar si došao da nas odvratiš od onoga na čemu smo zatekli pretke naše, da bi vama dvojici pripala vlast na Zemlji? E nećemo mi vama dvojici vjerovati!"
079_00	I faraon reče: "Dovedite mi sve vješte čarobnjake!"
080_00	I kad čarobnjaci dođoše, Musa im reče: "Bacite što imate baciti!"
081_00	I kad oni baciše, Musa uzviknu: "Ono što ste priredili čarolija je! Allah će je uništiti, jer Allah ne dopušta da djelo pokvarenjaka uspije,
082_00	Allah će Svojom moći istinu utvrditi, makar što će to nevjernicima krivo biti!"
083_00	I ne povjerova Musau niko, osim malo njih iz naroda faraonova, iz straha da ih faraon i glavešine n jegove ne počnu zlostavljati –
083_01	a faraon je doista na Zemlji silnik bio i u zlu svaku mjeru prevršio.
084_00	I Musa reče: "O narode moj, ako u Allaha vjerujete, u Njega se pouzdajte ako ste muslimani!"
085_00	"U Allaha se uzdamo!" – rekoše oni. "Gospodaru naš, ne učini da zbog nas dođu u iskušenje ljudi koji nasilje čine,
086_00	i spasi nas, milošću Svojom, od naroda koji ne vjeruje!"
087_00	I Mi objavismo Musau i bratu njegovu: "U Misiru svome narodu kuće izgradite i bogomoljama ih učinite i u njima molitvu obavljajte! A ti obraduj vjernike!"
088_00	I Musa reče: "Gospodaru naš! Ti si dao faraonu i glavešinama njegovim bogatstva da u raskoši žive na ovome svijetu, pa oni, Gospodaru naš, zavode s puta Tvoga!"
088_01	Gospodaru naš, uništi bogatstva njihova i zapečati srca njihova, pa neka ne vjeruju dok ne dožive patnju nesnosnu!"
089_00	"Uslišena je molba vaša!" – reče On – "a vas dvojica na Pravome putu ostanite i nikako se za neznalicama ne povodite!"
090_00	I Mi prevedosmo preko mora sinove Israilove, a za petama su im bili faraon i vojnici njegovi progoneći ih ni krive ni dužne.
090_01	A on, kad se poče daviti, uzviknu: "Ja vjerujem da nema boga osim Onoga u kojeg vjeruju sinovi Israilovi i ja se pokoravam!"
091_00	"Zar sada, a prije si neposlušan bio i razdor sijao?!
092_00	Danas ćemo izbaviti samo tijelo tvoje da bi bio poučan primjer onima poslije tebe" – ali mnogi ljudi su ravnodušni prema Našim poukama.
093_00	I Mi smo sinove Israilove u lijep predjel naselili i ukusnom hranom ih opskrbili, i tek kad im je došlo pravo saznanje, oni su se u mišljenju razišli.
093_01	A Gospodar tvoj će im, sigurno, na Sudnjem danu presuditi u onom u čemu su se razilazili.
094_00	Ako sumnjaš u ono što ti objavljujemo, upitaj one koji čitaju Knjigu, prije tebe objavljenu.
094_01	Tebi Istina od Gospodara tvoga dolazi, i nikako ne budi od onih koji su u sumnji.
095_00	I ne budi nikako od onih koji Allahove dokaze ne priznaju, da ne bi bio izgubljen.
096_00	A oni na kojima se ispuni Riječ Gospodara tvoga zaista neće vjerovati,
097_00	makar im došli svi dokazi, sve dok ne dožive patnju bolnu.
098_00	Zašto nije bilo nijednog grada koji je povjerovao i kome je vjerovanje njegovo koristilo, osim naroda Junusova, kome smo, kada je povjerovao, sramnu patnju u životu na ovome svijetu otklonili i život mu još neko vrijeme produžili?
099_00	Da Gospodar tvoj hoće, na Zemlji bi doista bili svi vjernici. Pa zašto onda ti da nagoniš ljude da budu vjernici?
100_00	Nijedan čovjek nije vjernik bez Allahove volje; a On kažnjava one koji neće da razmisle.
101_00	Reci: "Posmatrajte ono što je na nebesima i na Zemlji!" – A ni od kakve koristi neće biti dokazi i opomene narodu koji neće da vjeruje.
102_00	Zar oni čekaju da ih snađe nešto slično onome što je snašlo one koji su prije njih bili i nestali? Reci: "Pa čekajte, i ja ću s vama čekati!"
103_00	Poslije smo spasavali poslanike Naše i one koji su vjerovali. Eto tako, dužnost je Naša da spasimo vjernike.
104_00	Reci: "O ljudi, ako vi sumnjate u ispravnost moje vjere – pa, ja se neću klanjati onima kojima se, mimo Allaha, vi klanjate, već ću se klanjati Allahu, koji će vam duše uzeti.
104_01	Meni je naređeno da budem vjernik," ,
105_00	i: "Predaj se pravoj vjeri, i nikako ne budi kumirima poklonik,
106_00	i, pored Allaha, ne moli se onome ko ti ne može ni koristiti ni nauditi, jer ako bi to uradio bio bi, uistinu, nevjernik.
107_00	Ako ti Allah dade kakvu nevolju, niko je osim Njega ne može otkloniti, a ako ti zaželi dobro – pa, niko ne može blagodat Njegovu spriječiti;
107_01	On njome nagrađuje onoga koga hoće od robova Svojih; On prašta i milostiv je."
108_00	Reci: "O ljudi, Istina vam dolazi od Gospodara vašeg, i onaj ko se uputi Pravim putem – uputio se
108_01	za svoje dobro, a onaj ko krene stranputicom, krenuo je na svoju štetu, a ja nisam vaš odvjetnik."
109_00	Ti slijedi ono što ti se objavljuje i budi strpljiv dok Allah ne presudi, On je sudija najbolji!
