001_00	Tā Sīn Mīm.
032_00	Uvuci svoju ruku u njedra svoja, pojaviće se bijela, a bez mahane, i priberi se tako od straha!
032_01	To su dva dokaza od Gospodara tvoga faraonu i glavešinama njegovim; oni su, zaista, narod raskalašeni. "
033_00	"Gospodaru moj" – reče – "ja sam ubio jednog njihovog čovjeka, pa se bojim da i oni mene ne ubiju.
034_00	A moj brat Harun je rječitiji od mene, pa pošalji sa mnom i njega kao pomoćnika da potvrđuje riječi moje, jer se bojim da me ne nazovu lašcem."
035_00	"Pomoći ćemo te bratom tvojim" – reče On – "i obojici ćemo vlast dati, pa vam se oni neće usuditi prići; s Našim znamenjima vas dvojica i oni koji vas budu slijedili postaćete pobjednici."
036_00	I kada im Musa donese Naše jasne dokaze, oni povikaše: "Ovo je samo smišljena čarolija; nismo čuli da se ovako nešto dešavalo u doba predaka naših!"
037_00	"Gospodar moj dobro zna onoga koji donosi uputstvo od Njega" – reče Musa – "onoga koji će na kraju pobijediti, a nevjernici doista neće uspjeti!"
038_00	"O velikaši" – reče faraon – "ja ne znam da vi imate drugog boga osim mene,
038_01	a ti, o Hamane, peci mi opeke i sagradi mi toranj da se popnem k Musaovu Bogu, jer ja mislim da je on, zaista, lažac!"
039_00	A on i vojske njegove bijahu se bez ikakva osnova ponijeli na Zemlji i mislili su da Nam neće biti vraćeni,
040_00	pa Mi dohvatismo i njega i vojske njegove i u more ih bacismo; pogledaj kako su skončali nevjernici!
041_00	A bili smo ih učinili vođama koji su pozivali u ono zbog čega se ide u vatru – a na Sudnjem danu niko im neće pomoći –
042_00	i popratismo ih prokletstvom na ovome svijetu, a na onome svijetu biće od svakog dobra udaljeni.
043_00	I Mi smo Musau Knjigu dali, nakon što smo drevne narode uništili, da bude svjetlo ljudima i uputstvo i milost – da bi sebi došli.
044_00	Ti nisi bio na zapadnoj strani kada smo Musau poslanstvo povjerili, a nisi bio ni njegov savremenik.
045_00	Mi smo mnoge narode podigli i oni su dugo živjeli; a ti nisi boravio među stanovnicima Medjena da im kazuješ riječi Naše, nego ti Mi o njima kazujemo vijesti.
046_00	Ti nisi bio pored brda kad smo Musaa pozvali, ali Mi smo te poslali kao milost Gospodara tvoga da opominješ ljude kojima prije tebe nije došao niko ko bi ih opomenuo, da bi se opametili,
047_00	i da ne reknu kad ih kazna stigne zbog onoga što su počinili: "Gospodaru naš, zašto nam nisi poslao poslanika, pa da dokaze Tvoje slijedimo i vjernici budemo?"
048_00	A kad im dolazi Istina od Nas, oni govore: "Zašto mu nije dato onako isto kao što je dato Musau?" A zar oni još davno nisu porekli ono što je Musau dato?
048_01	Oni govore: "Dvije čarolije, jedna drugu podržava" – i govore: "Mi ni u jednu ne vjerujemo."
049_00	Reci: "Pa donesite vi od Allaha knjigu koja bolje nego ove dvije na Pravi put upućuje, nju bih slijedio, ako istinu govorite!"
050_00	Pa ako ti se ne odazovu, onda znaj da se oni povode jedino za strastima svojim. A zar je iko gore zalutao od onoga koji slijedi strast svoju, a ne Allahovu uputu?
050_01	Allah, doista, neće ukazati na Pravi put narodu koji sam sebi nepravdu čini.
051_00	A Mi objavljujemo sve riječ po riječ, da bi razmislili.
052_00	Oni kojima smo dali Knjigu prije Kur'ana, vjeruju u nj,
053_00	a kad im se kazuje, govore: "Mi vjerujemo u nj, on je istina od Gospodara našeg, mi smo i prije bili muslimani."
054_00	Oni će dobiti dvostruku nagradu zato što trpe i što lijepim zlo uzvraćaju i što od onoga što im dajemo udjeljuju;
055_00	a kada čuju besmislicu kakvu, od nje se okrenu i reknu: "Nama naša djela, a vama vaša djela; mir vama! Mi ne želimo društvo neukih."
056_00	Ti, doista, ne možeš uputiti na Pravi put onoga koga ti želiš uputiti – Allah ukazuje na Pravi put onome kome On hoće, i On dobro zna one koji će Pravim putem poći.
057_00	Oni govore: "Ako s tobom budemo Pravi put slijedili, bićemo brzo iz rodnog kraja protjerani."
057_01	Zar im Mi ne pružamo priliku da borave u svetom i sigurnom mjestu gdje se, kao Naš dar, slivaju plodovi svakovrsni; međutim, većina njih ne zna.
058_00	A koliko smo Mi sela i gradova uništili čiji su stanovnici u životu obijesni bili! Eno domova njihovih, malo ko, poslije njih, navrati u njih, Nama su ostali.
059_00	A Gospodar tvoj nikada nije naselja uništavao dok u njihov glavni grad poslanika ne bi poslao, koji im je dokaze Naše kazivao. I Mi smo samo onda naselja uništavali kad su stanovnici njihovi nasilnici bili.
060_00	Sve što vam je darovano samo su naslade i ukrasi u životu na ovome svijetu; a ono što je u Allaha bolje je i trajno je. Zašto se ne opametite?
061_00	Kako može biti jednak onaj kome smo lijepu nagradu obećali, i koju će dobiti, i onaj kome smo dali da se naslađuje u životu na ovome svijetu, a koji će, poslije, na onome svijetu u vatru ubačen biti?
062_00	A na Dan kad ih On pozove i upita: "Gdje su oni koje ste Meni ravnim smatrali?" –
063_00	reći će onī na kojima će se riječ obistiniti: "Gospodaru naš, ove što smo na stranputicu naveli – navel
063_01	i smo zato što smo i sami na stranputici bili; mi ih se pred Tobom odričemo, oni se nama nisu klanjali."
064_00	"Pozovite božanstva vaša!" – reći će im se, pa će ih oni pozivati, ali im se ona neće odazvati, i patnju će doživjeti i zažaliće što na Pravom putu nisu bili.
065_00	A na Dan kad ih On pozove i upita: "Šta ste poslanicima odgovorili?" –
066_00	toga Dana oni neće znati šta će odgovoriti, pa ni jedan drugog neće ništa pitati.
067_00	A onaj koji se bude pokajao, i koji bude vjerovao, i koji bude dobra djela činio, on će postići šta je želio.
068_00	Gospodar tvoj stvara šta hoće, i On odabira. Oni nemaju pravo birati. Hvaljen neka je Allah i vrlo visoko iznad onih koje s Njim izjednačuju!
069_00	Gospodar tvoj zna ono što srca njihova kriju i ono što oni iskazuju.
070_00	On je Allah, drugog boga osim Njega nema; Njemu neka je hvala i na ovome i na onome svijetu! Samo On sudi i Njemu ćete se vratiti.
071_00	Reci: "Kažite vi meni – ako bi Allah dao da vam noć potraje vječno, do Sudnjega dana, koji bog bi vam, osim Allaha, svjetlo dao? Zar ne čujete?"
072_00	Reci: "Kažite vi meni – ako bi Allah dao da vam dan potraje vječno, do Sudnjega dana, koji bog bi vam, osim Allaha, noć dao da u njoj otpočinete?
072_01	Zar ne vidite?
073_00	Iz milosti Svoje On vam je dao noć i dan; da se u njoj odmarate, a da iz dobara Njegovih privređujete i da zahvalni budete."
074_00	A na Dan kada ih On pozove i upita: "Gdje su oni koje ste Meni ravnim smatrali?" –
075_00	iz svakog naroda dovešćemo svjedoka i reći: "Dajte svoj dokaz!" i oni će saznati da je Bog jedino Allah, a neće im biti onih koje su izmišljali.
076_00	Karun je iz Musaova naroda bio, pa ih je tlačio, a bili smo mu dali toliko blaga da
076_01	mu je ključeve od njega teško mogla nositi gomila snažnih ljudi. "Ne budi obijestan,
076_02	jer Allah ne voli one koji su obijesni!" – govorili su mu ljudi iz naroda njegova –
077_00	"i nastoj da time što ti je Allah dao stekneš onaj svijet, a ne zaboravi ni svoj udio na ovome svijetu i čini dru
077_01	gima dobro, kao što je Allah tebi dobro učinio, i ne čini nered po Zemlji, jer Allah ne voli one koji nered čine."
078_00	"Ovo što imam stekao sam znanjem svojim, tako ja mislim" – govorio je on. A zar ni
078_01	je znao da je Allah prije njega uništio neke narode koji su bili od njega jači i k
078_02	oji su bili više nakupili – a zločinci neće o grijesima svojim ni ispitivani biti.
079_00	I iziđe on pred narod svoj u svom sjaju. "Ah, da je i nama ono što je dato Karunu!" – govorili su oni koji su čeznuli za životom na ovom svijetu – "on je, uistinu, presretan."
080_00	"Teško vama!" – govorili su učeni – "onome koji vjeruje i čini dobra djela bolja je Allahova nagrada, a biće samo strpljivima pružena."
081_00	I Mi smo i njega i dvorac njegov u zemlju utjerali, i niko ga od Allahove kazne nije mogao odbraniti, a ni sam sebi nije mogao pomoći.
082_00	A oni koji su ranije priželjkivali da su na njegovu mjestu, stadoše govoriti: "Zar ne vidite da Allah daje obilje onome od robova Svojih kome On hoće, a i da uskraćuje? Da nam Allah nije milost Svoju ukazao, i nas bi u zemlju utjerao.
082_01	Zar ne vidite da nezahvalnici nikad neće uspjeti?"
083_00	Taj drugi svijet daćemo onima koji ne žele da se na Zemlji ohole i da nered čine, a one koji se Allaha boje čeka sretan kraj.
084_00	Onaj ko učini dobro djelo dobiće deseterostruku nagradu za njega, a onaj ko uradi zlo – pa, oni koji budu zlo radili biće tačno prema zasluzi kažnjeni.
085_00	Onaj koji ti objavljuje Kur'an sigurno će te vratiti na onaj svijet. Reci: "Gospodar moj dobro zna ko je na Pravome putu i ko je u očitoj zabludi."
086_00	Ti nisi očekivao da će ti Knjiga biti objavljena, ali, ona ti je objavljena kao milost Gospodara tvoga; zato nikako ne budi nevjernicima saučesnik!
087_00	I neka te oni nikako ne odvrate od Allahovih riječi, kada ti se objave, i pozivaj Gospodaru svome i nikako ne budi od onih koji druge Njemu smatraju ravnim!
088_00	I ne klanjaj se, pored Allaha, drugom bogu! Nema boga osim Njega! Sve će, osim Njega, propasti! On će suditi, i Njemu ćete se povratiti!
