001_00	Tā Sīn Mīm.
169_00	"Gospodaru moj, sačuvaj mene i porodicu moju kazne za ono što oni rade!"
170_00	I Mi smo sačuvali njega i porodicu njegovu – sve,
171_00	osim starice koja je ostala sa onima koji su kaznu iskusili,
172_00	a zatim smo ostale uništili
173_00	spustivši na njih kišu – a strašne li kiše za one koji su opomenuti bili!
174_00	To je pouka, ali većina ovih neće da vjeruje,
175_00	a Gospodar tvoj je, zaista, silan i milostiv.
176_00	I stanovnici Ejke su u laž ugonili poslanike.
177_00	Kad im Šuajb reče: "Kako to da se ne bojite?
178_00	Ja sam vam, sigurno, poslanik pouzdani,
179_00	zato se bojte Allaha i budite poslušni meni!
180_00	Za ovo od vas ne tražim nikakve nagrade, mene će Gospodar svjetova nagraditi.
181_00	Pravo mjerite na litru i ne zakidajte
182_00	a na kantaru ispravnom mjerom mjerite,
183_00	i ljudima prava njihova ne umanjujte i zlo po Zemlji, nered praveći, ne činite,
184_00	i Onoga koji je stvorio vas i narode davnašnje bojte se" –
185_00	rekoše oni: "Ti si samo opčinjen;
186_00	i ti si samo čovjek kao i mi; za nas si ti, doista, lažac pravi;
187_00	zato spusti na nas kaznu s neba, ako istinu govoriš!"
188_00	"Gospodar moj dobro zna šta vi radite" – reče on.
189_00	I oni su nastavili da ga u laž utjeruju pa ih je stigla kazna iz oblaka; a to je bila kazna jednog strašnog dana.
190_00	To je pouka, ali većina ovih neće da vjeruje,
191_00	a Gospodar tvoj je, zaista, silan i milostiv.
192_00	I Kur'an je, sigurno, objava Gospodara svjetova;
193_00	donosi ga povjerljivi Džibril
194_00	na srce tvoje, da opominješ
195_00	na jasnom arapskom jeziku;
196_00	on je spomenut u knjigama poslanika prijašnjih –
197_00	zar ovima nije dokaz to što za njega znaju učeni ljudi sinova Israilovih?
198_00	A da ga objavljujemo i nekom nearapu
199_00	pa da im ga on čita, opet u nj ne bi povjerovali.
200_00	Eto, tako to Mi u srca grješnika uvodimo,
201_00	oni u nj neće vjerovati dok ne dožive patnju nesnosnu,
202_00	koja će im iznenada doći, kad je najmanje budu očekivali,
203_00	pa će reći: "Hoće li nam se imalo vremena dati?"
204_00	Zašto oni kaznu Našu požuruju?!
205_00	Šta ti misliš, ako im Mi dopuštamo da godinama uživaju,
206_00	i naposljetku ih snađe ono čime im se prijeti,
207_00	zar će imati šta od slatkog života koji su provodili?
208_00	Mi nijedan grad nismo razorili prije nego su im došli oni koji su ih opominjali
209_00	da bi pouku primili; Mi nismo nepravedni bili.
210_00	Kur'an ne donose šejtani,
211_00	nezamislivo je da to oni čine; oni to nisu kadri,
212_00	oni ga nikako ne mogu prisluškivati.
213_00	Zato se, mimo Allaha, ne moli drugom bogu – da ne bi bio jedan od onih koji će biti mučeni!
214_00	I opominji rodbinu svoju najbližu
215_00	i budi ljubazan prema vjernicima koji te slijede!
216_00	A ako te ne budu poslušali, ti reci: "Ja nemam ništa s tim što vi radite."
217_00	I pouzdaj se u Silnoga i Milostivoga,
218_00	koji te vidi kada ustaneš
219_00	da sa ostalima molitvu obaviš,
220_00	jer On, doista, sve čuje i sve zna.
221_00	Hoću li vam kazati kome dolaze šejtani?
222_00	Oni dolaze svakome lašcu, grješniku,
223_00	oni prisluškuju – i većinom oni lažu.
224_00	A zavedeni slijede pjesnike.
225_00	Zar ne znaš da oni svakom dolinom blude
226_00	i da govore ono što ne rade,
227_00	tako ne govore samo oni koji vjeruju i dobra djela čine, i koji često Allaha spominju, i koji uzvraćaju kad ih ismijavaju.
227_01	A mnogobošci će, sigurno, saznati u kakvu će se muku uvaliti.
