001_00	Sād. Tako Mi Kur'ana slavnog,
023_00	Ovaj prijatelj moj ima devedeset i devet ovaca, a ja samo jednu, i on mi reče: 'Daj ti nju meni!' – i u prepirci me pobijedi."
024_00	"Učinio ti je, doista, krivo!" – reče Davud – "time što je tražio da tvoju ovcu doda ovcama svojim; mnogi ortaci
024_01	čine nepravdu jedni drugima, ne čine jedino oni koji vjeruju i rade dobra djela; a takvih je malo." I Davud se
024_02	uvjeri da smo Mi baš njega na kušnju stavili, pa oprost od Gospodara svoga zamoli, pade licem na tle i pokaja se.
025_00	I Mi smo mu to oprostili, i on je, doista, blizak Nama i divno prebivalište ga čeka.
026_00	O Davude, Mi smo te namjesnikom na Zemlji učinili, zato sudi ljudima po pravdi i ne povodi se za strašću da te ne odvede s Allahova puta;
026_01	one koji skreću s Allahova puta čeka teška patnja na onome svijetu zato što su zaboravljali na Dan u kome će se račun polagati.
027_00	Mi nismo uzalud stvorili nebo i Zemlju i ono što je između njih; tako misle nevjernici, pa teško nevjernicima kad budu u vatri!
028_00	Zar ćemo postupiti s onima koji vjeruju i čine dobro kao s onima koji prave nered na Zemlji, ili, zar ćemo postupiti s onima koji se grijeha klone isto kao i s grješnicima?
029_00	Knjiga koju ti objavljujemo blagoslovljena je, da bi oni o riječima njezinim razmislili i da bi oni koji su razumom obdareni pouku primili.
030_00	Mi smo Davudu poklonili Sulejmana, divan je on rob bio, i mnogo se kajao!
031_00	Kad su jedne večeri preda nj bili izvedeni punokrvni konji koji su na tri noge stajali, a četvrtom jedva zemlju doticali,
032_00	on reče: "Umjesto da mislim na Gospodara svoga, ja pokazujem ljubav prema blagu!" – i oni se izgubiše iz vida.
033_00	"Vratite mi ih!" – i on ih poče gladiti po nogama i vratovima.
034_00	Mi smo Sulejmana u iskušenje doveli i njegovo bolesno tijelo na prijestolju zadržali, ali je poslije ozdravio.
035_00	"Gospodaru moj" – rekao je – "oprosti mi i daruj mi vlast kakvu niko, osim mene, neće imati! Ti, uistinu, bogato daruješ!"
036_00	I Mi smo dali da mu služe: vjetar – koji je prema zapovijedi njegovoj blago puhao onamo kuda je on htio –
037_00	i šejtani, sve graditelji i gnjurci,
038_00	i drugi u bukagije okovani.
039_00	"Ovo je Naš dar, pa ti oslobodi ili zadrži, nećeš zbog toga odgovarati!"
040_00	On je, doista, blizak Nama i čeka ga krasno prebivalište.
041_00	I sjeti se roba Našeg Ejjuba kada je Gospodaru svome zavapio: "Šejtan me na zlo navraća i misli lažne mi uliva!"
042_00	"Udari nogom o zemlju – eto hladne vode za kupanje i piće!" –
043_00	i Mi smo mu iz milosti Naše čeljad njegovu darovali i još toliko uz njih, da bude pouka za one koji imaju pameti –
044_00	"I uzmi rukom svojom snop i njime udari, samo zakletvu ne prekrši!" Mi smo znali da je on izdržljiv; divan je rob on bio i mnogo se kajao!
045_00	I sjeti se robova Naših Ibrahima i Ishaka i Jakuba, sve u vjeri čvrstih i dalekovidnih.
046_00	Mi ih posebno obdarismo vrlinom jednom: da im je uvijek bio na umu onaj svijet;
047_00	i oni su, zaista, u Nas od onih odabranih dobrih ljudi.
048_00	I sjeti se Ismaila i Eljese'a i Zulkifla, svi su oni bili dobri.
049_00	Ovo je lijep spomen! A one koji se grijeha budu klonili čeka divno prebivalište:
050_00	edenski vrtovi, čije će kapije biti za njih otvorene,
051_00	u kojima će se odmarati, i raznovrsno voće i piće tražiti.
052_00	Pored njih biće hurije, istih godina, koje će preda se gledati.
053_00	"To je ono što vam se obećava za Dan u kome će se račun polagati;
054_00	to će, doista, blagodat Naša biti, koja nikada neće prestajati!"
055_00	Eto toliko! A one koji budu zlo činili čeka najgore prebivalište:
056_00	Džehennem, u kojem će gorjeti; a grozne li postelje!
057_00	Eto toliko! Pa neka okušaju vodu ključalu i kapljevinu smrdljivu
058_00	i druge slične ovima muke, mnogostruke.
059_00	"Ova gomila će zajedno s vama tiskajući se u Džehennem ući!" – "Ne bilo im prostrano! U vatri će oni, doista, gorjeti!"
060_00	"Vama ne bilo prostrano!" – reći će oni – "vi ste nam ovo pripremili, a grozna li boravišta!"
061_00	"Gospodaru naš" – reći će – "udvostruči patnju u vatri onima koji su nam ovo priredili!"
062_00	I govoriće: "Zašto ne vidimo ljude koje smo u zle ubrajali
063_00	i koje smo ismijavali? Da nam se nisu iz vida izgubili?"
064_00	Istina je, sigurno, da će se stanovnici Džehennema među sobom raspravljati.
065_00	Reci: "Ja samo opominjem; nema boga osim Allaha, Jedinoga i Moćnog,
066_00	Gospodara nebesa i Zemlje i onoga što je između njih, Silnoga, Onoga koji prašta."
067_00	Reci: "Ovo je vijest velika,
068_00	a vi od nje glave okrećete.
069_00	Ja nisam ništa znao o melekima uzvišenim kada su se prepirali –
070_00	meni se objavljuje samo da jasno opominjem" –
071_00	i kad je melekima Gospodar tvoj rekao: "Stvoriću čovjeka od ilovače,
072_00	pa kad mu savršen oblik dam u život u nj udahnem, vi mu se poklonite!"
073_00	meleki su se, svi do posljednjeg, zajedno poklonili
074_00	osim Iblisa; on se uzoholio i postao nevjernik.
075_00	"O Iblisu!" – rekao je On – "šta te navelo da se ne pokloniš onome koga sam sobom stvorio? Jesi li se uzoholio ili misliš da si uzvišen?"
076_00	"Bolji sam od njega" – rekao je on – "mene si stvorio od vatre a njega od ilovače."
077_00	"E, izlazi onda iz Dženneta!" – reče On – "proklet da si!
078_00	Moje prokletstvo će te do Sudnjeg dana pratiti!"
079_00	"Gospodaru moj" – reče on – "daj mi vremena do Dana kada će oni oživljeni biti!"
080_00	"Dajem ti" – reče On –
081_00	"do Dana već određenog."
082_00	"E tako mi dostojanstva Tvoga" – reče – "sigurno ću ih sve na stranputicu navesti,
083_00	osim Tvojih među njima robova iskrenih!"
084_00	"Istinom se kunem i istinu govorim" – reče Allah –
085_00	"sigurno ću sa svima, tobom i onima koji se budu poveli za tobom, Džehennem napuniti!"
086_00	Reci: "Ne tražim ja od vas za ovo nikakvu nagradu i ja nisam izvještačen,
087_00	Kur'an je doista svijetu cijelome opomena! –
088_00	i vi ćete uskoro saznati njegovu poruku!"
