001_00	Алиф. Лом. Мийм.
019_00	Аллоҳ махлуқни аввал-бошдан қандай яратишини, сўнгра уни яна қайтаришини кўрмайдиларми?! Албатта, бу Аллоҳ учун осондир. (Ҳар лаҳзада Аллоҳ таоло турли мавжудотларни йўқдан бор қилаётгани кўрилади. Дунёда пайдо бўлаётган ҳар бир янги нарсани Аллоҳ таоло яратаётгани аниқ. Буни тушуниб етмоқ лозим. Ўша янги пайдо бўлаётган махлуқотлардан, мавжудотлардан энг кичигини, энг соддасини, энг оддийини ҳам одамзот ярата олмайди. Барча инсонлар тўпланиб уринсалар ҳам, бу ишнинг уддасидан чиқа олмайдилар. Бу ҳам тажрибадан ўтган ҳақиқат. Инсон энди шу ҳақиқатни тан олиши лозимки, ана ўша барча махлуқотларни йўқдан бор қилган зотга уларни қиёматда яна қайта тирилтириш жуда ҳам осон. Чунки йўқдан бор қилган зотга борни қайтариш ҳеч гап эмас.)
020_00	Сен: «Ер юзида сайр этиб юринглар ва махлуқотларни У зот аввал-бошдан қандай яратганига назар солинглар. Сўнгра Аллоҳ охират ҳаётини пайдо қилур. Албатта, Аллоҳ ҳар бир нарсага қодирдир.
021_00	Кимни хоҳласа, азоблайдир, кимни хоҳласа, раҳм қиладир. Унгагина қайтарилурсизлар.
022_00	Сиз на ер юзида ва на кўкда У зотни ожиз қолдиргувчи эмассиз. Сизга Аллоҳдан ўзга дўст ҳам, ёрдамчи ҳам бўлмас», деб айт. (Cиз ер юзида ҳам, кўкда ҳам Аллоҳни ожиз қолдириб, қочиб қутула олмайсиз. Унга қайтиб боришингиз, жазоингизни олишингиз турган гап.)
023_00	Аллоҳнинг оятларига ва Унга рўбарў бўлишга куфр келтирганлар, ана ўшалар Менинг раҳматимдан ноумид бўлдилар. Ана ўшаларнинг ўзларига аламли азоб бор. (Ҳа, бу дунёда фақат кофиргина Аллоҳнинг раҳматидан ноумид бўлади. Чунки у ўзининг кофирлиги туфайли Аллоҳ билан бўлган алоқасини узади. )
024_00	Унинг қавмининг жавоби: «Уни ўлдиринглар ёки ўтда ёқинглар!» дейишларидан бошқа нарса бўлмади. Бас, Аллоҳ уни ўтдан қутқарди. Албатта, бунда иймон келтирадиган қавмлар учун оят-белгилар бордир.
025_00	У: «Сизлар, албатта, ҳаёти дунёдаги ўзаро маваддатингиз учун Аллоҳни қўйиб, бутларни тутдингиз. Сўнгра қиёмат кунида баъзингиз баъзингизга куфр келтирурсиз ва баъзингиз баъзингизни лаънатларсиз.
025_01	Ва жойингиз дўзахдир. Ҳамда сизга нусрат бергувчилар бўлмас.
026_00	Бас, унга Лут иймон келтирди ва: «Албатта, мен Роббимга ҳижрат қилгувчиман. Албатта, У азиз ва ҳакимдир», деди. (Яъни, Иброҳимга алайҳиссалом Лут иймон келтирди. Лут алайҳиссалом Иброҳимга алайҳиссалом жиян бўлар эди. Лут алайҳиссалом амакилари Иброҳимга алайҳиссалом иймон келтирган биринчи одам бўлдилар. Шунингдек, Иброҳимга алайҳиссалом хотинлари Биби Сора ҳам иймон келтирган эдилар. Тафсирчи уламоларимиз оятдаги «Албатта, мен Роббимга ҳижрат қилгувчиман» жумласини ким айтгани тўғрисида икки хил фикр билдирганлар. Баъзилари, бу гапни Лут алайҳиссалом айтган, десалар, кўплари, Иброҳим алайҳиссалом айтган, дейдилар. Нима бўлганда ҳам, Аллоҳга ҳижрат қилиш, дунёдаги барча нарсани ташлаб, Аллоҳ таолога томон интилиш туйғуси Иброҳимда алайҳиссалом ҳам, Лутда алайҳиссалом ҳам кучли бўлган. Аллоҳ таолонинг азиз-ғолиб, барчадан устун эканлигига ва ҳар нарсани ҳикмат билан қилишига ҳам уларнинг ишончлари юқори даражада бўлган.)
027_00	Биз унга Исҳоқни ва Яқубни бахш этдик ва Пайғамбарлик ҳамда китобни унинг зурриётида бўладиган қилдик.
027_01	Унга бу дунёда ажрини бердик. Албатта, у охиратда солиҳлардан бўлгай.
028_00	Ва Лутни (ҳам юбордик). Ўшанда у ўз қавмига: «Албатта, сиз ўзингиздан олдин ўтган оламлардан ҳеч ким қилмаган фоҳиша ишни қилмоқдасиз.
029_00	Сизлар эркакларга яқинлик қилиб, йўлни кесасизми ва тўплантиларингизда мункир иш қилурмисиз?!»деди.
029_01	Унинг қавмининг жавоби: «Агар ростгўйлардан бўлсанг, бизга Аллоҳнинг азобини келтир», дейишдан бошқа бўлмади.
030_00	У: «Эй Роббим, менга бузғунчи қавмларга қарши Ўзинг нусрат бер», деди. (Бу бузғунчи қавмга ҳеч қандай насиҳат, даъват фойда бермади. Энди, уларга қарши Аллоҳнинг Ўзи нусрат бермаса, бошқа илож йўқ эди. Аллоҳ Лут алайҳиссаломнинг бу дуоларини қабул этди. Фоҳишачи қавмни ҳалок қилиш учун фаришталарни юборди. Ўша фаришталарга йўл-йўлакай Иброҳимга алайҳиссалом фарзанд кўришлари ҳақидаги башорат-хушхабарни етказиш ҳам топширилган эди. Шу мақсад ила улар аввал Иброҳим алайҳиссалом ҳузурларига келдилар.)
031_00	Бизнинг элчиларимиз Иброҳимга хушхабарни келтиришганида: «Албатта, биз ушбу шаҳар аҳлини ҳалок қилгувчидирмиз. Албатта, унинг аҳли зулм қилгувчилардан бўлдилар», дедилар.
032_00	У: «Унда Лут бор-ку?!» деди. Улар: «Биз унда ким борлигини яхши биламиз. Биз, албатта, унга ва унинг аҳлига нажот берамиз. Магар унинг хотини ҳалок бўлгувчилардан бўлгандир», дедилар.
033_00	Элчиларимиз Лутга келишганида, у улар сабабли маҳзун бўлди ва келишларидан юраги сиқилди. Улар: «Сен хавфсирама ва маҳзун ҳам бўлма, албатта, биз сени ва аҳлингни қутқаргувчилармиз. Магар хотининг ҳалок бўлгувчилардан бўлгандир. (Лутнинг алайҳиссалом Аллоҳ юборган фаришталарни кўриб хафа бўлишларига сабаб бор эди.
033_01	Аввалло, элчи-фаришталар навқирон ҳуснли йигитлар қиёфасида келган эдилар. Қолаверса, Лут алайҳиссалом уларнинг элчи-фаришталар эканидан ҳали-ҳануз хабар топмаган эдилар. Шунинг учун ёш ва чиройли меҳмон йигитларга жиноятчи қавм тажовуз қилиб, мезбон Лутни алайҳиссалом шарманда этишлари мумкин эди. Шу сабабли Лут алайҳиссалом уларни кўриб маҳзун бўлдилар ва юраклари сиқилди.)
034_00	Албатта, Биз ушбу шаҳар аҳолиси бошига фосиқлик қилганлари туфайли осмондан азоб туширгувчимиз», дедилар.
035_00	Батаҳқиқ, Биз ундан ақл юритгувчи қавмлар учун очиқ-ойдин оят-белгилар қолдирганмиз. (Лут қавмидан, улар яшаб ўтган диёрдан уларнинг жиноятлари оқибати нима билан тугаганини эслатиб турувчи нишоналар қолдирилгандир. Бу нишоналар ўша қавм ҳақидаги қисса, оят ва эсдаликлар бўлиши мумкин. Шунингдек, улар яшаб ўтган юртнинг қолдиқлари ҳам бўлиши мумкин. Ўлик денгиз ҳудудида Садум шаҳрининг қолдиқлари топилган, ҳозирда кўпчилик бориб кўрмоқда.)
036_00	Ва Мадянга биродарлари Шуайбни (юбордик). Бас, у: «Эй қавмим, Аллоҳга ибодат қилинг, охират кунидан умидвор бўлинг ва ер юзида бузғунчилик ила харакат қилиб юрманг», деди. (Шуайб алайҳиссалом ҳам, Иброҳимнинг алайҳиссалом зурриётларидан чиққан араблардандирлар.)
037_00	Бас, уни ёлғончига чиқардилар. Шунда уларни бир силкиниш тутди ва диёрларида чўккалаб қолдилар. (Мадян аҳлининг қай тарзда ҳалокатга учрагани ҳақидаги хабар тафсилоти бошқа сураларда ўтди. Аввал уларга қаттиқ ва даҳшатли овоз келиб, қалбларини ёриб юборди. Кейин кучли зилзила бўлиб, уларни тутдек тўкиб қўйди. Ҳаммалари турган жойларида чўккалаб қолиб, ҳалок бўлдилар. Бу ҳалокат уларнинг иймон йўлига юрмаганликларининг жазоси эди.)
038_00	Ва Од ва Самудни (ҳам ҳалок этдик). Батаҳқиқ, бу сизга уларнинг масканларидан аён бўлиб турибди. Шайтон уларга амалларини зийнатлаб кўрсатиб, уларни йўлдан тўсди. Ҳолбуки, улар кўриб-билиб тургувчи эдилар.
039_00	Қорун, Фиръавн ва Ҳомонларни (ҳам ҳалок қилдик). Батаҳқиқ, Мусо уларга очиқ-ойдин ҳужжатлар келтирди. Бас, улар ер юзида мутакаббирлик қилдилар ва қочиб қутулгувчи бўлмадилар.
040_00	Улардан ҳар бирини гуноҳи туфайли тутдик.
040_01	Бас, улардан баъзилари устига тош ёғдирдик, баъзиларини қичқириқ ушлади, баъзиларини ерга ютдирдик ва баъзиларини ғарқ қилдик.
040_02	Аллоҳ уларга зулм этгувчи бўлмади, лекин улар ўзларига зулм этдилар.
041_00	Аллоҳни қўйиб, ўзга дўстлар тутганларнинг мисоли ўзига уй тутган ўргимчакка ўхшайди. Ҳолбуки, энг заиф уй ўргимчакнинг уясидир. Кошки билсалар эди.
041_01	(Аллоҳдан ўзганинг йўлини тутганлар, унинг уйидан ўзга уйда яшашни ихтиёр қилганлар ўзларининг ўргимчак уясида яшашни ихтиёр қилаётганларини кошки билсалар эди. Уларнинг тузган тузумлари худди ўргимчак уясига ўхшаб, ўта нимжон эканини билсалар эди. Такаббурликлари ила Аллоҳ қуриб берган улуғвор қасрни инкор этиб, ўргимчак уясида яшашни ихтиёр қилаётганларини билсалар эди. Бу ҳақиқатни биладиларми, билмайдиларми — уларга фарқи йўқ.)
042_00	Албатта, Аллоҳ улар ўзидан бошқа нима нарсага дуо қилаётганларини яхши биладир. Ва У азиз ва ҳаким зотдир.
043_00	Ушбу мисолларни Биз одамлар учун келтирурмиз. Лекин уларга олимлардан ўзгаларнинг ақллари етмас. (Ҳа, Аллоҳ таоло келтираётган мисолларни ақлли кишиларгина тўла тушуниб етадилар. Ундан ўзларига ибрат оладилар. Ақлсизлар эса, бу мисолларни тушуниш ўрнига Макка мушриклари каби: «Муҳаммаднинг Робби пашша ва ўргимчакни гапириб юрибди», деб масхара қиладилар.)
044_00	Аллоҳ осмонлар ва ерни ҳақ ила яратгандир. Албатта, бунда мўминлар учун оят-белги бордир.
045_00	Сенга китобдан ваҳий қилинган нарсани тиловат қил ва намозни тўкис адо эт, албатта, намоз фоҳиша ва мункар ишлардан қайтарур. Албатта, Аллоҳнинг зикри буюк ишдир. Аллоҳ нима қилсангиз, билур. (Қуръонни тиловат қилиб, кишиларга етказиш Ислом даъватининг асосий омилидир. Ушбу илоҳий китоб маъноларини кишиларга етказиш, унинг таълимотларига амал қилишга чақириш даъватчининг асосий иши бўлмоғи лозим. Биз «намозни тўкис адо эт» деб таржима қилган жумлани тўридан-тўғри, сўзма-сўз ўзбекчага ағдарадиган бўлсак, «намозни тик турғиз»
045_01	бўлиб чиқади. Демак, намозни ўқиш билан намозни тик турғизиш, яъни, тўкис адо этиш орасида фарқ бор. Аллоҳ таоло Пайғамбарга (с. а. в.) намоз ўқи деб эмас, намозни тўкис адо эт, деб хитоб қилмоқда. Мана шу нуқтадан кимнинг намози ҳақиқий, кимники сохта эканини билиб оламиз. Намозни ҳамма ҳам ўқийверади, лекин намозхон фоҳиша ва мункар ишлардан қайтмаса, унинг ўқиган намози ҳақиқий бўлмайди. Қачонки намозхон намозни тўкис адо қилса, фоҳиша ва мункар ишлардан қайтади.)
046_00	Сизлар аҳли китобларнинг зулм қилганларидан бошқалари билан фақат яхши услубда мужодала этинглар ва уларга: «Биз ўзимизга нозил қилинган ва сизга нозил қилинган нарсага иймон келтирдик, бизнинг илоҳимиз ва сизнинг илоҳингиз бирдир ва биз унга бўйсунгувчимиз», денглар. (Оятда зулм қилмаган аҳли китоблар билан яхши, гўзал услубда мужодала қилишга амр этилмоқда.
046_01	Аввало, зулм қилган аҳли китоблар ким эканини ажратиб олайлик. Аҳли китобларнинг зулм қилганлари хоҳ яҳудий, хоҳ насроний бўлсин, ўзларига келган илоҳий таълимотларни бузиб, Аллоҳга ширк келтирган, соф ақидани ўзгартирганлардир. Демак, улар билан яхши услубда мужодала қилишга ўрин йўқ, чунки улар золимлардир.)
047_00	Ана шундай қилиб, сенга ҳам китоб нозил қилдик. Бас, Биз уларга китоб берган кимсалар унга иймон келтирурлар. Анавилардан ҳам унга иймон келтирадиганлари бор. Бизнинг оятларимизни фақат кофирларгина инкор этурлар. (Қуръон оятларини ким инкор этса, ким уларга иймон келтирмаса, ўша кофирдир. Хоҳ у аҳли китобдан бўлсин, хоҳ мушриклардан бўлсин, хоҳ бошқа тоифадан бўлсин.
047_01	Баъзи бир устамон аҳли китоблар ҳозирда содда мусулмонларнинг бошини аввалги оят маъноси билан айлантирмоқдалар. Мана, Қуръонда сизлар билан бизни тенг дейилган, Илоҳимиз бир, фарқи йўқ, келинглар, Инжил ўқинглар, черковга киринглар, деб йўлдан урмоқдалар. Кейинги оят эса, айтилмай қолиб кетмоқда. Мусулмонлар Қуръондан узоқлашганда ана шундай мусибатлар келиб чиқади. Ислом келди, бошқа барча динлар ботил бўлди. Қуръон келди, бошқа барча китоблар насх бўлди. Ушбу ҳақиқатни ҳамма яхши билмоғи даркор.)
048_00	Ундан олдин ҳеч бир китобни тиловат қилмас эдинг ва қўлинг билан хат ёзмас эдинг. Агар шундай бўлганида, ботил аҳллари шубҳага тушган бўлур эдилар. (Бу ўқиш-ёзишни билади, бирор китобдан ўқигандир, бирор устоздан ёзиб олгандир, деб Қуръоннинг илоҳий китоб эканлиги ҳақида шубҳага тушган бўлар эдилар.)
049_00	Йўқ! У(Қуръон) илм берилганлар кўксидаги очиқ-ойдин оятлардир. Бизнинг оятларимизни фақат золимларгина инкор қилур.
050_00	Ва улар: «Унга Роббидан мўжизалар нозил қилинса эди», дедилар. Сен: »Мўъжизалар ёлғиз Аллоҳнинг ҳузуридадир. Мен эса, фақат очиқ-ойдин огоҳлантиргувчиман, холос», дегин.
051_00	Уларга Бизнинг сенга ўзлари учун тиловат қилинаётган ушбу китобни нозил этганимиз кифоя қилмайдими?! Албатта, бунда иймон келтирадиган қавмлар учун раҳмат ва эслатма бордир.
052_00	«Мен билан сизнинг орамизда гувоҳликка Аллоҳнинг Ўзи кифоядир.
052_01	У осмонлару ердаги нарсани билур. Ботилга иймон келтириб, Аллоҳга куфр келтирганлар, ана ўшалар ўзлари зиён кўргувчилардир», деб айт.
053_00	Улар сендан азобни тезлаштиришни талаб қилурлар. Агар белгиланган ажал бўлмаганида, уларга, албатта, азоб келган бўлур эди. Албатта, уларга у тўсатдан, улар сезмаган ҳолда келур.
054_00	Улар сендан азобни тезлаштиришни талаб қилурлар. Ҳолбуки, жаҳаннам ҳеч шубҳасиз кофирларни ўраб тургувчидир.
055_00	У кунда азоб уларни устларидан ва оёқлари остидан ўраб олур ва У зот: «Қилиб юрган амалларингиз (жазосини) тотинг!» деб айтур.
056_00	Эй иймон келтирган бандаларим, албатта, Менинг ерим кенгдир. Бас, Менгагина ибодат қилинглар. (Сиз Менинг бандамсиз, ер Менинг ерим. Кофирлар бирор жойда иймонингиз учун, дину диёнатингиз учун сизга тинчлик бермаётган бўлса, қийноқ-қистовга олаётган бўлса, Менинг ерим кенг, бошқа томонида яшаб, истиқомат қилишингиз мумкин.)
057_00	Ҳар бир жон ўлимни топажакдир. Сўнгра Бизгагина қайтарилурсиз.
058_00	Иймон келтириб, яхши амалларни қилганларни жаннатдан остидан анҳорлар оқиб турган олимақом жойларга жойлаштирурмиз. У ерда абадий қолурлар. Амал қилгувчиларнинг ажри қандай ҳам яхши!
059_00	Улар сабр қилган ва Роббиларигагина таваккул қиладиган зотлардир.
060_00	Ўз ризқини кўтара олмайдиган қанчадан-қанча жонзотлар бор. Уларга ҳам, сизларга ҳам Аллоҳ ризқ берадир. Ва У ўта эшитгувчи ва ўта билгувчи зотдир. Дарҳақиқат, ўйлаб кўрадиган бўлсак, кўпгина жонзотлар ризқга муҳтож бўлганида, уни тановвул қилишдан бошқа нарсани билмайди. Ризқ топиш учун ҳаракат ҳам қилмайди. Ризқни ўзи билан кўтариб ҳам юрмайди. Ўзига ризқ жамғармайди ҳам. Фақат ризқ керак бўлганида, уни тановвул қилади, холос. Аммо ризқ топилмасдан, бирортаси очқаб ўлиб ҳам қолмайди. Ризқини териб еб юраверади. Фақат инсонгина ризқ тўплашни одат қилган. Илоҳий таълимотлардан узоқ бўлган баъзи бир одамлар ҳаётни ризқ-рўз учун курашишдан иборат, деб ўйлайдилар. Улар ўзларича, ризқни ўзимиз топмоқдамиз, деб гумон қиладилар.
061_00	Агар улардан: «Осмонлару ерни ким яратган ва қуёшнию ойни ўз измига қаратган ким?» деб сўрасанг: «Аллоҳ», дерлар. Бас, унда қаёққа бурилмоқдалар?!
062_00	Аллоҳ Ўз бандаларидан кимни хоҳласа, ризқини кенг қилиб қўядир ва хоҳлаганиникини тор қиладир. Албатта, Аллоҳ ҳар бир нарсани ўта билгувчи зотдир.
063_00	Агар улардан: «Осмондан сув тушириб, у билан ўлган ерни тирилтирган ким?!» деб сўрасанг, албатта, улар: «Аллоҳ», дерлар. Сен: «Аллоҳга ҳамд бўлсин!»
063_01	деб айт. Йўқ! Уларнинг кўплари ақл юритмаслар. (Мушрикларга тиллари билан ўзларига қарши далил айтдирган Аллоҳга ҳамдлар бўлсин.)
064_00	Бу дунё ҳаёти фақат ўйин-кулгидан иборатдир. Агар билсалар, охират диёри, ана ўша ҳақиқий ҳаётдир.
065_00	Улар қачон кемага минсалар, Аллоҳга, Унинг динига ихлос қилган ҳолларида дуо қилурлар. Нажот бериб, уларни қуруқликка чиқарса, баногоҳ ширк келтирурлар.
066_00	Улар Биз берган нарсага куфр келтираверсинлар ва ҳузур қилаверсинлар! Бас, тезда билурлар.
067_00	Биз уларга Ҳарамни омонлик жойи қилиб қўйганимизни билмабмидилар?! Ҳолбуки, уларнинг атрофида одамлар талон-тарожга учрамоқдалар. Улар ботилга иймон келтириб, Аллоҳнинг неъматига куфр келтирадиларми?! (Макка аҳли Ҳарами Шарифнинг ҳурмати сабабидан омонликда яшар эдилар. Ҳеч ким уларга тегмас, ҳатто ёмон қарамас, балки Ҳарами Шарифнинг юзидан уларни ҳам улуғлар, эҳтиром қилар эдилар. Ҳарамнинг чегарасидан ташқаридагиларни эса, хоҳлаганлар ўлдирар, хоҳлаганлар олиб кетиб, қул қилар ёки молу дунёсини тортиб олар эди.)
068_00	Аллоҳга нисбатан ёлғон тўқиган ёки ўзига келган ҳақни ёлғонга чиқарган кимсадан ҳам золимроқ одам борми?! Кофирларга жаҳаннамда турар жой йўқмиди?!
069_00	Бизнинг (йўлимизда) жиҳод қилганларни Ўз йўлларимизга ҳидоят этурмиз. Албатта, Аллоҳ чиройли амал қилгувчилар биландир.
