001_00	Алиф. Лоом. Ро. Ушбулар китобнинг ва равшан Қуръоннинг оятларидир.
016_00	Батаҳқиқ, Биз осмонларда буржлар қилиб қўйдик ва уни назар солувчилар учун зийнатлаб қўйдик. (Осмон ҳамманинг кўз ўнгида турибди. Лекин ҳамма ҳам осмонни Аллоҳнинг қудратига далолат қилувчи буюк мўъжиза деб тушунавермайди. Аслида, у мўъжизадир. Хўш, шундай улкан, бепоён, чексиз осмонни ким яратган? Яратганда ҳам, юлдузлар юрадиган йўллар–буржлар билан ким яратган? Албатта, Аллоҳ яратган.)
017_00	Уни ҳар бир қувилган шайтондан муҳофаза қилдик.
018_00	Магар бирортаси ўғриликча қулоқ осса, равшан олов унинг ортидан тушар.
019_00	Биз ерни ёйиб, устига баланд тоғларни ташлаб қўйдик ва унда ўлчанган турли нарсаларни ўстириб қўйдик.
020_00	Ва унда сизлар учун маош воситаларини ва сиз ризқини бера олмайдиган кимсаларни қилиб қўйдик.
021_00	Ҳеч бир нарса йўқки, унинг хазиналари Бизнинг ҳузуримизда бўлмаса. Биз уни фақат маълум миқдорла нозил қилурмиз.
022_00	Биз шамолларни урчитувчилар этиб юбордик. Бас, осмондан сув тушириб, у ила сизларни сероб қилдик. Сизлар уни тўплаб олувчи эмассиз. (Яъни, Биз шамолларни ўлчов билан булутларни урчитувчи, бир-бирига қўшиб сув ҳосил қилувчи этиб юбордик. Асосан, ёмғирнинг ёғишига шамоллар сабаб бўлади. Улар маълум қоидаларга кўра эсади. Пайдо бўлган булутларнинг бир-бирлари ила қўшилишларидан сув ҳосил бўлади. Ана шундан кейин осмондан сув тушади, ёмғир ёғади. Аллоҳ таоло у сув билан ер юзини, одамларни сероб қилади. Деярли ҳамма ризқ осмондан тушган шу сувга боғлиқ бўлади. Инсон эса, Аллоҳ тайёр ҳолда унга осмондан тушириб берган сувни тўплаб олишга ҳам қодир эмас. Уни тўплашни ҳам булоқ, қудуқ, анҳор, ер ости кўллари ва бошқа воситалар орқали Аллоҳ таолонинг Ўзи амалга оширади.)
023_00	Албатта, Биз Ўзимиз тирилтирурмиз ва Биз меросхўрлармиз.
024_00	Батаҳқиқ, сиздан олдин келганларни билдик. Батаҳқиқ, кейин келганларни ҳам билдик.
025_00	Албатта, сенинг Роббинг Ўзи уларни маҳшарга жамлар. Албатта, У ҳикматли ва илмли Зотдир.
026_00	Батаҳқиқ, Биз инсонни қуруқ лойдан, ўзгартирилган қора балчиқдан яратдик.
027_00	Ва жинларни бундан олдин самум оловидан яратдик.
028_00	Сен Роббингнинг фаришталарга: «Албатта, мен қуруқ лойдан, ўзгартирилган қора балчиқдан башар яратгувчидирман.
029_00	Бас, қачонки уни тўғрилаб бўлганимда ва ичига Ўз руҳимдан пуфлаганимда, унга сажда қилган ҳолингизда йиқилинг», деганини эсла.
030_00	Бас, фаришталар барчалари сажда қилдилар.
031_00	Магар Иблис сажда қилувчилар билан бирга бўлишдан бош тортди.
032_00	У зот: «Эй иблис! Сенга не бўлди, сажда қилувчилар билан бирга бўлмаслигингга?» деди.
033_00	У: «Сен қуруқ лойдан, ўзгартирилган қора балчиқдан яратган башарга сажда қила олмасдим», деди.
034_00	У зот: «Бас, сен ундан чиқ! Албатта, сен қувилгансан!
035_00	Ва, албатта, сенга то жазо кунигача лаънат бўлур!» деди.
036_00	У: «Эй Роббим, мени улар қайта тириладиган кунгача қўйиб қўйгин», деди.
037_00	У зот: «Албатта, сен қўйиб қўйилганлардансан.
038_00	Маълум вақт кунигача», деди.
039_00	У: «Эй Роббим, мени залолатга кетказганинг сабабидан, албатта, мен уларга ер юзида (гуноҳларни) зийнатлаб кўрсатаман ва, албатта, уларнинг ҳаммасини иғво қиламан.
040_00	Магар, улардан танланган бандаларингни (адаштира олмайман)», деди.
041_00	У зот: «Ушбу зиммамдаги тўғри йўлдир:
042_00	Албатта, Менинг бандаларим устида сенинг султонинг йўқдир, магар сенга эргашган гумроҳларгагина бордир.
043_00	Албатта, жаҳаннам уларнинг барчасининг ваъда қилинган жойидир.
044_00	Унинг етти эшиги бордир. Ҳар бир эшик учун улардан тақсимланган бўлаги бордир» деди. (Баъзи ривоятларда келишича, жаҳаннам етти қаватдан иборат бўлиб, ҳар қаватининг алоҳида эшиги бўлар экан. Ҳар қавати бир-биридан ашаддийроқ бўлар экан. Чунки гумроҳлик, хатокорлик ҳам ҳар хил бўлади. Қилган гуноҳи даражасига қараб кофирлар турли қаватларга киритилади. Шайтонга эргашган гумроҳлар тақсимлаб, бўлиб-бўлиб, гуруҳларга ажратиб қўйилган бўлади. Ўша мазкур етти эшикдан гуноҳининг кўп-озлигига қараб бирин-кетин киритилаверадилар.)
045_00	Албатта, тақводорлар жаннатлар ва чашмалардадир.
046_00	«У(жаннатлар)га тинчлик, омонлик ила киринглар» (дейилур).
047_00	Уларнинг дилларидаги ғилли-ғиштларни чиқариб ташладик. Сўриларда бир-бирларига боқиб, дўст бўлган ҳолларида ўлтирурлар. (Инсон қанчалик моддий роҳат-фароғатга эришмасин, кўнглида бир оз ғашлик бўлса, унга ўша роҳат-фароғат татимайди. Шунинг учун Аллоҳ таоло Ўз раҳмати ила жаннатга сазовор қилган тақводор бандаларининг дилларида ғашликлар, яъни, ҳиқду ҳасад, кўра олмаслик каби баъзи бир иллатлар бўлса, чиқариб ташлайди.)
048_00	Уларни у жойда чарчоқ тутмас ва улар ундан чиқарилувчи ҳам эмаслар.
049_00	Бандаларимга хабар бергил: «Албатта, Менинг Ўзим ғофуру роҳиймдирман».
050_00	Ва, албатта, азобим аламли азобдир.
051_00	Уларга Иброҳимнинг меҳмонлари хабарини бер.
052_00	Унинг ҳузурига кирганларида: «Салом», дедилар. У: «Албатта, биз сизлардан қўрқмоқдамиз», деди.
053_00	Улар: «Қўрқма, биз сенга ўта билимдон ўғилнинг хушхабарини берурмиз», дедилар.
054_00	У: «Мени кексалик тутганида, хушхабар берасизларми? Ниманинг хушхабарини беряпсизлар ўзи?» деди.
055_00	Улар: «Биз сенга ҳақ ила башорат бердик. Бас, сен ноумид бўлувчилардан бўлма», дедилар.
056_00	У: «Фақат залолатга кетган кишиларгина ўз Роббининг раҳматидан ноумид бўлурлар», деди. (Аллоҳнинг раҳматидан ноумид бўлиш фақат бир тоифага–йўлдан адашган, гумроҳ тоифага хос. Аллоҳнинг раҳматидан юз ўгириб, залолат йўлига кириб кетган кимсагина ноумид бўлади, холос.)
057_00	У: «Эй элчилар, нима иш ила юборилдингиз?» деди. (Яъни, менга жуда билимдон ўғил хушхабарини беришдан бошқа яна нима иш билан юборилдингиз, деди.)
058_00	Улар: «Биз жиноятчи қавмларга юборилдик.
059_00	Магар Лут аҳлига эмас. Албатта, Биз уларнинг ҳаммасини қутқаргувчилармиз.
060_00	Фақат унинг хотинигина истиснодир. Унинг, албатта, қолувчилардан бўлишини тақдир қилдик», дедилар.
061_00	Элчилар Лут аҳлига келганларида...
062_00	У: «Албатта, сиз нотаниш қавмсиз», деди.
063_00	Улар: «Йўқ! Биз сенга улар шак қилаётган нарса ила келдик.
064_00	Сенга ҳақ ила келдик ва албатта, бизлар ростгўйлардурмиз.
065_00	Аҳлинг ила кечанинг бир бўлагида йўлга чиқ, сен уларнинг ортидан кузатиб бор. Сизлардан ҳеч бирларингиз ортга қарамасин. Амр қилинган томонингизга кетаверинглар», дедилар.
066_00	Ва унга ушбу амрни ваҳий қилдик: «Албатта, анавиларнинг орқаси субҳ чоғи кесилажакдир».
067_00	Ва шаҳар аҳли севиниб, етиб келдилар. (Лут (а. с.) қавми яшайдиган Садум шаҳрининг жинояткор аҳолиси, Лутнинг уйига чиройли, ёш йигитлар келган эмиш, улар билан фоҳиша иш қиладиган бўлибмиз, деб севинган ҳолларида етиб келдилар.)
068_00	У: «Булар менинг меҳмонларим, ахир. Мени шарманда қилманглар.
069_00	Ва Аллоҳдан қўрқинглар! Мени хор қилманглар», деди.
070_00	Улар: «Биз сени оламлардан қайтармаганмидик?!» дедилар. (Лут (а. с.) уларни ўтакетган фаҳш иш бўлмиш баччабозликдан қайтарганлар, кимларнидир ҳимоя қилганлар ва жиноятчи қавм у кишига оламда ҳеч кимни ҳимоя қилмасликни айтиб таҳдид солган. Улар ҳозир Лутга (а. с.) ораларида аввал бўлиб ўтган ўша гап-сўзларни эслатмоқдалар.)
071_00	У: «Агар (бу ишни) қилувчи бўлсангиз, анаву қизларим бор», деди.
072_00	Сенинг умринг ила қасамки, албатта, улар ўз сархушликларида тентирамоқдалар.
073_00	Бас, уларни қуёш чиқиш пайтида даҳшатли қичқириқ тутди.
074_00	Бас, Биз (бу шаҳарнинг) остини устин қилдик ва улар устига лойи қотган тошлар ёғдирдик.
075_00	Албатта, бунда фаросатли кишилар учун оят-белгилар бордир.
076_00	Албатта, у(шаҳар) боқий йўл устидадир. (Яъни, Лут (а. с.) қавми ҳалокатга учраган шаҳарнинг вайроналари ҳозиргача боқий йўл устидадир. У орқали одамлар Ҳижоз билан Шом ўртасида қатнайдилар. Жумладан, Макка аҳли ҳам Шомга борганларида ва у ердан қайтганларида, шу йўлдан юрадилар.)
077_00	Албатта, бунда мўминлар учун оят-ибрат бордир.
078_00	Албатта, бир-бирига киришиб кетган дарахтзор эгалари золимлардан бўлганлар.
079_00	Бас, Биз улардан интиқом олдик. Албатта, уларнинг икковлари ҳам очиқ йўл устидадир.
080_00	Батаҳқиқ, Ҳижр эгалари Пайғамбарларни ёлғончига чиқардилар.
081_00	Ва уларга оятларимизни бердик. Бас, юз ўгирувчи бўлдилар.
082_00	Улар тоғдан ўйиб уй ясаб, омонликда юрар эдилар.
083_00	Бас, субҳидам чоғида уларни қаттиқ қичқириқ тутди.
084_00	Қилган касблари уларга бирон фойда бермади.
085_00	Биз осмонлару ерни ва улардаги нарсаларни ҳақ ила яратдик. Албатта, қиёмат келгувчидир. Бас, сен гўзал шаклда юз ўгир.
086_00	Албатта, Роббинг яратгувчи ва билгувчи зотдир.
087_00	Ва, батаҳқиқ, сенга етти такрорланувчини ва Улуғ Қуръонни бердик. (Оятдаги «етти такрорланувчи»дан мурод Фотиҳа сурасидир. Чунки бу сураи карима етти оятдан иборат бўлиб, жуда кўп такрорланади. Намознинг ҳар ракатида қайта-қайта ўқилади.)
088_00	Биз улардан баъзи гуруҳларни баҳраманд қилган нарсаларга (ҳавас-ла) назар солма! Улар учун хафа ҳам бўлма! Мўминларга қанотингни пастлат!
089_00	Ва: «Албатта, мен очиқ-ойдин огоҳлантиргувчиман», деб айт.
090_00	Худди тақсимловчиларга туширганимизга ўхшаш. (Аҳли китоб; яҳудий ва насоролар ўзларига келган илоҳий китобларни тақсимлаб, бир қисмига иймон келтириб, бир қисмига иймон келтирмаган эдилар. Ана ўшаларга китоб туширганимизга ўхшаб сенга ҳам китоб туширдик.)
091_00	Қуръонни парча-парча қилганларга. («Қуръонни парча-парча қилган тақсимловчилар» деганда аҳли китоб яҳудий ва насоролар назарда тутилгандир. Улар ўзларига келган илоҳий китобларни тақсимлаб, бир қисмига иймон келтириб, бир қисмига иймон келтирмаган эдилар. Энди Қуръонни ҳам парча-парча қилиб, ўз фикрларига мос келганини олиб, тўғри келмаганини тарк этмоқчи бўлмоқдалар.)
092_00	Бас, Роббинг ила қасамки, уларнинг ҳаммасидан, албатта, сўрармиз.
093_00	Қилиб юрган ишлари ҳақида.
094_00	Бас, сенга амр этилган нарсани юзага чиқар ва мушриклардан юз ўгир. (Ушбу оят нозил бўлгунга қадар Расулуллоҳ (с. а. в.) одамларни динга сирли-яширин равишда даъват этар эдилар. Бу оятдаги «юзага чиқар» деган амрга мувофиқ ошкора даъватни бошладилар. Мушрикларнинг гап-сўзларига эътибор бермай қўйдилар.)
095_00	Албатта, Биз сенга истеҳзо қилувчилардан кифоя қилурмиз.
096_00	Улар Аллоҳ билан бирга бошқа илоҳ (шерик) қилурлар. Бас, тезда билурлар.
097_00	Албатта, Биз уларнинг айтаётганларидан сенинг дилинг сиқилишини яхши биламиз.
098_00	Бас, Роббинг ҳамди ила тасбиҳ айт ва сажда қилгувчилардан бўл.
099_00	Ва сенга аниқ нарса (ўлим) келгунича Роббингга ибодат қил.
