001_00	То. Син. Мим.
169_00	Эй Роббим, менга ва аҳлимга қилаётган нарсаларидан нажот бергин!» деди.
170_00	Бас, унга ва аҳлига, ҳаммаларига нажот бердик.
171_00	Магар (азобда) қолгувчилардан бўлган бир кампирга (бермадик).
172_00	Сўнгра қолганларини ер билан яксон қилдик.
173_00	Ва уларнинг устига бир ёмғир ёғдирдикки, бас, огоҳлантирилганларнинг ёмғири қандоқ ҳам ёмон бўлди. (Шунинг учун ҳам ҳанафий мазҳабидаги баъзи фақиҳлар, Лут алайҳиссалом қавми кирдикорини қилган баччавозларни, тошбўрон қилиб ўлдириш керак, дейдилар.)
174_00	Албатта, бунда оят-белги бор. Лекин кўплари мўмин бўлмадилар.
175_00	Албатта, Роббинг Ўзи азизу меҳрибондир.
176_00	Қалин дарахтзор эгалари Пайғамбарларни ёлғончи қилдилар. (Бу оятда зикри келаётган «қалин дарахтзор» Мадян ўлкасидир. Аллоҳ таоло Шуайбни алайҳиссалом шу ерга Пайғамбар этиб юборди. Шуайб алайҳиссалом қиссасини, Ҳижр сурасида ўрганганмиз.)
177_00	Ўшанда уларга биродарлари Шуайб деди: «Қўрқмайсизларми?!
178_00	Албатта, мен сизларга ишончли Пайғамбарман.
179_00	Бас, Аллоҳдан қўрқинглар ва менга итоат қилинглар.
180_00	Мен сизлардан бунинг учун ҳақ-ажр сўрамасман. Менинг ажрим фақатгина Роббул Оламийн зиммасидадир.
181_00	Бас, ўлчовни тўлиқ ўлчанглар ва камайтиргувчилардан бўлманглар.
182_00	Ва тўғри тарози ила тортинглар.
183_00	Одамларнинг нарсаларини камайтириб берманг. Ер юзида турли бузғунчиликлар қилманглар.
184_00	Сизни ва аввалги наслларни яратган зотдан қўрқинг».
185_00	Улар: «Албатта, сен сеҳрланганлардансан.
186_00	Ва сен бизга ўхшаган башардан бошқа нарса эмассан. Биз сени, албатта, ёлғончилардан, деб биурамиз.
187_00	Агар ростгўйлардан бўлсанг устимиздан осмоннинг бир бўлагини ташлавор», дедилар.
188_00	У: «Роббим қилаётган ишингизни ўта яхши билгувчидир», деди.
189_00	Бас, улар у(Шуайб)ни ёлғончи қилдилар. Бас, уларни «соябон» куни азоби тутди. Албатта, у улуғ куннинг азоби эди. ( Аллоҳ таоло Айка халқини азобга дучор этишни ирода қилганида ҳавони ўта иситиб юборди. Шунда пастлаб келаётган булут пайдо бўлди. Булут уларга соябон бўлиб кўринди. Ҳаммалари ўзларини булут соясига урдилар. Жиноятчи қавмнинг ҳаммаси булут соясига кириб бўлгандан сўнг, бирдан чақмоқ чақиб, булутдан ўт-олов чиқиб уларни ҳалок этди.)
190_00	Албатта, бунда оят-белги бор. Лекин кўплари мўмин бўлмадилар.
191_00	Албатта, Роббинг Ўзи азизу меҳрибондир.
192_00	Албатта, у (Қуръон) Роббул Оламийннинг туширганидир.
193_00	Уни Руҳул амийн олиб тушди.
194_00	Сенинг қалбингга, огоҳлантиргувчилардан бўлишинг учун.
195_00	Очиқ-ойдин араб тилида. («Руҳул Амийн»дан мурод Жаброил фаришта алайҳиссалом; «огоҳлантиргувчилардан» дегани Пайғамбарлардан деган маънони билдиради. Яъни, Қуръонни Жаброил сенинг қалбингда Пайғамбарлардан бўлишинг учун равшан араб тилида олиб тушди.)
196_00	Албатта, у (Қуръон) аввалгиларининг китобларида ҳам бордир. ( Қуръоннинг зикри, аввалги умматларнинг илоҳий китобларида ҳам бордир.)
197_00	Уни Бани Исроил уламоларининг билишлари, улар учун оят-далил эмасми?!
198_00	Агар Биз уни баъзи ажамийларга нозил қилсак.
199_00	Бас, у уларга уни ўқиб берса ҳам, мўмин бўлмас эдилар.
200_00	Биз у(Қуръон)ни жиноятчилар қалбларига ана шундай йўлладик. (Улар уни эшитадилар, маъноларини тушунадилар, аммо иймон келтирмайдилар.)
201_00	Улар унга то аламли азобни кўрмагунларича иймон келтирмаслар.
202_00	Бас, уларга у(азоб) тўсатдан келур. Улар сезмай қолурлар.
203_00	Шунда улар: «Бизга муҳлат берилармикан?!» дерлар.
204_00	Бизнинг азобимизнинг тезроқ келишини истайдиларми-я?!
205_00	Айтгин-чи, агар Биз уларни йилларча ҳузурлантирсак-да.
206_00	сўнгра уларга ваъда қилинган нарса келса.
207_00	Ўша ҳузурланиб юрган нарсалари нимага асқотур?!
208_00	Биз бирон шаҳар-қишлоқни ҳалок қилган бўлсак, албатта, унинг огоҳлантиргувчилари бўлган.
209_00	Эслатма бўлиши учундир. Биз зулм қилгувчи бўлмасдик.
210_00	У(Қуръон)ни шайтонлар олиб тушганлари йўқ. (Мушриклар даъво қилаётганларидек, Қуръонни шайтонлар олиб тушганлари йўқ. Уларнинг бу гаплари бўҳтондан иборат.)
211_00	Бунга уларнинг имконлари йўқ ва унга қодир ҳам эмаслар.
212_00	Албатта, улар эшитишдан четлатилгандирлар.
213_00	Аллоҳ билан бирга бошқа илоҳга илтижо қилма. Йўқса, азобланганлардан бўлурсан. (Пайғамбарнинг (с. а. в.) Аллоҳга ширк келтиришлари мутлақо мумкин эмас. Аммо бу оятда ширкнинг нақадар улкан гуноҳ эканлигини англатиш учун фаразан шу маъно келтирилган. Пайғамбардек (с. а. в.) зот ширк келтириб, азобдан қутула билмаса, бошқаларнинг ҳоли нима бўлишини билиб олиш қийин эмас.)
214_00	Ва яқин қариндошларингни огоҳлантир.
215_00	Ва сенга эргашган мўминларга қанотингни пастлат.
216_00	Бас, агар улар сенга исён қилсалар: «Мен сиз қилаётган амаллардан безорман», дегин.
217_00	Ва азиз ва меҳрибон зотга таваккал қил;
218_00	Сени қоим бўлганингда кўрадиган.
219_00	Ва сажда қилгувчилар ичида ҳаракатланишингни (кўрадиган) зотга. (Яъни, ёлғизлигингни ҳам, намозда қоим бўлганингни, шунингдек, мўминлар ичида турли ишларга бош бўлиб юрганингни ҳам кўриб турадиган зотга–Аллоҳга таваккал қил.)
220_00	Албатта, Унинг Ўзи ўта эшитгувчи ва ўта билгувчи зотдир.
221_00	Сизларга шайтонлар кимга тушишини айтиб берайми?
222_00	Улар ўта уйдирмачи ва ўта гуноҳкорларга тушурлар.
223_00	Улар (шайтонларга) қулоқ осарлар. Ва уларнинг кўплари ёлғончилардир.
224_00	Ва шоирларга гумроҳлар эргашур.
225_00	Уларнинг ҳар водийда дайдишини.
226_00	Ва ўзлари қилмайдиган ишларни айтишини кўрмадингми?
227_00	Магар иймон келтириб, солиҳ амаллар қилганлар, Аллоҳни кўп зикр этганлар ва мазлум бўлганларидан кейин нусрат қозонганлар (ундай эмаслар). Зулм қилганлар эса, тезда қайси ағдарилиш жойига ағдарилишларини билурлар.
227_01	(Ҳамма шоир ҳам ҳар водийда дайдийдиган, беамал гапирадиган бўлавермас экан. Агар шоир иймонли, яхши амалли, Аллоҳни кўп эсга оладиган, ўзини хор қилмай, ҳаққини таниган, золимлар устидан ғолиб келадиган бўлса, Аллоҳнинг розилигини топган шоир бўлиши мумкин.)
