001_00	Ҳа-а. Мийм.
037_00	Албатта, у(шайтон)лар йўлдан тўсурлар ва улар ўзларини шак-шубҳасиз ҳидоят топгувчилардек ҳисобларлар.
038_00	Токи ҳузуримизга келганда: «Қани энди мен билан сенинг оранг мағриб ила машриқчалик узоқ бўлса эди. Бас, сен нақадар ёмон ҳамроҳсан», дер. (Аллоҳнинг зикридан шабкўр бўлиб олган ғафлатда юра-юра, бир куни қиёмат қоим қўпиб: «ҳузуримизга келганда», ҳақиқатни англайди ҳамма бало шайтон билан яқинлиги натижаси эканлигини тушуниб етади.)
039_00	Зулм қилганингиз учун бугунги кунда азобга шерик бўлишингиз ҳам ҳеч фойда бермас.
040_00	Сен карларга эшиттира олармидинг ёки кўрларни ва очиқ-ойдин залолатда бўлган кимсаларни ҳидоятга сола олармидинг?!
041_00	Агар сени кетказсак ҳам, албатта, Биз улардан интиқом олурмиз.
042_00	Ёки Биз уларга ваъда қилинган нарсани сенга кўрсатурмиз. Бас, албатта, Биз уларга (азоб беришга) қодирмиз.
043_00	Бас, ўзингга ваҳий қилинган нарсани маҳкам тут! Албатта, сен тўғри йўлдасан.
044_00	Албатта, у(Қуръон) сенга ҳам шарафдир, қавмингга ҳам. Ва, албатта, сўралурсизлар.
045_00	Сендан олдин Биз юборган Пайғамбарларимиздан сўра: Роҳмандан бошқа ибодат қилинадиган илоҳлар қилган эканмизми?! (Дунё тарихида ҳеч бир Пайғамбар Аллоҳдан бошқага ибодат этишга чақирган эмас. Дунёда ҳеч бир Пайғамбар Аллоҳдан бошқа илоҳга ибодат қилган ҳам эмас. Дунёда ўтган ҳамма Пайғамбарлар фақат Роҳман сифатли Аллоҳ таологагина ибодат қилганлар ва одамларни ҳам фақат Аллоҳнинг Ўзигагина ибодат қилишга чақирганлар.)
046_00	Батаҳқиқ, Биз Мусони Ўз оят-мўъжизаларимиз ила Фиръавнга ва унинг аъёнларига юбордик. Бас, у: «Албатта, мен оламлар Роббининг Пайғамбаридирман», деди.
047_00	Бас, қачонки у уларга мўъжизаларимизни келтирганда, улар баногоҳ у(мўъжиза)лардан кула бошладилар.
048_00	Биз уларга қайси бир оят-мўъжизани кўрсатсак ҳам, албатта, у ўз шеригидан каттароқ бўлар эди. Шояд (хатоларидан) қайтсалар, деб уларни азоб-ла тутдик.
049_00	Улар: «Эй сеҳргар! Сенга берган аҳдига биноан, биз учун Роббингга дуо қил! Албатта, биз ҳидоят топгувчилардан бўламиз», дедилар.
050_00	Бас, қачонки улардан азобни аритсанг, тўсатдан улар (аҳдни) бузарлар.
051_00	Фиръавн ўз қавмига: «Эй қавмим! Миср мулки ва мана бу остимдан оқиб турган анҳорлар меники эмасми?! Кўрмаяпсизларми?!
052_00	Мен мана бу хор, гапини очиқ баён қила олмайдиган кимсадан яхши эмасманми?
053_00	Унга тиллодан бўлган билакузуклар ташланса ёки у билан бирга фаришталар ҳамроҳ бўлиб келса бўлмас эдими?!» деб нидо қилди.
054_00	Бас, у қавмини лақиллатди ва улар унга итоат қилдилар. Чунки улар фосиқ қавм эдилар.
055_00	Бас, қачонки улар Бизни дарғазаб қилишгач, улардан интиқом олдик–уларнинг барчаларини жамлаб, ғарқ қилдик.
056_00	Бас, уларни ўтмишга айлантирдик ва кейингиларга мисол қилиб қўйдик.
057_00	Ибн Марям мисол келтирилган чоқда сенинг қавминг бирдан шодланиб қичқирурлар. (Пайғамбаримиз (с. а. в.) Анбиё сурасидаги «Албатта, сизлар ва Аллоҳдан ўзга ибодат қилган нарсаларингиз жаҳаннам ўтин-тошидирсиз. Сизлар унга киргувчидирсиз» оятини тиловат қилганларида, Абдуллоҳ ибн аз-Забъарий ат-Тамимий исмли мушрик: «Бу биз ва бизнинг олиҳаларимиз учунми ёки ҳамма умматлар учунми?» деб сўраган. Расулуллоҳ (с. а. в.): «У сиз учун ҳамма умматлар учун», дедилар. У: «Шубҳасиз, энди сени енгдим, Каъбанинг Роббига қасам! Насоролар Масийҳга, Яҳудийлар Узайрга, Бани Фулон фаришталарга ибодат қилмайдиларми?! Агар ана ўшалар ҳам жаҳаннамга тушсалар, бизнинг ва олиҳаларимизнинг жаҳаннамда бўлишига розимиз», деди. Шунда Аллоҳ таоло: «Албатта, биздан уларга олдин гўзал сўз ўтганлар у (жаҳаннам)дан узоқлаштирилгандирлар», оятини туширди. «Ибн Марям мисол келтирилган чоқда сенинг қавминг бирдан шодланиб қичқирурлар» ояти билан ўша ҳодисани ёдга солмоқда.)
058_00	Улар: «Бизнинг олиҳаларимиз яхшими ёки уми?» дедилар. Улар уни сенга фақат талашиб-тортишиш учунгина мисол келтирдилар. Зеро, улар хусуматчи қавмдирлар.
059_00	У фақат бир бандадир. Биз унга неъмат бердик ва уни Бани Исроилга мисол қилдик.
060_00	Агар хоҳласак, ўрнингизга ер юзида халифа бўладиган фаришталар қилиб қўяр эдик.
061_00	Албатта, у(Ийсо) қиёмат соати илми-белгисидир. Бас, сиз у (соат) ҳақида ҳеч шубҳа қилманг ва Менга эргашинг. Мана шу тўғри йўлдир. (Вақти келиб Ийсо қиёмат кунининг белгиси бўлади. Унинг қайта тушишидан қиёмат жуда ҳам яқин қолгани билиб олинади.)
062_00	Шайтон сизни ҳаргиз (тўғри йўлдан) тўсмасин. Албатта, у сизга очиқ-ойдин душмандир.
063_00	Ийсо очиқ-ойдин мўъжизалар билан келган чоғида: «Батаҳқиқ, мен сизга ҳикматни келтирдим ва баъзи сиз ихтилоф қилаётган нарсаларни баён қилиш учун келдим. Бас, Аллоҳга тақво ва менга итоат қилинглар.
064_00	Албатта, Аллоҳ менинг ҳам Роббим, сизнинг ҳам Роббингиздир. Бас, Унга ибодат қилинг. Мана шу тўғри йўлдир», деди. (Ийсо алайҳиссалом қавмларига: «Аллоҳ менинг Роббим», деганлар. Аллоҳ менинг отам, деган эмаслар. Демак, Аллоҳ таоло бошқа бандаларга Робб бўлгани каби, Исога алайҳиссалом ҳам Роббдир. Бу ҳақда бошқа гап бехуда.)
065_00	Бас, уларнинг орасидан фирқалар ихтилоф қилдилар. Зулм қилганлар ҳолига аламли кун азобидан вой бўлсин! (Ийсо алайҳиссалом Бани Исроилга Пайғамбар қилиб юборилган эдилар. У зот Бани Исроилга уларнинг Мусо алайҳиссалом шариати хусусидаги ихтилофларига барҳам бериш, ягона Аллоҳнинг ибодатига чақириш учун ҳикмат ила келган эдилар. Аммо улар бу чақириққа муносиб жавоб бермадилар. Балки Ийсо алайҳиссаломга қарши чиқдилар. Турли фирқаларга бўлиниб олиб, ҳозиргача ихтилоф қилиб келмоқдалар.)
066_00	Улар фақат ўзлари ҳам сезмай қолган ҳолда (қиёмат) соати келиб қолишини кутмоқдалар, холос.
067_00	Ўша кунда тақводорлардан бошқа дўстлар бир-бирларига душмандир. (Қиёмат куни ҳамма ўз оқибатини билгач, гарчи бу дунёда яқин ўзаро дўст бўлса ҳам, бир-бирига душманга айланади. Чунки у дунёда бир-бирларини турли амалларга ундаган дўстларнинг дўзахга тушиб жазо тортишлари аниқ маълум бўлиб қолади. Ана ўшанда, ёмон билан дўст бўлганига афсусланади.
068_00	Эй бандаларим! Бугунги кунда сизга хавф йўқ ва маҳзун ҳам бўлмассиз.
069_00	Оятларимизга иймон келтирганлар ва мусулмон бўлганлар.
070_00	Жаннатга киринглар, сизлар ва жуфтларингиз шод бўлурсизлар.
071_00	Уларга тиллодан бўлган товоқлар ва қадаҳлар айлантирилур. У ерда кўнгил иштаҳа қиладиган ва кўзлар лаззатланадиган нарсалар бордир. Сизлар у ерда абадий қолурсизлар.
072_00	Мана шу қилиб юрган амалларингиз сабабли сизга мерос қилиб берилган жаннатдир.
073_00	Сизга у ерда кўплаб мевалар бор, улардан ерсизлар.
074_00	Албатта, жиноятчилар жаҳаннам азобида абадий қолурлар.
075_00	У улардан енгиллатилмас ва улар у (азоб)да ноумид ҳолда қолурлар. (Яъни, азоб аҳли жаҳаннамдан ҳеч енгиллатилмайди. Улар ўша азоб ичида ноумид бўлган ҳолларида абадий қолиб кетадилар.)
076_00	Биз уларга зулм қилганимиз йўқ. Лекин улар ўзлари золим бўлдилар.
077_00	Улар: «Эй Молик! Роббинг бизни битирсин!» деб нидо қилдилар. У: «Албатта, сиз туриб қолгувчисиз», деди. (Яъни, дўзахилар ўзларига берилаётган азоблар оғриғи, алами ва шиддатига чидай олмай, дўзах ишларига қараб турувчи Молик исмли фариштага қараб: «Эй Молик! Роббинг бизни битирсин!» дейдилар.)
078_00	Батаҳқиқ, Биз сизга ҳақни келтирдик. Лекин кўпларингиз ҳақни ёмон кўргувчисиз. (Шунинг учун бугунги кунда ушбу аянчли ҳолга тушиб турибсиз.)
079_00	Ёки улар бирон ишга қарор қилдиларми? Бас, Биз, албатта, қарор қилгувчимиз.
080_00	Ёки улар Бизни уларнинг сирларини (билмайди) ва пичирлашиб қилган маслаҳатларини эшитмайди деб ҳисоблайдиларми? Йўқ! Ҳолбуки, элчиларимиз уларнинг олдиларида ёзмоқдалар.
081_00	Сен: «Агар Роҳманнинг боласи бўлганида, мен унга ибодат қилгувчиларнинг биринчиси бўлар эдим», деб айт.
082_00	Осмонлару ернинг Робби, Аршнинг Робби улар қилаётган васфдан покдир.
083_00	Бас, уларни қўйиб бер, ўзларига ваъда қилинаётган кунга рўбарў бўлгунларича (ёмонликка) шўнғийверсинлар, ўйнайверсинлар.
084_00	У зот осмонда ҳам илоҳдир, ерда ҳам илоҳдир. У зот ўта ҳикматли, ўта илмлидир.
085_00	Осмонлару ернинг ва уларнинг орасидаги нарсаларнинг мулкига эга бўлган зот баракотли-буюкдир. (Қиёмат) соати илми Унинг ҳузуридадир. Унгагина қайтарилурсизлар.
086_00	Аллоҳдан ўзга илтижо қилаётган нарсалари шафоатга эга бўлмаслар. Магар билган ҳолларида ҳақ шаҳодат берганларгина (эга бўлурлар).
087_00	Агар сен улардан ўзларини ким яратганини сўрасанг, албатта, «Аллоҳ», дерлар. Бас, қаёққа бурилиб кетмоқдалар?!
088_00	У(Муҳаммад)нинг: «Эй Роббим, албатта, анавилар иймон келтирмайдиган қавмлардир», деган гапини ҳам (билур).
089_00	Бас, сен улардан юз ўгир ва: «Сизларга салом бўлсин», дегин. Бас, улар тезда билурлар.
