001_00	Воқеа воқеъ бўлганда.
087_00	У(жон)ни ўрнига қайтаринг-чи! Агар ростгўй бўлсангиз!
088_00	Агар, у муқарраблардан бўлса.
089_00	Роҳатда, фароғатда ва сернеъмат жаннатдадир.
090_00	Агар ўнг тараф эгаларидан бўлса.
091_00	Бас, «Сенга ўнг тараф эгаларидан Салом»дир.
092_00	Ва агар ёлғонга чиқарувчилардан, гумроҳлардан бўлса.
093_00	Бас, ўта қайноқ сувдан зиёфатдир.
094_00	Ва дўзахга киришдир.
095_00	Албатта, ушбуочиқ-ойдин ҳақиқатдир.
096_00	Бас, улуғ Роббинг исмини поклаб ёд эт!
