001_00	Алиф. Лом. Ро. Ушбулар очиқ-ойдин китобнинг оятларидир.
011_00	Улар: «Эй отамиз, сен нега Юсуфни бизга ишонмайсан? Ҳолбуки, биз унга ихлос қилувчилармиз.
012_00	Эртага уни биз билан юбор, еб-ичиб, ўйнаб келадир. Албатта, биз уни муҳофаза қилувчилармиз», дедилар.
013_00	У: «Уни олиб кетишингиз мени хафа қиладир. Сиз ундан ғофил қолсангиз, уни бўри еб кетишидан қўрқаман», деди. (Уни сизларга ишониб, қўшиб юбора олмайман, деган маънодаги сўзни юмшоқроқ қилиб айтдилар.)
014_00	Улар: «Агар биз кўпчилик бўлиб туриб, уни бўри еб кетса, унда биз зиёнкорлардан эканмиз-да?!» дедилар.
015_00	Уни олиб кетиб, қудуқ қаърига ташлашга қарор қилганларида, биз унга: «Сен, албатта, уларга бу қилмишларининг хабарини берасан, ўшанда улар сени сезмаслар ҳам», деб ваҳий қилдик. (Ниҳоят, Юсуфнинг акалари ўзларининг машъум ниятларига етдилар. Уни қудуқ қаърига ташлаш ҳақидаги қарорларини амалга оширдилар. Қудуқ қаърида қалби хавфга тўлиб, ўлимини кутиб ўтирган ёш Юсуфга ваҳий келди: Яъни, сен хафа бўлма, қўрқма ҳам, вақти-соати келиб, акаларингга ўзингга қилган хиёнатларининг хабарини берасан. Ўшанда вазият шу даражада ўзгарадики, акаларинг сени танимайдилар ҳам.)
016_00	Кечқурун йиғлаган ҳолларида оталарига келиб:
017_00	«Эй отамиз, биз Юсуфни нарсаларимиз олдига қолдириб, ўзимиз қувлашиб кетсак, уни бўри еб қўйибди. Агар ростгўй бўлсак ҳам, сен бизга ишонмассан», дедилар.
018_00	Ва унинг ёлғон қонга бўялган кўйлагини келтирдилар. У: «Йўқ! Сизга ҳавои нафсингиз бирор ишни зийнатлаб кўрсатибди. Энди чиройли сабр (дан бошқа чорам йўқ). Сиз васф қилаётган нарсада ёрдам сўраладиган зот ёлғиз Аллоҳнинг Ўзи», деди. (Ўғиллар оталарини ишонтириш мақсадида Юсуфнинг кўйлагини ёлғондан қонга бўяб олиб келишди. Аммо Аллоҳнинг Пайғамбари Яъқуб (а. с.) гап нимада эканини тушундилар. Юсуфни бўри емагани ҳам у кишига аён бўлди.)
019_00	Ва йўловчилар келиб (қудуққа) сувчиларини юбордилар. Бас, у челагини ташлади ва: «Суюнчи беринглар! Бу бола-ку!», деди. Уни тижорат моли сифатида яшириб қўйдилар. Зотан, Аллоҳ уларнинг нима қилаётганларини билгувчи зотдир.
020_00	Ва уни арзон баҳога, саноқли дирҳамларга сотдилар. Улар унга қизиқмаган эдилар. (Юсуфнинг ҳур инсон эканлиги, насли ошкор бўлиб қолса, бошларига нималар келишини яхши билардилар. Шунинг учун тезроқ сотишга ҳаракат қилдилар.)
021_00	Ва уни Мисрда сотиб олган (одам) ўз хотинига: «Уни яхшилаб жойлаштир, шояд бизга манфаат берса ёки бола қилиб олсак», деди. Мана шундай қилиб, унга тушларнинг таъбирини ўргатишимиз учун Юсуфни жойлаштириб қўйдик. Аллоҳ Ўз ишида ғолибдир. Лекин одамларнинг кўпи билмаслар. (Аллоҳнинг тадбири бўлмаса, карвон қаёқдаю қудуқ қаърида ўтирган Юсуф қаёқда? Карвон тўхтамай, ўтиб кетса ҳам бўлаверарди. Аммо тўхтади.
021_01	Юсуфни кўрди. Уни сотиб, фойда қилишмоқчи ҳам бўлдилар. Беркитиб қўйишмаса, бирорта маҳаллий одам уни кўриб, Мисрга бормай қолиб кетиши ҳам мумкин эди. Лекин Аллоҳ уларнинг кўнглига беркитиб қўйишни солди. Уни Мисрда сотиб олган кишининг қалбида эса, меҳр-шафқат уйғотди. Мана шундай қилиб, уни энг яхши жойга жойлаштирди. Бу ҳам келажакда бўладиган улуғ ишлар томон бир қадам силжиш эди.)
022_00	Вояга етган вақтида унга ҳукмни ва илмни бердик. Гўзал иш қилгувчиларни шундай мукофотлармиз.
023_00	У уйида бўлган аёл ундан нафсини хоҳлади. Эшикларни беркитиб: «Бу ёққа кел!» деди. У: «Аллоҳ сақласин! Ахир, у жойимни яхшилаб берган хўжам-ку!
023_01	Албатта, золимлар нажот топмаслар», деди. (Яъни, бундай ҳаром ишни қилишдан Аллоҳ сақласин, демоқда. Кейин у яхшиликни унутадиган одам ҳам эмас. Шунинг учун ҳам, ахир у, яъни, уй эгаси–хотиннинг эри, жойимни яхшилаб берган хўжам-ку, деди. Менга шунча яхшилик қилган инсонга хиёнат этиб, хотинининг гапига кириб, фаҳш иш қиламанми? Агар шундай қиладиган бўлсам, золимлардан бўламан.)
024_00	Батаҳқиқ, (хотин) унга интилди. У ҳам, агар Роббининг бурҳон-ҳужжатини кўрмаганида, (хотинга) интилар эди. Ундан ёмонлик ва фаҳш ишларни узоқлаштириш учун шундай қилдик. Албатта, у Бизнинг мухлис бандаларимиздан.
025_00	Икковлари эшик томон чопишди. Хотин унинг кўйлагини орқасидан юлиб олди. Эшик олдида у(хотин)нинг хўжайинига дуч келишди. У (хотин): «Сенинг аҳлингга ёмонлик хоҳлаганнинг жазоси фақатгина қамалмоқ ёки аламли азобдир», деди.
025_01	(Хотиннинг эри келиб қолди. Нима қилиш керак? Маккор хотин ўзини йўқотмай, дарҳол ҳужумга ўтди: «Юсуф менга–сенинг аҳлингга ёмон ният билан ҳамла этди, бузуқлик қилишни хоҳлади. Энди унинг жазоси ёки қамоқ, ёки аламли азоб бўлиши керак», деди.)
026_00	У: «Унинг ўзи менинг нафсимни хоҳлади», деди. У(хотин)нинг аҳлидан бир гувоҳ гувоҳлик берди ва: «Агар унинг кўйлаги олд томондан йиртилган бўлса, бас, хотин рост айтибдир, у ёлғончилардандир.
027_00	Агар унинг кўйлаги орт томондан йиртилган бўлса, бас, хотин ёлғон гапирибдир, у ростгўйлардандир», деди. (Воқеани ҳеч ким кўрмаган. Фақатгина кўйлак йиртилган. Шунга қараб аниқлаш мумкин. Агар кўйлак олд томондан йиртилган бўлса, Юсуф ҳамла қилган, хотин эса, ҳимояланиш чоғида кўйлакнинг олдидан йиртиб олган бўлади. У ҳолда хотиннинг даъвоси тўғри, Юсуф ёлғончи бўлади. Агар кўйлак орт томондан йиртилган бўлса, хотин ҳамла қилган бўлади ва қочаётган Юсуфни тутиш учун ортидан ташланиб, кўйлакни йиртган бўлади. У ҳолда хотин ёлғон гапирган, Юсуф эса, ростгўй бўлади. Оқилона гап, одилона ҳукм.)
028_00	Эр унинг кўйлагини орт томонидан йиртилганини кўрган пайтда: «Албатта, бу (иш) сиз хотинларнинг макрингиздир. Албатта, сиз хотинларнинг макри жуда зўрдир.
029_00	Эй Юсуф, сен бу ишни унут. Сен, хотин, гуноҳингга истиғфор айт. Албатта, сен хато қилгувчилардан бўлдинг», деди.
030_00	Шаҳардаги аёллар: «Азизнинг хотини хизматкорининг нафсини хоҳлабди. Унга жуда ҳам муҳаббат қўйиб қолган экан-да! Биз у (аёл)ни, албатта, очиқ-ойдин адашувда деб биламиз», дейишди.
031_00	Уларнинг макри ҳақида эшитган вақтда, уларга одам юбориб чақирди. Уларга суяниб ўтирадиган жой тайёрлади. Ва ҳар бирларига пичоқ берди. Сўнгра (Юсуфга): «Уларнинг олдига чиқ!» деди. Уни кўрган чоғларида лол қолдилар, қўлларини кесдилар. Ва: «Ё пок Парвардигоро!
031_01	Бу башар эмас! Бу карамли фариштанинг ўзи-ку!» дейишди. (Юсуф меҳмонларнинг ҳузурига чиқди. Аёллар унинг ҳусну жамолини кўриб, бошлари айланиб, лол қолдилар, ҳайратга тушдилар ва беихтиёр: «Қўлларини кесдилар». Ана шунда Азизнинг хотини уларни, Юсуфнинг ҳусну жамоли олдида таажжуб ва ҳайрат ила лол бўлганларини кўриб, ўзини ғолиб сезди. Энди у ўзини маломат қилган аёллар устидан кула бошлади.)
032_00	У: «Сиз мени маломат қилган эдингиз.
032_01	Ҳа, мен ундан нафсини хоҳладим, бироқ у ўзини сақлади. Агар у менинг амримни бажармаса, албатта, қамалур ва хор бўлгувчилардан бўлур», деди.
033_00	«Эй Роббим, улар мени чорлаётган нарсадан кўра мен учун қамоқ маҳбуброқдир, бу(аёл)ларнинг макрини мендан Ўзинг нари қилмасанг, уларга мойил бўлиб, жоҳиллардан бўлиб қоламан», деди.
034_00	Бас, Робби унинг (дуосини) ижобат қилиб, уларнинг макрини ундан нари қилди. Албатта, Унинг ўзи эшитгувчи ва билгувчи зотдир.
035_00	Сўнгра оят-аломатларни кўрганларидан кейин уларга уни бир муддат қамашлари аён бўлди. (Бўлиб ўтган воқеалардан сўнг, Азиз ва унинг атрофидагиларга, хотиннинг аҳлига Юсуфнинг беайб эканлиги аломатлари зоҳир бўлиб, кўзлари билан кўрганларидан кейин, уни бир муддат қамашлари аён бўлди. Юсуфнинг (а. с.) бошларига янги синов келди. У киши қамоққа тушди.)
036_00	У билан қамоққа иккита йигит ҳам кирди. Улардан бири: «Мен тушимда, шароб тайёрлаб юрибман», деди.
036_01	Бошқаси эса: «Мен бошимда нон кўтариб юрибман, қуш ундан емоқда», деди. «Бизга бунинг таъбирини хабар қил. Биз сени, шубҳасиз, яхши амал қилгувчилардан, деб билмоқдамиз».
037_00	У: «Мен сизларга ризқ бўладиган таом келгунига қадар унинг қандай эканининг хабарини бераман. Бу иш менга Роббим таълим берган нарсалардандир. Чунки мен Аллоҳга иймон келтирмайдиган ва охиратга кофир бўлган қавмнинг миллати-динини тарк этган одамман», деди. (Юсуф (а.
037_01	с.) ўзларига умид билан қараб турган икки йигитга латофат билан жавоб бердилар. Дастлаб, улар тушунолмай қийналаётган жумбоқни ечиш осон иш эканлигига ишора қилдилар. Сўнгра дин ҳақида сўз очдилар. У кишининг ақидалари ва даъват қилаётган динлари бошқа динлар қатори Аллоҳга ва охират кунига иймон келтиришга асосланган. Бу икки унсур ҳамма Пайғамбарларнинг ақидасидир.)
038_00	Ва оталарим Иброҳим, Исҳоқ ва Яъқубнинг миллати-динига эргашдим. Биз учун Аллоҳга бирор нарсани шерик қилиш мумкин эмас эди. Бу бизга ва одамларга Аллоҳ берган фазл эди.
038_01	Лекин одамларнинг кўплари шукр қилмаслар. (Юсуф (а. с.) бу сўзлари билан куфрни тарк этибгина қолмай, ҳидоят, иймон йўлига юриш зарурлигини ҳам қамоқдаги шерикларига англатмоқдалар. Уларни куфр миллатини ташлаб, иймон миллатига эргашишга даъват қилмоқдалар.)
039_00	Эй ҳамзиндон дўстларим, турли-туман Робблар яхшими ёки ёлғизу Қаҳҳор Аллоҳми?
040_00	Сизлар Ундан ўзга, ўзингиз ва ота-боболарингиз номлаб олган исмларга, Аллоҳ уларга бирон ҳужжат нозил қилмаган нарсаларга ибодат қилмоқдасизлар. Ҳукм қилиш фақат Аллоҳнинг Ўзига хосдир, У фақат Ўзигагина ибодат қилишингизни амр этди.
040_01	Ана ўша тўғри диндир. Лекин одамларнинг кўпи билмаслар.
041_00	Эй ҳамзиндон дўстларим, сизлардан бирингиз хўжасига хамр соқийлиги қилур. Бошқаси бўлса, осилур ва қушлар унинг бошидан ейдир. Сиз билмоқчи бўлган иш битди.
041_01	(Юсуф (а. с.) туш таъбирини айтишда жуда риоя билан, одоб билан иш тутдилар. Албатта, шунинг ўзи ҳам очиқ-ойдин кўрсатиб турибдики, тушида шароб сиқаётган йигит яна бориб, хўжаси–подшоҳ саройида соқий бўлиб хизмат қилар экан. Тушида бошида нон кўтариб юрган, ўша нондан қушлар келиб чўқиб еяётганини кўрган шахс эса, осилади ва қушлар келиб, бошини ейди.)
042_00	Ва у ўзи икковларидан нажот топгувчи деб билган шахсга: «Хўжанг ҳузурида мени эсга ол», деди. Шайтон унга хўжасига эслатишни унуттирди. Бас, у қамоқда бир неча йил қолди. (Юсуф (а. с.) икки ҳамзиндон дўстларига тушларининг таъбирини айтиб бўлганларидан сўнг, улардан нажот топади, деб билган шахсга, яъни, соқийга: «Хўжанг ҳузурида мени эсга ол», дедилар. Дарҳақиқат, тушнинг таъбири тўғри чиқди. Ҳалиги йигит қамоқдан озод бўлиб, яна подшоҳга соқийлик қила бошлади. Аммо Юсуфнинг (а. с.) илтимосини бажо келтирмади.)
043_00	Подшоҳ: «Мен тушимда еттита семиз сигирни еттита ориқ сигир еяётганини ва еттита яшил бошоқни ва шунча қуруғини кўрмоқдаман. Эй аъёнлар, агар туш таъбирини қиладиган бўлсангиз, менга тушимнинг фатвосини беринг», деди.
043_01	(Миср подшоҳининг «кўрмоқдаман» деб айтишидан мазкур тушни бир эмас, бир неча марта кўрганлиги маълум бўлади. У фақат шу тушни кўраверганидан кейин аъёнларини тўплаб, уларга тушини айтган ва таъбир қилишларини сўраган.)
044_00	Улар: «Бу алғов-далғов тушдир. Биз бундай тушларнинг таъбирини билувчи эмасмиз», дедилар
045_00	Ва иккисидан нажот топгани анча муддат ўтгандан сўнг хотирлаб: «Бунинг таъбирининг хабарини сизга мен бераман. Мени юборинг», деди. (Яъни, Юсуф (а. с.) билан қамоқда бўлган йигит бир неча йиллар ўтгандан сўнг Юсуфни ва унинг туш таъбири билимдони эканини хотирлаб, мени Юсуфнинг ҳузурига юборинг, деди.)
046_00	«Юсуф, эй ростгўй зот, бизга еттита семиз сигирни еттита ориқ сигир еяётганини ва еттита яшил бошоқни ва шунча қуруғининг таъбирини айт.
046_01	Шоядки одамларга қайтиб борсам, улар ҳам билсалар», деди.
047_00	У: «Кетма-кет етти йил зироат қиласизлар. Йиғиштириб олган ҳосилингизни бошоғида қолдиринг. Магар озгина ейдиганингизни (қолдирманг). (Яъни, подшоҳ тушида кўрган еттита семиз сигир ва яшил бошоқнинг таъбири шулки, етти йил жуда серҳосил келади. Ҳосил тўплайсизлар. Ўшанда тўплаган ҳосилларингизни бошоғида қолдиринг. Яхши сақланади. Чиримайди, қурт-қумурсқалар тешиб кетолмайди. Фақат ўзингиз учун ейишга ярашасини олсангиз, бўлаверади.)
048_00	Сўнгра, ундан кейин еттита шиддатли (йил) келадид, улар олдиндан тайёрлаб қўйганингизни ейдилар. Магар озгина асраб қўйганингизгина қолур. (Cерҳосил етти йилдан кейин қаҳатчилик йиллари келади. Подшоҳнинг тушидаги етти ориқ сигир ва қуруқ бошоқ шунга ишорат. Ўша етти шиддатли, қаҳатчилик йили ўзидан олдинги етти серобчилик йилини ейди.)
049_00	Сўнгра ундан кейин бир йил келадики, унда одамлар сероб қилинадилар ва унда (меваларни) сиқадилар. (Бу оятда келаётган башорат подшоҳнинг тушидан ташқаридадир. Яъни, Миср подшоҳи кўрган тушда бундай йилга таъбир қилинадиган ишора йўқ. Бу кейингиси Юсуфнинг (а. с.) Пайғамбарлик мўъжизаларидир. )
050_00	Подшоҳ: «Уни менга келтиринглар», деди.
050_01	Унга элчи келган пайтда: «Хўжанг ҳузурига қайтиб бор ва ундан қўлларини кесган хотинларнинг ҳоли нима бўлганини сўра, албатта, Роббим уларнинг макрини билгувчидир», деди.
051_00	У: «Юсуфнинг нафсини хоҳлаган вақтингиздаги ишингиз нима эди?» деди. Улар: «Аллоҳ сақласин!
051_01	Биз унда бирон ёмонлик сезмадик», дедилар. Азизнинг хотини: «Энди ҳақиқат зоҳир бўлди. Мен унинг нафсини хоҳладим. Албатта, у содиқлардандир.
052_00	Бу мен унга йўғида орқасидан хиёнат қилмаганимни, албатта, Аллоҳ хоинларнинг макрини тўғриликка йўлламаслигини билиши учундир.
053_00	Ва ўз нафсимни оқламайман. Албатта, нафс, агар Роббим раҳм қилмаса, ёмонликка кўп ундовчидир. Албатта, Роббим мағфиратли ва билгувчидир», деди..
054_00	Подшоҳ: «Уни менга келтиринглар, уни ўзимга хос кишилардан қилиб оламан», деди. У билан гаплашганда эса: «Албатта, сен бугунги кунда ҳузуримизда маконатли ва ишончли кишилардансан», деди. (Подшоҳга Юсуфнинг (а. с.) пок эканликлари маълум бўлганидан сўнг, уни қамоқдан чиқариб олиб келишни ва у зотни ўзига хос кишилардан қилиб олишини айтди.)
055_00	У: «Мени ернинг хазиналари устига қўй. Албатта, мен муҳофаза қилувчи ва билувчиман», деди. (Юсуф а. с. подшоҳга, мен хазинани қандай муҳофаза қилиш–сақлаш ва уни қандай тасарруф қилишни билувчиман, дедилар. Туш таъбирига кўра, Миср ўлкаси келажакда худди шундай сифатларни мужассам қилган одамга муҳтож эди.)
056_00	Шундай қилиб, Юсуфга ер юзида маконат бердик, уни ўзи хоҳлаган жойга ерлаша оладиган қилдик. Ўз раҳматимизни, кимни хоҳласак, ўшанга муяссар этурмиз ва гўзал амал қилувчиларнинг ажрини зое қилмасмиз.
057_00	Иймон келтирган ва тақво қилганлар учун, албатта, охиратдаги ажр яхшироқ бўлур.
058_00	Юсуфнинг оға-инилари келдилар ва унинг ҳузурига кирдилар. Бас, у уларни таниди. Улар эса, уни танимадилар. ( Юсуфнинг (а. с.) ҳусни тадбирлари ва Аллоҳ берган имконларни ишга солишлари Миср аҳли қаҳатчиликдан катта зарар кўрмади. Ҳатто бошқа ўлкалар улардан озиқ-овқат сўраб кела бошлади. Мисрда озиқ-овқат сероблигини эшитиб, Юсуфнинг (а. с.) оға-инилари ҳам шу ёққа келишди.)
059_00	Уларнинг жиҳозларини юклаган вақтда: «Менинг ҳузуримга ота бир инингизни олиб келинг. Кўраяпсизларми? Мен ўлчовни тўла қилмоқдаман ва мен энг яхши мезбонман.
060_00	Агар уни ҳузуримга олиб келмасангиз, унда сизга менинг даргоҳимда ўлчаб бериш йўқ ва менга яқин ҳам келманглар», деди. ( Юсуф (а. с.) уларга сўраган нарсаларини–озиқ-овқатни ҳам бердилар. Жўнаб кетишларидан олдин молларини юклаш, йўлга тайёргарлик кўриш пайтида, янаги сафар ота бир иниларини ҳам олиб келишни тайинладилар.)
061_00	Улар: «Уни отасидан сўраб олиб келишга уринамиз. Биз бу ишни, албатта, қилурмиз», дедилар.
062_00	У ўз йигитларига: «Уларнинг сармояларини юклари ичига солиб қўйинглар. Шояд улар аҳлларига борганларида буларни таниб, қайтиб келсалар», деди.
063_00	Оталари ҳузурига қайтиб борганларида: «Эй отамиз, бизга ўлчаб бериш ман этилди. Биз билан инимизни юбор, ўлчаб оламиз ва, албатта, биз уни муҳофаза қилувчилармиз», дедилар.
064_00	У: «Уни сизларга худди акасини ишонганимдек ишониб топширайми? Аллоҳнинг Ўзи энг яхши муҳофазачи ва Унинг Ўзи раҳмлиларнинг энг раҳмлигидир», деди.
065_00	Юкларини очган пайтда, сармояларининг ўзларига қайтарилганини билдилар. «Эй отамиз, яна нима истаймиз?
065_01	Мана, сармояларимиз ўзимизга қайтарилибди. Яна аҳлимизга зод келтирурмиз, укамизни муҳофаза қилиб, бир туя зиёда (юк) ўлчови оламиз. Бу озгина ўлчовдир», дедилар.
066_00	У: «Токи менга, албатта, ҳузуримга қайта келтиришингиз ҳақида Аллоҳдан васийқа бермагунингизча, уни зинҳор сиз ила юбормасман.
066_01	Магар (ҳалокатга) ўралиб қолсангиз, бошқа гап», деди. Унга васийқаларини берганларида, у: «Айтган гапларимизга Аллоҳ вакилдир», деди.
067_00	У: «Эй ўғилларим, битта эшикдан кирманглар, турли эшиклардан киринглар. Мен сизлардан Аллоҳнинг ҳеч нарсасини қайтара олмасман. Ҳукм қилиш фақат Аллоҳнинг Ўзига хосдир. Унгагина таваккал қилдим.
067_01	Таваккал қилгувчилар фақат Унгагина таваккал қилсинлар», деди. (Яъқуб (а. с.) ўғилларига манзилга етганларида шаҳарга бир эшикдан эмас, бўлиниб, турли эшиклардан киришларини насиҳат қилдилар. У зот Аллоҳнинг белгилаган тақдирини ўзгартириб бўлмаслигини яхши билар эдилар.)
068_00	Оталари амр этган томондан кирдилар. Зотан, бу улардан Аллоҳнинг ҳеч бир нарсасини қайтара олмас эди. Магар Яъқубнинг кўнглидаги эҳтиёж бўлиб, уни қондирди, холос. Албатта, у Биз таълим берганимиз туфайли билим соҳиби эди. Лекин кўпчилик одамлар билмаслар. (Яъни, ўғиллар кўзлаган манзилга етиб борганларида оталари насиҳатига амал қилиб, ҳаммалари бир эшикдан эмас, турли-турли эшиклардан кирдилар. Аллоҳ тақдир қилган нарса бир эшикдан кирсалар ҳам, турли эшикдан кирсалар ҳам, албатта, бўларди.
068_01	Буни Яъқубнинг (а. с.) ўзлари ҳам яхши билардилар. Аммо шунга қарамай, ўғилларига турли эшиклардан киришни насиҳат қилишлари «Яъқубнинг кўнглидаги эҳтиёж бўлиб, уни қондирди, холос». Яъни, кўнглига бир айтиб қўйиш тушиб, айтиб қўйди, холос. Бу ерда бошқа ҳеч қандай сир-асрор йўқ. Гапни кўпайтиришнинг ҳам ҳожати йўқ. Бу ҳақиқатларни Яъқубнинг (а. с.) ўзи жуда яхши билади.)
069_00	Юсуфнинг олдига кирганларида, у инисини ўзига яқин жойлаштирди ва: «Мен акангман, улар қилган нарсалардан хафа бўлма», деди. (Улар Юсуфнинг (а. с.) ҳузурларига кирган вақтларида, у зот меҳмонларни яна яхши кутиб олдилар. Кичик укаларини ёнларига олиб, бошқаларига билдирмай, «Мен акангман», деб ўзларини танитдилар.)
070_00	Уларнинг жиҳозларини ҳозирлаган пайтда, инисининг юкига бир сув идишни солиб қўйди. Сўнгра жарчи: «Эй карвондагилар, сизлар ўғридирсизлар», деб жар солди. (Яъни, Юсуф (а. с.) оға-иниларининг жиҳозларини ҳозирлаётган ходимларига айтиб, кичик укасининг юкига бир сув идиш қўштириб қўйдилар. Улар жўнаб кетганларидан сўнг, орқаларидан бир одам юбориб, уларни ўғриликда айблади.)
071_00	Улар (ортларидан келганларга) қараб: «Нима йўқотдингиз?» дедилар. (Демак, карвон ортидан фақат овоз чиқариб жар солган киши эмас, бошқалар ҳам борган экан. Оға-инилар уларга қараб туриб: «Нима йўқотдингиз?» дедилар.)
072_00	Улар: «Подшоҳнинг идишини йўқотдик. Уни келтирган кишига бир туя юк. Мен унга кафилман», деди. (Яъни, хизматкорлардан бири ҳамманинг номидан юқоридаги гапларни айтди. Лекин карвондагилар ўзларининг айбсиз эканликларига ишончлари комил эди.)
073_00	Улар: «Аллоҳга қасамки, ўзингиз биласиз, биз ер юзида фасод учун келган эмасмиз, биз ўғрилар бўлган эмасмиз», дедилар.
074_00	Улар: «Агар ёлғончи бўлиб чиқсангиз, жазоси нима?» дедилар.
075_00	Улар: «Унинг жазоси, кимнинг юкида топилса, ўшадир. Бас, унинг жазоси ўшадир. Золимни шундай жазолаймиз», дедилар. (Яъни, бизнинг қонун-қоидамиз бўйича, ўғирланган нарса кимнинг юкидан чиқса, ўша одам жазоланади, дедилар.)
076_00	У инисининг юкидан олдин уларнинг юкидан (тафтиш) бошлади. Сўнгра у( идиш)ни унинг юкидан чиқариб олди. Шундай қилиб, Юсуф фойдасига ҳийла қилдик. У подшоҳнинг дини бўйича инисини олиб қола олмас эди. Магар Аллоҳ хоҳласагина, бўлиши мумкин эди.
076_01	Кимни хоҳласак, ўшанинг даражасини кўтарамиз. Ҳар бир илм эгаси устидан билувчи бор. (Миср подшоҳининг қонуни ўғрига бошқа жазо берарди, уни олиб қолиш мумкин эмас эди. Шунинг учун оға-иниларнинг эътироф қилдириб, Яъқуб (а. с.) дини ҳукми бўйича амал қилишга–ўғрини олиб қолишга йўл очилди.)
077_00	Улар: «Агар бу ўғирлаган бўлса, бундан олдин унинг акаси ҳам ўғирлаган эди», дедилар. Юсуф буни кўнглига тугиб қўйди, уларга ошкор қилмади. «Ўзингиз ёмонроқ турумдасиз. Аллоҳ сиз васф қилаётган нарсани яхши билгувчи зотдир», деди.
077_01	(Улар ўзларини оқлаш учун навбатдаги ёлғонни гапирдилар. Энди Юсуфнинг (а. с.) ўзларига у киши ва укалари ҳақида ёлғон тўқимоқдалар. Улар, кичик ўгай ука ўғрилик қилган бўлса, бу ажабланарли эмас, унинг туғишган акаси ҳам олдин ўғрилик қилган эди, бу иш уларниг табиатида бор ўзи, дейишмоқчи.)
078_00	Улар: «Эй Азиз, бунинг катта ёшли чол отаси бор. Бас, биримизни унинг ўрнига ол. Биз сени яхшилик қилувчилардан эканлигингни кўрмоқдамиз», дедилар.
079_00	У: «Нарсамизни ҳузуридан топган одамдан бошқани олиб қолишимиздан Аллоҳ сақласин. Акс ҳолда, албатта, золимлардан бўлиб қоламиз», деди. (Бошқа ўринларда бўлгани каби, бу сафар ҳам Юсуф (а. с.) нозик ибораларни ишлатиб, ҳеч кимнинг ҳаққига ножўя гап айтмадилар. «Ўғринингг» ё «айбдорнинг ўрнига» демасдан, «нарсамизни ҳузуридан топган одамдан бошқани олиб қолишимиздан Аллоҳ сақласин», дея марҳамат қилдилар.)
080_00	Ундан умидни узган чоғларида, четга чиқиб, хуфёна маслаҳат қилдилар.
