001_00	Алиф. Лом. Ро. Булар ҳикматли китобнинг оятларидир.
032_00	Бас, мана шу Аллоҳ сизнинг ҳақ Роббингиздир. Ҳақдан сўнг нима бўладир? Магар залолат бўладир. Бас, қаёққа бурилиб кетмоқдасиз?
033_00	Шундай қилиб, фосиқлик қилганларга Роббингнинг сўзи ҳақ бўлди. Улар иймон келтирмаслар.
034_00	Сен: «Сизнинг шерик келтираётганларингиз орасида махлуқотни аввал-бошда яратиб, сўнгра уни қайтарадигани борми?» деб айт. Сен: «Аллоҳ махлуқотни аввал-бошда яратиб, сўнгра уни қайтарадир. Бас, қаёққа бурилиб кетмоқдасизлар?» деб айт.
035_00	Сен: «Сизнинг шерик келтираётганларингиз орасида ҳаққа ҳидоят қиладигани борми?» деб айт. Сен: «Аллоҳ ҳаққа ҳидоят қилади.
035_01	Эргашишга ҳаққа ҳидоят қиладиган зот ҳақлироқми ёки ҳидоят қилмайдиган, балки ўзи ҳидоятга муҳтож кимсами? Сизга нима бўлди?! Қандай ҳукм қилмоқдасиз?!» деб айт.
036_00	Уларнинг кўплари гумонга эргашадилар, холос. Албатта, гумон ҳақ ўрнида ҳеч нарса бўла олмас. Албатта, Аллоҳ нима қилаётганларини билгувчи зотдир. (Аллоҳнинг йўлида юрмаганларнинг кўплари, балки ҳаммалари гумон ва тахминга эргашадилар. Улардан, нима учун бу ишни қилмоқдасан, нима учун бу йўлга юрмоқдасан, деб сўралса, берадиган жавоблари фақат гумондан иборат бўлади. Қадимда бутпарастлар, ота-бобомиз шундай қилган, биз ҳам қилмоқдамиз, деб жавоб беришган. Ҳозирда ҳам фалончи айтгани учун, пистончи қилгани учун, дейишади.)
037_00	Ушбу Қуръон Аллоҳдан бошқа томонидан тўқиб чиқарилган эмас. Балки у ўзидан олдингининг тасдиғи ва китобнинг тафсилотидир. Унда ҳеч шубҳа йўқ. У оламларнинг Роббисидандир.
038_00	Ёки ўзи тўқиб олган дейдиларми? Сен: «Агар ростгўй бўлсангиз, унга ўхшаш бир сура келтиринг ва (бу ишга) Аллоҳдан бошқа кучингиз етганича кимни хоҳласангиз, чақиринг», деб айт.
039_00	Балки улар ўзлари илмини билмаган нарсани уларга унинг таъвили етмай туриб, ёлғонга чиқарурлар. Улардан олдингилар ҳам шундай ёлғонга чиқарган эдилар. Золимларнинг оқибати қандай бўлганига назар сол.
040_00	Улардан унга иймон келтирадиганлар ҳам бор ва улардан унга иймон келтирмайдиганлар ҳам бор. Роббинг эса, бузғунчиларни яхши билгувчи зотдир.
041_00	Агар улар сени ёлғончи қилсалар, сен: «Менга ўз ишим, сизларга ўз ишингиз, сизлар мен қиладиган ишдан поксизлар, мен сизлар қиладиган ишдан покман», деб айт. (Улар шунчалик далилларни кўриб-билиб, ҳақиқатни англаб етганларидан кейин ҳам иймон келтирмасалар, сени ёлғончига чиқарсалар, унда улар билан орани очиқ қилишингдан бошқа чора қолмайди. Уларга йўллар бошқа-бошқа эканини билдириб: Шу билан бирга, орада ҳеч бир алоқа қолмаганини ҳам таъкидлаш лозим.)
042_00	Ва улардан сенга қулоқ тутадиганлари ҳам бор. Агар ақл ишлатмасалар, карқулоқларга сен эшиттира олурмисан?!
043_00	Улардан сенга назар соладиганлари ҳам бор. Агар ўзлари (қалб кўзлари ила) кўрмасалар, кўрларни сен ҳидоят қила олурмисан?!
044_00	Албатта, Аллоҳ одамларга ҳеч зулм қилмас, лекин одамлар ўзларига зулм қилурлар. (Уларнинг энг катта зулмлари Ислом динига юрмасликларидир.)
045_00	Уларни тўплайдиган кунда худди наҳордан бир соатгина турганга ўхшаб бир-бирлари билан танишурлар.
045_01	Батаҳқиқ, Аллоҳнинг мулоқотини ёлғонга чиқарганлар ва ҳидоят топганлардан бўлмаганлар зиён қилурлар.
046_00	Ёки сенга уларга ваъда қилганимизнинг баъзисини кўрсатамиз, ёки сени вафот эттирамиз. Бас, уларнинг қайтишлари Бизгадир. Сўнгра нима қилаётганларига Аллоҳ шоҳиддир.
047_00	Ҳар умматнинг ўз Пайғамбари бордир. Қачонки уларга Пайғамбарлари келса, ораларида адолат ила ҳукм чиқарилур. Уларга зулм қилинмас.
048_00	Улар: «Агар ростгўйлардан бўлсангиз, бу ваъда қачон бўладир?» дерлар.
049_00	Сен: «Мен ўзим ҳам на зарарга ва на фойдага молик эмасман. Магар Аллоҳ нимани хоҳласа (шу бўладир). Ҳар умматнинг ўз ажали бор. Ажаллари келган вақтда бир соатга орқага ҳам, олдинга ҳам сура олмаслар», деб айт. (Гапнинг хулосаси шу. Бировга зарар ёки фойда етказиш фақат Аллоҳнинг иши.
049_01	Агар Расулуллоҳ (с. а. в.) ўзларига на зарар, на фойда етказа олмасалар, демак, ўзгаларга ҳам етказа олмасликлари турган гап. Лекин улар ҳадеб у зотдан ваъда қилинган азоб қачон келишини сўрайверадилар. Ажал келган соатнинг айни ўзида ҳалок бўладилар. Бунга ўтган умматлар, хусусан, Қуръони Каримда зикри келган умматлар ёрқин мисолдир. Баъзи уламоларимиз, умматларнинг ҳалокати фақат жисмоний бўлиши шарт эмас, маънавий ҳалокат ҳам шунга киради, дейдилар.)
050_00	Сен: «Хабар беринг-чи, агар Унинг азоби сизларга кечаси ёки кундузи келса, жиноятчилар унинг нимасига шошилмоқдалар?» деб айт.
051_00	У воқеъ бўлганидан сўнг унга ишондингизми? Энди-я?! Уни тезроқ келсин, деб шошилаётган эдингиз-ку?! (Азобнинг тушиши муқаррар. Қачон бўлса ҳам, барибир тушади. Ана ўша вақтда мушрик ва кофирларга юқоридаги сўзлар айтилади.)
052_00	Зулм қилганларга: «Мангу азобни тортинглар. Фақат касб қилганингизга яраша жазо олурсизлар, холос», дейилур. (Улар бу дунёда қилган зулмлари–Аллоҳга иймон келтирмаганлари учун қилмишларига яраша жазо оладилар, дўзахда мангу қоладилар.)
053_00	Улар сендан: «У ҳақми?» деб сўрарлар. Сен: «Ҳа, Парвардигорим ҳаққи, албатта, у ҳақдир ва сизлар қочиб қутулувчи эмассизлар», деб айт.
054_00	Агар ҳар бир зулм қилган жонга ер юзидаги ҳамма нарса берилсаю уни фидо қилса ҳам. Азобни кўрганларида ичларида надомат чексалар ҳам.
054_01	Улар ўртасида адолат ила ҳукм чиқарилур. Уларга зулм қилинмас.
055_00	Огоҳ бўлинг! Осмонлару ердаги нарсалар, албатта, Аллоҳникидир. Огоҳ бўлинг! Аллоҳнинг ваъдаси, албатта, ҳақдир. Лекин кўплари билмаслар.
056_00	У тирилтирадир ва ўлдирадир ва Унгагина қайтарилурсизлар.
057_00	Эй одамлар! Сизга ўз Роббингиздан мавъиза, кўксингиздаги нарсага шифо, мўминларга ҳидоят ва раҳмат келди. (Эй одамлар! Қуръонни ёлғон деманг! Қуръонни фалончи тўқиган, деманг! Унинг тўғрисида шубҳа қилманг. У қалбингиздаги руҳий, маънавий дардларингизнинг барчасига шифо бўлиб келди. Ким Қуръонга иймон келтириб, мусулмон бўлса, у ўша одамни ҳидоятга бошлайди, Аллоҳнинг раҳматига эриштиради.)
058_00	Сен: «Аллоҳнинг фазли ила ва Унинг раҳмати ила. Бас, ана шу билан хурсанд бўлсинлар. У улар жамлайдиган нарсалардан яхшидир», деб айт. (Бир умматга икки дунё бахтига эриштирувчи илоҳий китоб берилиши ўша миллатга Аллоҳнинг фазли ва марҳаматидир. Бу миллат ушбу оятга амал қилиб, қанча хурсанд бўлса, арзийди. Аллоҳ таолонинг фазли ва марҳамати бўлмиш Қуръони Каримга иймон келтириб, уни ўзига дастур қилиб олган зотлар ўша энг улуғ фазл ва раҳматга эришган кишилар сифатида қанчалик хурсанд бўлсалар, шунчалик оз. Қуръонга эришиш дунёдаги бошқа ҳамма нарсаларни жамлаб, ўшаларга эга бўлишдан кўра яхшироқдир.)
059_00	Сен: «Аллоҳ сизга нозил қилган ризқдан хабар беринг-чи! Уни ҳаром ва ҳалол қилиб олдингиз!» деб айт. Сен: «Аллоҳ сизга изн бердими ёки Аллоҳга нисбатан ёлғон тўқияпсизми?» деб айт.
060_00	Аллоҳга нисбатан ёлғон тўқиётганларнинг қиёмат куни ҳақида нима гумонлари бор? Албатта, Аллоҳ одамлар учун фазл эгасидир. Лекин кўплари шукр қилмаслар.
061_00	Қайси ҳолда бўлсанг, Қуръондан нимани тиловат этсанг, ишлардан қай бирини қилсанг, албатта, биз ўшанга киришаётган пайтингларда сизларга гувоҳмиз. На ер юзида ва на осмонларда зарра миқдоридаги, ундан кичикроқ ёки каттароқ нарса Роббингдан махфий бўла олмас, балки очиқ-ойдин китобдадир. (Аллоҳ нафақат кўради ёки билади, балки унга гувоҳ бўлади ва очиқ-ойдин китобга ёзиб ҳам қўяди.
061_01	Шундай бўлгандан кейин, дунёда энг катта гуноҳни қилганларнинг–Аллоҳ таологагина хос бўлган ҳаққа тажовуз этиб, унинг шаънига ёлғон тўқиб, берган ризқининг баъзисини ҳаром, баъзисини ҳалол деганларнинг гуноҳи махфий бўлиб қолармиди? Аллоҳ гувоҳ бўлиб турибди, очиқ-ойдин китобга ёзилиб турибди, деган эътиқод билан яшаб, Аллоҳга ихлос ила эътиқод ва бандалик қилганларнинг бирор амали зое бўлармиди? Албатта, йўқ. Ҳаммаси ҳисобга олинади ва мукофоти берилади.)
062_00	Огоҳ бўлингким, Аллоҳнинг дўстларига хавф йўқдир ва улар хафа ҳам бўлмаслар.
063_00	Улар иймон келтирганлар ва тақво қилганлардир. (Демак, Аллоҳнинг дўсти бўлиш жуда ҳам осон экан. Бунинг учун аввало, У зотга иймон келтириш; иккинчидан эса, тақводор бўлиш, яъни, Аллоҳнинг айтганини қилиб, қайтарганидан қайтиб яшаш лозим экан. Кимнинг иймонида заррача хато бўлса ёки Аллоҳнинг кўрсатмалари асосида эмас, ўзганинг йўлида ҳаёт кечирса ёхуд ўзи ўзига йўлланма тузиб олса, у одам Аллоҳга дўст бўлиш бахтидан маҳрумдир.)
064_00	Уларга ҳаёти дунёда ҳам, охиратда ҳам хушхабар бор. Аллоҳнинг сўзларини ўзгартириш йўқ. Ана ўша улуғ ютуқдир. (Аллоҳнинг дўстларига икки дунё саодатининг хушхабари бор. Улар иймонлари ва тақволари туфайли, Аллоҳнинг инояти ила, аввало, бу дунёда саодатли ҳаёт кечирадилар. Охиратда эса, худди шу иймонлари ва тақволари сабабли жаннатга дохил бўладилар. Мазкур хушхабар Аллоҳнинг сўзларидир. Ҳозирда баъзи мусулмон жамиятлар ўша улуғ ютуққа бу дунё ҳаётида эриша олмаётган бўлсалар, бу нарса Аллоҳнинг калималари ўзгарганига эмас, балки иймон ва тақвода камчилик борлигига ёки иймон ва тақвонинг умуман йўқлигига далилдир.)
065_00	Уларнинг гапи сени хафа қилмасин. Азизликнинг барчаси Аллоҳникидир. У эшитгувчи ва билгувчи зотдир.
066_00	Огоҳ бўлингким, осмонларда ким бўлса ва ер юзида ким бўлса, албатта, Аллоҳникидир. Аллоҳдан ўзга шерикларга илтижо қилаётганлар нимага эргашадилар?
066_01	Улар фақат гумонга эргашадилар, холос. Улар фақат тахмин қиладилар, холос.
067_00	У сизларга сокинлик топишингиз учун кечани ва кўрсатувчи этиб кундузни қилган зот. Албатта, бунда эшитадиган қавмлар учун оят-аломатлар бордир.
068_00	Улар: «Аллоҳ фарзанд тутди», дедилар. У (бундан) покдир. У беҳожатдир. Осмонлардаги нарсалар ва ердаги нарсалар Уникидир. Бу ҳақда сизнинг ҳеч қандай далилингиз йўқ-ку!
068_01	Аллоҳга нисбатан билмаган нарсангизни айтаверасизми? (Одатда инсон қай ҳолларда фарзанд тутади? Фарзандсизлигим билинмасин; менга ёрдам бўлсин; кўнглимни кўтариб турсинн ва ҳоказо ҳожатларни кўзлаб фарзанд тутади. Ажабо, Аллоҳ субҳанаҳу ва таоло шу каби ишларга муҳтожми? Унга нисбатан бунақа сифат бериш дурустми? Йўқ, албатта.)
069_00	Сен: «Албатта Аллоҳга нисбатан ёлғон тўқиганлар нажот топмаслар», деб айт.
070_00	Бу дунёда (бир оз) фойдаланиш, кейин Бизга қайтишлари бор. Сўнгра Биз уларга, куфр келтириб ўтганлари учун, шиддатли азобни тоттирамиз.
071_00	Уларга Нуҳнинг хабарини тиловат қилиб бер. Вақтики у ўз қавмига: «Эй қавмим, агар сизларга менинг мақомим ва Аллоҳнинг оятлари ила эслатишим оғир келаётган бўлса, бас, мен Аллоҳга таваккал қилдим.
071_01	Сиз шерик келтирганларингиз билан биргаликда ўз ишингизни билаверинглар. Яна ишларингиз ўзингиз учун ноаниқ бўлиб қолмасин. Сўнгра менга нисбатан ҳукмингизни ижро этаверинглар, менга муҳлат берманглар.
072_00	Бас, агар юз ўгирсангиз, мен сизлардан ажр сўраганим йўқ. Менинг ажрим фақатгина Аллоҳдан. Ва мен мусулмонлардан бўлишга амр қилинганман», деди. (Эй Муҳаммад, ўз вақтида Нуҳ (а. с.) ҳам сенга ўхшаб қавмига Пайғамбар бўлиб келган эди. Сен билан қавминг ўртасидаги ҳолат уларнинг ҳам бошидан кечган. Сенинг қавминг ичидан ҳам Нуҳ қавмидагига ўхшаш саркашлар чиқди. Улар Аллоҳнинг қудратига далолат қилувчи турли оят-белгилардан ўрнак олмаяптилар.)
073_00	Сўнгра уни ёлғончига чиқаришди. Бас, Биз уни ва у ила бирга бўлганларни кемада қутқардик ва уларни халифалар қилдик.
073_01	Оятларимизни ёлғонга чиқарганларни ғарқ этдик. Огоҳлантирилганларнинг оқибати қандай бўлганига назар сол.
