001_00	Осмонлардаги ва ердаги нарсалар Аллоҳга тасбиҳ айтди. Ва У азиз ва ҳакимдир.
020_02	Ҳа, бу дунё ҳаёти ҳам шу каби алдамчидир. Шу билангина овуниб қолмаслиги керак. Чунки охиратда кофирларга қаттиқ азоб, мўминларга эса Аллоҳнинг мағфирати ва розилиги бор. Албатта, бу гаплар тарки дунё қилишга, ҳамма нарсадан юз ўгиришга чақириқ эмас. Балки мезон ва ўлчовларни тўғри йўлга солишга, ўткинчи ҳой-ҳавасдан устун бўлишга даъват, холос.)
021_00	Роббингизнинг мағфиратига ва Аллоҳга ҳамда Унинг Пайғамбарларига иймон келтирганлар учун тайёрланган, кенглиги осмону ернинг кенглигича бўлган жаннатга мусобақалашинг. Ана ўша Аллоҳнинг фазли.
021_01	Кимга хоҳласа беради, Аллоҳ улуғ фазл эгасидир. (Қуръони карим назарида, мусобақа бу дунё ҳаётининг ўткинчи ҳой-ҳавасларига, бойликка, ўйин-кулгуга эмас, балки Аллоҳнинг мағфиратига ва жаннатга элтувчи яхши амалларга қаратилиши керак.)
022_00	Бирор мусибатни пайдо қилмасамиздан олдин у Китобда битилган бўлур, акс ҳолда ер юзида ва ўз шахсларингизда сизга бирор мусибат етмас. Албатта, бу иш Аллоҳ учун осондир.
023_00	Токи, кетган нарсага қайғуриб, келган нарсадан хурсанд бўлмаслигингиз учун, Аллоҳ барча димоғдор ва мақтанчоқларни суймайдир.
024_00	Улар бахилдирлар ва кишиларни ҳам бахилликка буюрадилар. Ким юз ўгирса, бас, Аллоҳ беҳожат ва мақталган зотдир. (Улар бахиллик қилиб, кишиларни ҳам бахилликка буюрсалар-да, Аллоҳга ҳеч зарари йўқ, чунки Аллоҳ беҳожат, бой ва мақталган зотдир.)
025_00	Дарҳақиқат, Биз Пайғамбарларимизни равшан(нарса)лар ила юбордик ва улар ила китоб, ҳамда одамлар адолатда туришлари учун мезон туширдик. Ва темирни туширдик - унда катта куч-қувват ва одамлар учун манфаатлар бор. Аллоҳ ким Ўзига ва Пайғамбарларига ғойибона ёрдам бераётганини билиши учун. Албатта, Аллоҳ кучли ва азиздир. (Ояти каримада Аллоҳ субҳанаҳу ва таоло Ўз Пайғамбарларига юбордим деяётган равшан, очиқ-ойдин нарсалар - мўъжизалар, шариат аҳкомлари, оятлар бўлиши мумкин. Ушбу оят тушган вақтидаёқ мусулмонларни темирга эътибор беришга, ундан самарали фойдаланишга даъват қилган эди.
025_01	Темирнинг одамлар учун манфаатини санаб тугатиб бўлмайди. Оятнинг охиридаги жумлада бир-икки нозик маъно бор. Жумладан, темирдан ясалган асбобларни ишлатиб, Аллоҳга ва Унинг Пайғамбарларига ёрдам берувчиларни билиши учун, деган ишора. Маълумки, Аллоҳ илмининг чегараси йўқ - ҳамма нарсани рўй беришидан аввал билиб туради. Лекин бу оятдаги «билиши»ни юзага чиқариши, халойиққа билдириши деб тушунмоқ керак. Шунингдек, «ғойибона» сўзи ҳам Аллоҳни ва Унинг Пайғамбарларини кўрмасдан туриб уларни динига ёрдам беринглар, деб шарҳланади.)
026_00	Дарҳақиқат, Нуҳ ва Иброҳимни Пайғамбар қилиб юбордик ҳамда Пайғамбарликни ва китобни икковларининг зурриётига хос қилдик. Улар орасида ҳидоят топганлар бор, лекин уларнинг кўплари фосиқлардир.
027_00	Сўнгра уларнинг ортидан Пайғамбарларимизни кетма-кет юбордик ва Исйо ибн Марямни ҳам ортларидан юбордик ҳамда унга Инжилни бердик.
027_01	Унга эргашганларнинг қалбларига меҳрибонлик ва раҳмдилликни солдик.
027_02	Роҳибликни ўзлари чиқариб олдилар, Биз буни уларга фарз қилмаган эдик, фақат ўзлари Аллоҳнинг розилигини тилаб қилдилар, лекин ҳақиқий риоясини қила олмадилар.
027_03	Бас, улардан иймон келтирганларига ажрларини бердик, лекин уларнинг кўпи фосиқлардир. (Роҳиблик, таркидунёчиликдан иборат бўлиб, ўрисларда, монахлик, дейилади. Монахликни ихтиёр қилган эркак эркаклар монастирида, аёл эса аёллар монастирида, оила қурмай, дунёни тарк этиб ҳаёт кечирадилар. Қуръони карим бундай роҳибликни Аллоҳ Ийсо алайҳиссаломга эргашувчиларга буюрмаганини, балки улар ўзлари бидъат сифатида кейинчалик ўйлаб топиб одат қилишганини эслатмоқда.)
028_00	Эй иймон келтирганлар! Аллоҳга тақво қилинглар ва Унинг Пайғамбарига иймон келтиринглар.
028_01	У зот Ўз раҳматидан сизларга икки ҳисса берадир ва сизларнинг юришингизга нур берадир ҳамда сизларни мағфират қиладир. Аллоҳ кечирувчи, раҳмли зотдир.
029_00	Токи китоб аҳллари Аллоҳнинг фазлидан ҳеч нарсага қодир эмасликларини, фазл Аллоҳнинг қўлида бўлиб, хоҳлаган кишисига беришини билсинлар. Аллоҳ улуғ фазл эгасидир.
029_01	(Яҳудий ва насронийлар ваҳий, Пайғамбарлик ва илоҳий китоблар фақат бизга хос, ўзгаларга берилмайди, деб фахрланишар эди. Аллоҳ таоло уларнинг бу даъволарини рад қилиб, фазл ўзининг қўлида эканини, кимга хоҳласа, шунга раво кўришини, шу жумладан, араблардан бўлган Муҳаммад алайҳиссаломга беришини таъкидламоқда.)
