001_00	Ҳа мийм.
012_00	У(Қуръон)дан олдин Мусонинг китоби йўл бошловчи ва раҳмат эди. Бу эса, араб тилидаги, тасдиқловчи, зулм қилувчиларни огоҳлантириш учун ва яхшиларга башорат китобидир. (Қуръон ўзидан аввалги китобларда, жумладан, Тавротда келган ақида аслини, илоҳий йўлни, дину диёнатни тасдиқлайди.)
013_00	Албатта «Роббимиз Аллоҳдир» деган, сўнгра бунда мустақим турганларга хавф йўқдир ва улар хафа ҳам бўлмаслар.
014_00	Ана ўшалар жаннат эгаларидир, унда қилган амаллари мукофотига абадий қолурлар.
015_00	Биз инсонни ота-онасига яхшилик қилишга буюрдик. Онаси унга қийланиб ҳомиладор бўлди ва уни қийланиб туғди. Ва унинг ҳомиласи ва кўкракдан ажратиши ўттиз ойдир.
015_01	Токи у камолга етиб, қирқ ёшга кирганида: «Роббим Ўзинг менга ва ота-онамга берган неъматларингга шукр қилишимга ва сен рози бўлган солиҳ ишларни қилишимга илҳом бергин. Ва менинг зурриётларимни ҳам солиҳлардан қилгин. Албатта, мен тавба қилдим ва албатта, мен мусулмонларданман, деди.
015_02	(Аллоҳ таоло инсонни ота-онасига яхшилик қилишга буюрмоқда. Бу инсонийлик бурчидир, бошқа ҳеч қандай асос йўқ. Инсон фақат инсонлиги учун ота-онасини ҳурмат қилиши, эъзозлаши зарур. Лекин шу билан бирга, оятнинг ўзида ота-онага яхшилик қилишнинг боисларидан баъзиси айтиб ўтилмоқда.)
016_00	Ана ўшаларнинг энг яхши амалларни қабул қилиб, ёмонликларини ўтиб юборурмиз. Улар жаннат эгаларидандир. Уларга берилган ҳақ ваъда шулдир. (Аввалги оятдаги мақтовли сифатларга эга бўлган мўминларнинг қилган яхши амалларини қабул қиламиз, дейди Аллоҳ таоло. Албатта, амални қабул қилгандан сўнг унинг мукофати ва савобини ҳам кўпайтириб беради.)
017_00	Ота-онасига: «Уфф сизларга, (қабрдан) чиқарилишимнинг ваъдасини бераяпсизларми?! Мендан аввал ҳам асрлар ўтган-ку!»
017_01	деган кишига, Аллоҳдан мадад сўраган ҳолда улар: «Ҳолингга вой бўлгур, иймон келтир, албатта, Аллоҳнинг ваъдаси ҳақдир», дедилар. У бўлса «Бу ўтганларнинг афсоналари, холос», дер.
018_00	Ана ўшаларга ўзларидан аввал ўтган жин ва инс умматлари қаторида (азоб) сўзи ҳақ бўлгандир. Албатта, улар зиён кўрувчилардан бўлдилар.
019_00	Ҳар бирларига қилган амалларига яраша даражалар бордир. Ва уларга амалларининг (мукофат ёки жазоси) тўлиқ берилур ва уларга зулм қилинмас. (Ушбу оятда ҳар бир инсонга бу дунёда қилган амлига яраша у дунёда даража берилиши таъкидланмоқда. Қиёматда яхшиларни тўплаб жаннатга, ёмонларни дўзахга киритиб юбориш билан кифояланмаслиги маълум бўлмоқда. Балки ҳар бир инсон бу дунёда қилган амалига қараб алоҳида даражага эга бўлади. Заррача яхшилик ҳам, ёмонлик ҳам ҳисоб-китобдан четда қолмайди. Кўп яхшилик қилганларнинг даражалари жаннатда олий бўлади. Шунинг учун яхшиликни иложи борича кўпроқ қилишга уриниш керак.)
020_00	Куфр келтирганлар дўзахга кўндаланг қилинган кунда (уларга): «Ҳаёти дунёдаёқ ҳузур ҳаловатингизни кетказиб, мазасини татиб бўлгансиз.
020_01	Бугунги кунда ер юзида ноҳақ кибру ҳаво ва фисқу фасод қилганингиз учун хорлик азоби ила жазоланасиз», дейилур.
021_00	Ўз қавмини қум тепаликларда огоҳлантирган Однинг биродарини эсла! Ва ҳолбуки, ундан аввал ҳам, кейин ҳам огоҳлантирувчилар ўтган. «У зотдан ўзгага ибодат қилманглар, албатта, мен улуғ кунда бошингизга тушадиган азобдан қўрқурман», (деб). («Однинг биродаридан» мурод Пайғамбар Ҳуд алайҳиссаломдир.
021_01	У киши ўз қавми Одга Аллоҳ томонидан Пайғамбар қилиб юборилганлар. Од қавми «Боида» арабларидан бўлиб, асли Арабистон ярим оролининг жанубида, Ҳазарамавт томонда, баландлик–қумтепа жойларда яшаган. (Исмоил алайҳиссаломдан аввал ўтган арабларни «Боида» араблари дейилади.)
022_00	Улар: «Бизни худоларимиздан оздиришга келдингми? Агар ростгўйлардан бўлсанг, бизга ваъда қилаётган нарсангни келтир», дедилар.
023_00	У: «Албатта, илм Аллоҳнинг ҳузуридадир. Мен нима билан юборилган бўлсам, шуни етказмоқдаман. Лекин сизларнинг жоҳил қавмлигингизни кўриб турибман», деди. (Кофирлар Пайғамбардан въда қилинаётган азобни тезроқ келтиришни талаб қилишди. Пайғамбар эса, менга сизларни огоҳлантириш топширилган эди, шуни бажардим, азобнинг қачон келишининг илми эса фақат Аллоҳнинг ҳузурида. Мен унинг вақтини ҳам, шаклини ҳам билмайман, дедилар.)
024_00	У(азоб)нинг водийлари томон кўндаланг бўлиб юрганини кўришганда, бу кўндаланг бўлувчи, бизга ёмғир ёғдирур, дедилар. Йўқ! Бу ўзингиз орзиқиб сўраган нарса, аламли азоби бор бўрондир.
025_00	У Роббисининг амри ила ҳар бир нарсани вайрон қилур. Бас, масканларидан бошқа нарса кўринмай қолди. Жиноятчи қавмларни шундоқ жазолайрмиз. (Од қавмига юборилган шамол алоҳида азоб шамоли эди. У Аллоҳнинг амри ила нимага тегса, вайрон (ҳалок) қилиши керак эди.)
026_00	Ва, дарҳақиқат, Биз уларга сизга бермаган имконларни берган эдик. Ҳамда қулоқ, кўз ва қалблар ато этдик.
026_01	Бас, на қулоқлари, на кўзлари ва на қалблари уларга ҳеч бир фойда бермади. Чунки улар Аллоҳнинг оятларини инкор қилган эдилар. Бас, уларни ўзлари масхара қилган нарса (азоб) ўраб олди.
027_00	Ҳақиқатда, атрофингиздаги шаҳар-қишлоқларни ҳалокатга учратдик ва шоядки, ўзларига қайтсалар, деб ҳужжат-далилларни баён қилдик. (Аллоҳ таоло Макка мушрикларига ўзлари хабардор бўлган, уларнинг атрофида куфри ва инкори туфайли ҳалокатга учраган Од, Самуд, Сабаъ ва Лут қавмларини эслатмоқда.)
028_00	Қани энди, Аллоҳни қўйиб, (У зотга) яқинлаштирувчи деб тутинган худолари уларга ёрдам берсалар эди. Йўқ! Улар ғойиб бўлдилар ва бу уларнинг уйдирма ҳамда тўқиган бўҳтонларидир. (Аввалги оятларни ўрганиш жараёнида тушунганимиздек, мушриклар буту санамларга, булар бизни катта худога яқирлаштирадилар, шафоат қиладилар, деб эътиқод қилар эдилар.)
029_00	Ва сен томон бир гуруҳ жинларни Қуръон эшитишга бурганимизни эсла. Унга ҳозир бўлганларида: «Жим, қулоқ осинглар!», дедилар. Қачонки, қироат охирлаганда, ўз қавмларига огоҳлантирувчи бўлиб қайтдилар: (Оятдан маълум бўляптики, жинларнинг Қуръонга қулоқ осишлари тўсатдан, кутилмаганда содир бўлмаган, балки уларни Аллоҳ таолонинг Ўзи буриб қўйган. Бу фазлни Пайғамбар алайҳиссаломга ҳам эслатмоқда.)
030_00	«Эй, қавмимиз! Биз Мусодан кейин туширилган, ўзидан аввалги нарса(китоб)ларни тасдиқловчи, ҳақ(дин)га ва тўғри йўлга ҳидоят қилувчи китобни эшитдик.
031_00	Эй, қавмимиз, Аллоҳнинг даъватчисига жавоб беринг ва Унга иймон келтиринг: У зот сизларнинг гуноҳларингизни мағфират қиладир ва аламли азобдан сақлайдир. (Жинлар Қуръони Каримдан баъзи оятларни тинглашлари билан, уни инсу жинга юборилган илоҳий китоб эканлигини тушуниб етганлар. Шунингдек, Муҳаммад алайҳиссаломни Аллоҳнинг даъватчиси эканликларини, у зотнинг чақириқларига жавоб бериш лозимлиги, Аллоҳга иймон келтириш вожиблигини ҳам англаб етганлар. Энг муҳими, охиратни, қиёмат кунини билганлар, унда аламли азоблар борлигини, Аллоҳга иймонгина у азобдан сақлаб қолиши мумкинлигини фаҳмлаганлар. Афсуски, инсонлар бу борада жинларчалик ҳам эмаслар.)
032_00	Кимки, Аллоҳнинг даъватчисини қабул қилмаса, бас у ер юзида қочиб қутила олувчи эмасдир ва унга У зотдан ўзга валийлар ҳам йўқдир. Ана ўшалар очиқ-ойдин залолатдадир», дедилар.
033_00	Улар осмонлару ерни яратган ва уларни яратишда беҳол бўлмаган зот–Аллоҳ, ўликларни ҳам тирилтиришга қодир эканини англаб етмадиларми?
033_01	Зеро, У зот ҳар бир нарсага қодирдир.
034_00	Куфр келтирганлар дўзахга кўндаланг қилинган кунда: «Бу ҳақиқат эмасми?!» (дейилур). Улар, Роббимизга қасамки, худди шундоқ, дерлар. У зот: «Бас, куфр келтирганингиз учун азобни тотинглар», дер.
035_00	Бас, азму-матонат соҳиби бўлган Пайғамбарлар сабр қилгандек, сабр қил, уларга (азоб етишига) шошилма! Улар ваъда қилинган нарсани кўрганларида худди (бу дунёда) кундуздан бир лаҳзагина турганга ўхшарлар. Бу етказишдир! Бас, фақат фосиқ қавмларгина ҳалок қилинур!
035_01	(Аллоҳ таоло ушбу оятда кофир, мушрик ва динсизлар доимо мўмин- мусулмонларга зулм қилиб, озор бериб, тазйиқ ўтказиб келаганликларини эслатмоқда. «Улул азм», яъни сабр матонат соҳиби бўлган Пайғамбарлар–Нуҳ, Иброҳим, Мусо, Ийсо алайҳиссаломлардир. Бу буюк Пайғамбарларнинг ҳар бирларининг бошларига иймон йўлида, дину диёнат йўлида қанчадан-қанча кулфатлар ёғилган. Лекин улар сабр матонатда зарбулмасал бўлганлар. Оятда Қуръон, етказиш, деб аталмоқда.)
