001_00	Ey İnananlar!
005_03	Kim imanı inkar ederse, şüphesiz amelleri boşa gider. O, ahirette de kaybedenlerdendir.
006_00	Ey İnananlar! Namaza kalktığınızda yüzlerinizi, dirseklere kadar ellerinizi, -başlarınızı meshedip- topuk
006_01	kemiklerine kadar ayaklarınızı yıkayın. Eğer cünüpseniz yıkanıp temizlenin; şayet hasta veya
006_02	yolculukta iseniz veya ayak yolundan gelmişseniz yahut kadınlara yaklaşmışsanız ve su
006_03	bulamamışsanız temiz bir toprağa teyemmüm edin, yüzlerinizi, ellerinizi onunla meshedin. Allah
006_04	sizi zorlamak istemez, Allah sizi arıtıp üzerinize olan nimetini tamamlamak ister ki şükredesiniz.
007_00	Allah'ın size olan nimetini ve "İşittik, itaat ettik" dediğinizde sizi andına bağladığı sözünü anın.
007_01	Allah'tan sakının, Allah içinizde olanı elbette bilir.
008_00	Ey İnananlar! Allah için adaleti ayakta tutup gözeten şahidler olun.
008_01	Bir topluluğa olan öfkeniz sizi adaletsizliğe sürüklemesin; adil olun; bu, Allah'a karşı gelmekten sakınmaya daha yakındır. Allah'tan sakının, doğrusu Allah işlediklerinizden Haberdar'dır.
009_00	Allah, inananlara ve yararlı işler işleyenlere mağfiret ve büyük ecir olduğunu vadetmiştir.
010_00	İnkar edenler ve ayetlerimizi yalanlayanlar, işte onlar cehennemliklerdir.
011_00	Ey İnananlar!
011_01	Allah'ın üzerinize olan nimetini anın: Hani bir topluluk size tecavüze kalkışmıştı da Allah onlara mani olmuştu. Allah'tan sakının, inananlar Allah'a güvensinler.
012_00	And olsun ki, Allah, İsrailoğullarından söz almıştı.
012_01	Onlardan oniki reis seçtik. Allah: "Ben şüphesiz sizinleyim, namaz kılarsanız, zekat verirseniz, peygamberlerime inanır ve onlara yardım ederseniz, Allah uğrunda güzel bir takdimede bulunursanız, and olsun ki kötülüklerinizi örterim.
012_02	And olsun ki, sizi içlerinden ırmaklar akan cennetlere koyarım. Bundan sonra sizden kim inkar ederse şüphesiz doğru yoldan sapmış olur" dedi.
013_00	Sözlerini bozdukları için onlara lanet ettik, kalblerini katılaştırdık. Onlar sözleri yerlerinden değiştirirler.
013_01	Kendilerine belletilenin bir kısmını unuttular. İçlerinden pek azından başkasının daima hainliklerini görürsün, onları affet ve geç. Allah iyilik yapanları şüphesiz sever.
014_00	"Biz hıristiyanız" diyenlerden de söz almıştık; onlar, kendilerine belletilenin bir kısmını unuttular, bu yüzden aralarına kıyamete kadar düşmanlık ve kin saldık.
014_01	Allah, yapmakta olduklarını kendilerine haber verecektir.
015_00	Ey Kitap ehli!
015_01	Kitap'dan gizleyip durduğunuzun çoğunu size açıkça anlatan ve çoğundan da geçiveren peygamberimiz gelmiştir. Doğrusu size Allah'tan bir nur ve apaçık bir Kitap gelmiştir.
016_00	Allah, rızasını gözetenleri onunla, selamet yollarına eriştirir ve onları, izni ile, karanlıklardan aydınlığa çıkarır. Onları doğru yola iletir.
017_00	"Allah ancak Meryem oğlu Mesih'tir" diyenler and olsun ki kafir olmuşlardır.
017_01	De ki: "Allah Meryem oğlu Mesih'i, anasını ve yeryüzünde olanların hepsini yok etmeyi dilerse kim O'na karşı koyabilir?" Göklerin, yerin ve arasındakilerin hükümranlığı Allah'ındır, dilediğini yaratır.
017_02	Allah her şeye Kadir'dir.
018_00	Yahudiler ve hıristiyanlar, "Biz Allah'ın oğulları ve sevgilileriyiz" dediler. "Öyleyse günahlarınızdan ötürü size niçin azabediyor? Bilakis siz O'nun yarattığı insanlarsınız" de, Allah dilediğini bağışlar, dilediğine azab eder.
018_01	Göklerin, yerin ve ikisinin arasındakilerin hükümranlığı Allah'ındır. Dönüş O'nadır.
019_00	Ey Kitap ehli! Peygamberlerin arası kesildiğinde, "Bize müjdeci ve uyarıcı gelmedi" dersiniz diye, size açıkça anlatacak peygamberimiz geldi.
019_01	Şüphesiz O, size müjdeci ve uyarıcı olarak gelmiştir. Allah her şeye Kadir'dir.
020_00	Musa, milletine: "Ey milletim!
020_01	Allah'ın size olan nimetini anın: içinizden peygamberler çıkarmış ve sizi hükümdar yapmıştır, dünyalarda kimseye vermediğini size vermiştir".
021_00	"Ey milletim! Allah'ın size yazdığı kutsal yere girin, ardınıza dönmeyin, yoksa kaybedenler olarak dönersiniz" demişti.
022_00	"Ey Musa! Orada zorba bir millet vardır, onlar oradan çıkmadıkça biz oraya girmeyeceğiz, eğer çıkarlarsa, biz de gireriz" demişlerdi.
023_00	Korkanlar arasında bulunan, Allah'ın nimete erdirdiği iki adam: "Üstlerine kapıdan
023_01	yürüyün, oradan girerseniz şüphesiz galip gelirsiniz; eğer inanıyorsanız Allah'a güvenin" demişlerdi.
024_00	"Ey Musa! Onlar orada oldukça biz asla oraya girmeyeceğiz. Sen ve Rabbin gidin savaşın, doğrusu biz burada oturacağız" demişlerdi.
025_00	Musa: "Rabbim! Ben ancak kendime ve kardeşime söz geçirebiliyorum; artık bizimle bu yoldan çıkmış milletin arasını ayır" dedi.
026_00	Allah: "Orası onlara kırk yıl haram kılındı; yeryüzünde şaşkın şaşkın dolaşacaklar. Sen, yoldan çıkmış millet için tasalanma" dedi.
027_00	Onlara, Adem'in iki oğlunun kıssasını doğru olarak anlat: İkisi birer kurban sunmuşlar, birininki kabul edilmiş, diğerininki edilmemişti.
027_01	Kabul edilmeyen, "And olsun seni öldüreceğim" deyince, kardeşi: "Allah ancak sakınanların takdimesini kabul eder" demişti.
028_00	"Beni öldürmek üzere elini bana uzatırsan, ben seni öldürmek için sana elimi uzatmam, çünkü ben, Alemlerin Rabbi olan Allah'tan korkarım.
029_00	Ben, hem benim hem de kendi günahını yüklenip cehennemliklerden olmanı isterim, zulmedenlerin cezası budur".
030_00	Bunun üzerine, kardeşini öldürmekte nefsine uydu ve onu öldürerek, zarara uğrayanlardan oldu.
031_00	Allah, kardeşinin ölüsünü nasıl gömeceğini göstermek üzere, ona yeri eşeleyen bir karga gönderdi.
031_01	"Bana yazıklar olsun! Kardeşimin ölüsünü örtmek için bu karga kadar olmaktan aciz kaldım" dedi de ettiğine yananlardan oldu.
032_00	Bunun için İsrailoğullarına şöyle yazdık: "Kim bir kimseyi bir kimseye veya yeryüzünde bozgunculuğa karşılık olmadan öldürürse, bütün insanları öldürmüş gibi olur.
032_01	Kim de onu diriltirse (ölümden kurtarırsa) bütün insanları diriltmiş gibi olur".
032_02	And olsun ki, onlara belgelerle peygamberlerimiz geldi, sonra buna rağmen, onların çoğu yeryüzünde taşkınlık edenler oldu.
033_00	Allah ve Peygamberiyle savaşanların ve yeryüzünde bozgunculuğa uğraşanların cezası öldürülmek veya asılmak yahut çapraz olarak el ve ayakları kesilmek ya da yerlerinden sürülmektir.
033_01	Bu onlara dünyada bir rezilliktir. Onlara ahirette büyük azab vardır.
034_00	Ancak, onları yakalamanızdan önce tevbe edenler bunun dışındadır. Biliniz ki Allah, bağışlar ve merhamet eder.
035_00	Ey İnananlar! Allah'tan sakının, O'na ulaşmaya yol arayın, yolunda cihad edin ki kurtulasınız.
036_00	Doğrusu, yeryüzünde olan bütün şeyler ve onların bir katı daha kafirlerin olsa da, kıyamet gününün azabından kurtulmak için fidye verseler kabul edilmez.
036_01	Onlara elem verici azab vardır.
037_00	Ateşten çıkmak isterler, çıkamazlar. Onlara sürekli azab vardır.
038_00	Erkek hırsız ve kadın hırsızın, yaptıklarından ötürü Allah tarafından ibret verici bir ceza olarak, ellerini kesin. Allah Güçlü'dür, Hakim'dir.
039_00	Ettiği zulümden sonra tevbe edip düzelen kimse, bilsin ki Allah onun tevbesini kabul eder. Allah şüphesiz Bağışlayan'dır, merhametli olandır.
040_00	Göklerin ve yerin hükümranlığının Allah'ın olduğunu bilmiyor musun? Dilediğine azabeder, dilediğini bağışlar. Allah her şeye Kadir'dir.
041_00	Kalbleri inanmamışken, ağızlarıyla, "İnandık" diyenler, yahudilerden yalana kulak verenler ve başka bir topluluk hesabına casusluk edenlerden inkara koşanlar seni üzmesin.
041_01	Sözleri asıl yerlerinden değiştirirler de,
041_02	"Böyle bir fetva size verilirse alın, verilmezse kaçının" derler. Allah'ın fitneye düşmesini dilediği kimse için Allah'a karşı senin elinden bir şey gelmez.
041_03	İşte onlar Allah'ın, kalblerini arıtmak istemediği kimselerdir. Dünyada rezillik onlaradır. Onlara ahirette de büyük azab vardır.
042_00	Onlar yalana kulak verirler, haram yerler. Eğer sana gelirlerse aralarında hükmet, yahut onlardan yüz çevir; yüz çevirirsen sana bir zarar veremezler.
042_01	Eğer hükmedersen aralarında adaletle hüküm ver. Allah adil olanları sever.
043_00	Allah'ın hükmünün bulunduğu Tevrat yanlarında iken, ne yüzle seni hakem tayin ediyorlar da sonra bundan yüz çeviriyorlar? İşte onlar inanmış değillerdir.
044_00	Doğrusu Biz yol gösterici olarak Tevrat'ı indirdik. Kendisini Allah'a teslim etmiş peygamberler, yahudi olanlara onunla ve Rabbe kul olanlar, bilginler de Allah'ın Kitap'ından elde mahfuz kalanla hükmederlerdi.
044_01	Tevrat'a şahiddiler.
044_02	O halde insanlardan korkmayın, benden korkun, ayetlerimi hiçbir değerle değiştirmeyin; Allah'ın indirdiği ile hükmetmeyenler, işte onlar kafirlerdir.
045_00	Orada onlara cana can, göze göz, buruna burun, kulağa kulak, dişe dişle ve yaralara karşılıklı ödeşme yazdık.
045_01	Kim hakkından vazgeçerse bu, onun günahlarına keffaret olur. Allah'ın indirdiği ile hükmetmeyenler, işte onlar zalimlerdir.
046_00	Onların izi üzerine arkalarından Meryem oğlu İsa'yı, ondan önce gelmiş bulunan Tevrat'ı doğrulayarak gönderdik.
046_01	Ona, yol gösterici, aydınlatıcı olan ve önünde bulunan Tevrat'ı doğrulayan İncil'i sakınanlara öğüt ve yol gösterici olarak verdik.
047_00	İncil sahibleri Allah'ın onda indirdikleri ile hükmetsinler. Allah'ın indirdiği ile hükmetmeyenler, işte onlar fasık olanlardır.
048_00	Kuran'ı, önce gelen Kitap'ı tasdik ederek ve ona şahid olarak gerçekle sana indirdik.
048_01	Allah'ın indirdiği ile aralarında hükmet; gerçek olan sana gelmiş bulunduğuna göre, onların heveslerine uyma!
048_02	Her biriniz için bir yol ve bir yöntem kıldık; eğer Allah dileseydi sizi bir tek ümmet yapardı, fakat bu, verdikleriyle sizi denemesi içindir; o halde iyiliklere koşuşun,
048_03	hepinizin dönüşü Allah'adır. O, ayrılığa düştüğünüz şeyleri size bildirir.
049_00	O halde, Allah'ın indirdiği Kitap ile aralarında hükmet, Allah'ın sana indirdiği Kuran'ın bir kısmından seni vazgeçirmelerinden sakın, heveslerine uyma; eğer yüz çevirirlerse bil ki, Allah bir kısım günahları yüzünden onları cezalandırmak istiyor.
049_01	İnsanların çoğu gerçekten fasıktırlar.
050_00	Cahiliye devri hükmünü mü istiyorlar? Yakinen bilen bir millet için Allah'tan daha iyi hüküm veren kim vardır?
051_00	Ey İnananlar! Yahudileri ve hıristiyanları dost olarak benimsemeyin, onlar birbirlerinin dostudurlar.
051_01	Sizden kim onlara dost olursa o da onlardandır. Allah zulmeden kimseleri doğru yola eriştirmez.
052_00	Kalblerinde hastalık olanların, "Bize bir felaket gelmesinden korkuyoruz" diyerek onlara koştuğunu görürsün.
052_01	Olur ki Allah bir zafer verir veya katından bir emir getirir de kalblerinde gizlediklerine içleri yananlara dönerler.
053_00	İnananlar, "Sizinle beraber olduklarına bütün güçleriyle Allah'a yemin edenler bunlar mıdır?" derler. Onların amelleri boşa gitmiş ve kaybeden kimseler olmuşlardır.
054_00	Ey İnananlar!
054_01	Aranızda dininden kim dönerse bilsin ki, Allah, sevdiği ve onların O'nu sevdiği, inananlara karşı alçak gönüllü, inkarcılara karşı güçlü, Allah yolunda cihad eden, yerenin yermesinden korkmayan bir millet getirir.
054_02	Bu, Allah'ın dilediğine verdiği bol nimetidir. Allah her şeyi kaplar ve bilir.
055_00	Sizin dostunuz ancak Allah, O'nun Peygamberi ve namaz kılan, zekat veren ve rüku eden müminlerdir.
056_00	Kim Allah'ı, Peygamberini ve inananları dost edinirse bilsin ki, şüphesiz Allah'tan yana olanlar üstün gelirler.
057_00	Ey İnananlar!
057_01	Kendilerine sizden önce kitap verilenlerden, dininizi alaya ve eğlenceye alanları ve inkarcıları dost olarak benimsemeyin. İnanıyorsanız Allah'tan sakının.
058_00	Namaza çağırdığınızda onu alay ve eğlenceye alırlar. Bu, onların akletmeyen bir topluluk olmasındandır.
059_00	De ki, "Ey kitap ehli! Allah'a, bize indirilene ve daha önce indirilene inanmamızdan ve çoğunuzun fasık olmasından ötürü mü bizden hoşlanmıyorsunuz?"
060_00	"Allah katında bundan daha kötü bir karşılığın bulunduğunu size haber vereyim mi?" de, Allah kime lanet ve gazab ederse,
060_01	kimlerden maymunlar, domuzlar ve şeytana kullar kılarsa, işte onlar yeri en kötü ve doğru yoldan en çok sapmış olanlardır.
061_00	Size geldiklerinde "İnandık" derler, oysa yanınıza inkarcı olarak girmiş ve yine inkarcı olarak çıkmışlardır. Gizlemekte olduklarını Allah daha iyi bilir.
062_00	Onlardan çoğunun günaha, haksızlığa ve haram yemeğe koşuştuklarını görürsün. Yaptıkları ne kötüdür!
063_00	Rabbe kul olanlar ve bilginlerin onlara günah söz söylemeyi ve haram yemeyi yasak etmeleri gerekmez miydi? Yapmakta oldukları ne kötüdür!
064_00	Yahudiler, "Allah'ın eli sıkıdır" dediler; dediklerinden ötürü elleri bağlandı, lanetlendiler. Hayır, O'nun iki eli de açıktır, nasıl dilerse sarfeder.
064_01	And olsun ki, sana Rabbinden indirilen sözler onların çoğunun azgınlığını ve inkarını artıracaktır. Onların arasına kıyamete kadar sürecek düşmanlık ve kin saldık.
064_02	Savaş ateşini ne zaman körükleseler Allah onu söndürmüştür. Yeryüzünde bozgunculuğa koşarlar. Allah bozguncuları sevmez.
065_00	Şayet kitap ehli inanıp karşı gelmekten sakınsalardı, kötülüklerini örterdik ve onları nimet cennetlerine koyardık.
066_00	Eğer onlar Tevrat'ı, İncil'i ve Rablerinden kendilerine indirilen Kuran'ı gereğince uygulasalardı, her yönden nimete ermiş olurlardı.
066_01	İçlerinde orta yolu tutan bir zümre vardı, çoğunun işledikleri ise kötü idi.
067_00	Ey Peygamber! Rabbinden sana indirileni tebliğ et, eğer bunu yapmazsan O'nun elçiliğini yapmamış olursun.
067_01	Allah seni insanlardan korur. Doğrusu Allah kafirlere yol göstermez.
068_00	"Ey Kitap ehli! Tevrat'ı, İncil'i ve Rabbinizden size indirileni gereğince uygulamadıkça bir temeliniz olmaz" de.
068_01	And olsun ki Rabbinden sana indirilen, Kuran, onlardan çoğunun azgınlık ve küfrünü artırır. Öyleyse kafirler için tasalanma.
069_00	Doğrusu inananlar, yahudiler, sabiiler ve hıristiyanlardan Allah'a ve ahiret gününe inanan, yararlı iş yapan kimselere korku yoktur, onlar üzülmeyeceklerdir.
070_00	And olsun ki İsrailoğullarından söz aldık ve onlara peygamberler gönderdik.
070_01	Nefislerinin hoşlanmadığı bir şeyle onlara her peygamber gelişte, bir kısmını yalanlarlar ve bir kısmını da öldürürlerdi.
071_00	Bir fitne kopmayacağını sandılar, körleştiler, sağırlaştılar; sonra Allah tevbelerini kabul etti, yine de çoğu körleştiler ve sağırlaştılar. Allah, işlediklerini görür.
072_00	And olsun ki, "Allah ancak Meryem oğlu Mesih'tir" diyenler kafir oldular.
072_01	Oysa Mesih, "Ey İsrailoğulları! Rabbim ve Rabbiniz olan Allah'a kulluk edin; kim Allah'a ortak koşarsa muhakkak Allah ona cenneti haram eder, varacağı yer ateştir, zulmedenlerin yardımcıları yoktur" dedi.
073_00	And olsun ki, "Allah üçten biridir" diyenler kafir olmuştur; oysa tanrı ancak bir tek Tanrı'dır.
073_01	Dediklerinden vazgeçmezlerse, and olsun onlardan inkar edenler elem verici bir azaba uğrayacaktır.
074_00	Allah'a tevbe etmezler, O'ndan mağfiret dilemezler mi? Oysa Allah Bağışlayan'dır, merhamet edendir.
075_00	Meryem oğlu Mesih sadece peygamberdir, -ondan önce de peygamberler geçmiştir- onun annesi dosdoğrudur, her ikisi de yemek yerlerdi.
075_01	Onlara ayetleri nasıl açıkladığımıza bir bak, sonra da bak ki nasıl yüz çeviriyorlar!
076_00	"Size zarar da fayda da veremeyecek, Allah'tan başka birine mi kulluk ediyorsunuz?" de. Allah hem işitir, hem bilir.
077_00	"Ey Kitap ehli!
077_01	Haksız olarak dininizde taşkınlık etmeyin. Daha önce sapıtan, çoğunu saptıran ve doğru yoldan ayrılan bir milletin heveslerine uymayın" de.
078_00	İsrailoğullarından inkar edenler, Davud'un ve Meryem oğlu İsa'nın diliyle lanetlenmişlerdi. Bu, baş kaldırmaları ve aşırı gitmelerindendi.
079_00	Birbirlerinin yaptıkları fenalıklara mani olmuyorlardı. Yapmakta oldukları ne kötü idi!
080_00	Çoğunun inkar edenleri dost edindiklerini görürsün. Nefislerinin önlerine sürdüğü ne kötüdür! Allah onlara gazabetmiştir, onlar azabta temellidirler.
081_00	Eğer Allah'a, Peygambere ve ona indirilen Kuran'a inanmış olsalardı, onları dost edinmezlerdi, fakat onların çoğu fasıktır.
082_00	İnananlara en şiddetli düşman olarak, insanlardan yahudileri ve Allah'a eş koşanları bulursun.
082_01	Onlardan, inananlara sevgice en yakın "Biz hıristiyanız" diyenleri bulursun.
082_02	Bu, onların içinde bilginler ve rahibler bulunmasından ve büyüklük taslamamalarındandır.
083_00	Peygambere indirilen Kuran'ı işittiklerinde, gerçeği öğrenmelerinden gözlerinin yaşla dolarak, "Rabbimiz!
083_01	İnandık, bizi de şahidlerden yaz. Rabbimizin bizi iyi milletle birlikte bulundurmasını umarken niçin Allah'a ve bize gelen gerçeğe inanmayalım?" dediklerini görürsün.
084_00	Peygambere indirilen Kuran'ı işittiklerinde, gerçeği öğrenmelerinden gözlerinin yaşla dolarak, "Rabbimiz! İnandık, bizi de şahidlerden yaz. Rabbimizin bizi iyi milletle birlikte bulundurmasını umarken niçin Allah'a ve bize gelen gerçeğe inanmayalım?" dediklerini görürsün.
085_00	Allah onlara, dediklerine karşılık, temelli kalacakları, altından ırmaklar akan cennetler verdi. Bu, iyi davrananların mükafatıdır.
086_00	İnkar edip ayetlerimizi yalanlayanlar, işte onlar cehennemliklerdir.
087_00	Ey İnananlar! Allah'ın size helal ettiği temiz şeyleri haram kılmayın, hududu da aşmayın, doğrusu Allah aşırı gidenleri sevmez.
088_00	Allah'ın size verdiği rızıktan temiz ve helal olarak yiyin. İnandığınız Allah'tan sakının.
089_00	Allah size rasgele yeminlerinizden dolayı değil, bile bile ettiğiniz yeminlerden ötürü hesap sorar.
089_01	Yeminin keffareti, ailenize yedirdiğinizin ortalamasından on düşkünü yedirmek yahut giydirmek ya da bir köle azad etmektir.
089_02	Bulamayan üç gün oruç tutmalıdır; yeminlerinizin keffareti budur.
089_03	Yemin ettiğinizde yeminlerinizi tutun. Şükredesiniz diye Allah size böylece ayetlerini açıklıyor.
090_00	Ey İnananlar! İçki, kumar, putlar ve fal okları şüphesiz şeytan işi pisliklerdir, bunlardan kaçının ki saadete eresiniz.
091_00	Şeytan şüphesiz içki ve kumar yüzünden aranıza düşmanlık ve kin sokmak ve sizi Allah'ı anmaktan, namazdan alıkoymak ister.
091_01	Artık bunlardan vazgeçersiniz değil mi?
092_00	Allah'a itaat edin, Peygambere itaat edin, karşı gelmekten çekinin; eğer yüz çevirirseniz bilin ki, peygamberimize düşen sadece açıkça tebliğ etmektir.
093_00	İnananlara ve yararlı iş işleyenlere, -sakınırlar, inanırlar, yararlı işler işlerler, sonra haramdan sakınıp inanırlar ve sonra isyandan sakınıp iyilik yaparlarsa- daha önceleri tatmış olduklarından dolayı bir sorumluluk yoktur.
093_01	Allah iyi davrananları sever.
094_00	Ey İnananlar!
094_01	Gıyabında Kendisinden, kimin korktuğunu ortaya koymak için, (ihramlıyken) elinizin ve mızraklarınızın ulaştığı avdan bir şeyle Allah and olsun ki sizi dener. Bundan sonra kim haddi aşarsa ona elem verici azab vardır.
095_00	Ey İnananlar!
095_01	İhramlı iken avı öldürmeyin.
095_02	Sizden bile bile onu öldürene, ehli hayvanlardan öldürdüğü kadar olduğuna içinizden iki adil kimsenin hükmedeceği, Kabe'ye ulaşacak bir kurbanı ödeme, yahut düşkünlere yemek yedirme şeklinde keffaret ya da yaptığının ağırlığını tatmak üzere bunlara denk oruç tutma vardır.
095_03	Allah geçmiştekileri affetmiştir, kim tekrar yaparsa Allah ondan öç alır. Allah Güçlü'dür, Öçalıcı'dır.
096_00	Deniz avı ve onu yemek size de, yolculara da, geçimlik olarak helal kılınmıştır.
096_01	İhramlı bulunduğunuz sürece kara avı size haram kılınmıştır. Huzuruna toplanacağınız Allah'tan sakının.
097_00	Allah, hürmetli ev Kabe'yi, hürmetli ayı, kurbanı, boynu tasmalı kurbanlıkları insanların faydası için ortaya koydu.
097_01	Bu, Allah'ın göklerde ve yerde olanları bildiğini ve Allah'ın şüphesiz her şeyi Bilen olduğunu bilmeniz içindir.
098_00	Allah'ın azabının şiddetli olduğunu ve Allah'ın Bağışlayan, merhamet eden olduğunu bilin.
099_00	Peygamberin görevi sadece tebliğ etmektir. Allah, sizin açıkladıklarınızı da gizlediklerinizi de bilir.
100_00	De ki: "Helal ile haram, haram şeylerin çokluğundan hoşlansan bile, eşit değildir". Ey akıl sahibleri, Allah'tan sakının ki kurtuluşa eresiniz.
101_00	Ey İnananlar! Size açıklanınca hoşunuza gitmeyecek şeyleri sormayın.
101_01	Kuran indirilirken onları sorarsanız size açıklanır (ama üzülürsünüz). Allah sorduğunuz şeyleri affetmiştir. Allah Bağışlayan'dır, Halim'dir.
102_00	Sizden önce bir millet onları sormuştu, sonra da onları inkar etmişlerdi.
103_00	Allah, kulağı çentilen, salıverilen, erkek dişi ikizler doğuran, on defa yavrulamasından ötürü yük vurulmayan
103_01	hayvanların adanmasını emretmemiştir; fakat inkar edenler Allah'a karşı yalan uydururlar ve çoğu da akletmezler.
104_00	Onlara, "Gelin Allah'ın indirdiği Kitap'a ve peygambere uyun" dendiğinde, "Atalarımızı üzerinde buld
104_01	uğumuz yol bize yeter" derler; ya ataları bir şey bilmeyen ve doğru yolda olmayan kimseler idiyseler?
105_00	Ey İnananlar!
105_01	Siz kendinize bakın; doğru yolda iseniz sapıtan kimse size zarar veremez. Hepinizin dönüşü Allah'adır, işlemekte olduklarınızı size haber verecektir.
106_00	Ey İnananlar! Ölüm birinize geldiği zaman vasiyet ederken içinizden iki adil
106_01	kimseyi; şayet yolculukta olup başınıza da ölüm musibeti gelmişse, namazdan sonra alıkoyacağınız, şüpheleniyorsanız,
106_02	"Akraba bile olsa yeminle hiçbir değeri değiştirmeyeceğiz, Allah'ın şahidliğini gizlemeyeceğiz, yoksa şüphesiz günahkarlardan oluruz" diye yemin eden sizden olmayan iki kişiyi şahid tutun.
107_00	Eğer bu şahidlerin günah işlemiş oldukları ortaya çıkarsa ölene daha yakın hak sahibi diğer iki kişi bunların yerine
107_01	geçer ve "Bizim şahidliğimiz ikisininkinden de daha doğrudur, biz aşırı gitmedik, yoksa şüphesiz zulmedenlerden oluruz" diye Allah'a yemin ederler.
108_00	Bu, şahidliği gerektiği gibi yapmalarını veya yeminlerinden sonra yeminlerin kabul edilmemesinden korkmalarını daha iyi sağlar.
108_01	Allah'tan sakının, dinleyin. Allah fasık kimselere yol göstermez.
109_00	Allah peygamberleri topladığı gün, "Size ne cevap verildi?" der; onlar, "Bizim bir bildiğimiz yoktur, doğrusu görülmeyenleri bilen ancak Sen'sin" derler.
110_00	Allah, "Ey Meryem oğlu İsa!
110_01	Sana ve anana olan nimetimi an" demişti, "Seni Ruhul Kudüs ile desteklemiştim; beşikte ve yetişkin iken insanlarla konuşuyordun; sana Kitap'ı, hikmeti, Tevrat'ı ve İncil'i öğretmiştim.
110_02	Sen iznimle, çamurdan kuş gibi bir şey yapmış ona üflemiştin de iznimle kuş olmuştu; anadan doğma körü, alacalıyı iznimle iyi etmiştin.
110_03	Ölüleri iznimle diriltiyordun.
110_04	İsrailoğullarına belgelerle geldiğinde, onlardan inkar edenler, 'Bu apaçık bir büyüdür' demişlerdi de Ben onların sana zarar vermelerini önlemiştim."
111_00	Havarilere, "Bana ve peygamberime inanın" diye bildirmiştim, "İnandık, bizim müslimler olduğumuza şahid ol" demişlerdi.
112_00	Havariler, "Ey Meryem oğlu İsa!
112_01	Rabbin bize gökten bir sofra indirebilir mi?" demişlerdi de, "İnanıyorsanız Allah'tan sakının" demişti.
113_00	"Ondan yemeyi, kalblerimizin kanmasını ve senin bize doğru söylediğini bilmeyi, ona şahid olmayı istiyoruz" dediler.
114_00	Meryem oğlu İsa, "Allahım!
114_01	Rabbimiz! Bize ve bizden sonra geleceklere bayram ve Sen'den bir delil olarak gökten bir sofra indir, bizi rızıklandır, Sen rızık verenlerin en hayırlısısın" dedi.
115_00	Allah, "Ben onu size indireceğim; bundan sonra içinizden kim inkar ederse, dünyalarda kimseye azabetmiyeceğim şekilde ona azabedeceğim" dedi.
116_00	Allah, "Ey Meryem oğlu İsa!
116_01	Sen mi insanlara Beni ve annemi Allah'tan başka iki tanrı olarak benimseyin dedin?" demişti de, "Haşa, hak olmayan sözü söylemek bana yaraşmaz; eğer söylemişsem, şüphesiz Sen onu bilirsin; Sen, benim içimde olanı bilirsin; ben Senin içinde olanı bilmem; doğrusu görülmeyeni bilen ancak Sensin" demişti, "Ben onlara sadece 'Rabbim ve Rabbiniz olan Allah'a kulluk edin' diye bana emrettiğini söyledim.
