001_00	Ha, Mim.
032_00	"Rabbimiz Allah'tır" deyip sonra da doğrulukta devam edenler, onları, melekler, ölümleri anında: "Korkmayınız, üzülmeyiniz, size söz verilen cennetle sevinin, biz dünya hayatında da, ahirette de size dostuz. Burada, canlarınızın çektiği, umduğunuz şeyler, bağışlayan ve acıyan Allah katından bir ziyafet olarak size sunulur" diyerek inerler.
033_00	"Doğrusu ben, kendini Allah'a verenlerdenim" diyen, yararlı iş işleyen ve Allah'a çağıran kimseden daha güzel sözlü kim vardır?
034_00	İyilik ve fenalık bir değildir. Ey inanan kişi: Sen, fenalığı en güzel şekilde sav; o zaman, seninle arasında düşmanlık bulunan kişinin yakın bir dost gibi olduğunu görürsün.
035_00	Bu, ancak sabredenlere vergidir; bu ancak o büyük hazzı tadanlara vergidir.
036_00	Şeytan seni dürtecek olursa Allah'a sığın; doğrusu O, işitendir, bilendir.
037_00	Gece ile gündüz, güneş ile ay Allah'ın varlığının belgelerindendir.
037_01	Güneşe ve aya secde etmeyin; eğer Allah'a kulluk etmek istiyorsanız, bunları yaratana secde edin.
038_00	Eğer büyüklük taslarlarsa kendi aleyhlerinedir. Rabbinin katında bulunanlar hiç usanmadan, O'nu gece gündüz tesbih ederler.
039_00	Kupkuru gördüğün yeryüzünün, Biz ona su indirdiğimiz zaman harekete geçmesi, kabarması, Allah'ın varlığının belgelerindendir.
039_01	Ona can veren Allah şüphesiz ölüleri de diriltir. Doğrusu O her şeye kadir'dir.
040_00	Ayetlerimizi inkar edenler Bize gizli değillerdir.
040_01	Kıyamet gününde ateşe atılan mı, yoksa güven içinde gelen kimse mi daha iyidir? Dilediğinizi işleyin, doğrusu O, yaptıklarınızı gören'dir.
041_00	Kitap kendilerine gelince, onlar, onu inkar etmişlerdir; oysa o, değerli bir Kitap'dır. Geçmişte ve gelecekte onu batıl kılacak yoktur. Hakim ve övülmeğe layık olan Allah katından indirilmedir.
042_00	Kitap kendilerine gelince, onlar, onu inkar etmişlerdir; oysa o, değerli bir Kitap'dır. Geçmişte ve gelecekte onu batıl kılacak yoktur. Hakim ve övülmeğe layık olan Allah katından indirilmedir.
043_00	Senin için söylenenler, senden önceki peygamberler için de söylenmişti. Doğrusu Rabbin hem bağışlayan ve hem de can yakıcı azap verendir.
044_00	Biz bu Kuran'ı yabancı bir dil ile ortaya koysaydık: "Ayetleri uzun açıklanmalı değil miydi? Araba yabancı bir dille söylenir mi?" derlerdi.
044_01	De ki: "Bu, inananlara doğruluk rehberi ve gönüllerine şifadır." İnanmayanların kulaklarında ağırlık vardır ve onlara kapalıdır; sanki bunlara uzak bir mesafeden sesleniliyor da anlamıyorlar.
045_00	And olsun ki Musa'ya Kitap vermiştik de onda ayrılığa düşmüşlerdi. Rabbinin verilmiş bir sözü olmasaydı, aralarında hükmedilmiş olurdu. Doğrusu onlar, onun hakkında şüphe ve endişe içindedirler.
046_00	Kim yararlı iş işlerse kendi lehinedir; kim de kötülük işlerse kendi aleyhinedir. Rabbin, kullara karşı zalim değildir.
047_00	Kıyametin ne zaman kopacağı bilgisi ona aittir.
047_01	O'nun bilgisi dışında hiçbir ürün kabuğundan çıkmaz, hiçbir dişi gebe kalmaz ve doğurmaz. Onlara: "Bana koştuğunuz ortaklar nerede?" diye seslendiği gün: "Sana, buna dair bizden hiçbir şahit olmadığınıarzederiz" derler.
048_00	Önceden yalvarıp durdukları şeyler onlardan uzaklaşmıştır. Kendilerinin kaçacak yerleri olmadığını anlamışlardır.
049_00	İnsan, iyilik istemekten usanmaz da, kendisine bir kötülük gelince umutsuzluğa düşer, meyus olur.
050_00	Başına gelen sıkıntıdan sonra, kendisine katımızdan bir rahmet tattırsak: "Bu benim hakkımdır; kıyametin kopacağını sanmıyorum. Rabbime döndürülürsem, O'nun katında and olsun ki, benim için daha güzel şeyler vardır" der.
050_01	İnkar edenlere, işlediklerini, and olsun ki bildireceğiz. Onlara and olsun ki çetin bir azap tattıracağız.
051_00	İnsana nimet verdiğimiz zaman yüz çevirerek yan çizer; başına bir kötülük gelince uzun uzun yalvarır.
052_00	De ki: "Kuran Allah katından gelmiş olup da siz de onu inkar etmişseniz, söyleyin bana, derin bir çıkmazda bulunan kimseden daha sapık kim vardır?"
053_00	Onun hak olduğu meydana çıkıncaya kadar varlığımızın belgelerini onlara hem dış dünyada ve hem de kendi içlerinde göstereceğiz. Rabbinin her şeye şahit olması yetmez mi?
054_00	Dikkat edin; onlar Rablerine kavuşmaktan şüphededirler; dikkat edin; Allah şüphesiz her şeyi bilgisiyle kuşatandır.
