001_00	Ha, Mim.
023_00	And olsun ki Musa'yı, mucizelerimiz ve apaçık delillerle Firavun, Haman ve Karun'a göndermişizdir. Onlar: "Bu, yalancı sihirbazın biridir" demişlerdi.
024_00	And olsun ki Musa'yı, mucizelerimiz ve apaçık delillerle Firavun, Haman ve Karun'a göndermişizdir. Onlar: "Bu, yalancı sihirbazın biridir" demişlerdi.
025_00	Musa katımızdan onlara gerçeği getirince: "Onunla beraber iman etmiş kimselerin oğullarını öldürün, kadınlarını sağ bırakın" dediler.
025_01	Ama inkarcıların hilesi elbette boşa gider.
026_00	Firavun: "Beni bırakın da Musa'yı öldüreyim, o, Rabbine yalvaradursun. Onun, sizin dininizi değiştireceğinden veya yeryüzünde bozgun çıkaracağından korkuyorum" dedi.
027_00	Musa: "Doğrusu ben, hesap görülecek güne inanmayan böbürlenenlerin hepsinden, benim de Rabbim sizin de Rabbiniz olan Allah'a sığınırım" dedi.
028_00	Firavun ailesinden olup da, inandığını gizleyen bir adam dedi ki: "Rabbim Allah'tır diyen bir adamı mı öldüreceksiniz? Oysa size Rabbinizden belgelerle gelmiştir.
028_01	Eğer yalancıysa, yalanı kendisinedir; eğer doğru sözlü ise, sizi tehdit ettiklerinin bir kısmı başınıza gelebilir. Doğrusu Allah, aşırı yalancıyı doğru yola eriştirmez."
029_00	"Ey milletim; Bugün memlekette hükümranlık sizindir, galip olanlar sizsiniz. Ama Allah'ın baskını bize çatınca, O'na karşı bize kim yardım eder?" Firavun: "Ben size kendi görüşümden başkasını söylemiyorum.
029_01	Ben size ancak doğru yolu gösteriyorum" dedi.
030_00	İnanmış olan adam dedi ki: "Ey milletim! Doğrusu ben sizin için, Nuh milletinin, Ad, Semud ve onlardan sonra gelenlerin durumu gibi, peygamberleri yalanlayan toplulukların uğradıkları bir günün benzerinden korkuyorum. Allah kullara zulüm dilemez."
031_00	İnanmış olan adam dedi ki: "Ey milletim! Doğrusu ben sizin için, Nuh milletinin, Ad, Semud ve onlardan sonra gelenlerin durumu gibi, peygamberleri yalanlayan toplulukların uğradıkları bir günün benzerinden korkuyorum. Allah kullara zulüm dilemez."
032_00	"Ey milletim! Ahu figan gününden sizin hesabınıza korkuyorum."
033_00	"Arkanıza dönüp kaçacağınız gün Allah'a karşı sizi koruyan bulunmaz. Allah'ın saptırdığını doğru yola getirecek yoktur."
034_00	"And olsun ki, Yusuf da, daha önce, size belgelerle gelmişti. Size getirdiği şeylerden şüphelenip durmuştunuz.
034_01	Sonunda Yusuf ölünce, Allah onun ardından hiçbir peygamber göndermeyecek demiştiniz. Allah, aşırı şüpheciyi işte böylece saptırır."
035_00	"Bunlar, Allah'ın ayetleri üzerinde kendilerine gelmiş bir delil bulunmadan tartışırlar. Bu, Allah katında da, inananların yanında da öfkeyi arttırır.
035_01	Allah, büyüklük taslayan her zorbanın kalbini bundan dolayı mühürler."
036_00	Firavun: "Ey Haman! Bana bir kule yap; belki yollara, göklerin yollarına erişirim de Musa'nın Tanrısını görürüm. Doğrusu ben, onu yalancı sanıyorum" dedi. Firavun'a, kötü işi böylece güzel gösterildi ve doğru yoldan alıkondu. Firavun'un hilesi elbette boşa gidecekti.
037_00	Firavun: "Ey Haman! Bana bir kule yap; belki yollara, göklerin yollarına erişirim de Musa'nın Tanrısını görürüm.
037_01	Doğrusu ben, onu yalancı sanıyorum" dedi. Firavun'a, kötü işi böylece güzel gösterildi ve doğru yoldan alıkondu. Firavun'un hilesi elbette boşa gidecekti.
038_00	O inanan kimse dedi ki: "Ey milletim! Bana uyun, sizi doğru yola eriştireyim."
039_00	"Ey milletim! Şüphesiz bu dünya hayatı geçicidir, ama ahiret, doğrusu işte o, kalınacak yurttur."
040_00	"Kim bir kötülük işlerse ancak onun kadar ceza görür.
040_01	Kadın veya erkek, kim, inanarak yararlı iş işlerse, işte onlar cennete girerler; orada hesapsız şekilde rızıklanırlar."
041_00	"Ey milletim! Nedir başıma gelen? Ben sizi kurtuluşa çağırıyorum, siz beni ateşe çağırıyorsunuz."
042_00	"Siz beni Allah'ı inkar etmeye, bilmediğim bir şeyi O'na ortak koşmaya çağırıyorsunuz; ben ise sizi, güçlü olan, çok bağışlayan Allah'a çağırıyorum."
043_00	"Beni kendisine çağırdığınızın, bu dünyada da ahirette de çağırabilecek kabiliyette olmadığında, hepimizin Allah'a döneceğinde, aşırı gidenlerin ateşlikler olduklarında şüphe yoktur."
044_00	"Size söylediğimi hatırlayacaksınız. Ben işimi Allah'a bırakıyorum. Doğrusu Allah, kulları görür."
045_00	Allah o adamı, kurmak istedikleri tuzaktan korudu. Kötü azap Firavun'un adamlarını sardı.
046_00	Onlar, sabah akşam ateşe sunulurlar. Kıyamet çattığı gün, "Firavun'un adamlarını azabın en ağırına sokun"denir.
047_00	Ateşin içinde birbirleriyle tartışırlarken, güçsüzler, büyüklük taslayanlara: "Doğrusu biz size uymuştuk, şimdi ateşin bir parçasını olsun bizden savabilir misiniz?" derler.
048_00	Büyüklük taslayanlar: "Doğrusu hepimiz onun içindeyiz. Allah kullar arasında şüphesiz hüküm vermiştir" derler.
049_00	Ateşte olanlar, cehennemin bekçilerine: "Rabbinize yalvarın da hiç değilse bir gün, azabımızı hafifletsin" derler.
050_00	Bekçiler: "Size, belgelerle peygamberleriniz gelmiş miydi?" derler. Onlar da: "Evet, gelmişti" derler. Bekçiler: "O halde kendiniz yalvarın" derler. İnkarcıların yalvarışı şüphesiz boşunadır.
051_00	Doğrusu Biz, peygamberlerimize ve inananlara dünya hayatında ve şahidlerin şahidlik edecekleri günde yardım ederiz.
052_00	O gün zalimlere, özür beyan etmeleri fayda vermez. Lanet onlaradır. Yurdun kötüsü de onlaradır.
053_00	And olsun ki Biz Musa'ya doğruluk rehberi verdik. İsrailoğullarını da, akıl sahipleri için bir öğüt ve doğruluk rehberi olan Kitap'a, Tevrat'a varis kıldık.
054_00	And olsun ki Biz Musa'ya doğruluk rehberi verdik. İsrailoğullarını da, akıl sahipleri için bir öğüt ve doğruluk rehberi olan Kitap'a, Tevrat'a varis kıldık.
055_00	Sabret, Allah'ın verdiği söz şüphesiz gerçektir. Suçunun bağışlanmasını dile; Rabbini akşam, sabah, överek tesbih et.
056_00	Allah'ın ayetleri üzerinde kendilerine gelen bir delil olmadan tartışanların gönüllerinde, ulaşamayacakları bir büyüklenme vardır.
056_01	Sen Allah'a sığın. O şüphesiz işitendir, görendir.
057_00	Göklerin ve yerin yaratılması, insanların yaratılmasından daha büyük bir şeydir. Fakat insanların çoğu bilmezler.
058_00	Körle gören, inanıp yararlı iş işleyenlerle kötülük yapan bir değildir. Ne kadar az düşünüyorsunuz?
059_00	Kıyamet günü mutlaka gelecektir. Bunda şüphe yoktur, fakat, insanların çoğu inanmıyor.
060_00	Rabbiniz: "Bana dua edin ki duanıza icabet edeyim. Bana kulluk etmeyi büyüklüklerine yediremeyenler alçalmış olarak cehenneme gireceklerdir" buyurmuştur.
061_00	Size, geceyi dinlenesiniz diye karanlık ve gündüzü aydınlık olarak yaratan Allah'tır. Doğrusu Allah insanlara karşı lütufkardır, ama insanların çoğu şükretmezler.
062_00	İşte herşeyin yaratıcısı olan Rabbiniz Allah budur. O'ndan başka tanrı yoktur. Nasıl aldatılıp döndürülürsünüz?
063_00	Allah'ın ayetlerini bile bile inkar edenler böylece döndürülüyorlardı.
064_00	Sizin için yeri durak, göğü bina eden, size şekil verip de, şeklinizi güzel yapan, sizi temiz şeylerle rızıklandıran Allah'tır.
064_01	İşte Rabbiniz olan Allah budur. Alemlerin Rabbi Allah ne yücedir!
065_00	O diridir, O'ndan başka tanrı yoktur. Dini yalnız O'na has kılarak O'na yalvarın. Övgü, Alemlerin Rabbi Allah içindir.
066_00	De ki: "Sizin, Allah'ı bırakıp da kulluk ettiklerinize kulluk etmek bana yasak kılınmıştır. Zira bana Rabbimden belgeler gelmiştir. Ben, kendimi Alemlerin Rabbine vermekle emrolundum."
067_00	Sizi topraktan, sonra nutfeden, sonra kan pıhtısından yaratan; sonra erginlik çağına ulaşmanız, sonra da yaşlanmanız için sizi bebek olarak dünyaya çıkaran O'dur.
067_01	Kiminiz daha önce öldürülür, kiminiz de, belirtilmiş bir süreye ulaşırsınız. Belki artık düşünürsünüz.
068_00	Dirilten, öldüren O'dur. Bir şeye karar verirse "Ol" der, o da oluverir.
069_00	Allah'ın ayetleri üzerinde tartışanları görmez misin? Nasıl da döndürülüyorlar?
070_00	Kitap'ı ve peygamberlerimize gönderdiklerimizi yalanlayanlar elbette bileceklerdir.
071_00	Boyunlarında halkalar ve zincirler olarak kaynar suya sürülür, sonra ateşte yakılırlar.
072_00	Boyunlarında halkalar ve zincirler olarak kaynar suya sürülür, sonra ateşte yakılırlar.
073_00	Sonra onlara: "Allah'ı bırakıp da koştuğunuz ortaklar nerededir?" denir. "Bizden uzaklaştılar; hayır, biz zaten önceleri hiçbir şeye kulluk etmiyorduk" derler. İşte Allah inkarcıları böyle saptırır.
074_00	Sonra onlara: "Allah'ı bırakıp da koştuğunuz ortaklar nerededir?" denir. "Bizden uzaklaştılar; hayır, biz zaten önceleri hiçbir şeye kulluk etmiyorduk" derler. İşte Allah inkarcıları böyle saptırır.
075_00	Onlara: "İşte bu, yeryüzünde haksız yere şımarmanız ve böbürlenmenizden ötürüdür. Temelli kalacağınız cehennem kapılarından girin" denir. Büyüklenenlerin durağı ne kötüdür!
076_00	Onlara: "İşte bu, yeryüzünde haksız yere şımarmanız ve böbürlenmenizden ötürüdür. Temelli kalacağınız cehennem kapılarından girin" denir. Büyüklenenlerin durağı ne kötüdür!
077_00	Sabret; şüphesiz Allah'ın verdiği söz gerçektir. Onlara söz verdiğimiz azabın bir kısmını sana gösteririz veya seni öldürürüz, nasıl olsa onların dönüşü Bizedir.
078_00	And olsun ki, senden önce birçok peygamberler gönderdik; sana onların kimini anlattık, kimini anlatmadık; hiçbir peygamber, Allah'ın izni olmadan bir mucize getiremez.
078_01	Allah'ın buyruğu gelince iş gerçekten biter. İşte o zaman, boşa uğraşanlar hüsranda kalırlar.
079_00	Binek olarak kullanmanız ve yemeniz için hayvanları sizin için yaratan Allah'tır.
080_00	Onlarda sizin için daha nice faydalar vardır; gönüllerinizdeki arzulara, onlara binerek ulaşırsınız. Onlarla ve gemilerle taşınırsınız.
081_00	Allah size delillerini gösteriyor. Allah'ın delillerinden hangisini inkar edersiniz?
082_00	Yeryüzünde dolaşıp, kendilerinden daha çok, daha kuvvetli, yeryüzünde bıraktıkları eserler daha sağlam olan öncekilerin sonuçlarının nasıl olduğunu görmezler mi?
082_01	Kazandıkları onlara bir fayda vermemiştir.
083_00	Peygamberleri onlara belgelerle gelince, kendilerinde olan bilgiden gururlandılar da, alaya aldıkları şey kendilerini sarıverdi.
084_00	Şiddetli azabımızı gördüklerinde: "Yalnız Allah'a inandık; O'na koştuğumuz eşleri inkar ettik" dediler.
085_00	Ama, Bizim şiddetli azabımızı görüp de öyle inanmaları kendilerine fayda vermedi. Bu, Allah'ın kulları hakkında, öteden beri yürürlükte olan yasasıdır. İşte inkarcılar o zaman hüsranda kaldılar.
