001_00	Ta, Sin, Mim.
019_00	Musa, ikisinin de düşmanı olan kimseyi yakalamak isteyince: "Ey Musa! Dün bir cana kıydığın gibi bana da mı kıymak istiyorsun?
019_01	Sen ıslah edenlerden olmak değil, ancak yeryüzünde bir zorba olmak istiyorsun" dedi.
020_00	Şehrin öbür ucundan koşarak bir adam geldi: "Ey Musa! İleri gelenler, seni öldürmek için aralarında görüşüyorlar. Hemen uzaklaş. Doğrusu ben sana öğüt veriyorum" dedi.
021_00	Musa, korku içinde çevresini gözetleyerek oradan çıktı. "Rabbim! Beni zalim milletten kurtar" dedi.
022_00	Medyen'e doğru yöneldiğinde: "Rabbimin bana doğru yolu göstereceğini umarım" dedi.
023_00	Medyen suyuna geldiğinde, davarlarını sulayan bir insan topluluğu buldu. Onlardan başka, hayvanlarını sudan alıkoyan iki kadın gördü. Onlara: "Derdiniz nedir?" dedi.
023_01	"Çobanlar ayrılana kadar biz sulamayız. Babamız çok yaşlıdır, onun için bu işi biz yapıyoruz" dediler.
024_00	Musa onların davarlarını suladı. Sonra gölgeye çekildi: "Rabbim! Doğrusu bana indireceğin hayra muhtacım" dedi.
025_00	O sırada, kadınlardan biri utana utana yürüyüp ona geldi: "Babam sana sulama ücretini ödemek için seni çağırıyor" dedi. Musa ona gelince, başından geçeni anlattı.
025_01	O: "Korkma, artık zalim milletten kurtuldun" dedi.
026_00	İki kadından biri: "Babacığım! Onu ücretli olarak tut; ücretle tuttuklarının en iyisi bu güçlü ve güvenilir adamdır" dedi.
027_00	Kadınların babası: "Bana sekiz yıl çalışmana karşılık bu iki kızımdan birini sana nikahlamak istiyorum. Eğer on yıla tamamlarsan o senden bir lütuf olur.
027_01	Ama sana ağırlık vermek istemem. İnşallah beni iyi kimselerden bulacaksın" dedi.
028_00	Musa: "Bu seninle benim aramdadır. Bu iki süreden hangisini doldurursam doldurayım bir kötülüğe uğramayacağım. Söylediklerimize Allah vekildir" dedi.
029_00	Musa süreyi doldurunca, ailesiyle birlikte yola çıktı.
029_01	Tur tarafından bir ateş gördü. Ailesine: "Durunuz, ben bir ateş gördüm; belki oradan size bir haber yahut tutuşmuş bir odun getiririm de ısınabilirsiniz" dedi.
030_00	Oraya gelince, kutlu yerdeki vadinin sağ yanındaki ağaç cihetinden: "Ey Musa! Şüphesiz Ben, Alemlerin Rabbi olan Allah'ım" diye seslenildi.
031_00	"Değneğini at." Musa, değneğin yılan gibi hareketler yaptığını görünce, dönüp arkasına bakmadan kaçtı. "Ey Musa! Dön gel; korkma; şüphesiz güvende olanlardansın" denildi.
032_00	"Elini koynuna koy, lekesiz, bembeyaz çıksın. Korkudan açılan kollarını kendine çek!
032_01	Bu ikisi Firavun ve erkanına karşı Rabbinin iki delilidir. Doğrusu onlar yoldan çıkmış bir millettir" denildi.
033_00	Musa: "Rabbim! Doğrusu ben onlardan bir cana kıydım. Beni öldürmelerinden korkarım. Kardeşim Harun'un dili benimkinden daha düzgündür. Onu, beni destekleyen bir yardımcı olarak benimle gönder, çünkü beni yalanlamalarından korkarım" dedi.
034_00	Musa: "Rabbim! Doğrusu ben onlardan bir cana kıydım. Beni öldürmelerinden korkarım. Kardeşim Harun'un dili benimkinden daha düzgündür. Onu, beni destekleyen bir yardımcı olarak benimle gönder, çünkü beni yalanlamalarından korkarım" dedi.
035_00	Allah: "Seni kardeşinle destekleyeceğiz; ikinize bir kudret vereceğiz ki, onlar size el uzatamayacaklardır. Ayetlerimizle ikiniz ve ikinize uyanlar üstün geleceklerdir" dedi.
036_00	Musa onlara, apaçık olarak, mucizelerimizle gelince: "Bu sadece uydurma bir sihirdir. Önceki atalarımızdan böylesini işitmemiştik" dediler.
037_00	Musa: "Rabbim, katından bir doğruluk rehberini kimin getirdiğini, dünyanın sonunun kimin olacağını daha iyi bilir. Doğrusu zalimler başarıya erişemezler" dedi.
038_00	Firavun: "Ey ileri gelenler! Sizin benden başka bir tanrınız olduğunu bilmiyorum.
038_01	Ey Haman! Benim için, toprak üzerine bir ateş yak, tuğla hazırlayıp bana bir kule yap; çıkar belki Musa'nın tanrısını görürüm. Doğrusu onu yalancılardan sanıyorum" dedi.
039_00	O ve askerleri, memlekette, haksız yere büyüklük tasladılar. Gerçekten Bize döndürülmeyeceklerini sandılar.
040_00	Biz de, onu ve askerlerini yakalayıp suya attık. Zalimlerin sonunun nasıl olduğuna bir bak.
041_00	Onları, ateşe çağıran önderler kıldık; kıyamet günü yardım görmezler.
042_00	Bu dünyada laneti ardlarına taktık; onlar kıyamet gününde de iğrenç kimselerden olacaklardır.
043_00	And olsun ki, Musa'ya, ilk nesilleri yok ettikten sonra, insanlar düşünsünler diye Kitap'ı, açık belgeler, doğruluk rehberi ve rahmet olarak verdik.
044_00	Musa'ya hükmümüzü bildirdiğimiz zaman, sen batı yönünde, (Musa'yı bekleyenler arasında) değildin, onu görenler arasında da yoktun.
045_00	Ama biz nice nesiller var etmiştik. Sen, Medyen halkı arasında bulunup, onlara ayetlerimizi okumuyordun, fakat o haberleri sana gönderen Biziz.
046_00	Sen, Musa'ya hitap ettiğimiz zaman Tur'un yanında da değildin. Senden önce kendilerine uyarıcı gelmeyen bir toplumu uyarman için, Rabbinden bir rahmet olarak gönderildin; belki düşünürler.
047_00	Yaptıklarından dolayı, başlarına bir musibet geldiğinde: "Rabbimiz! Bize bir peygamber gönderseydin de, ayetlerine uysak ve müminlerden olsaydık olmaz mıydı?" derler.
048_00	Ama onlara katımızdan gerçek gelince: "Musa'ya verildiği gibi buna da mucize verilmesi gerekmez mi?" dediler.
048_01	Daha önce Musa'ya verileni de inkar etmemişler miydi? "Yardımlaşan iki sihir (Tevrat ve Kuran); hepsini inkar edenleriz" dediler.
049_00	De ki "Eğer doğru sözlü iseniz, Allah katından, bu ikisinden daha doğru bir Kitap getirin de ona uyayım."
050_00	Eğer, sana cevap veremezlerse, onların sadece heveslerine uyduklarını bil.
050_01	Allah'tan bir yol gösterici olmadan hevesine uyandan daha sapık kim vardır? Allah zalim milleti şüphesiz ki doğru yola eriştirmez.
051_00	And olsun ki, Biz vahyi onlara ard arda yetiştirdik; belki düşünürler.
052_00	Kendilerine daha önceden kitap verdiklerimiz buna da inanırlar.
053_00	Kuran onlara okunduğu zaman: "Ona inandık, doğrusu o Rabbimizden gelen gerçektir; biz şüphesiz daha önceden müslüman olmuş kimseleriz" derler.
054_00	İşte onlara, sabırlarından dolayı, ecirleri iki defa verilir; onlar kötülüğü iyilikle savarlar, kendilerine verdiğimiz rızıktan da sarfederler.
055_00	Onlar, boş söz işittikleri vakit ondan yüz çevirirler. "Bizim işlediğimiz bize, sizin işlediğiniz sizedir. Size selam olsun, cahillerle ilgilenmeyiz" derler.
056_00	Sen, sevdiğini doğru yola eriştiremezsin, ama Allah, dilediğini doğru yola eriştirir. Doğru yola girecekleri en iyi O bilir.
057_00	"Seninle beraber doğru yolda gidersek, yurdumuzdan ediliriz" dediler.
057_01	Onları katımızdan bir rızık olarak her şeyin ürününün toplandığı güvenli ve kutlu bir yere yerleştirmedik mi? Ama çoğu bilmezler.
058_00	Nimet ve refaha karşı nankörlük eden nice şehri yok etmişizdir. İşte yerleri! Kendilerinden sonra pek az kimseler oturabilmiştir. Oralara Biz varis olmuşuzdur.
059_00	Rabbin şehirlerin anasına, onlara ayetlerimizi okuyacak bir peygamber göndermedikçe onları yok etmiş değildir. Zaten Biz yalnız, halkı zalim olan şehirleri yok etmişizdir.
060_00	Size verilen herhangi bir şey, dünya hayatının bir geçimliği ve süsüdür. Allah katında olan daha iyi ve devamlıdır. Akletmez misiniz?
061_00	Vadettiğimiz güzel bir nimete kavuşan kimse; dünya hayatında kendisine bir geçimlik verdiğimiz, sonra kıyamet günü azap için getirilen kimse gibi midir?
062_00	Allah, o gün onlara seslenir: "Benim ortağım olduklarını iddia ettikleriniz nerededirler?" der.
063_00	Hükmün aleyhlerine gerçekleştiği kimseler: "Rabbimiz! İşte bunlar bizim azdırdığımız kimselerdir.
063_01	Kendimiz azdığımız gibi onları da azdırdık. Onlardan uzaklaşıp Sana geldik, zaten aslında bize tapmıyorlardı" derler.
064_00	"Koştuğunuz ortaklarınızı çağırın" denir; onlar da çağırırlar ama, kendilerine cevap veremezler; cehennem azabını görünce doğru yolda olmadıklarına yanarlar.
065_00	O gün Allah onlara seslenir: "Peygamberlere ne cevap verdiniz?" der.
066_00	O gün, haberlere karşı körleşirler, verilecek cevapları kalmaz; birbirlerine de soramazlar.
067_00	Fakat, tevbe eden, inanıp yararlı iş işleyen kimsenin, kurtuluşa erenler arasında bulunması umulur.
068_00	Rabbin dilediğini yaratır ve seçer; onlar için seçim hakkı yoktur. Allah onların koştukları ortaklardan münezzehtir, yücedir.
069_00	Rabbin gönüllerinin gizlediklerini ve açığa vurduklarını bilir.
070_00	Allah O'dur; O'ndan başka tanrı yoktur. Hamd, dünyada da ahirette de O'nun içindir; hüküm de O'nundur. Yalnız O'na döndürüleceksiniz.
071_00	De ki: "Söyler misiniz? Eğer Allah geceyi üzerinize kıyamete kadar uzatsaydı, Allah'tan başka hangi tanrı size bir ışık getirebilir? Dinlemez misiniz?"
072_00	De ki: "Söyleyin: Eğer Allah gündüzü üzerinize kıyamete kadar uzatsaydı, Allah'tan başka hangi tanrı, içinde istirahat edeceğiniz geceyi size getirebilir?
072_01	Görmez misiniz?"
073_00	Allah dinlenmeniz için geceyi ve lütfedip verdiği rızkı aramanız için gündüzü meydana getirmiştir. Bunlar, O'nun rahmetinden ötürüdür. Belki artık şükredersiniz.
074_00	O gün Allah onlara seslenir: "Benim ortağım olduklarını iddia ettikleriniz nerededir?" der.
075_00	Her ümmetten bir şahit çıkarır ve "kesin delilinizi ortaya koyun" deriz. O zaman, gerçeğin Allah'a ait olduğunu, uydurduklarının kendilerini bırakıp kaçtığını anlarlar.
076_00	Karun, Musa'nın milletindendi; ama onlara karşı azdı. Biz ona, anahtarlarını güçlü bir topluluğun zor taşıdığı hazineler vermiştik.
076_01	Milleti ona: "Böbürlenme, Allah şüphesiz ki böbürlenenleri sevmez. Allah'ın sana verdiği şeylerde, ahiret yurdunu gözet, dünyadaki payını da unutma; Allah'ın sana yaptığı iyilik gibi, sen de iyilik yap; yeryüzünde bozgunculuk isteme; doğrusu Allah bozguncuları sevmez" demişlerdi.
077_00	Karun, Musa'nın milletindendi; ama onlara karşı azdı. Biz ona, anahtarlarını güçlü bir topluluğun zor taşıdığı hazineler vermiştik.
077_01	Milleti ona: "Böbürlenme, Allah şüphesiz ki böbürlenenleri sevmez. Allah'ın sana verdiği şeylerde, ahiret yurdunu gözet, dünyadaki payını da unutma; Allah'ın sana yaptığı iyilik gibi, sen de iyilik yap; yeryüzünde bozgunculuk isteme; doğrusu Allah bozguncuları sevmez" demişlerdi.
078_00	Karun: "Bu servet ancak, bende mevcut bir ilimden ötürü bana verilmiştir" demişti.
078_01	Allah'ın, önceleri, ondan daha güçlü ve topladığı şey daha fazla olan nice nesilleri yok ettiğini bilmez mi?
078_02	Suçluların suçları kendilerinden sorulmaz.
079_00	Karun, ihtişam içinde milletinin karşısına çıktı. Dünya hayatını isteyenler: "Karun'a verildiği gibi bizim de olsa; doğrusu o büyük bir varlık sahibidir" demişlerdi.
080_00	Kendilerine ilim verilmiş olanlar ise: "Size yazıklar olsun; Allah'ın mükafatı, inanıp yararlı iş işleyenler için daha iyidir. Ona da ancak sabredenler kavuşabilir" demişlerdi.
081_00	Sonunda, onu da, sarayını da yerin dibine geçirdik. Allah'a karşı ona yardım edebilecek kimsesi de yoktu; kendini kurtarabilecek kimselerden de değildi.
082_00	Daha dün onun yerinde olmayı dileyenler: "Demek Allah kullarından dilediğinin rızkını genişletip bir ölçüye göre veriyor.
082_01	Eğer Allah bize lütfetmiş olmasaydı, bizi de yerin dibine geçirirdi. Demek ki inkarcılar başarıya eremezler" demeye başladılar.
083_00	Bu ahiret yurdunu, yeryüzünde böbürlenmeyi ve bozgunculuğu istemeyen kimselere veririz. Sonuç Allah'a karşı gelmekten sakınanlarındır.
084_00	Kim bir iyilik getirirse, ona daha iyisi verilir. Kim bir kötülük getirirse, o kötülükleri işleyenler, ancak yaptıkları kadar ceza görürler.
085_00	Kuran'a uymayı sana farz kılan Allah, seni döneceğin yere döndürecektir. De ki: "Rabbim kimin doğrulukla geldiğini, kimin apaçık sapıklıkta bulunduğunu en iyi bilendir."
086_00	Sen, sana bu Kitap'ın verileceğini ummazdın. O ancak Rabbinin bir rahmetidir. Öyleyse sakın inkarcılara yardımcı olma.
087_00	Allah'ın ayetleri sana indirildiğinde sakın seni onlardan alıkoymasınlar. Rabbine çağır, sakın müşriklerden olma.
088_00	Allah'la beraber başka tanrı tutup tapma. O'ndan başka tanrı yoktur. O'ndan başka her şey yok olacaktır. Hüküm O'nundur, O'na döndürüleceksiniz.
