001_00	Ha, Mim.
020_00	İnkar edenler, ateşe sunuldukları gün, onlara: "Dünyadaki hayatınızda sizin için güzel olan her şeyi harcadınız, onların zevkini s
020_01	ürdünüz; ama bugün, yeryüzünde haksız yere büyüklük taslamanızın ve yoldan çıkmanızın karşılığında alçaltıcı bir azap göreceksiniz"
021_00	Ad milletinin kardeşi Hud'u an; ondan önce ve sonra, "Allah'tan başkasına kulluk etmeyin" diyen nice
021_01	uyarıcılar gelip geçmişken, Ahkaf bölgesindeki milletini uyarmış "Doğrusu sizin için, büyük günün azabından korkuyorum" demişti.
022_00	"Bize, bizi tanrılarımızdan alıkoymak için mi geldin? Doğru sözlülerden isen, bizi tehdit ettiğin şeyi başımıza getir" dediler.
023_00	"Doğrusu bunun ne zaman geleceğini Allah bilir; ben size benimle gönderileni tebliğ ediyorum; fakat sizin cahil bir millet olduğunuzu görüyorum." dedi.
024_00	O azabın, yayılarak vadilerine doğru yöneldiğini gördüklerinde: "Bu yaygın bulut bize yağmur yağdıracaktır" dediler. Hud: "Hayır, o, acele beklediğiniz şeydir; can yakıcı azap veren bir rüzgardır; Rabbinin buyruğu ile her şeyi yok eder" dedi. Bunun üzerine evlerinin harabelerinden başka bir şey görünmez oldu. Biz, suçlu milleti işte böyle cezalandırırız.
025_00	O azabın, yayılarak vadilerine doğru yöneldiğini gördüklerinde: "Bu yaygın bulut bize yağmur yağdıracaktır" dediler. Hud: "Hayır, o, acele beklediğiniz şeydir; can yakıcı azap veren bir rüzgardır; Rabbinin buyruğu ile her şeyi yok eder" dedi. Bunun üzerine evlerinin harabelerinden başka bir şey görünmez oldu. Biz, suçlu milleti işte böyle cezalandırırız.
026_00	And olsun ki onlara, size vermediğimiz servet ve imkanı vermiştik.
026_01	Onlara kulaklar, gözler ve kalbler vermiştik; ama kulakları, gözleri ve kalbleri onlara bir fayda sağlamadı, zira, Allah'ın ayetlerini bile bile inkar ediyorlardı, alaya aldıkları şeyler onları kuşatıp yokediverdi.
027_00	And olsun ki, çevrenizde bulunan birçok kentleri yok etmişizdir. Belki doğru yola dönerler diye ayetleri türlü türlü anlatmışızdır.
028_00	O zamanlar, Allah'ı bırakıp da O'na yakınlık peyda etmek için edindikleri tanrılar kendilerine yardım etmeli değil miydi? Ama tanrıları onlardan uzaklaştılar. Bu, onların yalanı ve uydurup durdukları şeydir.
029_00	Kuran'ı dinleyecek cinlerden bir takımını sana yöneltmiştik. Onlar Kuran'ı dinlemeğe hazır olunca birbirlerine: "Susun" dediler. Kuran'ın okunması bitince, her biri birer uyarıcı olarak milletlerine döndüler.
030_00	Şöyle dediler: "Ey milletimiz! Doğrusu biz, Musa'dan sonra indirilen, kendinden öncekileri doğrulayan, gerçeği ve doğru yolu gösteren bir kitap dinledik."
031_00	"Ey milletimiz! Allah'a çağırana (Muhammed'e) uyun ve O'na inanın da Allah da sizin günahlarınızı bağışlasın ve sizi can yakıcı azabdan korusun."
032_00	Allah'a çağırana uymayan kimse bilsin ki, Allah'ı yeryüzünde aciz bırakamaz; onların O'ndan başka dostları da bulunmaz; işte onlar apaçık sapıklıktadırlar.
033_00	Gökleri, yeri yaratan ve onları yaratmaktan yorulmayan Allah'ın, ölüleri diriltmeye de kadir olduğunu görmezler mi?
033_01	Evet; O her şeye Kadir'dir.
034_00	İnkar edenler, ateşe sunuldukları gün onlara: "Bu, gerçek değil miydi?" denir, onlar: "Rabbimize and olsun ki evet gerçekti" derler. Allah: "İnkar etmenizden ötürü azabı tadın" der.
035_00	Peygamberlerden azim sahibi olanların sabrettiği gibi sen de sabret; inkarcılar için acele etme; onlar, kendilerine söz verileni gördükleri gün dünyada sadece gündüzün bir müddeti eğlendiklerini sanırlar.
035_01	Bu bir bildiridir; yoldan çıkmış olanlardan başkası mı yok edilir?
