001_00	যখন কিয়ামতের ঘটনা ঘটবে,
083_00	অতঃপর যখন কারও প্রাণ কন্ঠাগত হয়।
084_00	এবং তোমরা তাকিয়ে থাক,
085_00	তখন আমি তোমাদের অপেক্ষা তার অধিক নিকটে থাকি; কিন্তু তোমরা দেখ না।
086_00	যদি তোমাদের হিসাব-কিতাব না হওয়াই ঠিক হয়,
087_00	তবে তোমরা এই আত্মাকে ফিরাও না কেন, যদি তোমরা সত্যবাদী হও ?
088_00	যদি সে নৈকট্যশীলদের একজন হয়;
089_00	তবে তার জন্যে আছে সুখ, উত্তম রিযিক এবং নেয়ামতে ভরা উদ্যান।
090_00	আর যদি সে ডান পার্শ্বস্থদের একজন হয়,
091_00	তবে তাকে বলা হবেঃ তোমার জন্যে ডানপার্শ্বসস্থদের পক্ষ থেকে সালাম।
092_00	আর যদি সে পথভ্রষ্ট মিথ্যারোপকারীদের একজন হয়,
093_00	তবে তার আপ্যায়ন হবে উত্তপ্ত পানি দ্বারা।
094_00	এবং সে নিক্ষিপ্ত হবে অগ্নিতে।
095_00	এটা ধ্রুব সত্য।
096_00	অতএব, আপনি আপনার মহান পালনকর্তার নামে পবিত্রতা ঘোষণা করুন।
