I Gruppi
001_00	La rivelazione del Libro da Allah, l'Eccelso, il Saggio.
058_00	o dica vedendo il castigo: "Se solo potessi tornare, sarei tra quanti fanno il bene".
059_00	No, già ti giunsero i Miei segni e li tacciasti di menzogna, ti mostrasti altero e fosti uno dei miscredenti.
060_00	Nel Giorno della Resurrezione vedrai coloro che inventavano menzogne contro Allah con i volti anneriti. Non c'è nell'Inferno una dimora per gli arroganti.
061_00	Allah condurrà al successo coloro che Lo avranno temuto, nessun male li colpirà e non saranno afflitti.
062_00	Allah è il Creatore di tutte le cose e di tutte le cose è il Garante.
063_00	Egli detiene le chiavi dei cieli e della terra. Coloro che non credono nei segni di Allah sono i perdenti.
064_00	Di': «O ignoranti, vorreste forse ordinarmi di adorare altri che Allah?».
065_00	Invero a te e a coloro che ti precedettero è stato rivelato: «Se attribuirai associati, saranno vane le opere tue e sarai tra i perdenti.
066_00	No, adora solo Allah e sii fra i riconoscenti».
067_00	Non hanno considerato Allah nella Sua vera realtà.
067_01	Nel Giorno della Resurrezione, di tutta la terra farà una manciata e terrà ripiegati i cieli nella Sua Mano destra. Gloria a Lui, Egli è ben al di sopra di quel che Gli associano.
068_00	Sarà soffiato nel Corno e cadranno folgorati tutti coloro che saranno nei cieli e sulla terra, eccetto coloro che Allah vorrà. Quindi vi sarà soffiato un'altra volta e si alzeranno in piedi a guardare.
069_00	La terra risplenderà della luce del suo Signore, sarà aperto il Registro e saranno condotti i profeti e i testimoni. Saranno giudicati con equità e nessuno subirà un torto.
070_00	Ogni anima sarà ricompensata con esattezza per quello che avrà fatto. Egli ben conosce quello che fanno.
071_00	I miscredenti saranno condotti in gruppi all'Inferno.
071_01	Quando vi giungeranno saranno aperte le sue porte e i suoi guardiani diranno: «Non vi giunsero forse i messaggeri della vostra gente, che vi recitarono i versetti del vostro Signore e vi avvertirono dell'incontro di questo Giorno?».
071_02	Risponderanno: «Sì, ma la promessa del castigo si realizza contro i miscredenti!».
072_00	Verrà detto loro: «Entrate per le porte dell'Inferno per rimanervi in perpetuo». Quant'è orribile la dimora degli arroganti.
073_00	E coloro che avranno temuto il loro Signore saranno condotti in gruppi al Paradiso.
073_01	Quando vi giungeranno, saranno aperte le sue porte e i suoi guardiani diranno: «Pace su di voi! Siete stati buoni; entrate qui per rimanervi in perpetuo».
074_00	Risponderanno: «Lode ad Allah, Che ha mantenuto la Sua promessa nei nostri confronti e ci ha fatto eredi della terra. Abiteremo nel Paradiso ovunque vorremo». Quant'è magnifica la ricompensa di coloro che hanno operato.
075_00	vedrai gli angeli circondare il Trono e rendere gloria e lode al loro Signore. Sarà giudicato tra loro con equità e sarà detto: «La lode appartiene ad Allah, Signore dei mondi».
