001_00	ฮา มีม
039_00	โอ้หมู่ชนของฉันเอ๋ยแท้จริงชีวิตแห่งโลกนี้เป็นเพียงแค่ความเพลิดเพลินเท่านั้นและแท้จริงปรโลกนั้นมันเป็นที่อยู่อันมั่นคง
040_00	ผู้ใดที่กระทำความชั่ว เขาจะไม่ได้รับการตอบแทน เว้นแต่เยี่ยงเช่นนั้น
040_01	และผู้ใดกระทำความดีจากเพศชายหรือเพศหญิงก็ตามและเขาเป็นผู้ศรัทธาด้วย ชนเหล่านั้นแหละพวกเขาจะได้เข้าสวนสวรรค์ จะได้รับปัจจัยยังชีพในนั้น โดยปราศจากการคำนวณ
041_00	และโอ้หมู่ชนของฉันเอ๋ย! ทำไมฉันจึงเชิญชวนพวกท่านไปสู่การรอดพ้น แต่พวกท่านเชิญชวนฉันไปสู่ไฟนรก
042_00	พวกท่านเชิญชวนฉันให้ปฏิเสธศรัทธาต่ออัลลอฮฺ และให้ฉันตั้งภาคีต่อพระองค์โดยที่ฉันไม่รู้มาก่อนเลยในเรื่องนั้น และฉันได้เชิญชวนพวกท่านไปสู่ผู้ทรงอำนาจ ผู้ทรงอภัยอย่างมากหมาย
043_00	ไม่ต้องสงสัยเลยว่า แท้จริงที่พวกท่านเชิญชวนฉันไปสู่นั้น มันไม่เหมาะสม (ที่จะเอาใจใส่) แก่มันทั้งในโลกนี้และในปรโลกด้วย และแท้จริง การกลับของเรานั้นไปสู่อัลลอฮฺ
044_00	ดังนั้นพวกท่านจะต้องระลึกถึงสิ่งที่ฉันได้กล่าวแก่พวกท่าน และฉันขอมอบภารกิจของฉันแต่อัลลอฮฺ แท้จริงอัลลอฮฺทรงเป็นผู้เฝ้าดูปวงบ่าว
045_00	อัลลอฮฺได้ทรงคุ้มครองเขาให้พ้นจากความชั่วทั้งหลายที่พวกเขาวางแผนไว้ และการลงโทษที่ชั่วช้าก็จะห้อมล้อมบริวารของฟิรเอานฺ
046_00	ไฟนรกนั้นพวกเขาจะถูกนำมาให้เห็นทั้งในยามเช้า และยามเย็น และวันกิยามะฮฺนั้น จะมีเสียงกล่าวว่า จะให้บริวารของฟิรเอานฺเข้าไปรับการลงโทษอันสาหัสยิ่ง
047_00	และจงรำลึกถึงเมื่อพวกเขาโต้เถียงกันในนรก พวกอ่อนแอแกล่าวกับพวกหัวหน้าว่า “แท้จริงพวกเราเป็นผู้ตามพวกท่าน ดังนั้นพวกท่านจะช่วยพวกเราให้พ้นจากการลงโทษสักส่วนหนึ่งของไฟนรกนี้ได้ไหม?
048_00	บรรดาหัวหน้ากล่าวว่า แท้จริงเราทั้งหมดอยู่ในนรก แท้จริงอัลลอฮฺทรงตัดสินระหว่างปวงบ่าวแล้วอย่างแน่นอน
049_00	และบรรดาผู้อยู่ในนรก กล่าวแก่ยามเฝ้าประตูนรกว่า โปรดช่วยวิงวอนขอต่อพระเจ้าของพวกท่านให้ทรงลดหย่อนการลงโทษแก่เราสักวันหนึ่ง
050_00	พวกเขากล่าวว่า บรรดาร่อซูลของพวกท่านมิได้มายังพวกท่านพร้อมด้วยหลักฐานอันชัดแจ้งดอกหรือ ? พวกเขากล่าวว่ามีครับเขาทั้งหลายกล่าวว่า พวกท่านจงวิงวอนขอเองซิ แต่การวิงวอนขอของผู้ปฏิเสธศรัทธานั้น มิใช่อื่นใดนอกจากอยู่ในการหลงทาง
051_00	แท้จริงเราจะช่วยเหลือบรรดาร่อซูลของเรา และบรรดาผู้ศรัทธาอย่างแน่นอน ทั้งในชีวิตของโลกนี้ และวันที่ซึ่งปวงพยานจะยืนขึ้นเป็นพยาน
052_00	วันที่การแก้ตัวของพวกเขาจะไม่อำนวยผลแก่บรรดาผู้อธรรม และสำหรับพวกเขาจะได้รับการสาปแช่ง และสำหรับพวกเขาจะมีที่พำนักอันชั่วช้า
053_00	และโดนแน่นอนเราได้ประทานการชี้นำทางแก่มูซา และเราได้ให้มรดกแก่วงศ์วารของอิสรออีล คือคัมภีร์
054_00	เพื่อเป็นการชี้นำทางและเป็นการเตือนรำลึกแก่บรรดาผู้มีสติปัญญา
055_00	ดังนั้น เจ้าจงอดทนเพราะแท้จริงสัญญาของอัลลอฮฺนั้นเป็นความจริง และจงขออภัยโทษต่อความผิดของเจ้า และจงแซ่ซ้องสดุดีด้วยการสรรเสริญพระเจ้าของเจ้าทั้งในยามเย็นและในยามเช้า
056_00	แท้จริง บรรดาผู้โต้เถียงในเรื่องอายาตของอัลลอฮฺ (อัลกุรอาน) โดยปราศจากหลักฐานมายังพวกเขานั้น ไม่มีอะไรในทรวงอกของพวกเขานอกจากต้องการจะเป็นใหญ่
056_01	ซึ่งพวกเขาจะไม่เป็นผู้บรรลุถึงมันได้ ดังนั้น จงขอความคุ้มครองต่ออัลลอฮฺ แท้จริงพระองค์เป็นผู้ทรงได้ยิน ผู้ทรงเห็น
057_00	แน่นอนการสร้างชั้นฟ้าทั้งหลายและแผ่นดินนั้นใหญ่ยิ่งกว่าการสร้างมนุษย์ แต่ว่าส่วนมากของมนุษย์ไม่รู้
058_00	และคนตาบอดกับคนตาดีนั้นย่อมไม่เท่าเทียมกัน และบรรดาผู้ศรัทธาและประกอบความดีทั้งหลายกับพวกกระทำความชั่วก็ไม่เท่าเทียมเช่นกัน เพียงส่วนน้อยเท่านั้นที่พวกเจ้าจะใคร่ครวญ
059_00	แท้จริง วันอวสานนั้นจะมีมาอย่างแน่นอน ไม่มีข้อสงสัยใด ๆ ในวันนั้น แต่ว่าส่วนมากของมนุษย์ไม่ยอมศรัทธา
060_00	และพระเจ้าของพวกเจ้าตรัสว่า จงวิงวอนขอต่อข่า ข้าจะตอบรับแก่พวกเจ้า ส่วนบรรดาผู้โอหังกต่อการเคารพภักดีข้านั้น จะเข้าไปอยู่ในนรกอย่างต่ำต้อย
061_00	อัลลอฮฺผู้ทรงบันดาลกลางคืนให้แก่พวกเจ้า เพื่อจะได้พักผ่อนในเวลาของมัน และกลางวันเพื่อจะได้มองเห็น แท้จริงอัลลอฮฺเป็นเจ้าของความโปรดปรานแก่ปวงมนุษย์แต่ว่าส่วนมากของมนุษย์ไม่ขอบคุณ
062_00	นั่นคืออัลลอฮฺ พระเจ้าของพวกเจ้าผู้ทรงสร้างทุกสิ่ง ไม่มีพระเจ้าอื่นใดนอกจากพระองค์ ดังนั้นทำไมพวกเจ้าจึงถูกหันเหออกจากพระองค์เล่า?
063_00	เช่นนั้นแหละ บรรดาผู้ที่ปฏิเสธต่อสัญญาณทั้งหลายของอัลลอฮฺ จะถูกทำให้หันเหออก (จากสัจธรรม)
064_00	อัลลอฮฺคือผู้ทรงทำให้แผ่นดินนี้เป็นที่พำนักแก่พวกเจ้า และชั้นฟ้าเป็นเพดานมั่นคง และทรงทำให้พวกเจ้าเป็นรูปร่าง และทรงทำให้รูปร่างของพวกเจ้าสวยงาม และทรงประทานปัจจัยยังชีพจากสิ่งที่ดี
064_01	ๆ แก่พวกเจ้านั่นคืออัลลอฮฺ พระเจ้าของพวกเจ้า ดังนั้นอัลลอฮฺพระเจ้าแห่งสากลโลกทรง จำเริญยิ่ง
065_00	พระองค์คือผู้ทรงมีชีวิต ไม่มีพระเจ้าอื่นใดนอกจากพระองค์ ดังนั้นจงวิงวอนขอต่อพระองค์โดยเป็นผู้มีความบริสุทธิ์ใจในสาสนาของพระองค์ บรรดาการสรรเสริญนั้นเป็นของอัลลอฮฺ พระเจ้าแห่งสากลโลก
066_00	จงกล่าวเถิดมุฮัมมัด แท้จริงฉันถูกห้ามมิให้เคารพภักดีต่อบรรดาที่พวกท่านวิงวอนขออื่นจากอัลลอฮฺ เมื่อหลักฐานทั้งหลายอันชัดแจ้งจากพระเจ้าของฉันได้มีมายังฉันแล้ว และฉันถูกบัญชาให้นอบน้อมต่อพระเจ้าแห่งสากลโลก
067_00	พระองค์คือผู้ทรงสร้างพวกเจ้าจากฝุ่นดิน แล้วจากเชื้ออสุจิ แล้วจากก้อนเลือดแล้วทรงให้พวกเจ้าคลอดออกมาเป็นทารกแล้วเพื่อพวกเจ้าจะได้บรรลุสู่วัยฉกรรจ์ของพวกเจ้า
067_01	แล้วเพื่อพวกเจ้าจะได้เป็นคนชรา และในหมู่พวกเจ้ามีผู้เสียชีวิตในวัยหนุ่ม และเพื่อให้พวกเจ้าจะได้บรรลุสู่วัยที่ถูกกำหนดไว้ และเพื่อพวกเจ้าจะได้ใช้สติปัญญาใคร่ครวญ
068_00	พระองค์ คือผู้ทรงให้เป็นและทรงให้ตาย ดังนั้นเมื่อพระองค์ทรงกำหนดกิจการใด ๆ พระองค์ก็จะกล่าวแก่มันว่า จงเป็น แล้วมันก็จะเป็นขึ้นมา
069_00	เจ้าไม่เห็นดอกหรือว่า บรรดาผู้ที่โต้เถียงในอายาตของอัลลอฮฺ (อัลกุรอาน) พวกเขาถูกให้พันเหออกไปอย่างไร ?
070_00	บรรดาผู้ปฏิเสธต่อคัมภีร์ และต่อสิ่งที่เราได้ส่งมาพร้อมกับรรดาร่อซูลของเราแล้วพวกเขาก็จะได้รู้
071_00	เมื่อห่วงคล้องคออยู่บนต้นของพวกเขา และโซ่ตรวนถูกลากไป
072_00	ในน้ำเดือดพล่าน แล้วในไฟนรกพวกเขาจะถูกเผาไหม้
073_00	แล้วจะมีเสียงกล่าวแก่พวกเขาว่าไหนเล่าสิ่งที่พวกเจ้าตั้งภาคี
074_00	อื่นจากอัลลอฮฺ พวกเขากล่าวว่ามันได้หลงหายไปจากพวกเราแล้ว แต่ว่าพวกเรามิได้วิงวอนขอต่อสิ่งใดก่อนหน้านี้ดอก! เช่นนั้นแหละอัลลอฮฺทรงให้บรรดาผู้ปฏิเสธศรัทธาหลงทาง
075_00	นั่นก็เพราะว่า พวกเจ้าหลงระเริงในแผ่นดิน โดยไม่เป็นธรรม และเพราะว่าพวกเจ้าอวดดี
076_00	จงเข้าไปในประตูทั้งหลายของนรก เป็นผู้พำนักอยู่ตลอดกาลในนั้น ฉะนั้นที่พำนักของพวกหยิ่งผยองมันชั่วช้าแท้ ๆ
077_00	ดังนั้นเจ้าจงอดทน แท้จริงสัญญาของอัลลอฮฺนั้นเป็นจริง บางทีเราจะให้เจ้าได้เห็นบางสิ่งที่ได้สัญญาแก่พวกเขา หรือเราจะทำให้เจ้าตายเสียก่อน ดังนั้นพวกเขาจะถูกกลับไปยังเรา
078_00	และโดยแน่นอน เราได้ส่งบรรดาร่อซูลมาก่อนหน้าเจ้าบางคนในหมู่พวกเขามีผู้ที่เราบอกเล่าแก่เจ้า และบางคนในหมู่พวกเขามีผู้ที่เรามิได้บอกเล่าแก่เจ้า
078_01	และไม่บังควรแก่ร่อซูลที่จะนำสัญญาณใด ๆ มาเว้นแต่ด้วยอนุมัติของอัลลอฮฺมาถึงเรื่องนั้นก็จะถูกตัดสินด้วยความยุติธรรม และขณะนั้นบรรดาผู้กล่าวเท็จก็จะขาดทุนอย่างย่อยยับ
079_00	อัลลอฮฺคือผู้ทรงทำปศุสัตว์บางชนิดให้พวกเจ้าเพื่อใช้เป็นพาหนะ และบางชนิด เพื่อให้พวกเจ้าใช้กิน
080_00	และสำหรับพวกเจ้าในตัวมันนั้นมีประโยชน์มากหลาย และเพื่อพวกเจ้าจะได้บรรลุสู่สมความปราถนาที่มีอยู่ในทรวงอกของพวกเจ้า และพวกเจ้าบรรทุกบนหลังมันเช่นเดียวกับใช้บรรทุกบนเรือ
081_00	และพระองค์ได้ทรงให้พวกเจ้าเห็นสัญญาณต่าง ๆ ของพระองค์ดังนั้น ด้วยสัญญาณต่าง ๆ ของอัลลอฮฺอันใดเล่าที่พวกเจ้าปฏิเสธ
082_00	พวกเข้ามิได้ท่องเที่ยวไปตามแผ่นดินดอกหรือ ?
082_01	แล้วพิจารณาดูว่า บั้นปลายของประชาชาติในยุคก่อนหน้าพวกเขาเป็นเช่นใด เขาเหล่านั้นมีจำนวนมากกว่ายพวกเขา และมีพลังเข้มแข็งว่า และได้ทิ้งร่องรอยไว้มากมายในแผ่นดิน ดังนั้นสิ่งที่พวกเขาได้กระทำไว้นั้นหาได้อำนวยประโยชน์แก่พวกเขาไม่
083_00	ดังนั้นเมื่อบรรดาร่อซูลของพวกเขาได้มายังพวกเขาพร้อมด้วยหลักฐานต่าง ๆ อันชัดแจ้งพวกเขาก็ดีใจกับความรู้ (ทางด้านวัตถุ) ที่มีอยู่กับพวกเขา และสิ่งที่พวกเขาเคยเยาะเย้ยไว้นั้นก็ห้อมล้อมพวกเขา
084_00	ครั้นเมื่อพวกเขาได้เห็นการลงโทษอย่างหนักของเรา พวกเขาก็กล่าวว่า เราศรัทธาต่อัลลอฮฺองค์เดียว และเราปฏิเสธศรัทธาต่อสิ่งที่เราเคยตั้งภาคีต่อพระองค์
085_00	แต่การศรัทธาของพวกเขาจะไม่อำนวยประโยชน์แก่พวกเขาเลยในเมื่อพวกเขาได้เห็นการลงโทษอย่างหนักของเรา นี่คือแนวทางของอัลลอฮฺที่ได้มีมาแต่ในอดีตในปวงบ่าวของพระองค์ และขณะนั้นบรรดาผู้ปฏิเสธศรัทธาก็ได้ขาดทุนอย่างย่อยยับ
