001_00	ฮามีม
037_00	พวกเขา (กุฟฟารมักกะฮฺ) ดีกว่า หรือว่าหมู่ชนแห่งตุบบะอฺ (ชาวสะบะอฺแห่งเยเมน) และบรรดาหมู่ชนก่อนหน้าพวกเขาเราได้ทำลายล้างพวกเขา เพราะพวกเขาเหล่านั้นเป็นผู้กระทำความผิด
038_00	และเรามิได้สร้างชั้นฟ้าทั้งหลาย และแผ่นดิน และสิ่งที่อยู่ระหว่างทั้งสองอย่าง อย่างไร้สาระ
039_00	เรามิได้สร้างทั้งสอง (ดังกล่าวนั้น) เพื่ออื่นใดนอกจากเพื่อความจริง แต่ว่าส่วนมากของพวกเขาไม่รู้
040_00	แท้จริงวันแห่งการตัดสินนั้นเป็นเวลาที่ถูกกำหนดไว้สำหรับพวกเขาทั้งหมด
041_00	วันที่ญาติสนิทจะไม่อำนวยประโยชน์อันใดให้แก่ญาติสนิทอีกคนหนึ่งได้ และพวกเขาเองก็จะไม่ได้รับความช่วยเหลือ
042_00	เว้นแต่ผู้ที่อัลลอฮฺทรงมีเมตตา แท้จริงพระองค์เป็นผู้ทรงอำนาจ ผู้ทรงเมตตาเสมอ
043_00	แท้จริงต้นซักกูม
044_00	จะเป็นอาหารของผู้ทำบาปมาก
045_00	เช่นทองแดงที่ถูกหลอมเดือด มันจะต้มเดือดอยู่ในท้อง
046_00	เช่นการเดือดพล่านของน้ำร้อน
047_00	(มีเสียงกล่าวแก่ยามเฝ้านรกว่า) จงจับเขาไปและลากเขาไปสู่กลางไฟที่ลุกโชน
048_00	แล้วจงราดลงบนหัวของเป็นการลงโทษแห่งน้ำเดือด
049_00	จงลิ้มรสการลงโทษซิ แท้จริงเจ้า (เคยพูดว่า) เป็นผู้มีอำนาจ ผู้มีเกียรติ
050_00	แท้จริง นี้คือสิ่งที่พวกเจ้าเคยสงสัยไว้
051_00	แท้จริงบรรดาผู้ยำเกรงจะอยู่ในสถานที่อันสงบปลอดภัย
052_00	ท่ามกลางสวนสวรรค์หลากหลาย และน้ำพุหลายแห่ง
053_00	พวกเขาจะสวมอาภรณ์ทำด้วยผ้าไหมละเอียด และผ้าไหมหยาบ หันหน้าเข้าหากัน
054_00	เช่นนั้นแหละ และเราจะให้พวกเขามีคู่ครองเป็นหญิงสาววัยรุ่นมีดวงตาสวยงาม
055_00	พวกเขาจะเรียกเอาผลไม้ทุกชนิดที่อยู่ในสวนสวรรค์นั้นอย่างปลอดภัย
056_00	ในสวนสวรรค์นั้น พวกเขาจะไม่ได้ลิ้มรสความตาย นอกจากความตายครั้งแรก (ในโลกดุนยา) และพระองค์จะทรงคุ้มครองพวกเขาให้พ้นจากการลงโทษแห่งไฟนรก
057_00	เป็นความโปรดปรานจากพระเจ้าของเจ้า นั่นคือความสำเร็จอันใหญ่หลวง
058_00	ดังนั้นแท้จริงเราได้ทำให้อัลกุรอานเป็นที่ง่ายดายในภาษาของเจ้า (อาหรับ) เพื่อพวกเขาจะได้ใคร่ครวญ
059_00	ฉะนั้น จงคอยดูเถิด แท้จริงพวกเขาก็จะเป็นผู้คอยเช่นกัน
