001_00	Shaad, demi Al Quran yang mempunyai keagungan.
023_00	Sesungguhnya saudaraku ini mempunyai sembilan puluh sembilan ekor kambing betina dan aku mempunyai seekor saja. Maka dia berkata: "Serahkanlah kambingmu itu kepadaku dan dia mengalahkan aku dalam perdebatan".
024_00	Daud berkata: "Sesungguhnya dia telah berbuat zalim kepadamu dengan meminta kambingmu itu untuk ditambahkan kepada kambingnya.
024_01	Dan sesungguhnya kebanyakan dari orang-orang yang berserikat itu sebahagian mereka berbuat zalim kepada sebahagian yang lain, kecuali orang-orang yang beriman dan mengerjakan amal yang saleh; dan amat sedikitlah mereka ini".
024_02	Dan Daud mengetahui bahwa Kami mengujinya; maka ia meminta ampun kepada Tuhannya lalu menyungkur sujud dan bertaubat.
025_00	Maka Kami ampuni baginya kesalahannya itu. Dan sesungguhnya dia mempunyai kedudukan dekat pada sisi Kami dan tempat kembali yang baik.
026_00	Hai Daud, sesungguhnya Kami menjadikan kamu khalifah (penguasa) di muka bumi, maka berilah keputusan (perkara) di antara manusia dengan adil dan janganlah kamu mengikuti hawa nafsu, karena ia akan menyesatkan kamu dari jalan Allah.
026_01	Sesungguhnya orang-orang yang sesat darin jalan Allah akan mendapat azab yang berat, karena mereka melupakan hari perhitungan.
027_00	Dan Kami tidak menciptakan langit dan bumi dan apa yang ada antara keduanya tanpa hikmah. Yang demikian itu adalah anggapan orang-orang kafir, maka celakalah orang-orang kafir itu karena mereka akan masuk neraka.
028_00	Patutkah Kami menganggap orang-orang yang beriman dan mengerjakan amal yang saleh sama dengan orang-orang yang berbuat kerusakan di muka bumi? Patutkah (pula) Kami menganggap orang-orang yang bertakwa sama dengan orang-orang yang berbuat maksiat?
029_00	Ini adalah sebuah kitab yang Kami turunkan kepadamu penuh dengan berkah supaya mereka memperhatikan ayat-ayatnya dan supaya mendapat pelajaran orang-orang yang mempunyai fikiran.
030_00	Dan Kami karuniakan kepada Daud, Sulaiman, dia adalah sebaik-baik hamba. Sesungguhnya dia amat taat (kepada Tuhannya),
031_00	(ingatlah) ketika dipertunjukkan kepadanya kuda-kuda yang tenang di waktu berhenti dan cepat waktu berlari pada waktu sore,
032_00	maka ia berkata: "Sesungguhnya aku menyukai kesenangan terhadap barang yang baik (kuda) sehingga aku lalai mengingat Tuhanku sampai kuda itu hilang dari pandangan".
033_00	"Bawalah kuda-kuda itu kembali kepadaku". Lalu ia potong kaki dan leher kuda itu.
034_00	Dan sesungguhnya Kami telah menguji Sulaiman dan Kami jadikan (dia) tergeletak di atas kursinya sebagai tubuh (yang lemah karena sakit), kemudian ia bertaubat.
035_00	Ia berkata: "Ya Tuhanku, ampunilah aku dan anugerahkanlah kepadaku kerajaan yang tidak dimiliki oleh seorang juapun sesudahku, sesungguhnya Engkaulah Yang Maha Pemberi".
036_00	Kemudian Kami tundukkan kepadanya angin yang berhembus dengan baik menurut ke mana saja yang dikehendakinya,
037_00	dan (Kami tundukkan pula kepadanya) syaitan-syaitan semuanya ahli bangunan dan penyelam,
038_00	dan syaitan yang lain yang terikat dalam belenggu.
039_00	Inilah anugerah Kami; maka berikanlah (kepada orang lain) atau tahanlah (untuk dirimu sendiri) dengan tiada pertanggungan jawab.
040_00	Dan sesungguhnya dia mempunyai kedudukan yang dekat pada sisi Kami dan tempat kembali yang baik.
041_00	Dan ingatlah akan hamba Kami Ayyub ketika ia menyeru Tuhan-nya: "Sesungguhnya aku diganggu syaitan dengan kepayahan dan siksaan".
042_00	(Allah berfirman): "Hantamkanlah kakimu; inilah air yang sejuk untuk mandi dan untuk minum".
043_00	Dan Kami anugerahi dia (dengan mengumpulkan kembali) keluarganya dan (Kami tambahkan) kepada mereka sebanyak mereka pula sebagai rahmat dari Kami dan pelajaran bagi orang-orang yang mempunyai fikiran.
044_00	Dan ambillah dengan tanganmu seikat (rumput), maka pukullah dengan itu dan janganlah kamu melanggar sumpah. Sesungguhnya Kami dapati dia (Ayyub) seorang yang sabar. Dialah sebaik-baik hamba. Sesungguhnya dia amat taat (kepada Tuhan-nya).
045_00	Dan ingatlah hamba-hamba Kami: Ibrahim, Ishaq dan Ya'qub yang mempunyai perbuatan-perbuatan yang besar dan ilmu-ilmu yang tinggi.
046_00	Sesungguhnya Kami telah mensucikan mereka dengan (menganugerahkan kepada mereka) akhlak yang tinggi yaitu selalu mengingatkan (manusia) kepada negeri akhirat.
047_00	Dan sesungguhnya mereka pada sisi Kami benar-benar termasuk orang-orang pilihan yang paling baik.
048_00	Dan ingatlah akan Ismail, Ilyasa' dan Zulkifli. Semuanya termasuk orang-orang yang paling baik.
049_00	Ini adalah kehormatan (bagi mereka). Dan sesungguhnya bagi orang-orang yang bertakwa benar-benar (disediakan) tempat kembali yang baik,
050_00	(yaitu) surga 'Adn yang pintu-pintunya terbuka bagi mereka,
051_00	di dalamnya mereka bertelekan (diatas dipan-dipan) sambil meminta buah-buahan yang banyak dan minuman di surga itu.
052_00	Dan pada sisi mereka (ada bidadari-bidadari) yang tidak liar pandangannya dan sebaya umurnya.
053_00	Inilah apa yang dijanjikan kepadamu pada hari berhisab.
054_00	Sesungguhnya ini adalah benar-benar rezeki dari Kami yang tiada habis-habisnya.
055_00	Beginilah (keadaan mereka). Dan sesungguhnya bagi orang-orang yang durhaka benar-benar (disediakan) tempat kembali yang buruk,
056_00	(yaitu) neraka Jahannam, yang mereka masuk ke dalamnya; maka amat buruklah Jahannam itu sebagai tempat tinggal.
057_00	Inilah (azab neraka), biarlah mereka merasakannya, (minuman mereka) air yang sangat panas dan air yang sangat dingin.
058_00	Dan azab yang lain yang serupa itu berbagai macam.
059_00	(Dikatakan kepada mereka): "Ini adalah suatu rombongan (pengikut-pengikutmu) yang masuk berdesak-desak bersama kamu (ke neraka)". (Berkata pemimpin-pemimpin mereka yang durhaka): "Tiadalah ucapan selamat datang kepada mereka karena sesungguhnya mereka akan masuk neraka".
060_00	Pengikut-pengikut mereka menjawab: "Sebenarnya kamulah. Tiada ucapan selamat datang bagimu, karena kamulah yang menjerumuskan kami ke dalam azab, maka amat buruklah Jahannam itu sebagai tempat menetap".
061_00	Mereka berkata (lagi): "Ya Tuhan kami; barang siapa yang menjerumuskan kami ke dalam azab ini maka tambahkanlah azab kepadanya dengan berlipat ganda di dalam neraka".
062_00	Dan (orang-orang durhaka) berkata: "Mengapa kami tidak melihat orang-orang yang dahulu (di dunia) kami anggap sebagai orang-orang yang jahat (hina).
063_00	Apakah kami dahulu menjadikan mereka olok-olokan, ataukah karena mata kami tidak melihat mereka?"
064_00	Sesungguhnya yang demikian itu pasti terjadi, (yaitu) pertengkaran penghuni neraka.
065_00	Katakanlah (ya Muhammad): "Sesungguhnya aku hanya seorang pemberi peringatan, dan sekali-kali tidak ada Tuhan selain Allah Yang Maha Esa dan Maha Mengalahkan.
066_00	Tuhan langit dan bumi dan apa yang ada di antara keduanya Yang Maha Perkasa lagi Maha Pengampun.
067_00	Katakanlah: "Berita itu adalah berita yang besar,
068_00	yang kamu berpaling daripadanya.
069_00	Aku tiada mempunyai pengetahuan sedikitpun tentang al mala'ul a'la (malaikat) itu ketika mereka berbantah-bantahan.
070_00	Tidak diwahyukan kepadaku, melainkan bahwa sesungguhnya aku hanyalah seorang pemberi peringatan yang nyata".
071_00	(Ingatlah) ketika Tuhanmu berfirman kepada malaikat: "Sesungguhnya Aku akan menciptakan manusia dari tanah".
072_00	Maka apabila telah Kusempurnakan kejadiannya dan Kutiupkan kepadanya roh (ciptaan)Ku; maka hendaklah kamu tersungkur dengan bersujud kepadanya".
073_00	Lalu seluruh malaikat-malaikat itu bersujud semuanya,
074_00	kecuali iblis; dia menyombongkan diri dan adalah dia termasuk orang-orang yang kafir.
075_00	Allah berfirman: "Hai iblis, apakah yang menghalangi kamu sujud kepada yang telah Ku-ciptakan dengan kedua tangan-Ku. Apakah kamu menyombongkan diri ataukah kamu (merasa) termasuk orang-orang yang (lebih) tinggi?".
076_00	Iblis berkata: "Aku lebih baik daripadanya, karena Engkau ciptakan aku dari api, sedangkan dia Engkau ciptakan dari tanah".
077_00	Allah berfirman: "Maka keluarlah kamu dari surga; sesungguhnya kamu adalah orang yang terkutuk,
078_00	Sesungguhnya kutukan-Ku tetap atasmu sampai hari pembalasan".
079_00	Iblis berkata: "Ya Tuhanku, beri tangguhlah aku sampai hari mereka dibangkitkan".
080_00	Allah berfirman: "Sesungguhnya kamu termasuk orang-orang yang diberi tangguh,
081_00	sampai kepada hari yang telah ditentukan waktunya (hari Kiamat)".
082_00	Iblis menjawab: "Demi kekuasaan Engkau aku akan menyesatkan mereka semuanya,
083_00	kecuali hamba-hamba-Mu yang mukhlis di antara mereka.
084_00	Allah berfirman: "Maka yang benar (adalah sumpah-Ku) dan hanya kebenaran itulah yang Ku-katakan".
085_00	Sesungguhnya Aku pasti akan memenuhi neraka Jahannam dengan jenis kamu dan dengan orang-orang yang mengikuti kamu di antara mereka kesemuanya.
086_00	Katakanlah (hai Muhammad): "Aku tidak meminta upah sedikitpun padamu atas dakwahku dan bukanlah aku termasuk orang-orang yang mengada-adakan.
087_00	Al Quran ini tidak lain hanyalah peringatan bagi semesta alam.
088_00	Dan sesungguhnya kamu akan mengetahui (kebenaran) berita Al Quran setelah beberapa waktu lagi.
