001_00	(Tuhan) Yang Maha Pemurah,
057_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
058_00	Seakan-akan bidadari itu permata yakut dan marjan.
059_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
060_00	Tidak ada balasan kebaikan kecuali kebaikan (pula).
061_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
062_00	Dan selain dari dua surga itu ada dua surga lagi
063_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
064_00	Kedua surga itu (kelihatan) hijau tua warnanya.
065_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
066_00	Di dalam kedua surga itu ada dua buah mata air yang memancar.
067_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
068_00	Di dalam keduanya (ada macam-macam) buah-buahan dan kurma serta delima.
069_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
070_00	Di dalam surga itu ada bidadari-bidadari yang baik-baik lagi cantik-cantik.
071_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
072_00	(Bidadari-bidadari) yang jelita, putih bersih, dipingit dalam rumah.
073_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
074_00	Mereka tidak pernah disentuh oleh manusia sebelum mereka (penghuni-penghuni surga yang menjadi suami mereka), dan tidak pula oleh jin.
075_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
076_00	Mereka bertelekan pada bantal-bantal yang hijau dan permadani-permadani yang indah.
077_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
078_00	Maha Agung nama Tuhanmu Yang Mempunyai Kebesaran dan Karunia.
