001_00	Demi bintang ketika terbenam.
052_00	Dan kaum Nuh sebelum itu. Sesungguhnya mereka adalah orang-orang yang paling zalim dan paling durhaka,
053_00	dan negeri-negeri kaum Luth yang telah dihancurkan Allah.
054_00	lalu Allah menimpakan atas negeri itu azab besar yang menimpanya.
055_00	Maka terhadap nikmat Tuhanmu yang manakah kamu ragu-ragu?
056_00	Ini (Muhammad) adalah seorang pemberi peringatan di antara pemberi-pemberi peringatan yang terdahulu.
057_00	Telah dekat terjadinya hari kiamat.
058_00	Tidak ada yang akan menyatakan terjadinya hari itu selain Allah.
059_00	Maka apakah kamu merasa heran terhadap pemberitaan ini?
060_00	Dan kamu mentertawakan dan tidak menangis?
061_00	Sedang kamu melengahkan(nya)?
062_00	Maka bersujudlah kepada Allah dan sembahlah (Dia).
