001_00	Ҳа-а. Мийм.
012_01	Ахир ҳажмини, ичларидаги нарсаларни тасаввур ҳам қилиб бўлмайдиган даражада кўп ва катта бўлган етти осмоннинг ҳар бирида Аллоҳнинг ваҳийси асосида иш кўрилса-да инсон Аллоҳга куфр келтириб ўтирса, шу тўғри бўладими?! Аллоҳга ширк келтирса, жоизми? Ўзига келган ваҳийни афсона, ёлғон, сеҳр, тўқилган уйдирма дейиши ақлданми?! Бу ваҳийни эскириб қолди, замонга тўғри келмайди, дейиши тўғрими?! Аллоҳ ваҳий қилган дастурни қўйиб, ўзи тўқиб чиқарган дастур асосида яшаши жоизми?! Инсонга яқин осмонга юлдузларни зийнат қилиб яратдик. Ўша юлдузлар осмонни жину шайтонлардан қўриб турадилар)
013_00	Бас, агар юз ўгирсалар, сен: «Мен сизларни Од ва Самудга келган чақмоққа ўхшаш чақмоқ-ла огоҳлантирдим», деб айт.
014_00	Ўшанда Пайғамбарлар уларнинг олдиларидан ҳам, орқаларидан ҳам: «Фақат Аллоҳдан ўзгага ибодат қилманглар», деб келганларида, улар: «Агар Роббимиз хоҳласа, фаришталарни тушурур эди.
014_01	Албатта, биз сиз билан юборилган нарсага кофирдирмиз», дедилар.
015_00	Од (қавми) бўлса, ер юзида ноҳақдан муткаббирлик қилдилар. Улар: «Биздан қувватлироқ ким бор?!»
015_01	дедилар. Уларни яратган Аллоҳ ўзларидан қувватли эканини билмасмидилар?! Улар Бизнинг оятларимизни инкор этар эдилар.
016_00	Бас, Биз устларига шумлик кунларида сарсор шамолини юбордик. Буни уларга ҳаёти дунёнинг хорлик азобини тотдириш учун қилдик. Албатта, охират азоби хор қилгувчироқдир ва уларга нусрат берилмас.
016_01	(«Шумлик кунлари» яъни, ёмонлик кунлари деб оятда Од қавми устига бало шамоли келган кунлар айтилмоқда. У ўта совуқ ва қаттиқ шамол бўлиб, теккан жойини куйдириб кетади.)
017_00	Аммо Самуд бўлса, бас, Биз уларни ҳидоят қилдик. Улар эса, ҳидоятдан кўра кўрликни афзал кўрдилар. Бас, касб қилган нарсалари туфайли уларни хорлик азоби чақмоғи урди.
018_00	Иймон келтирганларга ва тақво қилиб юрганларга нажот бердик.
019_00	Аллоҳнинг душманлари дўзахга (ташланиш учун) жамланадиган, улар тизиб қўйиладиган кунни (эсла).
020_00	Ниҳоят унга етиб келишгач, қулоқлари, кўзлари ва терилари қилиб ўтган нарсалари ҳақида уларга қарши гувоҳлик берадилар. (Аллоҳнинг душманлари бўлган кофирлар жаҳаннам томон ҳайдалганларидан кейин, жаҳаннамга етиб келишгач, гуноҳлари ҳақида қулоқлари, кўзлари ва терилари уларга қарши гувоҳлик берур.)
021_00	Улар териларига: «Нима учун бизга қарши гувоҳлик бердингиз?» дедилар. У(тери)лар: «Ҳар бир нарсани нутқ қилдирган Аллоҳ бизни ҳам нутқ қилдирди. У зот сизларни аввал- бошда яратган ва Унгагина қайтарилурсизлар», дедилар. (Аллоҳ сизларни йўқдан бор қилган зот-ку, нима учун унга душман бўлдингиз ўзи?! Яна, нима учун бизга қарши гувоҳлик бердингиз, дейсизлар!)
022_00	Сиз ўзингизга қарши қулоғингиз, кўзларингиз ва териларингиз гувоҳлик беришларидан яширинмас эдингиз. Лекин Аллоҳ қилаётган амалларингизнинг кўпини билмайди, деб гумон қилар эдингиз. (Сиз гуноҳ ишларни қилаётган вақтингизда одамлар гувоҳ бўлмасин, деб беркинсангиз ҳам, қулоқ, кўз ва териларингиздан беркина олмас эдингиз, бизга қарши гувоҳлик бермайди, деб ўйлардингиз.)
023_00	Ана ўша Роббингиз ҳақида қилган гумонингиз сизни ҳалокатга учратди. Бас, зиёнкорлардан бўлдингиз.
024_00	Агар сабр қилсалар, жаҳаннам уларга макондир. Агар итобни талаб қилсалар, улар итобга қайтарилувчи ҳам бўлмаслар.
025_00	Биз уларга «дўстлар» тайёрладик. Бас, ўшалар уларга олдиларидаги ва ортларидаги нарсаларни зийнатлаб кўрсатдилар ва уларга ҳам ўзларидан олдин ўтган жин ва инсдан бўлган умматлар қатори (азоб) сўзи ҳақ бўлди. Албатта, улар зиёнкор бўлдилар. (Инсонга ёмон иши, гуноҳ амали яхши бўлиб кўриниши энг катта балодир. Одам боласига энг катта мусибат хатолари ва гуноҳларини ҳис этиш туйғусини йўқотиши оқибатида етади.
025_01	У ўзининг ҳар бир ишини яхши, гўзал деб билади. Унинг атрофидаги дўстлари ҳам буни тасдиқлаб туради. Агар яқин дўстлар унга аввалги гуноҳларини ҳам, бўлажак гуноҳларини ҳам зийнатлаб кўрсатаверсалар, улар уни жаҳаннам томон мақтаб-мақтаб олиб кетаётган бўладилар. Аслида дўстлик эмас, душманлик қилаётган бўладилар. Оқил инсон маслаҳатгўйнинг маслахатидан ким дўст, ким душман эканини билиб олади. Дўст ачитиб гапиради, душман кулдириб. Яқин дўстлари мақтовидан шод бўлиб, ўз амали ўзига зийнатли туюлганлар бориб-бориб ҳалокатга йўлиқдилар.)
026_00	Куфр келтирганлар: «Бу Қуръонга қулоқ солманглар, унга халақит беринг, шоядки ғолиб бўлсангиз», дедилар.
027_00	Бас, албатта, Биз куфр келтирганларга шиддатли азобни тоттирамиз ва, албатта, уларга қилиб юрган амалларининг энг ёмон жазосини берамиз.
028_00	Мана, Аллоҳ душманларининг жазоси дўзахдир. Уларга унда абадийлик диёри бор. Оятларимизни инкор қилганларининг жазоси шудир.
029_00	Куфр келтирганлар: «Эй Роббимиз, бизни адаштирган жин ва инсдан бўлган шахсларни бизга кўрсатгин, уларни оёқларимиз остига олайлик, токи улар энг пастлардан бўлсинлар», дедилар.
030_00	Албатта, «Роббимиз Аллоҳ» деган, сўнгра мустақийм бўлганларнинг устиларидан фаришталар: «Қўрқманглар, маҳзун ҳам бўлманглар, ўзингизга ваъда қилинган жаннат хушхабарини қабул қилинглар.
031_00	Биз ҳаёти дунёда ҳам, охиратда ҳам сизларнинг дўстларингиздирмиз. Сизга у(жаннат)да кўнглингиз иштаҳа қилган нарса бордир ва сизга унда орзу қилинган нарсангиз бордир.
032_00	Бу ўта мағфиратли ва ўта раҳмли зотдан зиёфатдир», деб тушарлар.
033_00	Аллоҳга даъват қилган, солиҳ амалларни қилган ва «Албатта, мен мусулмонларданман!» деган, кишидан ҳам гўзал сўзли ким бор?! (Дунёдаги энг гўзал сўз Аллоҳ таоло йўлига чақирувчи сўздир. Дунёдаги энг гўзал сўзловчи Аллоҳ таолога даъват қилувчининг ўзидир. Аммо ўша сўзнинг ҳақиқатда гўзал бўлиши ва ўша сўзловчининг ўзи энг гўзал сўзловчи бўлиши учун қуруқ даъватнинг ўзи етмайди. Балки даъват билан бирга, солиҳ амал бўлиши ҳамда: «Албатта, мен мусулмонларданман», дейиши керак. Ана ўшандагина, у одам энг гўзал сўз сўзлаган бўлади. Зеро, фақат мусулмонлиги туфайли шу фазлга эга бўлгандир.)
034_00	Яхшилик билан ёмонлик баробар бўлмас. Сен яхшилик бўлган нарса ила даф қил. Кўрибсанки, сен билан орасида адовати бор кимса, худди содиқ дўстдек бўлур. (Бу Ислом даъватчилари учун жуда ҳам зарур бир сифатдир. Ҳар бир нарсани ёмонлик билан эмас, фақат яхшилик билан қарши олиш даражасига етган даъватчигина катта муваффақиятларга эришади. Аммо бу сифатга эришиш осон эмас.)
035_00	Унга фақат сабр қилганларгина эришур. Унга фақат улуғ насиба эгаси бўлганларгина эришур. (Сабр қилмаса, дарҳол ёмон сўзга ёмон сўз қайтаради. Ёмон ишга ёмон иш қайтаради. Бу эса, даъватчига ҳеч фойда бермайди. Аллоҳнинг динига даъват қилувчи шахс кишиларнинг ҳавои нафсларига, ўрганиб қолган одатларига, уларнинг шахсий манфаат деб ўйлаб юрган баъзи бир нарсаларига қарши гапириши керак.)
036_00	Агар сени шайтон васвасасидан бир васваса тутса, Аллоҳдан паноҳ сўра. Албатта, У зот ўта эшитгувчи ва ўта билгувчи зотдир. (Агар шайтон васвасага солиб, сени ёмонликларни яхшилик билан қайтаришан айнитмоқчи бўлса, Аллоҳ таолонинг Ўзидан паноҳ сўра. унга сиғин. У сени сақлайди. «Албатта, У зот ўта эшитувчи ва ўта билувчи зотдир». У ҳар бир муҳтожнинг илтимосини эшитади. Даъватчи буни яхши англаши лозим.)
037_00	Кечаю кундуз, қуёшу ой Унинг оят-белгиларидан. Бас, қуёшга ҳам, ойга ҳам сажда қилманглар.
037_01	Уларни яратган Аллоҳга сажда қилинг. Гар сиз Унгагина ибодат қилмоқчи бўлсангиз.
038_00	Агар улар мутакаббирлик қилсалар. Роббингнинг ҳузуридагилар Унга кечасию кундузи тасбиҳ айтурлар. Улар малол олмаслар.
039_00	Яна Унинг оят-белгиларидан, ерни қақраган ҳолда кўришингдир. Бас, Биз унинг устидан сув тушурсак, у қимирлар ва ўсадир.
039_01	Уни тирилтирган зот, албатта, ўликларни ҳам тирилтиргувчидир. Албатта, У зот ҳар бир нарсага қодирдир.
040_00	Албатта, оятларимиз ҳақида эгрилик қиладиганлар Бизга махфий бўлиб қолмаслар. Дўзахга ташланадиган одам яхшими ёки қиёмат куни омон ҳолида келадиган одамми?! Нимани хоҳласангиз, қилаверинг. Албатта, У зот нима қилаётганингизни кўриб тургувчидир. (Бу ояти карима Қуръони Карим мўъжизаси бўлиб, Аллоҳнинг биру борлиги ва чексиз қудратига далолат қилувчи борлиқдаги оят-белгиларга нисбатан эгрилик ила муносабатда бўлган одамларнинг аҳволини баён қилади. Аллоҳнинг оятлари ҳақида эгрилик қиладиганлар қиёмат куни дўзахга, тўғрилик қиладиганлар жаннатга кирадилар.
040_01	Хўш, улардан қайси бири яхши? Ҳамма нарса маълум ва очиқ-ойдин бўлди. Энди: Хоҳласангиз, қуёшга сажда қилинг. Хоҳласангиз, ойга сажда қилинг. Хоҳласангиз, Аллоҳнинг оятлари ҳақида куфр сўзлар айтинг. Ҳар бир ишингизни Аллоҳ таоло кўриб туради. Қиёматда амалингизга яраша жазолайди.)
041_00	Албатта, ўзларига Зикр келганда унга куфр келтирганлар... Албатта, У азиз китобдир.
042_00	Унинг олдидан ҳам, ортидан ҳам ботил келмас. У ўта ҳикматли ва ўта мақталган зотнинг туширганидир.
043_00	Сенга айтилаётган нарсаки бор, батаҳқиқ, сендан олдинги Пайғамбарларга ҳам айтилгандир. Албатта, Роббинг мағфират эгасидир ва аламли азоб эгасидир.
044_00	Агар Биз уни ажамийча Қуръон қилганимизда, албатта: «Унинг оятлари муфассал баён қилинганида эди. Арабийга ажамчами?!» дер эдилар. Сен: «У иймон келтирганлар учун ҳидоят ва шифодир.
044_01	Иймон келтирмайдиганларнинг қулоқларида оғирлик бордир. У улар учун кўрликдир. Улар узоқ макондан чақирилаётганлардир», деб айт. (Фаразан Қуръонни араб тилида эмас, бирор ажамий тилда нозил қилганимизда, кофир мушриклар бунга ҳам гап топар эдилар. Чунки, аслида, Қуръонга эргашиш ниятлари йўқ.)
045_00	Батаҳқиқ, Биз Мусога китобни бердик. Бас, у ҳақида ихтилоф қилинди. Агар Роббинг томонидан олдин сўз ўтмаганида, ораларида, албатта, ҳукм чиқариларди. Албатта, улар у ҳақда гумонли шакдадирлар. (Мусо алайҳиссаломнинг қавми Таврот ҳақида ихтилоф қилди. Баъзилари иймон келтирди. Баъзилари куфрга кетди. Худди Қуръонга нисбатан муносабатга ўхшаш муносабат бўлди. Агар Аллоҳ таоло қиёматда ҳисоб-китоб қилишга сўз бермаганида, китобига куфр келтирганларни, албатта, азобга дучор этар эди.)
046_00	Ким солиҳ амал қилса, ўзига фойда. Ким ёмонлик қилса, ўзига зарар. Роббинг бандаларга зулм қилгувчи эмас.
047_00	Соат (Қиёмат) илми Унинг Ўзигагина қайтарилур. Барча меваларнинг гулкосаларидан чиқиши ҳам, ҳар бир урғочининг нимага ҳомиладор бўлиши ҳам, нимани туғиши ҳам фақат Унинг илми ила бўлур.
047_01	У зот уларга: «Менинг шерикларим қани?!» деб нидо қиладиган кунда, улар: «Биз Сенга билдирамизки, бунга биздан бирорта гувоҳ йўқ», дерлар.
048_00	Ва улардан илгари илтижо қилиб юрган нарсалари ғойиб бўлди. Улар ўзларига қочар жой йўқлигига тўла ишондилар.
049_00	Инсон яхшилик тилашни ҳеч малол олмас. Агар уни ёмонлик тутса, у умидсиз тушкундир. (Бу дунёда инсон ўзига яхшилик тилашдан ҳеч тўхтамайди. Унга қанчалик кўп яхшилик етса, яна кўпроқ яхшилик келишини истайди, ҳеч малол олмайди. Аммо озгина зарар етса, қаттиқ хафа бўлиб кетади. Умидсизланиб тушкунликка тушади. Беш кунлик дунёнинг яхшилигига шунчалик қаттиқ ҳирс қўйган, ёмонлигидан шунчалик қўрққан инсон нима учун охиратнинг абадий азобидан қўрқмайди ва абадий яхшилигига қизиқмайди?!)
050_00	Агар Биз унга уни тутган зарардан сўнг Ўзимиздан раҳмат тоттирсак, албатта, у: «Бу меникидир. Мен (Қиёмат) соати қоим бўладир, деб ўйламасман.
050_01	Агар Роббимга қайтарилсам, албатта, мен учун Унинг ҳузурида гўзал (мукофот) бордир», дер. Бас, албатта, куфр келтирганларга қилган амаллари хабарини берурмиз. Албатта, уларга оғир азобдан тоттирурмиз.
051_00	Қачон инсонга неъмат берсак, у юз ўгирар ва ёнбоши ила узоқлашар. Қачон уни ёмонлик тутса, бас, у узундан-узоқ дуо эгасидир.
052_00	Сен: «Менга айтинглар-чи, агар у Аллоҳнинг ҳузуридан бўлса-ю, сиз унга куфр келтириб юрган бўлсангиз. Хўш, (ҳақдан) узоқ тортишувда бўлганлардан ҳам адашганроқ ким бор?!» деб айт.
053_00	Биз уларга ҳам уфқлардаги, ҳам ўз нафсларидаги оят-белгиларимизни кўрсатамиз. Токи уларга Унинг ҳақлиги равшан бўлсин. Сенинг Роббинг ҳар бир нарсага шоҳид эканлиги кифоя қилмасмиди?! (Дарҳақиқат, ўтган давр ичида Аллоҳ таоло одамларга уфқларда, атроф-жонибида кўплаб ажойиботларни англатиб қўйдики, ўша белгиларни ўрганган одамлар Қуръоннинг ҳақ илоҳий китоб эканини тан олиб, мусулмон бўлмоқдалар. Ершунос, осмоншунос, табиатшунос, ҳайвоншунос ва бошқа турли соҳа олимлари Аллоҳнинг уфқларидаги оят-белгиларини ўрганиб, Аллоҳ таолога иймон келтирмоқдалар. Шунингдек, инсоннинг ўзини ўрганган олимлар ҳам Қуръонни тан олмоқдалар.)
054_00	Огоҳ бўлинглар. Албатта, улар Роббиларига рўбарў бўлишдан шакдадирлар. Огоҳ бўлинглар. Албатта, У зот ҳар бир нарсани ихота қилгувчидир. (Унга рўбарў бўлишдан қочиб қаерга борадилар?)
