001_00	Сод. Зикр соҳиби бўлмиш Қуръон ила қасам.
017_00	Улар айтаётган нарсаларга сабр қил. Қувват соҳиби бўлган бандамиз Довудни эсла. Албатта, у ўта қайтгувчидир. (Яъни, ҳар бир нарсада Аллоҳга қайтувчидир-тавба қилувчидир. Тавбанинг луғавий маъноси ҳам қайтишдир.)
018_00	Албатта, Биз унга тоғларни бўйсундирдик. Улар у билан кечки пайту эрталаб тасбиҳ айтардилар.
019_00	Тўпланган ҳолдаги қушларни ҳам. Барчалари У зотга ўта қайтгувчилардир. (Аллоҳ таоло Довудга алайҳиссалом қушларни ҳам тўп-тўп қилиб, бўйсундириб қўйган эди. Улар ҳам у кишига қўшилиб, Аллоҳ таолога эртаю кеч тасбиҳ айтар эдилар.)
020_00	Ва Биз унга мулкини қувватли қилиб бердик ҳамда ҳикматни ва ҳал қилгувчи китобни бердик. (Биз Довудга Пайғамбарликни ҳам бердик. Яна унга талашиб-тортишганлар орасидаги жанжални ҳал қилиш ҳукмини бердик. У ҳеч иккиланмай ҳукм чиқарар эди.)
021_00	Сенга даъволашганларнинг хабари келдими? Ўшанда улар меҳробга чиқишган эди.
022_00	Ўшанда улар Довуднинг олдига киришган эди. Бас, у улардан қўрқиб кетди. Улар: «Қўрқма, булар–икки даъволашгувчи томон. Биз бир-биримизга зулм қилдик. Бас, орамизда ҳақ ила ҳукм чиқар.
022_01	Жабр қилма. Бизларни тўғри йўлга ҳидоят қил», дедилар. (Кутилмаганда, изнсиз, ман қилинган жойга девор ошиб кириб келишлари яхшилик аломати эмас эди. Мўмин одам Пайғамбарнинг ҳузурига бундай суратда кириб бормайди. Шунинг учун ҳам Довуд алайҳиссалом қўрқиб кетди. Кириб келганлар буни пайқаб, у кишини тинчлантиришга ҳаракат қилишди.)
023_00	«Мана бу менинг биродарим. Унинг тўқсон тўққизта совлиғи бор. Менинг эса, биргина совлиғим бор. Бас, у: «Уни ҳам менинг кафолатимга бер», деди ва сўзлашувда мендан устун чиқди».
024_00	У: «Дарҳақиқат, сенинг совлиғингни сўраб, ўз совлиқларига (қўшиш) билан сенга зулм қилибдир.
024_01	Албатта, кўп шериклар бир-бирларига зулм қилурлар.
024_02	Магар иймон келтириб, солиҳ амал қилганларгина (қилмаслар). Улар жуда ҳам оз», деди. Ва Довуд Биз уни синаганимизни билди-да, тезда Роббига истиғфор айтиб, саждага йиқилди ва тавба қилди.
025_00	Бас, Биз унинг ўша(хатоси)ни мағфират қилдик. Албатта, унинг учун ҳузуримизда яқинлик ва гўзал оқибат бордир.
026_00	Эй Довуд, албатта, Биз сени ер юзида халифа қилдик. Бас, одамлар орасида ҳақ ила ҳукм юрит.
026_01	Ҳавои нафсга эргашма! Яна у сени Аллоҳнинг йўлидан адаштирмасин. Албатта, Аллоҳнинг йўлидан адашадиганларга унутганлари учун ҳисоб кунида шиддатли азоб бордир.
027_00	Биз осмону ерни ва уларнинг орасидаги нарсаларни беҳуда яратганимиз йўқ. Бу куфр келтирганларнинг гумонидир. Бас, куфр келтирганлар учун дўзах(азоби)дан вой бўлсин!
028_00	Йўқ! Биз иймон келтириб, солиҳ амаллар қилганларни ер юзида бузғунчилик қилувчилар каби қилармидик?! Йўқ! Биз тақводорларни фожирлар каби қилармидик?!
029_00	Биз сенга нозил қилган Китоб муборакдир. Ақл эгалари унинг оятларини тадаббур қилишлари ва эслашлари учундир. (Қуръон оятларидан ақлли киши эслатма олади)
030_00	Ва Биз Довудга Сулаймонни ҳадя қилдик. У қандай ҳам яхши бандадир. Албатта, у ўта қайтгувчидир.
031_00	Эсла, бир оқшом унга гижинглаб турган учқур отлар кўрсатилди.
032_00	У: «Албатта, мен Роббимнинг зикридан кўра дунё ишқига берилиб кетиб, ҳатто(қуёш) парда ила беркинибди-ку!
033_00	Уларни менга қайтаринг!» деди. Сўнгра уларнинг оёқ ва бўйинларини «силай» бошлади! (Бир муддат зеҳнимни Аллоҳнинг зикридан чалғитгани учун бу отларни Аллоҳ йўлида қурбонлик қилай, деб бўйинлари ва оёқларини кеса бошлади.)
034_00	Батаҳқиқ, Биз Сулаймонни синадик. Унинг курсисига жасадни ташладик. Сўнгра у тавба қилди. (Ушбу ояти каримадаги зикр қилинган синов нимадан иборат? Курсига ташланган жасад нима эди? Бу саволга бошқа оятларда ҳам, Пайғамбаримизнинг (с. а. в.) суннатларида ҳам очиқ-ойдин жавоб йўқ. Шунинг учун ҳам турли асоссиз қисса ва ҳикоялар кўпайиб кетган.)
035_00	У: «Эй Роббим, мени мағфират қилгин ва менга ўзимдан кейин бирор кишига муяссар бўлмайдиган мулкни ҳадя этгин. Албатта, сен кўплаб атоларни бергувчисан», деди.
036_00	Бас, Биз унга шамолни бўйинсундирдик, у ирода қилган томонга майин эсаверади.
037_00	Яна барча бинокор ва ғаввос шайтонларни ҳам.
038_00	Ва бошқаларини ҳам кишанланган ҳолда тўплаб (бўйинсундирдик).
039_00	Бу Бизнинг ато этган нарсамиздир. Инъом эт ёки тутиб қол, ҳисоб йўқ.
040_00	Ва, албатта, унинг учун ҳузуримизда яқинлик ва гўзал оқибат бордир.
041_00	Бизнинг бандамиз Аййубни эсла. Ўшанда у Роббига нидо қилиб: «Албатта, мени шайтон машаққат ва азоб ила тутди», деди.
042_00	«Оёғинг ила тепгин! Бу чўмиладиган ва ичиладиган совуқ (сув)», (дейилди). (Яъни, оёғинг билан ерни тепгин, дейиди. Аййуб алайҳиссалом Аллоҳнинг амрига итоат этиб, оёғи билан ерни тепган эди, у ердан сув чиқди.)
043_00	Ва биз унга аҳлини ва яна улар билан бирга мислларичани ҳам ҳадя этдик. Бу Биздан раҳмат ўлароқ ва ақл эгаларига эслатма учун бўлди. (Аййубга алайҳиссалом мазкур сувда чўмилиб, ундан ичиб, шифо топганидан кейин Аллоҳ таоло у кишига аҳлини қайтарди. Улар билан бирга зиёда, яна ўшанча аҳл ҳам берди.)
044_00	«Қўлингга бир дастани ол-да, у билан ур. Қасамингни бузма», (дейилди). Биз уни сабрли топдик. У қандай ҳам яхши банда. Албатта, у ўта қайтгувчидир. (Эй Аййуб, неча марта уришни айтган бўлсанг, ўшанча новдани бир даста қилиб ол-да, у билан хотинингни ур. Шунда қасамингни адо этган бўласан. Қасаминг бузилмайди.)
045_00	Қўллар ва кўзлар соҳиблари бўлган бандаларимиз Иброҳим, Исҳоқ ва Яъқубларни эсла.
046_00	Албатта, Биз уларни холис бир хислат-ла ажратдик. У (охират) диёрини эслаш эди.
047_00	Албатта, улар Бизнинг ҳузуримизда танланган ахёрлардандир.
048_00	Исмоил, ал-Ясаъ ва Зул-Кифлни ҳам эсла. Барчалари ахёрлардандир. (Бу уч Пайғамбар ҳаётида эслашга лойиқ ибратли ҳодисалар бўлиб ўтган. Улар ҳам Аллоҳнинг ҳузурида энг яхши бандалардан.)
049_00	Бу эслатмадир. Албатта, тақводорлар учун гўзал оқибат.
050_00	Улар учун эшиклари очиқ адн жаннатлари бордир.
051_00	У ерда ёнбошлаган ҳолларида ундаги кўплаб мевалар ва шароблардан чақирарлар.
052_00	Уларнинг ҳузурида кўзларини (номаҳрамдан) тийган тенгдош (ҳур)лар бордир.
053_00	Бу сизга ҳисоб куни учун ваъда этилган нарсалардир.
054_00	Албатта, бу Бизнинг (берадиган) ризқимиздир. Унинг ъеч тугаши йщқдир.
055_00	(Иш) бундайдир. Албатта, туғёнга кетгувчилар учун ёмон оқибат.
056_00	Жаҳаннам бордир. Унга кирурлар. Бас, у қандай ҳам ёмон ётоқ!
057_00	Мана буни татиб турсинлар, қайноқ сув ва йирингни!
058_00	Ва бошқа унинг шаклидаги қўша-қўша(азоб)ларни ҳам.
059_00	«Мана бу гуруҳ ҳам сиз билан бирга бостириб киргувчидир. Уларга марҳабо йўқ. Улар, албатта, жаҳаннамга киргувчилардир», (дейюлур).
060_00	Улар: «Йўқ! Ўзингизга марҳабо йўқ! Сизлар ўша (жаҳаннам)ни бизга тақдим қилдингиз! Бас, у нақадар ёмон қароргоҳ!» дерлар.
061_00	Улар: «Эй Роббимиз, бизга бу(жаҳаннам)ни ким тақдим этган бўлса, унга дўзахда икки баробар азобни зиёда қил!» дерлар. (Охиратдаги бу тортишув кофир пешволар ва уларнинг атбоълари орасида бўлади. Пешволар ўзлари адашиб, бошқаларни ҳам адаштирганлари учун икки баробар азобга қоладилар.)
062_00	Улар: «Бизга нима бўлди? Ёмонлардан ҳисоблаб юрган кишиларимизни кўрмаяпмиз?
063_00	Биз уларни масхара қилиб олган эдикми?! Ёки кўзлар улардан тойдими?!» дерлар.
064_00	Албатта, мана шу ҳақдир–дўзах аҳлининг ўзаро тортишувидир. (Ушбу оятларда зикр қилинганлар ҳақдир. Булар дўзах аҳлининг ўзаро тортишувидир. Бу нарса, албатта, бўладиган ишдир.)
065_00	Сен: «Мен фақат огоҳлантиргувчиман, холос. Ҳеч бир ибодатга сазовор зот йўқдир, магар ягона ва ўта қаҳрли Аллоҳгина бор.
066_00	У осмонлару ернинг ва уларнинг орасидаги нарсаларнинг Робби, Азизу Ғаффордир», деб айт.
067_00	«Бу улуғ бир хабардир.
068_00	Сиз бўлсангиз, ундан юз ўгирмоқдасиз.
069_00	Менинг олий тўплам ҳақида улар тортишаётганларида ҳеч билимим бўлмаган эди. (Эй мушриклар, бу Қуръон ва Пайғамбарлик шаъни сиз ўйлаётгандек оддий ва жўн эмас. У менинг шахсимга ҳам боғлиқ эмас. Олий тўпламда (фаришталар оламида) бу ҳақда ўзаро тортишувлар бўлаётганида менинг у ҳақда ҳеч нарса билмас эдим.)
070_00	Менга фақат ўзимнинг очиқ-ойдин огоҳлантиргувчи эканлигимгина ваҳий этилур», деб айт.
071_00	Эсла! Ўшанда Роббинг фаришталарга: «Албатта, мен лойдан башар яратгувчидирман.
072_00	Бас, қачонки уни ростлаб, ичига руҳимдан пуфлаганимда, унга сажда қилиб йиқилинглар!» деган эди.
073_00	Бас, фаришталар барчалари жамланиб, сажда қилдилар.
074_00	Магар Иблисгина мутакаббирлик қилди ва кофирлардан бўлди.
075_00	У зот: «Эй Иблис, Ўз қўлим билан яратган нарсага сажда қилишингдан сени нима ман қилди?! Мутакаббирлик қилдингми?! Ёки олий даражалилардан бўлдингми?!» деди.
076_00	У: «Мен ундан яхшиман. Мени оловдан яратгансан. Уни лойдан яратгансан», деди.
077_00	У зот: «Сен ундан чиқ! Бас, албатта, сен қувилгансан.
078_00	Ва, албатта, сенга жазо кунигача Менинг лаънатим бўлгай», деди.
079_00	У: «Эй Роббим, менга улар қайта тирилтирилажак кунгача муҳлат бергин!» деди.
080_00	У зот: «Сен муҳлат берилганлардансан.
081_00	Маълум вақтли кунгача», деди.
082_00	У: «Сенинг иззатинг ила қасамки, мен уларнинг барчасини иғво қиламан.
083_00	Магар улардан танланган бандаларинггина (мустаснодир)», деди.
084_00	У зот: «Ҳақ шулки, Мен фақат ҳақни айтурман.
085_00	Албатта, Мен жаҳаннамни сен ва улардан сенга эргашганлар билан жамлаб тўлдирурман», деди.
086_00	Сен: «Мен унинг учун сиздан ҳеч ажр-ҳақ сўрамасман. Мен сохтакорлардан ҳам эмасман.
087_00	У (Қуръон) фақат оламлар учун эслатма, холос.
088_00	Албатта, унинг хабарини бир муддатдан сўнг билурсиз», деб айт.
