001_00	Алиф. Лам. Мийм.
050_00	Бас, Роббинг раҳмати асарларига назар сол. У ерни ўлиб ётганидан кейин қандай тирилтиради?! Албатта, У зот ўликларни ҳам тирилтиргувчидир ва У ҳар бир нарсага қодирдир.
051_00	Агар Биз бир шамол юбориб, улар (экинларини) сарғайган ҳолда кўрсалар, ундан кейин, албатта, куфрони неъмат қилишга ўтарлар. (Аллоҳ иссиқ шамол эсдириб, экинларини сарғайтириб қўйса, Аллоҳга ва Унинг қазои қадарига ишонмайдиганлар ноумид бўлиб, куфрони неъмат қиладилар.)
052_00	Албатта, сен ўликка эшиттира олмассан ва даъватни ортларига бурилиб кетаётган карларга эшиттира олмайссан.
053_00	Сен кўрларни гумроҳликларидан ҳидоят қилгувчи эмассан. Сен фақат Бизнинг оятларимизга иймон келтирганларгагина эшиттира олурсан. Ана ўшалар мусулмонлардир.
054_00	Аллоҳ сизни заифликда яратган, сўнгра заифликдан кейин қувватли қилган, сўнгра қувватдан кейин яна заифлик ва қарилик ориз қилган зотдир. У хоҳлаганини яратур. У ўта илмли ва ўта қудратлидир. (Асли уруғларингиз нутфа деб аталмиш бир томчи жирканч сувдир. У жуда ҳам заиф нарса. Аллоҳ Ўз инояти ила ўша заиф сувдан ҳомила пайдо қилади. Ҳомила ҳам жуда заиф бўлади.
054_01	Туғилган чоғида ҳам инсон боласи энг заиф бола бўлади. Узоқ йиллар ўзи мустақил равишда бирор иш қила олмайди. Шундай заиф одамни Аллоҳ «сўнгра заифликдан кейин қувватли қилган»дир. Аллоҳдан ўзга ҳеч ким унга бу қувватни бермайди. Вақти-соати етиб инсон қариб куч-қувватдан кетади. Дунё ана шундай. Ундаги ҳамма нарса ўзгариб туради. Бу ўзгаришларнинг ҳаммасини Аллоҳ таоло бажаради.)
055_00	Қиёмат қоим бўладиган куни жиноятчилар бир соатдан бошқа турмаганлари ҳақида қасам ичурлар. Улар ана шундай ўгрилар эдилар. (Улар ёруғ дунёда бир соатдан ортиқ турмаганлари ҳақида қасам ичадилар. Агар кўпроқ турганларида, иймон келтиришлари мумкинлигини пеш қилмоқчи бўладилар.)
056_00	Илм ва иймон берилганлар: «Батаҳқиқ, Аллоҳнинг китоби бўйича қайта тирилиш кунигача турдингиз.
056_01	Бас, бугун қайта тирилиш кунидир. Лекин сизлар билмас эдингиз», дерлар.
057_00	Бас, бугунги кунда зулм қилганларга маъзиратлари манфаат бермас ҳамда улар итобга ҳам қайтарилмаслар. (Ортга қайтсак, Аллоҳ рози бўладиган ишларни қилар эдик, деб ёлборсалар ҳам, қайтарилмайдилар.)
058_00	Батаҳқиқ, Биз ушбу Қуръонда одамлар учун турли мисоллар келтирдик. Аниқки, агар сен уларга оят-мўъжиза келтирсанг ҳам, куфр келтирганлар: «Сиз ботилчилардан ўзга эмассиз», дерлар.
059_00	Аллоҳ билмайдиганларнинг қалбларини ана шундай қилиб муҳрлар.
060_00	Бас, сабр қил. Албатта, Аллоҳнинг ваъдаси ҳақдир. Собит иймон келтирмаганлар сени енгилтакликка бошламасинлар. (Иймонсиз ва иймони заифлар қачонгача сабр қиламиз, сабрнинг охири борми, дея безовталаниб, иғволари билан сени енгилтакликка бошламасинлар.)
