001_00	Тоҳо.
052_00	У: «Уларнинг илми Роббим ҳузурида, китобдадир. Роббим адашмас ва унутмас. (Яъни, ўтган асрлар ҳақидаги барча илм Роббим ҳузуридаги китобда ёзилгандир. Қанча асрлар ўтиб, қанча одамлар яшаб, нима ишлар қилган бўлсалар, ҳамма-ҳаммаси Роббим ҳузурида турибди, китобда ёзилган. Шунга қараб жазолайди ёки мукофотлайди.)
053_00	У сизга ерни бешик қилган, сизга унда йўллар очган ва осмондан сув туширган зотдир», деди. Бас, ўша (сув) ила турли набототлар жуфтларини чиқардик.
054_00	Енглар ва чорваларингизни боқинглар. Албатта, бунда ақл эгалари учун ибратлар бордир.
055_00	Сизларни ундан яратдик, унга қайтарамиз ва яна бир бор ундан чиқариб оламиз. (Яъни, Биз сизларни ердан яратдик, ўлганингиздан сўнг яна унга қайтарамиз. Қиёмат куни эса, сизларни қайта тирилтириб, ердан чиқариб оламиз. Эй Фиръавн, сен ҳам одамсан, сенинг ҳам бошингга шу кун тушади.)
056_00	Батаҳқиқ, Биз унга оят-мўъжизаларимизнинг ҳаммасини кўрсатдик. Бас, у ёлғонга чиқарди ва бош тортди.
057_00	У: «Эй Мусо, бизни еримиздан чиқариш учун сеҳринг ила келдингми?!
058_00	Бас, албатта, биз ҳам унга ўхшаш сеҳр келтирамиз, биз билан ўзинг орангда ваъда вақти тайин қил, унга биз ҳам, сен ҳам хилоф қилмайдиган бўлайлик, ўрта жой бўлсин«, деди.
059_00	У: «Ваъда вақтингиз зийнат куни. Одамларнинг чошгоҳда тўпланиши», деди. (Мисрликларнинг «зийнат куни» катта байрами бўлиб, унда барча халойиқ зийнатли кийимлар кийиб чиқар эдилар. Мусо алайҳиссалом ҳамма гувоҳ бўлсин деб зийнат кунини танладилар.)
060_00	Бас, Фиръавн қайтиб кетди, сўнгра ҳийласини йиғиб келди. (Ояти карима, учта ҳолатни тасвир этмоқда. Фиръавн Мусо алайҳиссалом билан бўлган учрашувдан қайтиб кетди. Кейин ҳийласини йиғди–ҳамма кучли сеҳргарларини тўплади. Сўнгра яна қайтиб келди. Тортишув, мусобақага тайёргарлик ниҳоясига етди.)
061_00	Уларга Мусо: «Ҳолингизга вой! Аллоҳга нисбатан ёлғон уйдирманг, бас, сизни азоб ила бутунлай ҳалок қилур. Батаҳқиқ, ким ёлғон уйдирса, ноумид бўлур», деди.
062_00	Бас, улар ишлари ҳақида ўзаро аста шивирлашиб, мунозара қила бошладилар.
063_00	Улар: «Албатта, бу иккови сеҳргардирлар. Сизни сеҳрлари билан ерларингиздан чиқаришни ва сизнинг афзал йўлингизни йўқотишни хоҳлайдилар.
064_00	Бас, макр-ҳийлангизни жамлаб, бир саф бўлиб келинг. Батаҳқиқ, бугунги кунда ким устун келса, ўша ғолиб бўладир», дедилар.
065_00	Улар: «Эй Мусо, сен ташлайсанми ёки биз аввал ташловчи бўлайликми?» дедилар.
066_00	У: «Йўқ. Сизлар ташланг», деди. Бирдан уларнинг арқонлари ва асолари унга сеҳрларидан худди ҳаракатланаётгандек бўлиб кўринди.
067_00	Бас, Мусо ичида хавф ҳис этди.
068_00	Биз: «Қўрқма, албатта, сен устунсан.
069_00	Қўлингдаги нарсани ташлагин, уларнинг қилган ҳунарини ютиб юбораур. Уларнинг қилган ҳунари сеҳргарнинг ҳийласи, холос. Сеҳргар қаерда бўлса ҳам, зафар топмас», дедик. (Фиръавнлар ва уларнинг гумашталари-сеҳргарлари доимо ҳийла-найранглар ила халқнинг кўзини бўяб келганлар. Уларнинг ботили ҳақ кўринмаган пайтда ўтади, холос. Ҳақ келганида, ботил йўқ бўлади. Сен Роббингдан ҳақ келтирдинг, энди уларнинг ботили йўқолади. Аллоҳ таолонинг амри ила Мусо алайҳиссалом қўлларидаги асони ерга ташладилар. У сеҳргарларнинг ҳунарини ютиб юборди.)
070_00	Бас, сеҳргарлар: «Ҳорун ва Мусонинг Роббига иймон келтирдик», деб саждага ташландилар.
071_00	У: «Сизга изн бермасимдан олдин унга иймон келтирдингизми?! Албатта, у сизга сеҳр ўргатган каттангиздир! Бас, албатта, қўл-оёқларингизни қарама-қаршисидан кесурман ва, албатта, сизларни хурмо танасига осурман, албатта, қайси биримизнинг азобимиз шиддатлироқ ва боқийроқ эканини билурсиз», деди. (Фиръавн ўз қаричи билан ўлчар эди.
071_01	У таҳдид, азоб-уқубат, қийнаш, чопиш-кесиш, ўлдириш билан одамларни измимда ушлаб тураман, деб хаёл қиларди. Аммо инсоннинг қалбига ҳақиқий иймон кирганида, унинг бу чоралари заррача ҳам таъсир қилмай қолишини англамасди. Унинг собиқ сеҳргарлари қалбига ана шундай иймон жо бўлган эди. Энди улар Фиръавннинг ҳеч қандай дўқ-пўписаларидан қўрқмасдилар.)
072_00	Улар: «Биз сени зинҳор ўзимизга келган очиқ-ойдин (мўъжиза)лардан ва бизни яратган зотдан устун қўймаймиз. Бас, нима ҳукм қилсанг, қилавер. Сен фақат ҳаёти дунёда ҳукм чиқарасан, холос.
073_00	Албатта, биз Роббимиз хатоларимизни ва сен бизни мажбур қилган сеҳрни мағфират қилиши учун иймон келтирдик. Аллоҳ яхши ва боқийдир», дедилар.
074_00	Шубҳасиз, ким Роббига жиноятчи бўлган ҳолида келса, албатта, унга жаҳаннам бордир. У ерда у ўлиб ўлмас, яшаб яшамас.
075_00	Ким Унга мўмин ўлароқ, яхши амаллар қилган ҳолида келса, бас, ана ўшаларга олий даражалар.
076_00	Остидан анҳорлар оқиб турган адн жаннатлар бордир. Унда абадий қолурлар. Ана шу пок бўлганнинг мукофотидир.
077_00	Батаҳқиқ, Биз Мусога: «Сен бандаларим ила кечаси йўлга туш, уларга денгиздан қуруқ йўл оч, етиб олишларидан хавф қилма ва қўрқма», деб ваҳий қилдик. (Мусо алайҳиссалом Аллоҳ таолонинг амрини амалга оширди. Бани Исроил билан кечаси йўлга чиқдилар. Денгизга бордилар, асолари билан уриб, йўл очдилар. Аллоҳнинг амри ила денгиз иккига ёрилиб, қуруқ ер–йўл очилди. Бани Исроил эсон-омон ўтиб олди.)
078_00	Бас, Фиръавн аскарлари ила уларнинг ортидан таъқиб этди. Денгиз уларни ўраганича ўраб олди.
079_00	Фиръавн ўз қавмини адаштирди, тўғри йўлга бошламади. ( Худога эмас, фиръавнларга эргашганлар доимо шундай оқибат топадилар. Аллоҳ таоло Фиръавн ва аскарларини ғарқ этиб, Бани Исроилни зулм, жабр-ситамдан озод қилди.)
080_00	Эй Бани Исроил, батаҳқиқ, Биз сизни душманингиздан қутқардик ва сиз билан Турнинг ўнг томонини ваъдалашдик ҳамда сизларга манн ва бедана туширдик. (Аллоҳ таоло ушбу ояти каримада Бани Исроилга уч турлик неъматини эслатмоқда.)
081_00	Биз сизга ризқ қилиб берган пок нарсалардан енглар, унда ҳаддингиздан ошманг, яна бошингизга ғазабим тушиб қолмасин. Кимнинг бошига ғазабим тушса, бас, батаҳқиқ, ҳалок бўлибдир.
082_00	Албатта, Мен тавба қилган, иймон келтириб, яхши амал қилган, сўнгра тўғри юрганларни кўплаб мағфират қилгувчиман.
083_00	Эй Мусо, сени қавмингдан нима илгарилатди?
084_00	У: «Улар, ана, изимдалар. Рози бўлишинг учун Мен сенга шошдим, эй Роббим», деди.
085_00	У зот: «Батаҳқиқ, Биз қавмингни сендан кейин фитнага дучор қилдик. Сомирий уларни адаштирди», деди. (Бани Исроилга ҳурлик оғир келди, уни кўтара олмади. Жумладан, энг нозик ва аҳамиятли масала–иймон-эътиқод масаласида ҳам. Мусо алайҳиссалом илк бор тарк этишлари биланоқ залолатга кетдилар. Сомирийга эргашиб, бузоқнинг ҳайкалини худо қилиб олдилар.)
086_00	Бас, Мусо қавмига ғазабланган, афсусланган ҳолда қайтди. У: «Эй қавмим, Роббингиз сизга яхши ваъда қилмаганмиди?!
086_01	Сизларга замон узоқ кўриндими ёки бошингизга Роббингиздан ғазаб тушишини хоҳладингизми?! Менга берган ваъдага хилоф қилибсиз?!» деди.
087_00	Улар: «Биз сенга берган ваъдага ўз ихтиёримиз ила хилоф қилмадик. Лекин бизга (у) қавмнинг зийнатидан оғирликлар юкланган эди. Бас, уларни ташладик, Сомирий ана шундай илқо қилди», дедилар. (Тақинчоқларни оловли чуқурга ташлашган экан, Сомирий уларни эритиб, бузоқ шаклига солиб, мана шу сизларнинг худоингиз, унга ибодат қилинглар, деса, ибодат қилиб кетаверишибди. Уларнинг фикрича, бу ихтиёрларидан ташқари иш эмиш!)
088_00	Бас, у (Сомирий) уларга бўкирадиган бузоқ шаклини чиқариб берди. Улар: «Мана шу сизнинг илоҳингиз ва Мусонинг ҳам илоҳи, фақат у унутди», дедилар. (Сомирий уларга тилла тақинчоқлардан овоз чиқарадиган бузоқ ҳайкали ясаб, шу ҳайкал сизнинг илоҳингиз, Пайғамбаримиз Мусо бизга буни айтмади, деган хаёлга борманг. Мусонинг илоҳи ҳам шу бузоқ. Аммо, Мусо буни унутиб қўйиб, тоққа излаб чиқиб кетди, деди. Улар бу гапни такрорладилар.)
089_00	Унинг ўзларига бирон сўз қайтара олмаётганини, на зарар ва на фойдага молик бўла олмаётганини кўрмаяптиларми?!
090_00	Батаҳқиқ, илгари Ҳорун уларга: «Эй қавмим, бу билан фитнага дучор қилиндингиз, холос. Шубҳасиз, Роббингиз Роҳмандир. Бас, менга эргашинг. Менинг амримга итоат қилинг», деган эди.
091_00	Улар: «То Мусо бизга қайтгунича, унга ибодат қилишда бардавом бўламиз», дедилар.
092_00	У: «Эй Ҳорун, уларнинг залолатга кетганларини кўрганингда сени нима ман қилди?!
093_00	Менга эргашишингдан?! Менинг амримга осий бўлдингми?!» деди.
094_00	У: «Эй онамнинг ўғли, соч-соқолимдан тутма. Мен сенинг: «Бани Исроилни тафриқага солибсан, гапимга кирмабсан, дейишингдан қўрқдим», деди.
095_00	У: «Бу нима қилганинг, эй Сомирий?!» деди.
096_00	У: «Улар кўрмаган нарсани кўрдим. Бас, Расулнинг изидан бир сиқим олдим, сўнгра уни ташладим. Ҳавои нафсим менга шундай қилишни хуш кўрсатди», деди. (Сомирийнинг Бани Исроил кўрмаганини кўргани–Жаброилнинг алайҳиссалом ҳаёт отига миниб келишлари. «Расул»дан мурод Жаброил алайҳиссалом. Изидан олинган бир сиқим эса, Жаброил алайҳиссалом миниб келган отнинг туёғи тагидан олинган тупроқ. У тупроқни сочган жойи эса, Бани Исроилнинг зеб-зийнатлари тўплаб қўйилган жой. Сомирий ана шу ишларни қилганида зийнатлар бузоққа айланиб, ундан овоз чиқадиган бўлибди. Мен ҳеч нарса қилганим йўқ, ёмон ниятим ҳам йўқ эди, кўнглимга тушган ишни қилсам, ўзларидан ўзлари эргашиб кетишаверди, демоқчи бўлди.)
097_00	У: «Бас, жўна! Кет! Энди сенга бу ҳаётда «тегиш йўқ» дейишинг бор, холос. Албатта, сенга хилоф қилмайдиган ваъдамиз бор.
097_01	Ўзинг ибодатида бардавом бўлган илоҳингга назар солиб қўй. Биз уни, албатта, куйдирурмиз, сўнгра денгизга сочиб юборурмиз. ( Бани Исроилда, «тегиш йўқ» номли қувғин жазоси бор эди. Ўша жазога маҳкум бўлган шахс билан ҳеч ким алоқа қилмас, ҳатто гаплашмас ҳам эди. У ёлғизлик азобида ўлиб кетар эди.)
098_00	Албатта, сизнинг илоҳингиз Аллоҳдир, холос. Ундан ўзга ибодатга сазовор зот йўқдир. У барча нарсани ўз илми билан қамраб олгандир.
099_00	Шундай қилиб, сенга ўтган нарсалар хабарини қисса қилиб берурмиз. Батаҳқиқ, сенга ўз тарафимиздан зикрни бердик. (Яъни, Мусо қиссасини айтиб берганимиздек, бошқаларнинг хабарини ҳам қисса қилиб берамиз.)
100_00	Ким ундан юз ўгирса, албатта, у қиёмат куни (гуноҳ) юкини кўтарур.
101_00	Унда абадий қолурлар. Қиёмат кунида уларнинг юки қандай ҳам ёмон бўлди.
102_00	У кун сурга пуфланадиган кундир. Ўша кунда жиноятчиларни кўзлари кўк бўлган ҳолда тўплармиз. (Kиёматнинг келганини билдириб, сур чалинади. Ўша қиёмат кунида кофирлар-жиноятчиларни Аллоҳ таоло қўрқувдан юзлари қорайиб, кўзлари кўкариб кетган кетган ҳолларида маҳшарга жамлайди.)
103_00	Улар ўзаро: «Ўн кундан ортиқ турганингиз йўқ», дея шивирлашади.
104_00	Биз нима деяётганларини яхши билгувчимиз. Ўшанда уларнинг энг тўғри йўлдагиси: «Бир кундан ортиқ турганимиз йўқ», дейдир. (Демак, охират азобларини кўрган кофирлар гарчи бу дунёда узоқ йиллар роҳат-фароғатда кун кечирган бўлсалар ҳам, яшаган муддатлари оз кўриниб кетади.)
105_00	Сендан тоғлар ҳақида сўрарлар. Бас: «Роббим уларни мутлақо совуриб юборажак.
106_00	Сўнг уларни теп-текис ҳолга келтирур.
107_00	У ерда чуқур ҳам, дўнг ҳам кўрмассан.
108_00	У кунда чорловчига эргашурлар. Ундан бурилиш йўқ. Овозлар Роҳман (ҳайбати)дан жим қолмиш. Пичирлашдан бошқа нарса эшитмассан. (Ҳаммаёқ теп-текис. Ҳамма жим ҳолда бўйин эгиб, маҳшарга чорловчига эргашишдан бошқа нарсани билмайди.)
109_00	У кунда Роҳман унга изн берган ва сўзидан рози бўлганлардан бошқанинг шафоати фойда бермас.
110_00	У уларни олдиларидаги нарсаларни ҳам, орқаларидаги нарсаларни ҳам билур. Улар эса, уни илм ила иҳота қила олмаслар. (Аллоҳ таоло бандаларнинг келажагини ҳам ўтмишини ҳам билади. Илмнинг барчаси Аллоҳникидир. Одамлар эса ҳеч нарса билмаслар.)
111_00	Бутун юзлар тирик ва доим турувчи зотга бош эгмиш. Батаҳқиқ, ким зулм кўтарган бўлса, ноумид бўлмиш.
112_00	Ким мўмин ҳолида яхши амаллардан қилган бўлса, зулмдан ҳам, нуқсондан ҳам қўрқмас», деб айт.
113_00	Шундай қилиб, Биз уни арабий Қуръон этиб нозил этдик. Шоядки тақво қилсалар ёки уларда эслаш пайдо қилса, деб унда қўрқинчли ваъдаларни баён қилдик. (Ушбу арабий Қуръонда кўплаб қўрқинчли ваъдаларни ҳам баён этдик. Бундан мақсадимиз, шояд одамлар тақво қилсалар, куфр ва ёмонликлардан сақлансалар, қўрқинчлик ваъдалардан эслатма олсалар.)
114_00	Ҳақ Подшоҳ–Аллоҳ олий бўлди. Сенга ваҳийи битгунча Қуръон (тиловати)га ошиқма ва: «Роббим, илмимни зиёда қилгин», дегин. (Пайғамбаримиз (с. а. в.) унутиб қўйишдан хавфланиб, ваҳий тушган пайтида Қуръони Карим оятларини Жаброилга алайҳиссалом қўшилиб, ўқиб турар эдилар. Бу эса, қийинчилик туғдирарди. Яъни, эй Муҳаммад, Жаброил ваҳийни сенга охиригача ўқиб бермагунича, Қуръонни тиловат қилиб, оятларни ўқишга шошилма. Олдин Жаброил тўлиқ ўқиб берсин, кейин сен ўқийсан.)
115_00	Батаҳқиқ, илгари Биз Одам билан аҳдлашган эдик. Лекин у унутди. Унда азму қарор топмадик. (Биз қадимда Одам билан буйруққа бўйсуниш–дарахтдан емаслик ҳақида аҳдлашган эдик. Аммо Одам аҳдни унутди ва дарахтдан еб қўйди. У шайтоннинг иғвосига сабр қила олмади. Азму қарорида турмади.)
116_00	Биз фаришталарга: «Одамга сажда қилинг», деганимизда, улар сажда қилдилар. Магар Иблис бош тортди.
117_00	Бас, Биз: «Эй Одам, албатта, бу сенга ва жуфтингга душмандир. Яна у икковингизни жаннатдан чиқариб, бадбахт бўлиб қолмагин.
118_00	Албатта, сен у ерда оч-яланғоч қолмассан. (Яъни, жаннатда доимо сенинг қорнинг тўқ, устинг бут бўлади.)
119_00	Албатта, сен у ерда ташна ҳам бўлмассан, иссиқда ҳам қолмассан», дедик.
120_00	Бас, шайтон уни васваса қилди. У: «Эй Одам, мен сенга абадият дарахтини ва битмас-туганмас мулкни кўрсатайми?» деди. ( Роббинг манави дарахт мевасидан ейишингни ман қилган бўлса, сенинг абадий яшашингни, мулкинг бардавом бўлишини хоҳламаганидандир, бу дарахтнинг мевасидан есанг, ҳеч ўлмайсан, мулкинг йўқолмайди, деди.)
121_00	Бас, икковлари ундан едилар. Кейин, авратлари ўзларига очилиб қолиб, ўзларини жаннат барглари билан тўса бошладилар. Одам Роббига осий бўлди ва йўлдан озди.
122_00	Сўнгра Робби уни танлаб олди, бас, тавбасини қабул қилди ва ҳидоятга бошлади.
123_00	У зот: «Ҳаммангиз бир-бирингизга душман ҳолда ундан тушинг. Агар Мен томонимдан сизга ҳидоят келганида, ким ҳидоятимга эргашса, адашмас ва бадбахт бўлмас.
124_00	Ким Менинг зикримдан юз ўгирса, албатта, унга торчилик ҳаёти бўлур ва қиёмат куни уни кўр ҳолида тирилтирурмиз», деди.
125_00	У: «Эй Роббим, нима учун мени кўр ҳолда тирилтирдинг. Ахир, кўрувчи эдим-ку!» деди.
126_00	У зот: «Шундай. Сенга оятларимиз келди. Сен эса, уларни унутдинг? Шунингдек, сен ҳам бугун унутиурсан», деди.
127_00	Исроф қилган ва Робби оятларига иймон келтирмаганларни ана шундай жазолайрмиз. Охират азоби, албатта, ашаддийроқ ва боқийроқдир.
128_00	Улардан илгари уларнинг масканларида юрган асрлардан қанчадан-қанчасини ҳалок қилганимиз ҳам ҳидоят қилмадими? Албатта, бунда ақл эгалари учун ибратлар бордир.
129_00	Агар Роббингдан сўз ўтиб қолмаганида ва номланган ажал бўлмаганида, албатта, (азоб) лозим бўлар эди.
130_00	Бас, улар айтаётган нарсаларга сабр қил. Роббингга қуёш чиқишидан олдин ва ботишидан олдин тасбиҳ ва ҳамд айт. Шунингдек, кечанинг бир қисмида ва кундузнинг атрофида ҳам тасбиҳ айт. Шоядки рози бўлсанг. (Эй Муҳаммад, шундай экан, кофир ва мушрикларнинг нохуш гап-сўзларига, сўкишларига, иғво-бўҳтонларига сабр қил.
130_01	Доимо Роббингга тасбиҳу ҳамд айт. Қуёш чиқишидан олдин ҳам, қуёш ботишидан олдин ҳам Роббингга тасбиҳ ва ҳамд айт. Кечанинг бир қисмида ҳам Роббингга тасбиҳ айт, кундузнинг атрофида ҳам. Намоз ўқи. Албатта, рози бўласан. Роббинг ҳам сендан рози бўлади.)
131_00	Кўзларингни уларни синаш учун айримларига баҳраманд қилиб берганимиз ҳаёти дунёнинг турли зийнатларига тикма. Роббингнинг ризқи яхши ва боқийдир.
132_00	Аҳлингни намозга амр эт ва ўзинг унга сабр қил. Биз сендан ризқ сўрамасмиз. Биз сенга ризқ берурмиз. Оқибат тақвоникидир.
133_00	Улар: «Бизга Роббидан оят-мўъжиза келтирса эди», дейдилар. Ахир, уларга аввалги саҳифалардаги нарсаларнинг баёноти келмадими? (Кофир ва мушриклар, Муҳаммад Роббидан бир лол қолдирувчи мўъжиза келтирса эди, дейдилар. Ахир, Қуръонда аввалги умматларга келган нарсаларнинг баёни келди-ку. Шу уларга кифоя қилмайдими?)
134_00	Агар Биз уларни у(келиши)дан олдин азоб-ла ҳалок қилганимизда эди, албатта: «Эй Роббимиз, бизга Пайғамбар юборганингда эди, хору зор ва шарманда бўлишимиздан олдин оятларингга эргашган бўлар эдик», дердилар.
135_00	Сен: «Барча кутгувчидир. Бас, кутинглар. Албатта, кимлар тўғри йўл соҳиблари ва кимлар ҳидоят топганини билурсизлар», деб айт. (Пайғамбаримизга (с. а. в.) қилинган бу хитоб доимо янгиланиб туради.)
