001_00	То. Сийн. Ушбулар Қуръон-очиқ китоб оятларидир.
025_00	Осмонлару ердаги сирларни ошкор қиладиган, махфий ва ошкор қилган нарсаларингизни биладиган Аллоҳга сажда қилмайдиларми?!
026_00	Аллоҳ–Ундан ўзга ҳеч қандай илоҳ йўқ зотдир. У улуғ аршнинг Роббидир», деди.
027_00	У: «Кўрамиз, рост сўзладингми ёки ёлғончилардан бўлдингми?
028_00	Бу мактубимни олиб бориб, уларга ташла, сўнгра четга чиқиб назар сол-чи, нима қайтарарлар», деди.
029_00	У (Малика): «Эй аъёнлар! Менга кароматли бир мактуб ташланди. (Малика аъёнларига мактуб ҳақида хабар бериши унинг ўз одамлари билан маслаҳатлашиб иш кўришига далолат қилади. Шу билан бирга, малика ўзи сезган белгилар асосида мактубнинг кароматли эканини айтмоқда.)
030_00	Албатта, у Сулаймондандир, албатта, унда: «Бисмиллаҳир роҳманир роҳийм.
031_00	Менга қарши бош кўтармай, таслим бўлган ҳолингизда келинг», дейилмишдир», деди.
032_00	У: «Эй аъёнлар! Менга бу ишимда фатво беринглар. Сизлар шоҳид бўлмагунингизча, мен бир ишга қатъий қарор қилмасман», деди.
033_00	Улар: «Биз куч-қувват эгаларимиз ва шиддатли азму шижоат эгаларимиз. Иш ўзингга ҳавола. Нима амр қилишингни ўйлаб кўр», дедилар.
034_00	У: «Албатта, подшоҳлар бирор шаҳар-қишлоққа кирсалар, уни вайрон қилурлар ва унинг азиз аҳлларини хор қилурлар. Ана шундай қилурлар.
035_00	Мен уларга бир ҳадя юборурман, кўрай-чи, элчилар нима билан қайтар эканлар», деди.
036_00	Қачонки, (элчиси) Сулаймонга келганида, у: «Сизлар менга мол-дунё ила мадад бермоқчимисиз?! Бас, Аллоҳ менга берган нарса сизга берган нарсадан яхшидир. Аммо сизлар ҳадяларингиз билан қувонурсиз.
037_00	(Эй элчи!) Сен уларга қайтиб бор. Бас, албатта, Биз улар бас кела олмайдиган қўшин ила борурмиз ва у ердан уларни хору зор ҳолларида чиқарурмиз», деди.
038_00	У (Сулаймон): «Эй аъёнлар! Улар менга таслим бўлиб келишларидан олдин қайсингиз ҳузуримга у(малика)нинг тахтини келтира оладир?» деди.
039_00	Жинлардан бўлган Ифрит: «Мен уни сенга мақомингдан тургунингча келтирурман. Албатта, бунга қувватим ва ишончим бор», деди. (Араб тилида ёмонликда учига чиққан ва қувватли жин-шайтон «ифрит» дейилади. Бу сўз шайтонга ўхшаш одамга ҳам ишлатилади.)
040_00	Китобдан илми бор шахс: «Мен уни сенга кўзингни очиб юмгунингча келтирурман», деди. Қачонки, у(Сулаймон) у(тахт)ни ўз ҳузурида қарор топганини кўргач: «Бу Роббимнинг фазлидандир. Мен шукр қиламанми ёки куфрони неъмат қиламанми, синаш учундир.
040_01	Ким шукр келтирса, ўзи учунгина шукр қилур. Ким куфрони неъмат қилса, бас, Роббим беҳожат ва карамли зотдир», деди. (Уламолар «китобдан илми бор шахс»нинг кимлиги ҳақида кўп фикрлар айтганлар.
040_02	У Тавротни, Исмул Аъзамни биладиган, Лавҳул Маҳфуздан хабардор эди, деган гапларни айтишган. Лекин Қуръони Карим ёки Пайғамбаримиз (с. а. в.) айтмаганларидан кейин, ишончли илмий далил бўлмагач, Қуръон ибораси билан кифояланиб, Аллоҳ ўша шахсни «китобдан илми бор», деб айтибди, у ёғини ўзи билади, дейишимиз тўғридир.)
041_00	У (Сулаймон): «Унинг тахтини танимайдиган қилиб қўйинг. Кўрайлик-чи, у(малика) уни танийдими ёки танимайдиганлардан бўладими?» деди.
042_00	Қачонки у(малика) келганида: «Сенинг тахтинг шундайми?» дейилди. У: «Худди ўшанинг ўзи», деди. «Бизга бундан илгари илм берилган эди ва мусулмон бўлган эдик».
043_00	Ва у(малика)ни Аллоҳдан ўзга ибодат қилган нарса тўсди. Албатта, у кофир қавмлардан бўлган эди.
044_00	У(малика)га: «Саройга кир», дейилди. Қачонки уни кўрганида, сув деб ўйлаб, пойчаларини очди. У(Сулаймон): «Албатта, бу биллурдан силлиқ қилиб ясалган саройдир», деди. У (малика): «Эй Роббим, албатта, мен ўзимга зулм қилиб юрган эканман, Сулаймон ила оламларнинг Робби– Аллоҳга мусулмон бўлдим!»
044_01	деди. (Сарой олдидаги майдон ҳам биллурдан ясалган, жуда силлиқ, уни сув деб ўйлаб, кийимингни кўтарма. Ана шунда малика рўй бераётган ҳодисалар оддий эмаслигига, балки Аллоҳ юборган Пайғамбарнинг мўъжизалари эканига ишонч ҳосил қилди. Аллоҳ таолонинг қудратига тан берди.)
045_00	Батаҳқиқ, Самуд қавмига, Аллоҳга ибодат қилинг, деб биродарлари Солиҳни юбордик. Бас, баногоҳ улар икки гуруҳ бўлиб тортиша бошладилар.
046_00	У (Солиҳ): «Эй қавмим, нима учун яхшиликдан олдин ёмонликка ошиқасиз?! Аллоҳдан мағфират сўрасангиз-чи?! Шояд раҳм қилинсангиз», деди. (Ўзингизга азоб сўраш ўрнига, Аллоҳдан гуноҳларингизни кечиришини тиласангиз бўлмайдими? Ана ўшанда шояд гуноҳингиз кечирилиб, Аллоҳнинг раҳматига эришсангиз, дедилар.)
047_00	Улар: «Сендан ва сен билан бўлганлардан шумландик», дедилар. У: «Шумланишингиз (сабаби) Аллоҳнинг ҳузуридадир. Балки сизлар синалаётган қавмсиз», деди. (Биз «шумланиш» деб таржима қилган маъно ояти карима матнида «тоир», «тоййар» каби иборалар билан келган. Бу ибора қуш, қуш учириш маъноларини беради. Ўша пайтлар мушриклар бирор иш қилмоқчи бўлсалар, қуш учириб кўрар эдилар. Агар қуш ўнг томонидан учса, хурсанд бўлар ва ўша ишни бошлар эди. Агар қуш чап томонига учса, шумқадамлик деб ўйлар, хафа бўлар, шумланар ва у ишни қилмас эди. Кейин бориб-бориб бу ибора қуш учирмаса ҳам, бирор нарсанинг шумқадамлигини англатиш учун ишлатиладиган бўлиб кетган. Самуд қавми ҳам ўзларига «Аллоҳга ибодат қилинг» шиорини олиб келган, уларни Аллоҳга истиғфор айтишга, ундан раҳматини сўрашга чақирган Пайғамбарлари Солиҳдан алайҳиссалом шумланганларини айтишди.)
048_00	У шаҳарда тўққиз нафарли гуруҳ бор бўлиб, ер юзида бузғунчилик қилишар, ислоҳ қилмас эдилар. (Яъни, Солиҳ алайҳиссалом шаҳарлари Ҳижрда тўққиз кишидан иборат бир гуруҳ бўлиб, ўша гуруҳ аъзолари бузғунчилик, фасод ишлар билан шуғулланишарди.)
049_00	Улар: «Аллоҳнинг номига қасам ичинглар! Албатта, у(Солиҳ)ни ва унинг аҳлини тунда ўлдирармиз, сўнгра валийсига, биз унинг аҳлининг ҳалокатига гувоҳ эмасмиз, албатта, биз ростгўйлармиз, дермиз», дедилар.
050_00	Улар макр қилдилар. Биз ҳам улар сезмаган ҳолда бир «макр» қилдик.
051_00	Назар сол! Уларнинг макри оқибати нима бўлди?! Биз, албатта, уларни ва қавмларининг ҳаммаларини ер билан яксон қилдик.
052_00	Ана, зулмлари сабабли уйлари ҳувуллаб ётибди! Албатта, бунда биладиган қавмлар учун ибрат бордир.
053_00	Ва иймон келтириб, тақво қилиб юрганларга нажот бердик.
054_00	Ва Лутни ҳам (Пайғамбар қилиб юбордик). Ўшанда у ўз қавмига: «Сиз кўриб-билиб туриб, фоҳиша иш қиласизми?!
055_00	Сиз, албатта, аёлларни қўйиб, эркакларга шаҳват ила яқинлик қиласизми?! Йўқ! Сиз жоҳиллик қилаётган қавмдирсиз!» деди.
056_00	Унинг қавмининг жавоби: «Лут аҳлини юртингиздан қувиб чиқаринг, чунки улар покиза бўлишни хоҳлаган кишилардир», дейишдан бошқа нарса бўлмади. (Ифлосликка ботиб қолган бу қавм покликни масхара қилиб, покиза одамларни камситиш йўлига ўтди. Уларни дунёда ҳеч ким қилмаган ифлосликдан қайтариб, покланишга, инсон номига доғ туширмасликка чорлаган Аллоҳнинг Пайғамбари Лутни алайҳиссалом ва у кишига эргашган мўминларни айнан покликлари учун юртларидан ҳайдаб чиқармоқдалар.)
057_00	Бас, Биз унга ва хотинидан бошқа аҳлига нажот бердик. У(хотин)нинг азобда қолгувчилар ичида бўлишини тақдир қилдик.
058_00	Ва уларнинг устларига бир ёмғир ёғдирдикки, бас, огоҳлантирилганларнинг азоби қандай ҳам ёмон бўлди. (Ва жиноятчи Лут қавмининг устидан тош ёғдирдик. Ҳаммалари ҳалок бўлдилар. Огоҳлантиришларга қарамай, жиноятда бардавом бўлганларнинг оқибати шундай бўлади.)
059_00	Сен: «Аллоҳга ҳамд бўлсин ва у танлаб олган бандаларига салом бўлсин. Аллоҳ яхшими ёки улар ширк келтираётган нарсаларми?» дегин.
060_00	Ёки осмонлару ерни яратган, сизларга осмондан сув туширган зотми? Бас, Биз у(сув) билан гўзал боғлар ўстирдик.
060_01	Сиз ўзингиз унинг дарахтини ўстира олмас эдингиз. Аллоҳ билан бирга бошқа илоҳ борми?! Йўқ, улар ўзлари тенглаштирадиган қавмдирлар.
061_00	Ёки ерни қароргоҳ этган, унинг узра анҳорлар қилган, унга тоғлар қилган ва икки денгиз ўртасида тўсиқ қилган зотми?! Аллоҳ билан бирга бошқа илоҳ борми?! Йўқ, уларнинг кўплари билмаслар.
061_01	(Икки денгиз–денгиз ва дарёдир. Бирининг суви иккинчисига қуйилади, аммо аралашиб кетмайди: дарёнинг чучук суви шўр, денгизнинг шўр суви чучук бўлиб қолмайди. Чунки Аллоҳ уларнинг ўртасига табиий тўсиқ тортиб қўйган.)
062_00	Ёки музтар-ночор одам дуо қилганда ижобат этиб, унинг мушкулини осон қилган ҳамда сизни ер юзида халифа қилган зот яхшими?! Аллоҳ билан бирга бошқа илоҳ борми? Қанчалик оз эслайсизлар-а?!
063_00	Ёки сизларни қуруқлик ва денгиз зулматларида тўғри йўлга соладиган ҳамда Ўз раҳмати олдидан шамолларни хушхабар қилиб юборадиган зотми?! Аллоҳ билан бирга бошқа илоҳ борми?! Аллоҳ улар ширк келтираётган нарсалардан олийдир. (Одамлар доимо қуруқлик ва денгизда сафар қилиб келади. Кўзланган манзилларга етиш учун турли йўллардан юришади. Иложини қилиб, ўша жойни топиб боришади.
063_01	Хўш, ўша сафарларда йўл топиш қобилиятини инсонга ким берди? Йўлни аниқлашда ёрдам берадиган ақл, кўз, қулоқни-чи? Турли белгиларга, юлдузларга, асбобларга қараб йўл топишни унга ким ўргатди? Сохта худоларми? Ёки Аллоҳ таоломи? Албатта, Аллоҳ таоло.)
064_00	Ёки аввал-бошдан яратадиган, сўнгра яна қайтадан яратадиган ва сизларни осмонлару ердан ризқлантирадиган зот яхшими? Аллоҳ билан бирга бошқа илоҳ борми?! «Агар ростгўй бўлсангиз ҳужжатингизни келтиринг», дегин. (Аслида, йўқ инсонни бор қилиб, аввал-бошда яратган ким? Бут-санамларми, жин ва фаришталарми, мушриклар худо деб юрган бошқа махлуқларми? Инсонни охиратда қайтадан яратадиган ҳам фақат Аллоҳ таолонинг Ўзи.)
065_00	Сен: «Осмонлару ерда Аллоҳдан бошқа ҳеч ким ғайбни билмас», деб айт. Улар қачон қайта тирилтирилишларини ҳам сезмаслар. (Ғайбни билиш фақат Аллоҳ таолонинг Ўзига хосдир. Аллоҳдан бошқа ҳеч ким — на инсон, на фаришталар, на жинлар ғайбни билмайди.)
066_00	Балки илмлари охиратни идрок қилгандир? Йўқ, улар ундан шак-шубҳададирлар. Йўқ, улар ундан кўрдирлар. Кофирлар охират илмидан хабардормикин? Йўқ, била олмайдилар. Улар охират нима эканини билиш у ёқда турсин, охиратнинг бўлиш-бўлмаслигига аниқ ишонмайдилар. Балки у хусусдаги масалада кўрдирлар, ҳеч нарсани кўрмаслар.
067_00	Куфр келтирганлар: «Биз ва ота-боболаримиз тупроқ бўлганимиздан кейин, яна чиқариламизми?!
068_00	Батаҳқиқ, бу бизга-да, ота-боболармизга-да олдин ҳам ваъда қилинган эди. Бу аввалгиларнинг афсонасидан бошқа ҳеч нарса эмас», дедилар.
069_00	Сен: «Ер юзида сайр қилинглар ва жиноятчиларнинг оқибати қандай бўлганига назар солинглар», деб айт.
070_00	Сен улар ҳақида ғам чекма ва қилаётган макрларидан сиқилма ҳам.
071_00	Улар: «Агар ростгўй бўлсангиз, бу ваъда қачон бўладир?» дерлар.
072_00	Сен: «Сиз келишига ошиқаётган нарсанинг баъзиси ортингизга мингашиб олган, бўлса ажаб эмас», деб айт. (Яъни, ўша ваъдалар шундоққина ортингизда турибди, аммо сиз сезмаяпсиз, холос. Дарҳақиқат, ғайбни ким билади? Эҳтимол, беш дақиқадан сўнг азоб, қиёмат ёки қайта тирилиш рўй берар, эҳтимол, ундан кўпроқ ёки озроқ вақт қолгандир. Ким билади буни?! Аллоҳ таоло бу ишларни хоҳлаган лаҳзасида содир этишга қодир.)
073_00	Албатта, Роббинг одамларга нисбатан фазлу марҳамат соҳибидир. Лекин уларнинг кўплари шукр қилмаслар.
074_00	Ва, албатта, Роббинг уларнинг диллари беркитган нарсани ҳам, ошкор қилган нарсани ҳам билур.
075_00	Осмону ерда ҳеч бир ғайб нарса йўқ, илло у очиқ-ойдин китобда бордир.
076_00	Албатта, ушбу Қуръон Бани Исроилга улар ихтилофлар қилаётган нарсаларнинг кўпини айтиб берадир.
077_00	Албатта, у (Қуръон) мўминлар учун ҳидоят ва раҳматдир.
078_00	Албатта, Роббинг улар ўртасида Ўз ҳукми ила ажрим чиқарур. У азиз ва билгувчидир.
079_00	Бас, сен Аллоҳга таваккал қил. Албатта, сен очиқ-ойдин ҳақдадирсан.
080_00	Албатта, сен ўликларга эшиттира олмассан, ортга қараб қочаётган карларга ҳам чақириқни эшиттира олмайссан.
081_00	Сен кўрларни залолатдан ҳидоятга солгувчи эмассан. Сен фақат мусулмон бўлган ҳолларида оятларимизга иймон келтирадиганларгагина эшиттира олурсан. (Кофирлар ўлик, кар бўлиш билан бирга, кўр ҳамдир. Сен, эй Пайғамбар, у кўрларни адашиб юрган йўлларидан қайтариб, тўғри йўлга ҳидоят қила олмассан.)
082_00	Қачонки уларнинг бошига сўз(ланган азоб) тушганида, Биз улар учун ердан бир жонивор чиқарамиз. У уларга, албатта, одамлар Бизнинг оятларимизга ишонмайдиган бўлганларини айтиб берадир. (Бу ҳодиса қиёматнинг аломатларидан биридир. Аллоҳ таоло ушбу ояти каримада кофирлар бошига ваъда қилинган сўз–қиёмат азоби тушиш чоғида ердан бир ҳайвон чиқариши ҳақида хабар бермоқда. Демак, бу ишнинг бўлиши муқаррарлигида ҳеч қандай шубҳа йўқ. Саҳиҳ ҳадиси шарифларда бу ҳайвон қиёматнинг аломатларидан бири эканлиги, тавба қилса, фойда бермайдиган вақт бўлиб қолганда чиқиши ҳақида хабарлар келган.)
083_00	Биз ҳар умматнинг оятларимизни ёлғонга чиқарганларидан бир гуруҳини тўплаган кунда улар жамланиб-тизилиб туришар.
084_00	Токи улар келиб бўлгач, У зот: «Бизнинг оятларимизни ёлғонга чиқардингизми?! Уларни пухта англамай туриб-а? Йўқса, нима қилган эдингиз?» дейдир.
085_00	Ва уларга зулм қилганлари сабабли сўз(ланган азоб) тушар. Бас, улар сўзлай олмаслар.
086_00	Биз сокинлик топишлари учун кечани, кўришлари учун кундузни қилганимизни кўрмадиларми?! Албатта, бунда иймон келтирадиган қавмлар учун ибратлар бордир.
087_00	Сур чалиниб, Аллоҳ хоҳлаганидан бошқа осмонлардаги кимсалар ва ердаги кимсалар даҳшатга тушган кунда ҳамма У зотга бўйин эгиб келурлар.
088_00	Тоғларни кўриб, қимирламай турибди деб ҳисоблайсан. Ҳолбуки, улар булутнинг ўтишидек ўтурлар. Бу ҳар бир нарсани пухта қиладиган Аллоҳнинг санъатидир. Албатта, у нима қилаётганингиздан хабардордир. (Қиёмат куни шундай даҳшатлики, кўзимизга энг салобатли, виқорли, мустаҳкам бўлиб кўринадиган улуғвор тоғлар ҳам жойидан кўчиб, титилиб, булутдай сузиб юради. Уларни кўрган одам, жойида турибди, деб ўйлайди, аслида эса, улар булутдек сузиб кетаётган бўлади.)
089_00	Ким яхшилик қилса, унга ундан кўра яхшироқ (мукофот) бўлур. Ҳамда улар ўша куннинг даҳшатидан омондадирлар.
090_00	Ким ёмонлик қилса, бас, юзтубан дўзахга ташланурлар ва: «Сизларга фақат қилган амалларингиз жазоси берилмоқда, холос», (дейилур).
091_00	Мен ушбу шаҳарнинг Робби, уни ҳаром қилган зотга ибодат қилишга амр этилдим, холос. Ҳамма нарса Уникидир. Ва мусулмонлардан бўлишга амр этилдим.
092_00	Ва Қуръонни тиловат қилишга (амр этилдим). Ким ҳидоят топса, фақат ўзи учун ҳидоят топадир. Ким залолатга кетса, унга: «Мен огоҳлантиргувчиларданман, холос», дегин.
093_00	Сен: «Аллоҳга ҳамд бўлсин! У сизларга ўз оят-мўъжизаларини кўрсатур. Сиз уларни кўриб, танийсиз», деб айт. Роббинг қилаётган амалларингиздан ғофил эмасдир.
