001_00	То. Сийн. Мийм.
013_00	Бас, Биз уни онасига кўзи қувончга тўлиши, хафа бўлмаслиги ва, албатта, Аллоҳнинг ваъдаси ҳақ эканини билиши учун қайтардик. Лекин кўплари буни билмаслар. (Аллоҳ таоло Ўзининг ҳикматли тадбири ила Мусо алайҳиссаломни оналарига қайтариб берди. Оятда таъкидланишича, бундан қуйидаги учта мақсад кўзланган эди: 1. Мусо алайҳиссалом ила оналарининг кўзлари қувониши. 2. Онанинг ўғли Мусо алайҳиссалом фироқи ила хафа бўлмаслиги. 3. Мусонинг алайҳиссалом оналари Аллоҳнинг ваъдаси ҳақ эканини билишлари. Чунки аввал Аллоҳ таоло у аёлга, Биз уни сенга қайтаргувчимиз, деб ваъда берган эди. Ана ўша ваъдасини ҳақ ила амалга оширди. Ҳа, Аллоҳ таоло нимани ваъда қилса, уни албатта бажаради. Шундай қилиб, Мусо алайҳиссалом оилаларидан айрилмаган ҳолда Фиръавннинг қасрида тарбия топа бошладилар.)
014_00	Қачонки у вояга етиб, мукаммал бўлганида, унга ҳикмат ва илмни бердик. Биз яхши амал қилгувчиларни шундай мукофотлармиз. (Биз «вояга етиб» деб таржима қилган «балаға ашудда» иборасини араблар жисмоний жиҳатдан вояга етиш, «мукаммал бўлганида» деб ўгирган «итаво» сўзини ақлий жиҳатдан камолга етиш, деб тушунадилар. Ҳазрати Ибн Аббос (р. а.): «Вояга етиш ўн саккиздан ўттиз ёшгача, мукаммал бўлиш ўттиздан қирққача», деган эканлар.)
015_00	Ва у шаҳарга унинг аҳолиси ғафлатдалик пайтда кирди. Унда уришаётган икки кишини кўрди. Буниси ўз гуруҳидан, униси эса, душманларидан эди. Бас, ўз гуруҳидан бўлган душман бўлганга қарши ундан ёрдам сўради.
015_01	Шунда Мусо уни бир мушт уриб ўлдириб қўйди. У (Мусо): «Бу шайтоннинг ишидир. Албатта, у очиқ-ойдин душман ва йўлдан оздиргувчидир», деди. (Шаҳар аҳолиси ғафлатда бўладиган пайт, туш вақтидир.
015_02	Иссиқ юртларда, жумладан, Мисрда ҳам туш пайти шаҳар ва қишлоқ аҳолиси кундузги уйқуда бўладилар. Мусо алайҳиссалом бири ўз қавми–Бани Исроилдан, иккинчиси душман–Фиръавн қавмидан бўлган икки кишининг уришаётганини кўрдилар. Бани исроиллик киши Мусодан алайҳиссалом қибтийга қарши ёрдам сўрар эди. «Шунда Мусо уни бир мушт уриб ўлдириб қўйди». Мусо алайҳиссалом қибтийни умуман ўлдирмоқчи эмас эдилар. Унинг ўлиб қолганини кўриб қаттиқ афсусландилар.)
016_00	У: «Эй Роббим, албатта, мен ўзимга зулм қилдим. Бас, мени мағфират қил», деди. Шунда У зот уни мағфират қилди. Албатта, Унинг Ўзи мағфират қилгувчи, меҳрибондир.
017_00	У: «Эй Роббим, менга берган неъматнинг ҳаққи-ҳурмати ҳаргиз жиноятчиларга ёрдамчи бўлмасман», деди.
018_00	Бас, у эрталаб шаҳарда қўрққан ҳолида, аланглаб кетаётган эди, бирдан кеча ундан ёрдам сўраган яна ёрдам сўраб қичқириб қолди. Мусо унга: «Албатта, сен очиқ-ойдин гумроҳсан», деди.
019_00	Қачонки икковларига душман бўлганни тутмоқчи бўлган эди, у: «Эй Мусо, кеча бир жонни ўлдирганинг каби, мени ўлдирмоқчимисан?!
019_01	Сен ер юзида фақат жаббор бўлишни истайсан ва ислоҳ қилгувчилардан бўлишни истамайсан», деди.
020_00	Ва шаҳарнинг нариги четидан бир киши шошиб келиб: «Эй Мусо, аниқки, аъёнлар сени ўлдириш учун тил бириктирмоқдалар. Бас, чиқиб кет! Албатта, мен сенга насиҳат қилгувчиларданман», деди.
021_00	Бас, хавфсираб, аланглаган ҳолда у ердан: «Эй Роббим, менга золим қавмлардан нажот бергин», деб чиқди.
022_00	Қачонки Мадян томон юзланганида: «Шоядки Роббим мени тўғри йўлга ҳидоят қилса», деди.
023_00	Қачонки Мадян сувига етиб келгач, бир тўп одамларнинг ҳайвонларини суғораётганини кўрди ва улардан бошқа (қўйларини сувдан) қайтараётган икки аёлни кўрди. У: «Сизларга не бўлди?»
023_01	деди. Улар: «Чўпонлар қайтмагунларича суғора олмаймиз, отамиз қари чол», дедилар.
024_00	Бас, икковларига суғориб берди. Сўнгра сояга қайтди ва «Эй Роббим, албатта, менга туширажагинг ҳар бир яхшиликка муҳтожман», деди. (Мусо алайҳиссалом ҳалиги икки аёлнинг ҳайвонларини суғориб бердилар. Буни ўзларининг эркак кишилик бурчи, деб билдилар. Демак, кун иссиқ экан. Аввал ҳам сояда ўтирган эдилар. Лекин қийналаётган икки аёлни кўриб, ғоятда чарчаган, ҳориб-толган, очиққан бўлсалар ҳам, туриб уларга ёрдам бердилар. Қайтиб бориб яна соядан жой олдилар. Яна ёлғиз қолдилар. Яна муҳожирлик ғурбатини ҳис этдилар. Ёлғизнинг ёри худо, деб яна Роббул Оламийнга илтижо қилиб: «Эй Роббим, албатта, менга туширажагинг ҳар бир яхшиликка муҳтожман», дедилар.)
025_00	Бас, икковларидан бири ҳаё билан юриб келиб: «Отам сенга бизларга суғориб берганинг ҳаққини бериш учун чақирмоқда», деди. Қачонки унга келганида ва қиссани айтиб берганида, у: «Қўрқма, золим қавмлардан нажот топдинг», деди. (Қизлар отасига ҳайвонларини суғориб берган ғариб йигит ҳақида, унинг мардлиги, шижоатлиги, яна ўзи ёлғиз сояда ўтириб қолганлиги ҳақида сўзлаб беришган.
025_01	Ўшанда оталари қизлардан бирини ўша ғариб йигитни чақириб келиш учун юборади. Мусо алайҳиссалом бу чақириқни қабул қилиб, чолнинг олдига борадилар. Мусо алайҳиссалом уй эгасига бошларидан ўтган қиссани гапириб бердилар. Кўпни кўрган тажрибали чол у кишининг кўнглини кўтариб, қўрқма, энди қутулиб кетдинг, деган маънони айтди.)
026_00	Икки (қиз)дан бири: «Эй отагинам, уни ишга ёллаб ол. Чунки ишга ёлланадиган энг яхши кимса кучли ва ишончли кимсадир», деди.
027_00	У: «Менга саккиз йил ишлаб беришинг шарти билан, шу икки қизимдан бирини сенга никоҳлаб бермоқчиман, агар ўн йилни тамомласанг, бу сенинг ишинг.
027_01	Мен эса сенга машаққат қилишни истамайман. Иншааллоҳ, менинг солиҳ кишилардан эканимни кўрасан», деди.
028_00	У (Мусо): «Бу мен билан сенинг орамиздадир. Икки муддатдан қай бирини адо қилсам ҳам, менга тажовуз қилинмас. Айтаётган нарсамизга Аллоҳ вакилдир», деди.
029_00	Қачонки, Мусо муддатни тугатиб, аҳли билан йўлга тушиб кетаётиб, Тур томонда узоқдан оловни кўриб қолди. У аҳлига: «Туриб туринглар, аниқки, мен узоқдан оловни кўрдим.
029_01	Балки у ердан сизга бирор хабар ёки исинишингиз учун бир тутам чўғ олиб келарман», деди. (Мусо алайҳиссалом қайинотаси билан келишган муддатни ўтаб, аҳли аёлларини олиб Мисрга қайтиш учун йўлга чиқдилар. Йўлда, Сийна ярим оролидаги Тур тоғига яқинлашганда, тоғ томонда узоқдан бир олов ёниб турганини кўрдилар.)
030_00	Бас, қачонки унинг олдига етиб келганида, водийнинг ўнг томонидан, муборак жойдан, дарахтдан унга: «Эй Мусо, албатта, Мен, Ўзим, оламларнинг Робби Аллоҳдирман.
031_00	Ва асонгни ташла», деб нидо қилинди. Қачонки унинг катта илон каби қимирлаётганини кўргач, қарамасдан ортга қочди. «Эй Мусо, бери кел, қўрқма, албатта, сен омонликдагилардансан» (дейилди). (Бу ҳол ҳақиқатда ажойиб эди. Бепоён саҳродаги тоғнинг ўнг томонида, муборак бир жойда Аллоҳ таоло фариштани ҳам ўртага қўймай, Мусога алайҳиссалом бевосита ўзи нидо қилмоқда. Бу жой ҳақиқатда ҳам муборак бир жой эди. Бу пайт, шубҳасиз, муборак бир пайт эди. Бу нидо ҳақиқатда ҳам муборак бир нидо эди.)
032_00	«Қўлингни ёқангдан (қўлтиғингга) суқ, бирон нуқсонсиз оппоқ бўлиб чиқур ва қўрқувда қанот(қўл)ингни ўзингга тортиб ол. Бас, шу иккиси Роббингдан Фиръавн ва унинг одамларига икки ҳужжатдир.
032_01	Албатта, улар фосиқ қавм бўлдилар» (дейилди).
033_00	У: «Эй Роббим, мен улардан бир жонни ўлдирганман, улар мени ўлдиришларидан қўрқурман.
034_00	Биродарим Ҳорун мендан кўра тили бурророқ, уни ҳам мен билан юбор, мени тасдиқлайдир. Зеро, улар мени ёлғончи қилишларидан қўрқурман», деди. (Мен улардан бани исроиллик билан уришаётган қибтийни билмасдан, нохосдан ўлдириб қўйганман. Фиръавн аъёнлари мени ўлдириш учун тил бириктираётганларида қочиб кетганман. Энди яна кириб борсам, уларнинг эски адовати қўзиб мени ўлдириб қўйсалар, диний даъват иши нима бўлади, деб қўрқаман. Менинг тилимда бир оз дудуқлик бор, оғам Ҳорун эса, тили бурро одам. Кофирлар билан тортишувларда иш беради. Уни ҳам мен билан бирга Пайғамбар қилиб юбор. У ҳам мен билан бирга Пайғамбар бўлиб, мени тасдиқласин.)
035_00	У зот: «Биз сени оғанг билан қувватлаймиз ва икковингизга бир салтанат берурмизки, улар сизга етиша олмаслар. Бизнинг оятларимиз ила иккингиз ва сизга эргашганлар ғолибдирсиз», деди. (Демак, Мусо ва Ҳорун алайҳиссалом ҳамда уларга эргашганлар ғолиб бўлишлари турган гап. Ғалабага эришиш учун Аллоҳнинг оятлари билан ҳаракат қилинса, бас. Шундай ҳаракат бўлди ҳам.)
036_00	Бас, қачонки Мусо уларга очиқ-ойдин оятларимиз ила келганида, улар: «Бу уйдирма, сеҳрдан бошқа нарса эмас. Аввалги ота-боболаримиздан ҳам бу ҳақда эшитмаган эдик», дедилар. (Кўзларига кўриниб турган мўъжизани, кўзбўямачилик, сеҳрдан ўзга нарса эмас, у уйдирмадир, дедилар. Аллоҳнинг Пайғамбарига қарши, Аллоҳнинг мўъжизаларига қарши бундай гапни айтишга бирор далил-ҳужжатлари бормиди? Албатта, йўқ эди. Ота-боболаридан эшитмаганлари учун Аллоҳнинг Пайғамбарини ёлғончи қилиб, мўъжизасани сеҳр дейишлари тўғрими?! Уларнинг ота-боболари ким эди ўзи? Дунёнинг охиригача бўладиган нарсаларни кўрсатиб кетишганми?!)
037_00	Ва Мусо: «Роббим Ўз ҳузуридан ким ҳидоят келтирганини ҳам, охират диёри оқибати кимга бўлишини ҳам яхши билгувчи зотдир. Албатта, золимлар нажот топмаслар», деди. (Куфр келтириб, Аллоҳнинг Пайғамбарини инкор этиб, Аллоҳнинг оят-мўъжизаларини сеҳр деб зулм қилганлар нажот топмаслар.)
038_00	Ва Фиръавн: «Эй аъёнлар, мен сизларга ўзимдан бошқа илоҳ борлигини билмасман. Бас, эй Ҳомон, лойга ўт ёқиб, мен учун бир баланд қаср қур, шоядки (унга чиқиб) Мусонинг илоҳини кўрсай. Албатта, мен уни ёлғончилардан деб ўйламоқдаман», деди. (Худолик даъвосида бўлган аҳмоқ фиръавнлар ўйламай, оғзига нима келса гапираверади. Вазирига нимани хоҳласа, буюраверади.
038_01	Ҳомон лойга ўт ёқиб ғишт пишириб, ўта баланд қаср қурармиш, Фиръавн унга чиқиб, осмонда Аллоҳни кўрар эмиш. Аллоҳ осмонда сенинг чиқишингга қараб турадиган зотмиди?! Сенга ўхшаган ифлос Аллоҳнинг даргоҳига бора олармиди?! Осмон сенга ўхшаш бандалар учун Аллоҳ таоло томонидан яратилган бир нарса-ку, нима учун Аллоҳни осмон билан чегаралаб қўймоқчисан?! Ушбу саволлар ҳам ўзини худо санаётган Фиръавнинг нақадар эси паст эканини тушунишга ёрдам беради. Ўша эси паст махлуқ ўзининг аҳмоқона гапи билан Аллоҳ юборган Пайғамбар Мусони алайҳиссалом ёлғончига чиқармоқда.)
039_00	У ва унинг аскарлари ер юзида ноҳақдан такаббурлик қилдилар ҳамда ўзларини Бизга қайтарилмайдилар деб гумон қилдилар.
040_00	Бас, Биз уни ва унинг аскарларини тутдик ва денгизга отдик. Энди золимларнинг оқибати қандоқ бўлганига назар сол.
041_00	Ва уларни дўзахга чақирадиган пешволар қилдик. Қиёмат куни эса, уларга ёрдам берилмас. (Ахир, бу дунёдан ноҳақ такаббурлик қилиб, дўзахга даъват бўйича пешволик билан ўтган бўлсалар, уларга қандай қилиб ёрдам берилиши мумкин?)
042_00	Ва бу дунёда уларга лаънатни эргаштириб қўйдик. Қиёмат куни эса, улар (раҳматдан) йироқ қилинганлардандирлар.
043_00	Батаҳқиқ, Биз аввалги асрларни ҳалок қилганимиздан сўнг Мусога одамлар учун нур, ҳидоят ва раҳмат қилиб китобни бердик. Шоядки улар эсласалар.
044_00	Биз Мусога ишни ҳукм қилган пайтимизда сен ғарбий томонда эмас эдинг ва гувоҳлардан ҳам бўлмагансан. ( Эй Муҳаммад! Мусога Пайғамбарликни, Таврот ва унинг ҳукмини берган пайтимизда Тур тоғининг ғарбий томонида йўқ эдинг. Бу ишга гувоҳлардан ҳам бўлмагансан.)
045_00	Лекин Биз бир неча асрларни пайдо қилдик, бас, уларнинг умри чўзилди. Сен Мадянда туриб, уларга оятларимизни тиловат қилиб берганинг йўқ. Аммо Биз Пайғамбар юборгувчи бўлдик.
046_00	Биз нидо қилган чоғимизда Турнинг ёнида йўқ эдинг. Лекин Роббингдан раҳмат сифатида сендан олдин огоҳлантиргувчи келмаган қавмни огоҳлантириш учун (қиссаларни сенга билдирдик). Шоядки эсласалар. (Яъни, Биз Мусога Тур тоғининг ёнида нидо қилганимизда сен у ерда йўқ эдинг. Аммо Биз у ерда бўлиб ўтган қиссани сенга билдирдик. Бу иш сендан олдин огоҳлантиргувчи-Пайғамбар келмаган қавмни огоҳлантиришинг учун Роббингнинг сенга берган раҳматидир. Шоядки ушбу қиссалар таъсирида улар эслашлари лозим бўлган нарсаларни эсга олсалар.)
047_00	Агар уларга қилмишлари туфайли мусибат етганида: «Эй Роббимиз, бизга Пайғамбар юборганингда эди, оятларингга эргашар эдик ва мўминлардан бўлар эдик», демасалар эди.
048_00	Қачонки уларга Бизнинг ҳузуримиздан ҳақ келганида, улар: «Унга ҳам Мусога берилган нарса берилса эди», дедилар. Улар илгари Мусога берилган нарсага куфр келтирмаган эдиларми?! Улар: «Икки сеҳр ўртага чиқди, бир-бирига ёрдам бермоқда, биз ҳар бирига куфр келтиргувчимиз», дедилар. (Ҳа, Муҳаммаддан (с. а. в.) илгари улар Мусога алайҳиссалом тушган нарсага ҳам куфр келтирган эдилар.
048_01	Энди бўлса, Муҳаммадга (с. а. в.) иймон келтирмасликларига Мусога алайҳиссалом берилган нарсага ўхшаш нарса у кишига берилмаганини сабаб турибдилар. Улар «икки сеҳр» деб Таврот билан Қуръонн назарда тутишяпти. Таврот ҳам, Қуръон ҳам сеҳрдир, улар бирга ўртага чиқиб, бир-бирига ёрдам бермоқда, биз ҳар иккисига ҳам куфр келтирувчилармиз, дейишяпти.)
049_00	Сен: «Агар ростгўйлардан бўлсангиз, Аллоҳнинг ҳузуридаги у иккисидан кўра тўғрироқ бир китоб келтиринг, мен унга эргашаман», дегин.
050_00	Агар сенга жавоб бера олмасалар, бас, билгинки, улар фақат ҳавои нафсларига эргашмоқдалар, холос. Аллоҳдан бўлган ҳидоятсиз, ўз ҳавои нафсига эргашгандан кўра ҳам гумроҳроқ кимса борми?! Албатта, Аллоҳ золим қавмларни ҳидоят қилмас.
050_01	(Қуръонга эргашмаган ҳар бир кимса ҳавои нафси йўлида юрган бўлади. Ҳавои нафси ихтиёридаги ҳар бир кимса дунёдаги энг гумроҳ кимсадир. Агар бунга эътироз бўлса, Қуръондан кўра тўғрироқ китобни келтирсин!)
051_00	Батаҳқиқ, Биз уларга гапни етказиб қўйдик. Шоядки эсласалар.
052_00	У(Қуръон)дан олдин китоб берилганлар унга иймон келтирурлар. (Бу ояти карима тушган пайтда яҳудийлардан ҳам, масиҳийлардан ҳам иймон келтириб, мўмин-мусулмон бўлган кишилар бор эди. Оятда ана шунга ишора қилинмоқда.)
053_00	Уларга тиловат қилинган чоқда: «Биз унга иймон келтирдик. Албатта, у Роббимиздан келган ҳақдир. Албатта, биз бундан олдин ҳам мусулмон эдик», дедилар.
054_00	Ана ўшаларга сабр қилганлари учун ажрлари икки марта берилган. Улар яхшилик ила ёмонликни даф қилурлар ва уларга ризқ қилиб берган нарсаларимиздан нафақа қилурлар.
055_00	Қачонки беҳуда нарса эшитсалар, ундан юз ўгириб: «Бизга ўз амалларимиз, сизга ўз амалларингиз, омон бўлинглар, биз жоҳилларни истамасмиз», дедилар.
056_00	Албатта, сен ўзинг севган кишингни ҳидоят қила олмассан. Лекин Аллоҳ кимни хоҳласа, ўшани ҳидоят қилур. У ҳидоятга юрувчиларни яхши билгувчи зотдир. (Демак, одамларни ҳидоят қилиш фақат Аллоҳ таолонинг измидадир. Аллоҳдан бошқа ҳеч ким, ҳатто охирзамон Пайғамбарининг (с. а. в.) ҳам бу ишга қурблари етмайди. Агар у зот (с. а. в.) бирор кишини ҳидоят қилиш имконига эга бўлганларида, амакилари Абу Толибни ҳидоят қилган бўлар эдилар. Аммо бунинг имкони бўлмади. Абу Толиб ҳидоятга муяссар бўлмай дунёдан ўтди. Бунга Расули Акрам (с. а. в.) қаттиқ афсус чекдилар. Аллоҳ таоло эса, бу ҳақда Пайғамбарига ушбу оятдаги баёнотни берди.)
057_00	Улар: «Агар сен билан ҳидоятга эргашсак, ўз еримиздан юлиб олинамиз», дедилар. Биз уларга омонлик ҳарамини макон қилиб бермадикми?!
057_01	У ерга ҳар нарсанинг мевалари Бизнинг даргоҳимиздан ризқ ўлароқ йиғилади-ку! Аммо кўплари билмаслар.
058_00	Биз маишатлари ҳаддан ошган қанчадан-қанча юртларни ҳалок қилдик. Бас, анавилар, уларнинг масканлари, улардан кейин маскан қилинмади, илло, озгинаси, холос. Ва Биз ўзимиз ворис бўлиб қолдик.
059_00	Роббинг шаҳар-қишлоқларни то улар орасига уларга оятларимизни тиловат қиладиган Пайғамбар юбормасдан туриб ҳалок қилувчи бўлмаган. Биз шаҳар-қишлоқларни фақат аҳли золим бўлган ҳолдагина ҳалок қилгувчи бўлганмиз. (Аллоҳ таолонинг одати шуки, инсонларга жон, ақл-идрок бериб қўйса ҳам, яна Пайғамбар орқли огоҳлантирмасдан туриб уларни ҳалок қилмайди. Пайғамбарни қачон ва қаерга юборишни ўзи билади. Мана, Макка аҳлига ҳам Пайғамбар келмаган эди. Энди Муҳаммадни (с. а. в.) юборди. У кишини фақат Макка аҳлига эмас, балки барча макон ва замонларга огоҳлантиргувчи Пайғамбар қилиб юборди.)
060_00	Ва сизга берилган нарсалар бу дунёнинг матоҳи ва зийнати, холос. Аллоҳнинг ҳузуридаги нарса яхшироқ ва боқийдир. Ақл ишлатмайсизларми?
061_00	Биз унга гўзал ваъда қилган, кейин ўшанга эришувчи киши бу ҳаёти дунё матоҳини берганимиздан сўнгра қиёмат куни (азобга) ҳозир қилинганлардан бўлган киши каби бўлармиди?! (Бу ояти каримада мўмин билан кофир бир-бирларига солиштириб кўрсатилмоқда. Бир томонда мўмин киши. Унга Аллоҳ таоло мўминлиги учун бу дунёда гўзал яшашни, у дунёда гўзал жаннатга эга бўлишни ваъда қилган. Иккинчи томонда кофир киши. Аллоҳ таоло унга ҳаёти дунёнинг озгина матоҳини берган. Кейин у дунёда азоблаш учун дўзахни тайёрлаб қўяди. Хўш, шу икки кишини ўзаро тенг дея оламизми? Албатта, йўқ!)
062_00	У зот уларни чақирган кунида: «Сиз даъво қилган Менинг «шерик»ларим қани?!» дейдир.
063_00	Устиларига сўз(ланган азоб) тушиши ҳақ бўлганлар: «Эй Роббимиз, анави йўлдан оздирганларимизни ўзимиз йўлдан озганимиздек оздирганмиз.
063_01	Сенга ўзимизни оқладик. Улар бизга ибодат қилган эмаслар», дерлар.
064_00	Ва: «Менинг «шерик»ларимни чақиринглар», дейилур. Улар чақирадрлар. Бас, (сохта худолари) уларга жавоб бермаслар. Ва, азобни кўрурлар. Кошки, ҳидоят топган бўлганларида эди! (Қани, у дунёда ибодат қилиб юрган худоларини энди чақирсинлар, уларга ёрдам беришсин. Ҳозир ёрдам беришмаса, қачон ёрдам беришади? Мушриклар Аллоҳга шерик қилган сохта худоларини чақирадилар. «Бас, (сохта худолари) уларга жавоб бермаслар». Бу дунёда жавоб бера олмаган сохта худолар у дунёда жавоб бера билармиди? Демак, мушрикларнинг умидлари узилди. Ана шунда улар «азобни кўрурлар».)
065_00	У кунда, У зот уларга нидо қилиб: «Пайғамбарларга нима деб жавоб бердингиз», дер.
066_00	Ана ўша кунда хабарлар улардан махфий бўлур ва улар бир-бирларидан сўрай олмаслар ҳам.
067_00	Аммо тавба қилганлар, иймон келтириб, солиҳ амалларни қилган кишилар шоядки нажот топгувчилардан бўлсалар.
068_00	Ва Роббинг хоҳлаганини яратиб, хоҳлаганини ихтиёр қилур. Уларда ихтиёр ҳаққи йўқдир. Улар ширк келтираётган нарсалардан Аллоҳ пок ва юксакдир.
069_00	Ва Роббинг уларнинг қалблари яшираётган нарсаларни ҳам, ошкор қилаётган нарсаларни ҳам билур.
070_00	У Аллоҳ, Ундан бошқа ибодатга сазовор илоҳ йўқ зотдир. Бу дунёда ва охиратда барча ҳамд Унгадир. Ҳукм ҳам Унинг Ўзигадир ва Унгагина қайтарилурсизлар.
071_00	Сен уларга: «Айтинг-чи, агар Аллоҳ кечани қиёмат кунигача доимий қилиб қўйса, Аллоҳдан ўзга қайси илоҳ сизга ёруғлик келтира олур? Эшитмайсизларми?!» деб айт.
072_00	Сен уларга: «Айтинг-чи, агар Аллоҳ кундузни қиёмат кунигача доимий қилиб қўйса, Аллоҳдан ўзга қайси илоҳ сизларга ором оладиганингиз кечани келтира олади?!
072_01	Кўрмайсизларми?!» деб айт.
073_00	У зот Ўз раҳмати ила сизларга кеча ва кундузни ором олишингиз ва ўз фазлидан талаб қилишингиз учун пайдо қилди. Шоядки шукр келтирсангиз.
074_00	У кунда, У зот уларга нидо қилиб: «Сизлар даъво қилган «шерик»ларим қани?» дейдир.
075_00	Ва ҳар бир умматдан бир шоҳид чиқариб: «Ҳужжатларингизни келтиринг!» дегаймиз. Бас, улар ҳақ Аллоҳга эканини билурлар ва ўзлари уйдириб юрган нарсалари ғойиб бўлур. (Қиёмат кунида Аллоҳ таоло ҳар умматнинг Пайғамбарини гувоҳ сифатида чиқариб олиб, умматларга, менинг шеригим борлиги ҳақида қилган даъволарингизга ҳужжатларингизни келтиринг, дейди. Уларнинг ўзлари ўйлаб топган сохта худолари ғойиб бўлиб қолади. Ана ўшанда шармандалари чиқади.)
076_00	Албатта, Қорун Мусо қавмидан бўлиб, уларга такаббурлик қилди. Биз унга калитлари бир гуруҳ қувватлиларга ҳам оғирлик қиладиган хазиналарни берган эдик.
076_01	Ўшанда қавми унга: «Ҳовлиқма, албатта, Аллоҳ ҳовлиққанларни суймас. (Демак, Қорун Мусо алайҳиссаломнинг, яъни, Бани Исроил қавмидан бўлиб, қавмига такаббурлик қилган.
076_02	Қорун катта бойликка учиб, қавмига такаббурлик қилди. Молу мулки шу даражада кўп эдики, хазиналарининг калитларини кўтариш бир тўда кучли одамларга ҳам оғирлик қилар эди. Ўша вақтда шунчалик молга эгалик уни ҳовлиқтириб юборади. Шу сабабли, ўз қавмига такаббурлик қилади.)
077_00	Ва Аллоҳ сенга берган нарса билан охиратни излагин, бу дунёдаги насибангни ҳам унутма. Аллоҳ сенга яхшилик қилганидек, сен ҳам яхшилик қил. Ер юзида бузғунчиликни излама. Албатта, Аллоҳ бузғунчиларни суймас», дедилар. (Аллоҳ таоло берган молу дунёга қандай муносабатда бўлиш кераклиги ушбу ояти каримада ўз аксини топган. Мусулмон банда қўлига молу дунё тушганда ўзини худди шу оятга мос тутмоғи лозим.
077_01	Мусулмон одам, аввало, Аллоҳ берган молу дунё билан охиратни излашга интилади. Яъни, молу мулкини шариатда кўрсатилган, охиратда фойда берадиган жойларга сарфлайди. Ҳаром-хариш, гуноҳ, фисқу фужур ва беҳуда ишларга сарф этмайди. Чунки беҳуда ишларга сарфланган молу дунё бу дунёда ҳам, у дунёда ҳам фойда бермайди. Аксинча, икки дунёда ҳам зиён келтиради. Лекин мусулмон одам охиратни ўйлаб, бу дунёсини тарк қилиб-унутиб ҳам юбормайди.)
078_00	У: «Менга у фақат ўзимдаги илм туфайлигина берилгандир», деди.
078_01	У, албатта, Аллоҳ ундан олдинги асрларда ундан кўра қувватлироқ, ундан кўра кўпроқ (мол) тўплаганларни ҳалок этганини билмасмиди?!
078_02	Гуноҳкорлардан гуноҳлари ҳақида сўраб ўтирилмас.
