001_00	Эй одамлар! Роббингиздан қўрқинг! Албатта, (қиёмат) соати зилзиласи улкан нарсадир.
027_00	Одамларни ҳажга чақир, улар сен томон пиёда, узоқ-узоқ йўллардан юриб, озиган уловлар устида келсинлар.
028_00	Ва ўзларига бўладиган манфаатларга шоҳид бўлсинлар.
028_01	Маълум кунларда уларга ризқ қилиб берган чорва ҳайвонларини (сўйишда) Аллоҳнинг исмини зикр қилсинлар. Бас, улардан енглар ва бечора ва фақирларга ҳам егизинглар.
029_00	Сўнгра ўзларидаги кирларни кетказсинлар, назрларига вафо қилсинлар ва «қадимги уй»ни тавоф қилсинлар», деганимизни эсла. (Байтуллоҳнинг эгаси Аллоҳ таоло томонидан, унинг қурувчиси Иброҳим алайҳиссаломга айтилаётган бу сифатлар Қурайш кофирларида эмас, мусулмонларда мавжуд. Демак, Байтуллоҳга, Масжидул Ҳаромга Қурайш кофирлари эмас, мусулмонлар ҳақлидирлар. Эй Иброҳим, одамларни ҳаж ибодатига чақир. Энг узоқ юртлардан ҳам келсинлар. Пиёда юриб бўлса ҳам, келсинлар. Йўл узоқлигидан, машаққатлилигидан уловлари озиб-ҳориб кетса ҳам, келсинлар. Ҳажга келувчилар, аввало, Аллоҳга ибодат қилади, тақвоси зиёда бўлади, ўзаро фикр ва тажриба алмашадилар, фойдали маслаҳатлар оладилар, шунингдек, савдо-сотиқ, тижорат ҳам қиладилар. Ҳаж мавсумнинг авжи, ийд кунлари бўлиб, унда зикр қурбонлик сўйиш жараёнида яна авжланади. Қурбонлик қилувчи ҳожи қурбонлигидан ўзи еса ҳам бўлади, бева-бечора, фақир-фуқароларга егизса ҳам бўлади Қурбонлик қилиб бўлганидан кейин, ҳожига эҳромдан чиқишга рухсат бўлади, эҳром вақтида мумкин бўлмаган соч олдириш ёки қисқартиришга, қўлтиқ остидаги ва бошқа жойлардаги тукларни, тирноқларни олишга изн берилади. Ҳожи бу ишларни бажариб, ювиниб-таранади. Оятда«... ўзларидаги кирларни кетказсинлар...» дейишдан мақсад шу. «Қадимги уй»дан мурод Каъбатуллоҳ. Бу тавофни фарз тавоф, ифоза тавофи, дейилади. Бу тавофсиз ҳаж ҳаж бўлмайди. Шуни адо этишлик билан ҳаж ибодати ҳам тугайди.)
030_00	Ана шундай. Ким Аллоҳ ҳаром қилган нарсаларга риоя қилса, бас, бу Робби ҳузурида унинг ўзи учун яхшидир.
030_01	Ва сизларга (келажакда) тиловат қилинадиганлардан бошқа чорва ҳайвонлари ҳалол қилинди. Бас, бутлардан иборат нажосатдан йироқ бўлинг ва ёлғон сўздан йироқ бўлинг.
031_00	Аллоҳга бўлган иймондан оғманг, Унга ширк келтиргувчи бўлманг. Ким Аллоҳга ширк келтирса, бас, у гўёки осмондан қулаб тушгану уни йиртқич қуш олиб қочган ёки уни шамол узоқ ерга учириб кетган кабидир. (Инсон иймонга эришганда, юқори мартабаларга эришган бўлади, кимки ўша юксак мартабани хоҳламай, Аллоҳга ширк келтирса, худди осмондан қулаб тушган каби бўлади.)
032_00	Иш бундоқ. Ким Аллоҳнинг нишонларини улуғласа, бас, албатта, бу қалбларнинг тақвосидандир. (Ушбу оят маъносида «нишонлар» деб таржима қилган ибора Қуръони Каримда «шаоир» деб айтилган. Бу «шаъийра» сўзининг жами–кўплиги, нишон, белги, аломат маъноларини билдиради. Бу сўз Аллоҳ таолога нисбат берилиб, «шаоируллоҳ–Аллоҳнинг нишонлари», дейилганда эса, Аллоҳнинг дини, Исломнинг кўзга кўринган, шон-шавкати аломати бўлган ибодатлар кўзда тутилади. Ушбу ояти каримада эса, қурбонликка сўйиладиган катта ҳайвонлар кўзда тутилмоқда.)
033_00	Сизга у(нишон)ларда маълум вақтгача манфаатлар бордир. Сўнгра уларни (сўйиш) ҳалол макони «қадимги уй» (атрофи)дадир.
034_00	Ҳар бир умматга уларга чорва ҳайвонларини ризқ қилиб берганига Аллоҳнинг исмини эслашлари учун қурбонлик қилишни жорий этганмиз. Бас, илоҳларингиз бир илоҳдир.
034_01	Бас, Унгагина мусулмон бўлинг. Итоатли, мутавозеъларга башорат бер.
035_00	Улар Аллоҳ зикр қилинган вақтда қалблари титрайдиган ва ўзларига етган мусибатга сабр қилгувчилар ҳамда намозни тўкис адо этгувчилардир, уларга ризқ қилиб берган нарсамиздан инфоқ қиларлар.
036_00	Ва туяларни сиз учун Аллоҳнинг нишонларидан қилдик. Уларда сизга яхшилик бор. Уларга олд оёқларидан бири боғлиқ турган ҳолида Аллоҳнинг номини зикр қилинг.
036_01	Ёнлари ерга текканида эса, бас, улардан енг ва қаноатли ва тиланган камбағалларни ҳам таомлантиринг. Шундай қилиб, Биз уларни сизга бўйинсундириб қўйдик. Шоядки шукр қилсангиз.
037_00	Уларнинг гўштлари ҳам, қонлари ҳам зинҳор Аллоҳга етмайдир. Лекин Унга сиздан тақво етадир. Шундай қилиб, сизни ҳидоят қилгани эвазига Аллоҳга такбир айтишингиз учун уларни сизга бўйинсундириб қўйди. Яхшилик қилгувчиларга башорат бер.
037_01	(Қурбонлик қилишдан мақсад банданинг Аллоҳ амрига итоатини, тақвосини намоён этишдир. Банда Аллоҳни қанча улуғласа, шунча оз. Биргина ҳидоятга бошлаб қўйгани учун қанча такбир айтса, оз. Қурбонлик қилиш ҳам, Аллоҳнинг йўлида ҳар қандай қурбонлик беришга тайёр эканини кўрсатиш ҳам ўша ҳидоят учун Аллоҳ таолони улуғлашдир.)
038_00	Албатта, Аллоҳ иймон келтирганларни мудофаа қиладир. Албатта, Аллоҳ барча хоин ва кофирларни хуш кўрмас.
039_00	Ўзларига қарши уруш очганларга уларга зулм қилингани учун (урушга) изн берилди. Албатта, Аллоҳ уларга нусрат беришга қодирдир. (Демак, кофирлар аввал мусулмонларга қарши уруш очган. Мусулмонлар ҳужумга ва зулмга учраганлар. Энди улар ўзларини ҳимоя қилмасалар, бўлмайди. Кофирлар уларни йўқ қилиб юборишлари мумкин. Мусулмонлар урушга кирсалар, Аллоҳ уларга ёрдам беришга қодирдир.)
040_00	Улар ноҳақдан, фақатгина «Роббимиз Аллоҳ»
040_01	деганлари учун ўз диёрларидан чиқарилгандирлар.
040_02	Агар Аллоҳ одамларнинг баъзиларини баъзилари билан даф қилиб турмаса, узлатгоҳлар, канисалар, ҳавралар ва Аллоҳнинг номи кўплаб зикр қилинадиган масжидлар вайрон қилинган бўлур эди. Албатта, Аллоҳ Ўзига ёрдам берганларга ёрдам берур. Албатта, Аллоҳ кучли ва ғолибдир.
041_00	Уларга ер юзида имкон берсак, намозни тўкис адо этарлар, закотни берарлар, яхшиликка буюриб, ёмонликдан қайтарарлар. Ишларнинг оқибати Аллоҳга оиддир. (Ояти каримадаги «Уларга ер юзида имкон берсак» жумласидан «макон берсак» маъноси ҳам тушунилади. Бунга қўшимча «ер юзида нусрат, ғалаба берсак» маънолари ҳам чиқади. Диёрларидан «Роббимиз Аллоҳ» деганлари учун чиқарилган мусулмонларга ер юзида макон, нусрат, ғалаба–имкон берсак: Ховлиқиб кетмайдилар, балки Аллоҳ таолога ихлос билан ибодат қиладилар, у билан боғланишни кучайтирадилар. Аллоҳ хоҳлаган оқибатини келтириб чиқаради. Хоҳласа, мағлубиятни ҳам ғалабага айлантириб юборади.)
042_00	Агар сени ёлғончи қилаётган бўлсалар, бас, булардан олдин Нуҳ қавми, Од ва Самуд ҳам ёлғончи қилган эдилар.
043_00	Иброҳим қавми, Лут қавми.
044_00	Мадян эгалари ҳам. Ва Мусо ҳам ёлғончи қилинди. Мен кофирларга бир оз муҳлат бердим, сўнгра уларни тутдим. Бас, Менинг инкорим қандоқ бўлди?! (Албатта, ўта шиддатли бўлди. Ўта қўрқинчли бўлди. Ўша кофир, жиноятчи, Пайғамбарларини ёлғончига чиқарган қавмларнинг баъзиларини тўфон азоби тутди. Баъзиларини ер ютди, зилзила ва бошқа азобларга дучор бўлдилар.)
045_00	Қанчадан-қанча шаҳар-қишлоқларни зулм қилгувчи бўлган ҳолида ҳалок этдик. Бас, улар (ҳозирда) шифтлари қулаган, ташландиқ қудуқ, (ҳувиллаган) юксак қаср (ҳолидадир).
046_00	Ахир, ер юзида айланиб юрмайдимиларки, уларга ақл этадиган қалблар, эшитадиган қулоқлар бўлсин. Зеро, кўзлар кўр бўлмас, кўксилардаги қалблар кўр бўлур.
046_01	(Ўша кофирлар ер юзида айланиб юрганларида, ўтган кофирлардан қолган асарларни кўрар эдилар. Уларни кўриб, тафаккур қилганларида қалблари таъсирланиб, ақллари кирар эди. Одамлардан ўтган золим кофир қавмлар нима учун ва қандай қилиб ҳалокатга учраганлари ҳақидаги ривоятларни эшитар, улардан ибрат олар эдилар.)
047_00	Улар сендан азобнинг тезроқ келишини сўрарлар. Ҳолбуки, Аллоҳ ваъдасига хилоф қилмас. Дарҳақиқат, Роббинг ҳузуридаги бир кун, сиз санайдиган минг йилдекдир. (Модомики кофирларга азоб юборишни ваъда қилдими, уларга Аллоҳнинг азоби, албатта, келади. Шошилмай турсинлар. Азобни қачон юборишни Аллоҳнинг Ўзи билади. Аллоҳ таоло ҳеч шошилмайди. «Дарҳақиқат, Роббинг ҳузуридаги бир кун сиз санайдиган минг йилдекдир». Шунинг учун ҳам У зот шошилмайди.)
048_00	Қанчадан-қанча шаҳар-қишлоқларга зулм қилгувчи бўлган ҳолида ҳам муҳлат бердим. Сўнгра уларни (азобга) тутдим. Қайтиш фақат менгагинадир.
049_00	Сен: «Эй одамлар! Мен сизлар учун фақат бир очиқ огоҳлантиргувчиман, холос», деб айт.
050_00	Иймон келтириб, яхши амалларни қилганларга мағфират ва икромли ризқ бордир.
051_00	Бизнинг оятларимизни ожиз қолдирмоқчи бўлиб, саъйи-ҳаракат қилганлар, ана ўшалар жаҳийм эгаларидир.
052_00	Биз сендан илгари ҳеч бир Расул ва Набий юбормадикки, у бир нарсани таманний қилганида, шайтон унинг таманнийсига (шубҳа) ташламаган бўлса. Бас, Аллоҳ шайтон ташлайдиган нарсани кетказур. Сўнгра Аллоҳ Ўз оятларини мустаҳкам қилур. Аллоҳ ўта билгувчи ва ҳикматли зотдир. (Луғат жиҳатидан қарайдиган бўлсак «Таманний» сўзи араб тилида «олий орзу»
052_01	(ажНабий тилдаги «идеал») маъносини англатади. Шунинг учун ҳам ояти карима маъносини таржима қилишда бу сўзни шу ҳолда қолдиришни раво кўрдик. Ушбу ояти каримада, бу олий орзу бошқа Расул ва Набийларда ҳам бўлганлиги, бу кўпроқ шайтон томонидан нотўғри фикр ёки ҳолатларга олиб бориши мумкинлиги, аммо Аллоҳ доимо Ўзи Пайғамбарларни бундан сақлаб келганлиги айтилмоқда. Ушбу ҳолат Пайғамбаримиз (с. а. в) ҳаётларида бир неча марта кўрилган.)
053_00	Шайтон ташлайдиган нарсанинг қалбларида касали борларга ва қалблари тошларга фитна бўлиши учундир. Албатта, золимлар (ҳақдан) узоқ тортишувдадирлар.
054_00	Илм берилганлар у(Қуръон) Роббингдан келган ҳақ эканини билишлари, унга иймон келтиришлари ва қалблари унга боғланиб, таскин топиши учундир.
054_01	Албатта, Аллоҳ иймон келтирганларни тўғри йўлга ҳидоят қилгувчидир.
055_00	Куфр келтирганлар, уларга (қиёмат) соати тўсатдан келгунича ёки қисир Кун азоби келгунича у(Қуръон)дан шубҳада бўлишда давом этурлар. (Кофирлар қиёматгача Қуръони Карим Аллоҳдан келган ҳақ эканига шубҳада бўладилар. Шунинг учун иймон келтирмайдилар. Лекин бу билан фақат ўзларига зиён қиладилар, холос.)
056_00	Ўша кунда ҳукмронлик (ёлғиз) Аллоҳгагина хосдир. У улар орасида ҳукм қилур. Бас, иймон келтирганлар ва яхши амал қилганлар нозу неъмат жаннатларидадирлар.
057_00	Куфр келтирган ва оятларимизни ёлғонга чиқарганлар эса, бас, ана ўшаларга хорловчи азоб бордир.
058_00	Аллоҳ йўлида ҳижрат қилганлар, сўнгра ўлдирилиб ёки вафот этганларни, албатта, Аллоҳ гўзал ризқ ила ризқлантирур. Албатта, Аллоҳ ризқ бергувчиларнинг энг яхшисидир. (Ҳижрат Аллоҳ йўлида ватандан, қариндош-уруғдан, молу дунёдан, турли қулайликлардан узоқда бўлишдир. Ҳижрат барча Пайғамбарлар, улуғ зотлар бошидан ўтказган ҳолатдир. Исломда эса, Ислом Пайғамбари Муҳаммад (с. а. в.) ва у кишининг сафдошлари–саҳобаларнинг бир қисми ҳаётидаги катта синовдир. Аллоҳ таоло уларнинг Маккадан Мадинага қилган ҳижратларидан сўнг Исломга фатҳу футуҳ, шону шавкат берди.)
059_00	Албатта, У зот уларни ўзлари рози бўладиган жойга киритур. Албатта, Аллоҳ ўта билгувчи ва ҳалим зотдир.
060_00	Иш бундоқ. Ким ўзига иқоб қилинганига ўхшаш иқоб қилсаю, сўнгра унга яна зўравонлик қилинса, Аллоҳ, албатта, унга нусрат берур. Албатта, Аллоҳ авфли ва мағфиратли зотдир. (Биров зулмга учраб, бошқа бир киши томонидан иқобга учраса, қасос олиш тариқасида ўша золимдан ўзига қилинган иқоб даражасида ўч олсаю, сўнгра унга яна тажовуз қилинса, ўша одамга Аллоҳ ёрдам беради. Чунки у зулм қилмаяпти, ҳаддидан ошмаяпти, фақат ўз ҳаққини талаб қиляпти. Бошқа томон эса, аввал ноҳақдан тажовузкорлик қилган эди. Тажовузига яраша жавоб келганида, тушуниб ўзини тийиши керак эди. Аммо у яна тажовузкорлик қилди.)
061_00	Чунки Аллоҳ, албатта, кечани кундузга киритур ва кундузни кечага киритур. Албатта, Аллоҳ ўта эшитгувчи ва ўта кўргувчи зотдир. (Доимий сувратда кеча кундузга, кундуз кечага кириб туради. Буни Аллоҳга куфр келтириб, гердайиб юрган одамлар ҳам, бошқалари ҳам қила олмайди. Буни фақат Аллоҳ таологина қилади. Аллоҳнинг бу ишини биров тўхтата олмаганидек, у зотнинг мазлумларга нусрат беришини ҳам тўхтата олмайди.)
062_00	Чунки Аллоҳнинг Ўзигина ҳақдир, Ундан бошқа топинаётганлари эса, ботилдир. Албатта, Аллоҳ юксак ва буюкдир.
063_00	Аллоҳ осмондан сув туширганида, ернинг ям-яшил бўлишини кўрмадингми?! Албатта, Аллоҳ ўта лутфли ва хабардор зотдир.
064_00	Осмонлару ердаги нарсалар Уникидир. Албатта, Аллоҳ, Унинг Ўзигина беҳожат ва мақталган зотдир. (Аллоҳ таоло осмонлару ердаги нарсаларга эга бўлганидан, У зотнинг ҳеч бир нарсага ҳожати йўқ. Шундай ҳам мақталган, ҳамду сано эгаси бўлган зотдир. Ўзидан бошқа ёрдамчига Унинг ҳожати бўлмаганидек, бировнинг мақтовига ҳам ҳожати йўқдир.)
065_00	Аллоҳ ердаги нарсаларни, денгизда Ўз изни ила юрадиган кемани сизларга бўйсундириб қўйганини ҳамда осмонни изнисиз ерга тушишдан тутиб туришини кўрмадингизми?! Албатта, Аллоҳ одамларга шафқатли ва меҳрибондир.
065_01	(Инсоф билан фикр ишлатиб қаралса, Аллоҳ таоло ер юзидаги ҳамма нарсаларни инсон фойдаси учун, унга бўйсунадиган, унга беминнат хизмат қиладиган қилиб қўйган. Ҳаводан тортиб, тошу тоққача, набототу жамодот, катта-кичик жонзотлар, ҳамма-ҳаммаси инсон учун хизматкор. Уларнинг эвазига инсондан ҳақ талаб қилинмайди.)
066_00	Сизларни тирилтирган, кейин ўлдирадиган, сўнгра (қайта) тирилтирадиган ҳам Унинг Ўзидир. Албатта, инсон ўта ношукрдир. (Инсонга ҳаёт бериб, уни йўқдан бор қилган ким?! Албатта, Аллоҳ! Ана шу зотга шукр қилиб, Унга иймон келтириб, Унинг ибодатини қилса, бўлмасмиди?! Бу дунёда яшаб юрган инсонни ўлдирадиган ким?! Албатта, Аллоҳ! Ўлганларни қиёмат куни қайта тирилтирадиган, уларни сўроқ-саволга тутадиган, қилганига яраша мукофот ёки жазо берадиган ким?! Албатта, Аллоҳ! Шундай экан, инсон ўша кунга тайёргарлик кўрса бўлмасмиди?! «Албатта, инсон ўта ношукрдир». Шунинг учун ҳам Аллоҳга куфр келтиради. Унга исён қилади. Унинг кўрсатган йўлидан юрмайди.)
067_00	Биз ҳар бир умматга шариат берганмиз. Улар ўшанга амал қилгувчилардир. Бас, бу ишда ҳаргиз сен ила низо қилмасинлар. Роббингга даъват қил. Албатта, сен мустақийм ҳидоятдасан.
068_00	Агар улар сен билан тортишсалар: «Аллоҳ нима қилаётганингизни билгувчидир.
069_00	Аллоҳ қиёмат куни сиз ихтилоф қилган нарса бўйича орангизда ҳукм қиладир», деб айт.
070_00	Аллоҳ, албатта, осмону ердаги нарсани билишини, ана ўша, албатта, китобда эканини ва, албатта, у нарса Аллоҳга осон эканини билмайсанми?! (Ушбу оятдаги савол иқрор қилдириш маъносидадир. Яъни, билар эдинг-ку, дейилмоқда. Ояти каримадаги «китоб»дан мурод «Лавҳул маҳфуз»дир. Демак, ҳукм қилиш Аллоҳ таоло учун ҳеч нарса эмас.)
071_00	Улар Аллоҳни қўйиб, У зот ҳақларида бирон ҳужжат туширмаган, ўзларида у ҳақда илм бўлмаган нарсага ибодат қиладилар. Золимларга ҳеч бир нусрат бергувчи йўқдир.
072_00	Уларга очиқ-ойдин оятларимиз тиловат қилинаётганида, куфр келтирганларнинг юзларида инкорни кўрурсан. Улар ўзларига оятларимизни тиловат қилиб бераётганларга чанг солишга оз қолурлар. Сен уларга: «Бунингиздан ҳам ёмонроқ нарсанинг хабарини берайми?
072_01	У дўзахдир. Аллоҳ уни куфр келтирганларга ваъда қилгандир. Ва у нақадар ёмон қайтиш жойидир», деб айт.
073_00	Эй одамлар! Бир масал айтилмиш, бас, унга қулоқ солинг! Албатта, сизлар Аллоҳни қўйиб, топинаётган нарсаларингиз, агар барчалари бирлашсалар ҳам, битта пашша ярата олмаслар. Ва агар пашша улардан бирон нарсани тортиб олса, ундан ўшани қутқариб ололмаслар. Талаб қилувчи ҳам, талаб қилинган ҳам ожиз бўлди. (Бошқа катта жонзотларни қўйсинлар-у, энг кичик, энг ҳақир, энг аҳамиятсиз кўринган пашшани яратишга уриниб кўрсинлар. Ярата олмаслар. Хўш, энди бир дона пашшани ярата олмаган бутга қандай қилиб топиниш, сиғиниш, айтганини (агар айтолса,) қилиш мумкин?
