001_00	Há, Mim
043_00	É indubitável que aquilo a que me incitais não pode ser exorável neste mundo, nem no outro, e que o nosso retorno será aDeus, e que os transgressores serão os condenados ao inferno.
044_00	Logo vos recordareis do que vos digo! Quanto a mim, encomendo-me a Deus, porque é Observador dos Seus servos.
045_00	E eis que Deus o preservou das conspirações que lhe haviam urdido, e o povo do Faraó sofreu o mais severo doscastigos!
046_00	É o fogo infernal, ao qual serão apresentados, de manhã e à tarde; e no dia em que chegar a Hora, (Deus dirá): Fazeientrar o povo do Faraó, para o mais severo dos castigos.
047_00	E quando disputarem entre si, no inferno, os fracos dirão aos que se ensoberbeceram: Em verdade, fomos vossosseguidores; podeis, pois, livrar-nos, ainda que seja de uma só parte do fogo?
048_00	E os que se ensoberbeceram lhes responderão: Em verdade, estamos todos aqui, porque Deus julgou entre os servos!
049_00	E os réprobos pedirão aos guardiãos do inferno: Invocai vosso Senhor para que nos alivie, em um só dia, do suplício!
050_00	Retrucar-lhes-ão: Acaso, não vos apresentaram, os vossos mensageiros, as evidências? Dirão: Sim! Dir-lhes-ão: Rogai, pois, embora o rogo dos incrédulos seja improfícuo!
051_00	Sabei que secundaremos Nossos mensageiros e os fiéis, na vida terrena e no dia em que se declararem as testemunhas.
052_00	(Será) o dia em que aos iníquos de nada valerão as suas escusas, senão que receberão a maldição, e terão a pior morada.
053_00	Havíamos concedido a Moisés a orientação, e fizemos os israelitas herdarem o livro.
054_00	(Livro esse) que é orientação e mensagem para os sensatos.
055_00	Persevera, pois, porque a promessa de Deus é infalível; implora o perdão das tuas faltas e celebra os louvores do teuSenhor, ao anoitecer e ao amanhecer.
056_00	Aqueles que disputam acerca dos versículos de Deus, sem autoridade concedida, não abrigam em seus peitos senão asoberbia, com
056_01	a qual jamais lograrão o que quer que seja: ampara-te, pois, em Deus, porque é o Oniouvinte, o Onividente.
057_00	Seguramente, a criação dos céus e da terra é mais importante do que a criação do homem; porém, a maioria dos humanoso ignora.
058_00	Jamais poderão equiparar-se o cego e o vidente, tampouco os fiéis, que praticam o bem, e os iníquos. Quão poucomeditais!
059_00	Sabei que a Hora chegará, indubitavelmente; porém a maioria dos humanos não crê nisso.
060_00	E o vosso Senhor disse: Invocai-Me, que vos atenderei! Em verdade, aqueles que se ensoberbecerem, ao Me invocarem, entrarão, humilhados, no inferno.
061_00	Deus foi Quem fez a noite, para que repousásseis, e o dia, para (vos) ajudar a ver. Certamente Deus é Agraciante paracom os humanos. Porém, a maioria deles não Lhe agradece.
062_00	Tal é Deus, vosso Senhor, Criador de tudo. Não há mais divindade, além d'Ele. Como, pois, vos desviais?
063_00	Assim se desviam aqueles que negam os versículos de Deus.
064_00	Deus foi Quem fez a terra como berço, o céu como teto, modelou e aperfeiçoou as vossas configurações, e vos agracioucom todo o bem.
064_01	Tal é Deus, vosso Senhor. Bendito seja Deus, Senhor do Universo!
065_00	Ele é o vivente! Não há mais divindade, além d'Ele! Invocai-O, pois, sinceramente! Louvado seja Deus, Senhor doUniverso!
066_00	Dize-lhes: Quando me chegaram as evidências do meu Senhor, foi-me proibido adorar aos que invocáveis em vez d'Ele, e foi-me ordenado submeter-me ao Senhor do Universo!
067_00	Ele foi Quem vos criou do pó, depois do sêmen, depois de algo que se agarra, então vos extraiu, crianças, das estranhasmaternas, para algo alcançardes a vossa
067_01	maturidade, para então chegardes à senilidade; e há aqueles, dentre vós, quemorrem antes; Ele assim procede, para que alcanceis o término prefixado, a fim de que raciocineis.
068_00	Ele é Quem dá a vida e a morte e, quando decide algo, diz somente: Seja!, e é.
069_00	Porventura, não reparaste naqueles que disputam a respeito dos versículos de Deus, como se afastam d'Ele?
070_00	São aqueles que desmentem o Livro e tudo quanto enviamos com os Nossos mensageiros. Logo o saberão!
071_00	(Ah, se tu pudesses vê-los) quando lhes forem postas as argolas nos pescoços, e forem arrastados com as cadeias,
072_00	Até à água fervente! Logo serão combustível para o fogo.
073_00	Então lhes será dito: Onde estão os que idolatráveis,
074_00	Em lugar de Deus? Responderão: Desvaneceram-se. E agora reconhecemos que aquilo que antes invocávamos nada era! Assim, Deus extravia os incrédulos.
075_00	Isso acontecerá por causa do vosso regozijo injusto na terra, e por causa da vossa insolência.
076_00	Adentrai, pois, as portas do inferno, onde permanecereis eternamente! E que péssima é a morada dos arrogantes!
077_00	Persevera, pois, porque a promessa de Deus é inexorável; quer que mostremos algo do que lhes temos prometido, querque acolhamos, certamente retornarão a Nós.
078_00	Antes de ti, havíamos enviado mensageiros; as histórias de alguns deles te temos relatado, e há aqueles dos quais nadate relatamos.
078_01	E a nenhum mensageiro é dado apresentar sinal algum, senão com o beneplácito de Deus. Porém, quando aordem de Deus chegar, será executada com eqüidade, e então os difamadores estarão perdidos.
079_00	Deus foi Quem vos criou o gado; alguns para cavalgardes, e outros para servir-vos de alimento.
080_00	E, ademais, tendes nele (outras) espécies de benefícios e, para conseguirdes, com a sua ajuda, a satisfação de qualquernecessidade (que possa haver) nos vossos corações, e sobre eles sois transportados, como o sois pelos navios.
081_00	E Ele vos mostra o Seus sinais. Qual dos sinais de Deus negareis, pois?
082_00	Acaso, não percorreram eles a terra, para ver qual foi a sorte dos meus antepassados?
082_01	Eram mais numerosos, maisvigorosos, e deixaram traços mais marcantes do que os deles, na terra; mas de nada lhes valeu tudo quanto haviam feito.
083_00	Porém, quando lhes apresentaram os seus mensageiros as evidências, permaneceram exultantes com os seus própriosconhecimentos; mas foram envolvidos por aquilo de que escarneciam.
084_00	E quando presenciaram o Nosso castigo, disseram: Cremos em Deus, o Único, e renegamos os parceiros que Lheatribuíamos.
085_00	Porém, de nada lhes valerá a sua profissão de fé quando presenciarem o Nosso castigo. Tal é a Lei de Deus para comSeus servos. Assim, então perecerão os incrédulos.
