001_00	Sad. Pelo Alcorão, portador da Mensagem (que isto é a verdade)!
072_00	Quando o tiver plasmado e alentado com o Meus Espírito, prostrai-vos ante ele.
073_00	E todos os anjos se prostraram, unanimemente.
074_00	Menos Lúcifer, que se ensoberbeceu e se contou entre os incrédulos.
075_00	(Deus lhe) perguntou: Ó Lúcifer, o que te impede de te prostrares ante o que criei com as Minhas Mãos? Acaso, estásensoberbecido ou é que te contas entre os altivos?
076_00	Respondeu: Sou superior a ele; a mim me criaste do fogo, e a ele de barro.
077_00	(Deus lhe) disse: Vai-te daqui, porque és maldito.
078_00	E a Minha maldição pesará sobre ti, até ao Dia do Juízo!
079_00	Disse: Ó Senhor meu, tolera-me, até ao dia em que forem ressuscitados!
080_00	(Deus lhe) disse: Serás, dos tolerados,
081_00	Até ao dia do término prefixado.
082_00	Disse (Satanás): Por Teu poder, que os seduzirei a todos.
083_00	Exceto, entre eles, os Teus servos sinceros!
084_00	Disse-lhe (Deus): Esta é a verdade e a verdade é:
085_00	Certamente que lotarei o inferno contigo e com todos os que, dentre eles, te seguirem.
086_00	Dize-lhes (ó Mohammad): Não vos exijo recompensa alguma por isto, e não me conto entre os simuladores.
087_00	Este (Alcorão) não é mais do que uma Mensagem para o Universo.
088_00	E, certamente, logo tereis conhecimento da sua veracidade.
