001_00	Alef, Lam, Mim.
054_01	Isso será preferível, aos olhos dovosso Criador. Ele vos absolverá, porque é o Remissório, o Misericordioso.
055_00	E de quando dissestes: Ó Moisés, não creremos em ti até que vejamos Deus claramente! E a centelha vos fulminou, enquanto olháveis.
056_00	Então, vos ressuscitamos, após a vossa morte, para que assim, talvez, Nos agradecêsseis.
057_00	E vos agraciamos, com as sombras das nuvens e vos enviamos o maná e as codornizes, dizendo-vos: Comei de todas ascoisas boas com que vos agraciamos!
057_01	(Porém, o desagradeceram) e, com isso, não Nos prejudicaram, mas prejudicaram a simesmos.
058_00	E quando vos dissemos: Entrai nessa cidade e comei com prodigalidade do que vos aprouver, mas entrai pela porta, prostrando-vos, e dizei: Remissão!
058_01	Então, perdoaremos as vossas faltas e aumentaremos a recompensa dos benfeitores.
059_00	Os iníquos permutaram as palavras por outras que não lhe haviam sido ditas, pelo que enviamos sobre eles um castigodo céu, por sua depravação.
060_00	E de quando Moisés Nos implorou água para o seu povo, e lhe dissemos: Golpeia a rocha com o teu cajado!
060_01	E de prontobrotaram dela doze mananciais, e cada grupo reconheceu o seu. Assim, comei e bebei da graça de Deus, e não cismeis naterra, causando corrupção.
061_00	E de quando dissestes: Ó Moisés, jamais nos conformaremos com um só tipo de alimento!
061_01	Roga ao teu Senhor que nosproporcione tudo quanto a terra produz: suas hortaliças, seus pepinos, seus alhos, suas lentilhas e suas cebolas!
061_02	Perguntou-lhes: Quereis trocar o melhor pelo pior?
061_03	Pois bem: Voltai para o Egito, onde terei que implorais!
061_04	E foramcondenados à humilhação e à indigência, e incorreram na abominação de Deus; isso, porque negaram os versículos osversículos de Deus e assassinaram injustamente os profetas. E também porque se rebelaram e foram agressores.
062_00	Os fiéis, os judeus, os cristãos, e os sabeus, enfim todos os que crêem em Deus, no Dia do Juízo
062_01	Final, e praticam o bem, receberão a sua recompensa do seu Senhor e não serão presas do temor, nem se atribuirão.
063_00	E de quando exigimos o vosso compromisso e levantamos acima de vós o Monte, dizendo-vos: Apegai-vos com firmezaao que vos concedemos e observai-lhe o conteúdo, quiçá (Me) temais.
064_00	Apesar disso, recusaste-lo depois e, se não fosse pela graça de Deus e pela Sua misericórdia para convosco, contar-vos-íeis entre os desventurados.
065_00	Já sabeis o que ocorreu àqueles, dentre vós, que profanaram o sábado; a esses dissemos: "Sede símios desprezíveis!"
066_00	E disso fizemos um exemplo para os seus contemporâneos e para os seus descendentes, e uma exortação para ostementes a Deus.
067_00	E de quando Moisés disse ao seu povo: Deus vos ordena sacrificar uma vaca.
067_01	Disseram: Zombas, acaso, de nós? Respondeu: Guarda-me Deus de contar-me entre os insipientes!
068_00	Disseram: Roga ao teu Senhor para que nos indique como ela deve ser. Explicou-lhes: Ele afirma que há de ser umavaca que não seja nem velha, nem nova, de meia-idade. Fazei, pois, o que vos é ordenado.
069_00	Disseram: Roga ao teu Senhor, para que nos indique a cor dela. Tornou a explicar: Ele diz que tem de ser uma vaca decor jalne que agrade os observadores.
070_00	Disseram: Roga ao teu Senhor para que nos indique como deve ser, uma vez que todo bovino nos parece igual e, se aDeus aprouver, seremos guiados.
071_00	Disse-lhes: Ele diz que tem de ser uma vaca mansa, não treinada para labor da terra ou para rega dos campos; semdefeitos, sem manchas.
071_01	Disseram: Agora falaste a verdade. E a sacrificaram, ainda que pouco faltasse para que não ofizessem.
072_00	E de quando assassinastes um ser e disputastes a respeito disso; mas Deus revelou tudo quanto ocultáveis.
073_00	Então ordenamos: Golpeai-o (o morto), com um pedaço dela (rês sacrificada). Assim Deus ressuscita os mortos vosmanifesta os seu sinais, para que raciocineis.
074_00	Apesar disso os vossos corações se endurecem; são como as rochas, ou ainda mais duros.
074_01	De algumas rochas brotamrios e outras se fendem e delas mana a água, e há ainda outras que desmoronam, por temor a Deus. Mas Deus não estádesatento a tudo quanto fazeis.
075_00	Aspirais, acaso, a que os judeus creiam em vós, sendo que alguns deles escutavam as palavras de Deus e, depois de asterem compreendido, alteravam-nas conscientemente?
076_00	Quando se encontram com os fiéis, declaram: Cremos!
076_01	Porém, quando se reúnem entre si, dizem: Relatar-lhes-eis o queDeus vos revelou para que, com isso, vos refutem perante o vosso Senhor? Não raciocinais?
077_00	Ignoram, acaso, que Deus sabe tanto o que ocultam, como o que manifestam?
078_00	Entre eles há iletrados que não compreendem o Livro, a não ser segundo os seus desejos, e não fazem mais do queconjecturar.
079_00	Ai daqueles que copiam o Livro, (alterando-o) com as suas mãos, e então dizem: Isto emana de Deus, para negociá-lo avil preço.
079_01	Ai deles, pelo que as suas mãos escreveram! E ai deles, pelo que lucraram!
080_00	E asseveram: O fogo não vos atormentará, senão por dias contados. Pergunta-lhes: Recebestes, acaso, de Deus umcompromisso?
080_01	Pois sabei que Deus jamais quebra o Seu compromisso. Ou dizeis de Deus o que ignorais?
081_00	Qual! Aqueles que lucram por meio de um mal e estão envolvidos por suas faltas serão os condenados ao inferno, noqual permanecerão eternamente.
082_00	Os fiéis, que praticam o bem, serão os diletos do Paraíso, onde morarão eternamente.
083_00	E de quando exigimos o compromisso dos israelitas, ordenando-lhes: Não adoreis senão a Deus; tratai combenevolência vossos pais e parentes, os órfãos e os necessitados; falai ao próximo com doçura; observai a oração e pagai ozakat.
083_01	Porém, vós renegastes desdenhosamente, salvo um pequeno número entre vós.
084_00	E de quando exigimos nosso compromisso, ordenando-vos: Não derrameis o vosso sangue, nem vos expulseisreciprocamente de vossas casas; logo o confirmastes e testemunhastes.
085_00	No entanto, vede o que fazeis: estais vos matando; expulsais das vossas casas alguns de vós, contra quem demonstraisinjustiça e transgressão; e quando os fazeis prisioneiros, pedis resgate por eles, apesar de saberdes que vos era proibidobani-los.
085_01	Credes, acaso, em uma parte do Livro e negais a outra?
085_02	Aqueles que, dentre vós, tal cometem, não receberão, emtroca, senão aviltamento, na vida terrena e, no Dia da Ressurreição, serão submetidos ao mais severo dos castigo.
085_03	E Deusnão está desatento em relação a tudo quanto fazeis.
086_00	São aqueles que negociaram a vida futura pela vida terrena; a esses não lhes será atenuado o castigo, nem serãosocorridos.
087_00	Concedemos o Livro a Moisés, e depois dele enviamos muitos mensageiros, e concedemos a Jesus, filho de Maria, asevidências, e o fortalecemos com o Espírito da Santidade.
087_01	Cada vez que vos era apresentado um mensageiro, contrário aosvossos interesses, vós vos ensoberbecíeis! Desmentíeis uns e assassináveis outros.
088_00	Disseram: Nossos corações são insensíveis! Qual! Deus os amaldiçoou por sua incredulidade. Quão pouco acreditam!
089_00	Quando, da parte de Deus, lhes chegou um Livro (Alcorão), corroborante do seu - apesar de antes terem implorado avitória sobre os incrédulos - quando lhes chegou o que sabiam, negaram-no.
089_01	Que a maldição de Deus caia sobre os ímpios!
090_00	A que vil preço se venderam, ao renegarem o que Deus tinha revelado! Fizeram-no injustamente, inconformados de queDeus revelasse a Sua graça a quem Lhe aprouvesse, dentre os Seus servos.
090_01	Assim, atraíram sobre si abominação apósabominação. Os incrédulos sofrerão um castigo afrontoso.
091_00	Quando lhes é dito: Crede no que Deus revelou! Dizem: Cremos no que nos foi revelado.
091_01	E rejeitam o que está alémdisso (Alcorão), embora seja a verdade corroborante da que já tinham. Dize-lhes: Por que, então, assassinastes os profetasde Deus, se éreis fiéis?
092_00	Já Moisés vos havia apresentado as evidências e, em sua ausência, adorastes o bezerro, condenando-vos.
093_00	E quando aceitamos o vosso compromisso e elevamos o Monte acima de vós, dizendo-vos: Recebei com firmeza tudoquanto vos concedermos e escutai!, disseram: Já escutamos, porém nos rebelamos!
093_01	E, por sua incredulidade, imbuíram osseus corações com a adoração do bezerro. Dize-lhes: Quão detestáveis é o que vossa crença vos inspira, se é que sois fiéis!
094_00	Dize-lhes: "Se a última morada, ao lado de Deus, é exclusivamente vossa em detrimento dos demais, desejai então amorte, se estiverdes certos."
095_00	Porém, jamais a desejariam, por causa do que cometeram as suas mãos; e Deu bem conhece os iníquos.
096_00	Tu os acharás mais ávidos de viver do que ninguém, muito mais do que os idólatras, pois cada um deles
096_01	desejaria vivermil anos; porém, ainda que vivessem tanto, isso não os livraria do castigo, porque Deus bem vê tudo quanto fazem.
097_00	Dize-lhes Quem for inimigo de Gabriel, saiba que ele, com o beneplácito de Deus, impregnou-te (o Alcorão) no coração, para corroborar o que foi revelado antes; é orientação e alvíssaras de boas novas para os fiéis.
098_00	Quem for inimigo de Deus, de Seus anjos, dos Seus mensageiros, de Gabriel e de Miguel, saiba que Deus é adversáriodos incrédulos.
099_00	Revelamos-te lúcidos versículos e ninguém ousará negá-los, senão os depravados.
100_00	Será possível que, cada vez que contraem um compromisso, haja entre eles um grupo que o quebre? Em verdade, amaioria não crê.
101_00	E quando lhes foi apresentado um Mensageiro (Mohammad) de Deus, que corroborou o que já possuíam, alguns
101_01	dosadeptos do Livro (os judeus) atiraram às costas o Livro de Deus, como se não o conhecessem.
102_00	E seguiram o que os demônios apregoavam, acerca do Reinado de Salomão.
102_01	Porém, Salomão nunca foi incrédulo, outrossim foram os demônios que incorreram na incredulidade.
102_02	Ensinaram aos homens a magia e o que foi revelado aos doisanjos, Harut e Marut, na Babilônia.
102_03	Ambos, a ninguém instruíram, se quem dissessem: Somos tão somente uma prova; nãovos torneis incrédulos!
102_04	Porém, os homens aprendiam de ambos como desunir o marido da sua esposa. Mas, com isso nãopodiam prejudicar ninguém, a não ser com a anuência de Deus. Os homens aprendiam o que lhes era prejudicial e não o quelhes era benéfico, sabendo que aquele que assim agisse, jamais participaria da ventura da outra vida. A que vil preço sevenderam! Se soubessem...
103_00	Todavia, se tivessem acreditado, e temido, teriam obtido a melhor recompensa de Deus. Se o soubessem!...
104_00	Ó fiéis, não digais (ao Profeta Mohammad): "Raina", outrossim dizei: "Arzurna" e escutai. Sabei que os incrédulossofrerão um doloroso castigo.
105_00	Aos incrédulos, dentre os adeptos do Livro, e aos idólatras, agradaria que não vos fosse enviada nenhuma mercê
105_01	dovosso Senhor; mas Deus outorga a Sua Clemência exclusivamente a quem Lhe apraz, porque é Agraciante por excelência.
106_00	Não ab-rogamos nenhum versículo, nem fazemos com que seja esquecido (por ti), sem substituí-lo por outro melhor ousemelhante. Ignoras, por acaso, que Deus é Onipotente?
107_00	Porventura, não sabes que a Deus pertence o reino dos céus e da terra e que, além de Deus, (vós) não tereis outroprotetor, nem defensor?
108_00	Pretendeis interrogar o vosso Mensageiro, como anteriormente foi interrogado Moisés? (Sabei que) aquele que permutaa fé pela incredulidade desvia-se da verdadeira senda.
109_00	Muitos dos adeptos do Livro, por inveja, desejariam fazer-vos voltar à incredulidade, depois de terdes acreditado, apesar de lhes ter sido evidenciada a verdade.
109_01	Tolerai e perdoai, até que Deus faça cumprir os Seus desígnios, porque Deusé Onipotente.
110_00	Observai a oração, pagai o zakat e sabei que todo o bem que apresentardes para vós mesmo, encontrareis em Deus, porque Ele bem vê tudo quando fazeis.
111_00	Disseram: Ninguém entrará no Paraíso, a não ser que seja judeu ou cristão. Tais são as suas idéias fictícias. Dize-lhes: Mostrai vossa prova se estiverdes certos.
112_00	Qual! Aqueles que se submeteram a Deus e são caritativos obterão recompensa, em seu Senhor, e não serão presas dotemor, nem se atribularão.
113_00	Os judeus dizem: Os cristãos não têm em que se apoiar! E os cristãos dizem: O judeus não têm em que se apoiar!, apesar de ambos lerem o Livro.
113_01	Assim também os néscios dizem coisas semelhantes. Porém, Deus julgará entre eles, quantoàs suas divergências, no Dia da Ressurreição.
114_00	Haverá alguém mais iníquo do que aquele que impede que o nome de Deus seja celebrado em santuários e se esforçapor destruí-los?
114_01	Estes não deveriam adentrá-los senão, temerosos; sobre eles recairá, pois, o aviltamento deste mundo e, nooutro, sofrerão um severo castigo.
115_00	Tanto o levante como o poente pertencem a Deus e, aonde quer que vos dirijais, notareis o Seus Rosto, porque Deus éMunificente, Sapientíssimo.
116_00	Dizem (os cristãos): Deus adotou um filho! Glorificado seja! Pois a Deus pertence tudo quanto existe nos céus e naterra, e tudo está consagrado a Ele.
117_00	Ele é o Originador dos céus e da terra e, quando decreta algo, basta-Lhe dizer: "Seja!" e ele é.
118_00	Os néscios dizem: "Por que Deus não fala conosco, ou nos apresenta um sinal?" Assim falaram, com as mesmaspalavras, os seus antepassados, porque os seus corações se assemelham aos deles.
118_01	Temos elucidado os versículos para agente persuadida.
119_00	Por certo (ó Mensageiro) que te enviamos com a verdade, como alvissareiro e admoestador, e que não serásresponsabilizado pelos réprobos.
120_00	Nem os judeus, nem os cristãos, jamais estão satisfeitos contigo, a menos que abraces os seus credos.
120_01	Dize-lhes: "Porcerto que a orientação de Deus é a Orientação!" Se te renderes aos seus desejos, depois de te Ter chegado o conhecimento, fica sabendo que não terás, em Deus, Protetor, nem Defensor.
121_00	Aqueles a quem concedemos o Livro recitam-no como ele deve ser recitado. São os que acreditam nele; porém, aquelesque o negarem serão desventurados.
122_00	Ó israelitas, recordai-vos das Minhas mercês com as quais vos agraciei, e de que vos preferi aos vossoscontemporâneos.
123_00	E temei o dia em que nenhuma alma poderá advogar por outra alma, nem lhe será aceita compensação, nem lhe seráadmitida intercessão alguma, nem ninguém será socorrido.
124_00	E quando o seu Senhor pôs à prova Abraão, com certos mandamentos, que ele observou, disse-lhe: "Designar-te-eiImam dos homens." (Abraão) perguntou: E também o serão os meus descendentes?
124_01	Respondeu-lhe: Minha promessa nãoalcançará os iníquos.
125_00	Lembrai-vos que estabelecemos a Casa, para o congresso e local de segurança para a humanidade: Adotai a Estânciade Abraão por oratório.
125_01	E estipulamos a Abraão e a Ismael, dizendo-lhes: "Purificai Minha Casa, para os circundantes (daCaaba), os retraídos, os que genuflectem e se prostram.
126_00	E quando Abraão implorou: Ó senhor meu, faze com que esta cidade seja de paz, e agracia com frutos os seushabitantes que crêem em Deus e no Dia do Juízo Final!
126_01	Deus respondeu: Quanto aos incrédulos dar-lhe-ei um desfrutartransitório e depois os condenarei ao tormento infernal. Que funesto destino!
127_00	E quando Abraão e Ismael levantaram os alicerces da Casa, exclamaram: Ó Senhor nosso, aceita-a de nós pois Tu ésOniouvinte, Sapientíssimo.
128_00	Ó Senhor nosso, permite que nos submetamos a Ti e que surja, da nossa descendência, uma nação submissa à Tuavontade. Ensina-nos os nossos ritos e absolve-nos, pois Tu é o Remissório, o Misericordiosíssimo.
129_00	Ó Senhor nosso, faze surgir, dentre eles, um Mensageiro, que lhes transmita as Tuas leis e lhes ensine o Livro, e asabedoria, e os purifique, pois Tu és o Poderoso, o Prudentíssimo.
130_00	E quem rejeitaria o credo de Abraão, a não ser o insensato? Já o escolhemos (Abraão), neste mundo e, no outro, contrar-se-á entre os virtuosos.
131_00	E quando o seu Senhor lhe disse: Submete-te a Mim!, respondeu: Eis que me submeto ao Senhor do Universo!
132_00	Abraão legou esta crença aos seus filhos, e Jacó aos seus, dizendo-lhes: Ó filhos meus, Deus vos legou esta religião; apegai-nos a ela, e não morrais sem serdes submissos (a Deus).
133_00	Estáveis, acaso, presentes, quando a morte se apresentou a Jacó, que perguntou aos seus filhos: Que adorareis após aminha morte?
133_01	Responderam-lhe: Adoraremos a teu Deus e o de teus pais: Abraão, Ismael e Isaac; o Deus Único, a Quem nossubmetemos.
134_00	Aquela é uma nação que já passou; colherá o que mereceu e vós colhereis o que merecerdes, e não sereisresponsabilizados pelo que fizeram.
135_00	Disseram: Sede judeus ou cristãos, que estareis bem iluminados. Responde-lhes: Qual! Seguimos o credo de Abraão, omonoteísta, que jamais se contou entre os idólatras.
136_00	Dizei: Cremos em Deus, no que nos tem sido revelado, no que foi revelado a Abraão, a Ismael, a Isaac, a Jacó e àstribos; no que
136_01	foi concedido a Moisés e a Jesus e no que foi dado aos profetas por seu Senhor; não fazemos distinção algumaentre eles, e nos submetemos a Ele.
137_00	Se crerem no que vós credes, iluminar-se-ão; se se recusarem, estarão em cisma. Deus ser-vos-á suficiente contra eles, e Ele é o Oniouvinte, o Sapientíssimo.
138_00	Eis aqui a religião de Deus! Quem melhor que Deus para designar uma religião? Somente a Ele adoramos!
139_00	Pergunta-lhes: Discutireis conosco sobre Deus. Apesar de ser o nosso e o vosso Senhor? Somos responsáveis pornossas ações assim como vós por vossas, e somos sinceros para com Ele.
140_00	Podeis acaso, afirmar que Abraão, Ismael, Isaac, Jacó e as tribos eram judeus ou cristãos? Dize: Acaso, sois maissábios do que Deus o é?
140_01	Haverá alguém mais iníquo do que aquele que oculta um testemunho recebido de Deus? Sabei queDeus não está desatento a quanto fazeis.
141_00	Aquela é uma nação que já passou; colherá o que mereceu vós colhereis o que merecerdes, e não sereisresponsabilizados pelo que fizeram.
142_00	Os néscios dentre os humanos perguntarão: Que foi que os desviou de sua tradicional quibla?
142_01	Dize-lhes: Só a Deuspertencem o levante e o poente. Ele encaminhará à senda reta a quem Lhe apraz.
143_00	E, deste modo, (ó muçulmanos), contribuímo-vos em uma nação de centro, para que sejais, testemunhas da humanidade, assim como o Mensageiro e será para vós.
143_01	Nós não estabelecemos a quibla que tu (ó Mohammad) seguis, senão paradistinguir aqueles que seguem o Mensageiro, daqueles que desertam, ainda que tal mudança seja penosa, salvo para os queDeus orienta.
143_02	E Deus jamais anularia vossa obra, porque é Compassivo e Misericordiosíssimo para a humanidade.
144_00	Vimos-te (ó Mensageiro) orientar o rosto para o céu; portanto, orientar-te-emos até a quibla que te satisfaça.
144_01	Orientateu rosto (ao cumprir a oração) para a Sagrada Mesquita (de Makka)!
144_02	E vós (crentes), onde quer que vos encontreis, orientaivossos rosto até ela. Aqueles que receberam o Livro, bem sabem que isto é a verdade de seu Senhor; e Deus não estádesatento a quanto fazem.
145_00	Ainda que apresentes qualquer espécie de sinal ante aqueles que receberam o Livro, jamais adotarão tua quibla nem tuadotarás a deles; nem tampouco eles seguirão a quibla de cada um mutuamente.
145_01	Se te rendesses aos seus desejos, apesar doconhecimento que tens recebido, contar-te-ias entre os iníquos.
146_00	Aqueles a quem concedemos o Livro, conhecem-no como conhecem a seus próprios filhos, se bem que alguns delesocultam a verdade, sabendo-a.
147_00	(Esta é a) Verdade emanada de teu Senhor. Não sejas dos que dela duvidam!
148_00	Cada qual tem um objetivo traçado por Ele. Empenhai-vos na prática das boas Ações, porquanto, onde quer que vosacheis, Deus vos fará comparecer, a todos, perante Ele, porque Deus é Onipotente.
149_00	Aonde quer que te dirijas (ó Mohammad), orienta teu rosto para a Sagrada Mesquita, porque isto é a verdade do teuSenhor e Deus não está desatento a quanto fazeis.
150_00	Aonde quer que te dirijas, orienta teu rosto para a Sagrada Mesquita.
150_01	Onde quer que estejais (ó muçulmanos), voltaivossos rostos na direção dela, para que ninguém, salvo os iníquos, tenha argumento com que refutar-vos.
150_02	Não temais! Temeia Mim, a fim de que Eu vos agracie com Minhas mercês, para que vos ilumineis.
151_00	Assim também escolhemos, dentre vós, um Mensageiro de vossa raça para vos recitar
151_01	Nossos versículos, purificar-vos, ensinar-vos o Livro e a sabedoria, bem como tudo quanto ignorais.
152_00	Recordai-vos de Mim, que Eu Me recordarei de vós. Agradecei-Me e não Me sejais ingratos!
153_00	Ó fiéis, amparai-vos na perseverança e na oração, porque Deus está com os perseverantes.
154_00	E não digais que estão mortos aqueles que sucumbiram pela causa de Deus. Ao contrário, estão vivos, porém vós nãopercebeis isso.
155_00	Certamente que vos poremos à prova mediante o temor, a fome, a perda dos bens, das vidas e dos frutos. Mas tu (óMensageiro), anuncia (a bem-aventurança) aos perseverantes -
156_00	Aqueles que, quando os aflige uma desgraça, dizem: Somos de Deus e a Ele retornaremos -
157_00	Estes serão cobertos pelas bênçãos e pela misericórdia de seu Senhor, e estes são os bem encaminhados.
158_00	As colinas de Assafa e Almarwa fazem parte dos rituais de Deus e, quem peregrinar à Casa, ou cumprir a `umra, nãocometerá pecado algum em percorrer a distância entre elas.
158_01	Quem fizer espontaneamente além do que for obrigatório, saibaque Deus é Retribuidor, Sapientíssimo.
159_00	Aqueles que ocultam as evidências e a Orientação que revelamos, depois de
159_01	as havermos elucidado aos humanos, noLivro, serão malditos por Deus e pelos imprecadores,
160_00	Salvo os que se arrependeram, emendaram-se e declararam (a verdade); a estes absolveremos porque somos oRemissório, o Misericordiosíssimo.
161_00	Sobre os incrédulos, que morrem na incredulidade, cairá a maldição de Deus, dos anjos e de toda humanidade.
162_00	Que pesará sobre eles eternamente. O castigo não lhes será atenuado, nem lhes será dado prazo algum.
163_00	Vosso Deus e Um só. Não há mais divindade além d'Ele, o Clemente, o Misericordiosíssimo.
164_00	Na criação dos céus e da terra; na alteração do dia e da noite; nos navios que singram o mar para o
164_01	benefício dohomem; na água que Deus envia do céu, com a qual vivifica a terra, depois de haver sido árida e onde
