001_00	Ha, Mim.
021_01	Porém, se não houvesse sido pelo decreto do juízo, já os teria julgado. Certamente, os iníquos sofrerão um dolorosocastigo.
022_00	Verás os iníquos, atemorizados pelo que tiverem cometido, quando (o castigo) lhes estiver iminente.
022_01	Por outra, os fiéis, que praticarem o bem, morarão nos viçosos prados; terão tudo quanto lhes aprouver junto ao seu Senhor. Tal será amagnífica graça!
023_00	Isto é o que Deus anuncia ao Seus servos fiéis, que praticam o bem.
023_01	Dize-lhes: Não vos exijo recompensa alguma poristo, senão o amor aos vossos parentes. E a quem quer que seja que conseguir uma boa ação, multiplicar-lhe-emos; sabei queDeus é Compensador, Indulgentíssimo.
024_00	Ou dizem: Ele forjou uma mentira acerca de Deus!
024_01	Porém, se Deus quisesse, sigilaria o teu coração. Deus anula afalsidade e confirma a verdade, mediante as Suas palavras, porque é Conhecedor do que há nos corações.
025_00	E é Ele Que aceita o arrependimento dos Seus servos, absolve-lhes as faltas, bem como está sempre ciente de tudoquanto fazem.
026_00	E atende (às súplicas) dos fiéis, que praticam o bem, e os aumenta de Sua graça; porém, os incrédulos sofrerão umsevero castigo.
027_00	E se Deus prodigalizasse a Sua graça a todos os Seus servos, eles se excederiam na terra; porém, agraciaproporcionalmente, porque está bem inteirado, e é Observador dos Seus servos.
028_00	Ele é Que lhes faz descer a chuva, após o desespero (da seca), e dispensa a Sua misericórdia (a quem Lhe apraz), porque é o Protetor, o Laudabilíssimo.
029_00	E entre os Seus sinais está o da criação dos céus e da terra, e de todos os seres que aí disseminou, e poderá congregá-losquando Lhe aprouver.
030_00	E todo o infortúnio que vos aflige é por causa do que cometeram vossas mãos, muito embora ele perdoe muitas coisas.
031_00	E não podereis frustrar (a Ele) na terra; e além de Deus, não tereis outro protetor, nem socorredor.
032_00	E entre os Seus sinais está o dos navios que se elevam como montanhas nos oceanos.
033_00	E quando Lhe apraz, acalma o vento, fazendo com que permaneçam imóveis na superfície. Sabei que nisto há sinais paratodo o perseverante, agradecido.
034_00	Contudo, aniquila alguns, por tudo quanto tiverem cometido, e perdoa muitos.
035_00	E saibam aqueles, que disputam acerca dos nossos versículos, que não terão escapatória.
036_00	Tudo quanto vos foi concedido (até agora) é o efêmero gozo da vida terrena; no entanto, o que está junto a Deus épreferível e mais perdurável, para os fiéis que se encomendam a seu Senhor.
037_00	São aqueles que as abstêm dos pecados graves e das obscenidades e que, embora zangados, sabem perdoar,
038_00	Que atendem ao seu Senhor, observam a oração, resolvem os seus assuntos em consulta e fazem caridade daquilo comque os agraciamos;
039_00	E que, quando são afligidos por um erro opressivo, sabem defender-se.
040_00	E o delito será expiado com o talião; mas, quanto àquele que indultar (possíveis ofensas dos inimigos) e se emendar, saiba que a sua recompensa pertencerá a Deus, porque Ele não estima os agressores.
041_00	Contudo, aqueles que se vingarem, quando houverem sido vituperados, não serão incriminados.
042_00	Só serão incriminados aqueles que injustamente vituperarem e oprimirem os humanos, na terra; esses sofrerão umdoloroso castigo.
043_00	Ao contrário, quem perseverar e perdoar, saberá que isso é um fator determinante em todos os assuntos.
044_00	E aquele que Deus desviar não achará protetor, além d'Ele. E então observarás que os iníquos, quando virem o castigo, dirão: Haverá algum meio de retornarmos (ao mundo terreno)?
045_00	E quando forem colocados perante o fogo, haverás de vê-los humildes, devido à ignomínia, olhando furtivamente.
045_01	Masos fiéis dirão: Em verdade, os desventurados serão aqueles que se perderem, juntamente com os seus, no Dia daRessurreição. Não é, acaso, certo, que os iníquos sofrerão um castigo eterno?
046_00	E não terão protetores que os socorram, a não ser Deus. Mas a quem Deus desviar, não será encaminhado.
047_00	Atendei ao vosso Senhor, antes que chegue o dia irremissível de Deus! Nesse dia não tereis escapatória, nem podereisnegar (os vossos pecados)!
048_00	Porém, se desdenharem, fica sabendo que não te enviamos para seu guardião, uma vez que tão-somente te incumbe aproclamação (da mensagem).
048_01	Certamente, se fizemos o homem provar a Nossa misericórdia, regozijar-se-á com ela; poroutra, se o açoitar o infortúnio, por causa do que suas mãos cometeram, eis que se tornará ingrato!
049_00	A Deus pertence o reino dos céus e da terra. Ele cria a que Lhe apraz; concede filhas a quem quer e concede varões aquem Lhe apraz.
050_00	Ainda propicia igualmente mulheres varões, e faz estéril quem Lhe apraz, porque é Poderoso, Sapientíssimo.
051_00	É inconcebível que Deus fale diretamente ao homem, a não ser por revelações, ou veladamente, ou por meio de ummensageiro, mediante o qual revela, com o Seu beneplácito, o que Lhe apraz; sabei que Ele é Prudente, Altíssimo.
052_00	E também te inspiramos com um Espírito, por ordem nossa, antes do que não conhecias o que era o Livro, nem a fé; porém, fizemos dele uma Luz, mediante a qual guiamos quem Nos apraz dentre os Nossos servos.
052_01	E tu certamente te orientaspara uma senda reta.
053_00	A senda de Deus, a Quem pertence tudo quanto existe nos céus e na terra. Acaso, não retornarão a Deus todas as coisas?
