001_00	Alef, Lam, Mim, Sad.
108_00	E mostrou a mão, e eis que era de um fulgor branco para os espectadores.
109_00	Os chefes do povo do Faraó disseram: Sem dúvida que és um mago habilíssimo.
110_00	(O Faraó disse): Ele pretende expulsar-vos da vossa terra. Que aconselhais?
111_00	Responderam-lhe: Retém-no, juntamente com o seu irmão, e manda recrutadores às cidades.
112_00	Que tragam todo mago hábil (que encontrarem).
113_00	Quando os magos se apresentaram ante o Faraó, disseram: É de se supor que teremos uma recompensa se sairmosvencedores.
114_00	E lhes respondeu: Sim, e vos contareis entre os mais chegados (a mim).
115_00	Perguntaram: Ó Moisés, lançarás tu, ou então seremos nós os primeiros a lançar?
116_00	Respondeu-lhes: Lançai vós! E quando lançaram (seus cajados), fascinaram os olhos das pessoas, espantando-as, ederam provas de uma magia extraordinária.
117_00	Então, inspiramos Moisés: Lança o teu cajado! Eis que este devorou tudo quanto haviam simulado.
118_00	E a verdade prevaleceu, e se esvaneceu tudo o que haviam fingido.
119_00	(O Faraó e os chefes) foram vencidos, e foram humilhados.
120_00	E os magos caíram prostrados.
121_00	Disseram: Cremos no Senhor do Universo,
122_00	O Senhor de Moisés e de Aarão!
123_00	O Faraó lhes disse: Credes nele sem que eu vos autorize? Em verdade isto é uma conspiração que planejastes nacidade, para expulsardes dela a população. Logo o sabereis.
124_00	Juro que vos deceparei as mãos e os pés dos lados opostos e então vos crucificarei a todos.
125_00	Disseram-lhe: É certo que retornaremos ao nosso Senhor.
126_00	Vingas-te de nós só porque cremos nos sinais de nosso Senhor quando nos chegam? Ó Senhor nosso, concede-nospaciência e faze com que morramos muçulmanos!
127_00	Então, os chefes do povo do Faraó disseram: Permitirás que Moisés e seu povo façam corrupção na terra e teabandonem, a ti e aos teus deuses?
127_01	Respondeu-lhes: Sacrificaremos os seus filhos; contudo, deixaremos viver as suasmulheres e assim seremos os seus dominadores.
128_00	Moisés disse ao seu povo: Implorai o socorro de Deus e perseverai, porque a terra só é de Deus e Ele a dá em herançaa quem Lhe apraz dentre os Seus servos. A recompensa será para os tementes.
129_00	Disseram-lhe: Fomos maltratados, antes e depois que tu nos chegaste.
129_01	Respondeu-lhes: É possível que o vosso Senhorextermine os vossos inimigos e vos faça herdeiros na terra, para ver como vos comportais.
130_00	Já havíamos castigado o povo do Faraó com os anos (de seca) e a diminuição dos frutos, para que meditassem.
131_00	Porém, quando lhes chegava a prosperidade, diziam: Isto é por nós! Por outra, quando lhes ocorria uma desgraça, atribuíram-na ao mau augúrio de Moisés e daqueles que com ele estavam.
131_01	Qual! Em verdade, o seu mau augúrio está comDeus. Porém, a sua maioria o ignora.
132_00	Disseram-lhe: Seja qual for o sinal que nos apresentares para fascinar-nos, jamais em ti creremos.
133_00	Então lhes enviamos as inundações, os gafanhotos, as lêndeas, os sapos e o sangue, como sinais evidentes; porém, ensoberbeceram-se, porque eram pecadores.
134_00	Mas quando vos açoitou o castigo, disseram: Ó Moisés, implora por nós, de teu Senhor, o
134_01	que te prometeu; pois, se noslivrares do castigo, creremos em ti e deixaremos partir contigo os israelitas.
135_00	Porém, quando os livramos do castigo, adiando-o para o término prefixado, eis que perjuram!
136_00	Então, punimo-los, e os afogamos no mar por haverem desmentido e negligenciado os Nossos versículos.
137_00	Fizemos com que o povo que havia sido escravizado herdasse as regiões orientais e ocidentais da terra, as quaisabençoamos.
137_01	Então, a sublime promessa de teu Senhor se cumpriu, em relação aos israelitas, porque foram perseverantes, edestruímos tudo quanto o Faraó e o seu povo haviam erigido.
138_00	Fizemos os israelitas atravessar o mar, e eis que encontrando (depois) um povo devotado a alguns de seus ídolos, disseram: Ó Moisés, faze-nos um deus como os seus deuses!
138_01	Respondeu-lhes: Sois um povo de insipientes!
139_00	Porque em verdade, tudo quanto eles adorarem aniquilá-los-á, e em vão será tudo quanto fizerem.
140_00	Disse: Como poderia apresentar-nos outra divindade além de Deus, uma vez que vos preferiu aos vossoscontemporâneos?
141_00	Recordai-vos de quando vos livramos do povo do Faraó que vos infligia os piores castigos, sacrificando
141_01	os vossosfilhos e deixando com vida as vossas mulheres; naquilo tivestes uma grande prova do vosso Senhor!
142_00	Ordenamos a Moisés trinta noites (de solidão), as quais aumentamos de outras dez, de maneira que o tempo fixado porseu Senhor foi, no total, de quarenta noites.
142_01	E Moisés disse ao seu irmão Aarão: Substitui-me, ante meu povo; age de modocorreto e não sigas a senda dos depravados.
143_00	E quando Moisés chegou ao lugar que lhe foi designado, o seu Senhor lhe falou, orou assim: ó Senhor meu, permite-meque Te contemple! Respondeu-lhe: Nunca poderás ver-Me!
143_01	Porém, olha o monte e, se ele permanecer em seu lugar, entãoMe verás! Porém, quando a majestade do seu Senhor resplandeceu sobre o Monte, este se reduziu a pé e Moisés caiuesvanecido.
143_02	E quando voltou a si, disse: Glorificado sejas! Volto a Ti contrito, e sou o primeiro dos fiéis!
144_00	Disse-lhe: Ó Moisés, tenho-te preferido aos (outros) homens, revelando-te as Minhas mensagens e as Minhas palavras! Recebe, pois, o que te tenho concedido, e sê um dos agradecidos!
145_00	Nas tábuas prescrevemos-lhe toda a classe de exortação, e a elucidação de todas as coisas, (e lhe dissemos): Recebe-as com fervor e recomenda ao teu povo que observe o melhor delas.
145_01	Logo, vos mostrarei a morada dos depravados.
146_00	Afastarei do Meus versículos aqueles que se envaidecem sem razão, na terra e, mesmo quando virem todo o sinal, nelenão crerão; e, mesmo quando virem a senda da retidão, não a adotarão por guia.
146_01	Em troca, se virem a senda do erro, tomá-la-ão por guia.
146_02	Isso porque rejeitaram os Nossos sinais e os negligenciaram.
147_00	Quanto àqueles que desmentiram os Nossos versículos e o comparecimento na outra vida, suas obras tornar-se-ão semefeito. Acaso, esperam alguma retribuição, exceto pelo que houverem feito?
148_00	O povo de Moisés, em sua ausência, fez, com suas próprias jóias, a imagem de um bezerro, que emitia mugidos.
148_01	Nãorepararam em que não podia falar-lhes, nem encaminhá-los por senda alguma? Apesar disso o adoraram e se tornaraminíquos.
149_00	Mas, quando se aperceberam de que estavam desviados, disseram: Se nosso Senhor não se apiedar de nós e não nosperdoar, contar-nos-emos entre os desventurados.
150_00	Quando Moisés voltou ao seu povo, colérico e indignado, disse-lhes: Que abominável é isso que fizestes na minhaausência!
150_01	Quisestes apressar a decisão do vosso Senhor?
150_02	Arrojou as tábuas e, puxando pelo cabelo seu irmão, arrastou-o atési, e Aarão disse: Ó filho de minha mãe, o povo me julgou débil e por pouco não me matou. Não faças com que os inimigosde regozigem da minha desdita, e não me contes entre os iníquos!
151_00	Então (Moisés) disse: Ó Senhor meu, perdoa-nos, a mim e ao meu irmão, e ampara-nos em Tua misericórdia, porqueTu és o mais clemente dos misericordiosos!
152_00	Quanto àqueles que adoraram o bezerro, a abominação de seu Senhor os alcançará, assim como o desdém, na vidadeste mundo. Assim castigaremos os forjadores.
153_00	Quanto àqueles que cometem torpezas e logo se arrependem e crêem, fica sabendo que Teu Senhor é, depois disso, Indulgente, Misericordiosíssimo.
154_00	Quando a cólera de Moisés se apaziguou, ele recolheu as tábuas em cujas escrituras estavam a orientação e amisericórdia para os que temem ao seu Senhor.
155_00	Então Moisés selecionou setenta homens, dentre seu povo, para que comparecessem ao lugar por Nós designado; equando o tremor se apossou deles, disse: Ó Senhor meu, quisesses Tu, tê-los-ias exterminado antes, juntamente comigo!
155_01	Porventura nos exterminarias pelo que cometeram os néscios dentre nós?
155_02	Isto não é mais do que uma prova Tua, com a qualdesvias quem faz isso, e encaminhas quem Te apraz; Tu és nosso Protetor. Perdoa-nos e apieda-Te de nós, porque Tu és omais equânime dos indulgentes!
156_00	Concede-nos uma graça, tanto neste mundo como no outro, porque a Ti nos voltamos contritos.
156_01	Disse: Com Meu castigoaçoito quem quero e Minha clemência abrange tudo, e a concederei aos tementes (a Deus) que pagam o zakat, e crêem nosNossos versículos.
157_00	São aqueles que seguem o Mensageiro, o Profeta iletrado, o qual encontram mencionado em sua Tora e no Evangelho, oqual lhes
157_01	recomenda o bem e que proíbe o ilícito, prescreve-lhes todo o bem e vedalhes o imundo, alivia-os dos seus fardose livra-os
157_02	dos grilhões que o deprimem. Aqueles que nele creram, honraram-no, defenderam-no e seguiram a Luz que comele foi enviada, são os bem-aventurados.
158_00	Dize: Ó humanos, sou o Mensageiro de Deus, para todos vós; Seu é o reino dos céus e da terra. Não há mais divindadesalém d'Ele.
158_01	Ele é Quem dá a vida e a morte! Crede, pois, em Deus e em Seu Mensageiro, o Profeta iletrado, que crê em Deuse nas Suas palavras; segui-o, para que vos encaminheis.
159_00	Entre o povo de Moisés existe uma comunidade que se rege pela verdade, com a qual julga.
160_00	Havíamo-los dividido em doze tribos, formando nações; e, quando o povo sedento pediu a Moisés e que beber, inspiramo-los: Golpeia a rocha com o teu cajado!
160_01	E, de pronto, britaram dela doze mananciais, e cada tribo reconheceu oseu.
160_02	Logo, os sombreamos com cúmulos e lhes enviamos o maná e as codornizes, dizendo-lhes: comei de todo o bem comque vos temos agraciado. Porém, (desagradeceram e com isso) não Nos prejudicaram; outrossim, condenaram-se a simesmos.
161_00	Recorda-te de quando lhes foi dito: Habitai esta cidade e comei do que for de vosso agrado, e dizei: Remissão!
161_01	Eentrai pela porta, prostrando-vos; então, perdoaremos os vossos pecados e aumentaremos (a porção) dos benfeitores.
162_00	Porém, os iníquos dentre eles permutaram a Palavra por outra que não lhes havia sido dita. Por isso, desencadeamossobre eles um castigo do céu, por sua iniqüidade.
163_00	Interroga-os a respeito da cidade próxima ao mar, de como os seus habitantes profanavam o sábado, pescando; decomo, quando profanavam o sábado, os peixes apareciam à flor d'água; em troca, não lhes apareciam nos dias que não eramsábado.
163_01	Assim os pusemos à prova, por sua transgressão.
164_00	Recorda-te de quando um grupo deles disse: Por que exortais um povo que Deus exterminará ou atormentaráseveramente?
164_01	Outro grupo disse: Fazemo-lo para que tenhamos uma desculpa ante o vosso Senhor; quem sabe O temerão (depois disso!)
165_00	Mas quando se esqueceram de toda a exortação, salvamos aqueles que pregavam contra o mal, e infligimos os iníquosum severo castigo, por sua transgressão.
166_00	E quando, ensoberbecidos, profanaram o que lhes havia sido vedado, dissemos-lhes: Sede símios desprezíveis!
167_00	E de quando teu Senhor declarou que enviaria contra eles (os judeus) alguém que lhes infligiria o pior
167_01	castigo, até aoDia da Ressurreição; em verdade, o teu Senhor é destro no castigo assim como é Indulgente, Misericordiosíssimo.
168_00	Separamo-los em grupos pela terra; entre eles há aqueles que são justos e há aqueles que não o são; pusemo-los àprova, com prosperidade e adversidade, com o fim de que se convertessem.
169_00	Sucedeu-lhes uma geração que herdou o Livro, a qual escolheu as futilidades deste mundo, dizendo: Isto nos seráperdoado! E se lhes fosse oferecido outro igual, tê-lo-iam recebido (e transgredido novamente).
