001_00	Tah, Sin. Estes são os versículos do Alcorão, o Livro lúcido,
036_00	Mas quando (o emissário) se apresentou ante Salomão, este lhe disse: Queres proporcionar-me riquezas? Sabe queaquelas que Deus me concedeu são preferíveis às que vos concedeu! Entretanto, vós vos regozijais de vossos presentes!
037_00	Retorna aos teus! Em verdade, atacá-los-emos com exércitos que não poderão enfrentar, e os expulsaremos, aviltados ehumilhados, de suas terras.
038_00	Disse (dirigindo-se aos seus): Ó chefes, quem de vós trará o trono dela, ates que venham a mim, submissos?
039_00	Um intrépido, dentre os gênios, lhe disse: Eu to trarei ates que te tenhas levantado do teu assento, porque sou poderoso efiel ao meu compromisso.
040_00	Disse aquele que possuía o conhecimento do Livro: Eu to trarei em menos tempo que um abrir e fechar de olhos!
040_01	Equando (Salomão) viu o trono ante ele, disse: Isto provém da graça de meu Senhor, para verificar se sou grato ou ingrato.
040_02	Pois quem agradece, certamente o faz em benefício próprio; e saiba o mal-agradecido que meu Senhor não necessita deagraciamentos, e é Generoso.
041_00	Disse: Dissimulai-lhe o trono, e assim veremos se ela está iluminada ou se está inscrita entre os desencaminhados.
042_00	E quando (a rainha) chegou, foi-lhe perguntado: O teu trono é assim? Ela respondeu: Parece que é o mesmo! E eis querecebemos a ciência antes daquilo, e nos submetemos (à vontade divina).
043_00	Desviaram-na aqueles a quem ela adorava, em vez de Deus, porque era de um povo incrédulo.
044_00	Foi-lhe dito: Entra no palácio!
044_01	E quando o viu, pensou que no piso houvesse água; e, (recolhendo a saia), descobriu assuas pernas; (Salomão) lhe disse: É um palácio revestido de cristal. Ela disse: Ó Senhor meu, em verdade fui iníqua; agorame consagro, com Salomão, a Deus, Senhor do Universo!
045_00	Havíamos enviado ao povo de Samud seu irmão, Sáleh, que disse aos seus membros: Adorai a Deus! Porém, eis que sedividiram em dois grupos, que disputavam entre si.
046_00	Perguntou-lhes (Sáleh): Ó povo meu, por que apressais o mal em vez do bem? Por que não implorais o perdão de Deus, talvez recebereis misericórdia.
047_00	Responderam-lhe: Temos um mau augúrio acerca de ti e de quem está contigo. Disse-lhe: Vosso mau augúrio está empoder de Deus; porém, sois um povo que está à prova.
048_00	E havia, na cidade, nove indivíduos, que causaram corrupção na terra, e não praticavam o bem.
049_00	Eles disseram: Juramos que o surpreenderemos a ele e à sua família durante a noite, matando-os; então, diremos ao seuprotetor: Não presenciamos o assassinato de sua família, e somos verazes (nisso).
050_00	E conspiraram e planejaram; porém, Nós também planejamos, sem que eles o suspeitassem.
051_00	Repara, pois, qual foi a sorte da sua conspiração! Exterminamo-los, juntamente com todo o seu povo!
052_00	E eis suas casas assoladas, por causa da sua iniqüidade. Em verdade, nisto há um sinal para os sensatos.
053_00	E salvamos os fiéis benevolentes.
054_00	E recorda-te de Lot, quando disse ao seu povo: Cometeis a obscenidade com convicção?
055_00	Acercar-vos-eis, em vossa luxúria, dos homens, em vez das mulheres? Qual! Sois um povo de insensatos!
056_00	Porém, a única resposta de sue povo foi: Expulsai a família de Lot de vossa cidade, porque são pessoas que seconsideram castas!
057_00	Mas o salvamos, juntamente com sua família, exceto sua mulher, que somamos ao número dos deixados para trás.
058_00	E desencadeamos sobre eles uma tempestade. E que péssima foi a tempestade para os admoestados!
059_00	Dize (ó Mohammad): Louvado seja Deus e que a paz esteja com os Seus diletos servos! E pergunta-lhes: Que épreferível, Deus ou os ídolos que Lhe associam?
060_00	Quem criou os céus e a terra, e quem envia a água do céu, mediante a qual fazemos brotar vicejantes vergéis, cujossimilares jamais podereis produzir? Poderá haver outra divindade em parceria com Deus?
060_01	Qual! Porém, (esses que assimafirmam) são seres que se desviam.
061_00	Ou quem fez a terra firme para se viver, dispôs em sua superfície rios, dotou-a de montanhas imóveis e pôs entre as duasmassas de água uma barreira? Poderá haver outra divindade em parceria com Deus?
061_01	Qual! Porém, a sua maioria é insipiente.
062_00	Por outra, quem atende o necessitado, quando implora, e liberta do mal e vos designa sucessores na terra? Poderá haveroutra divindade em parceria com Deus? Quão pouco meditais!
063_00	Também, quem vos ilumina nas trevas da terra e do mar? E quem envia os ventos alvissareiros, que chegam ates da Suamisericórdia?
063_01	Haverá outra divindade em parceria com Deus? Exaltado seja Deus de quanto Lhe associam!
064_00	Ainda: Quem origina a criação e logo reproduz? E quem vos dá o sustento do céu e da terra? Poderá haver outradivindade em parceria com Deus? Dize-lhes: Apresentai as vossas provas, se estiverdes certos.
065_00	Dize: Ninguém, além de Deus, conhece o mistério dos céus e da terra. Eles não se apercebem de quando serãoressuscitados.
066_00	Tal conhecimento dar-se-á na vida futura; porém, eles estão em dúvida a respeito disso, e, ainda, quanto a isso estãocegos!
067_00	Os incrédulos dizem: Quando formos convertidos em pó, como foram nossos pais, seremos, acaso, ressuscitados?
068_00	Isto nos foi prometido antes, assim como o foi a nossos pais; porém, não é mais do que fábulas dos primitivos.
069_00	Dize-lhes: Percorrei a terra e reparai qual foi a sorte dos pecadores!
070_00	E não te aflijas por eles, nem te angusties pelo que conspiram contra ti
071_00	E dizem: Quando se cumprirá tal promessa? Dizei-nos, se estais certos!
072_00	Responde-lhes: É possível que vos acosse algo do que pretendeis apressar!
073_00	Por certo que teu Senhor é Agraciante para com os humanos; porém, a sua maioria é ingrata.
074_00	E, em verdade, teu Senhor sabe tudo quanto dissimulam seus corações e tudo quanto manifestam.
075_00	E não há mistério nos céus e na terra que não esteja registrado no Livro lúcido.
076_00	Sabei que este Alcorão explica aos israelitas os principais objetos de suas divergências.
077_00	E que é, ademais, orientação e clemência para os fiéis.
078_00	Por certo que teu Senhor julgará entre eles com justiça, porque é Poderoso, Sapientíssimo.
079_00	Encomenda-te, pois, a Deus, porque segues a verdade elucidativa.
080_00	Certamente, tu não poderás fazer os mortos ouvir, nem fazer-te ouvir pelos surdos (especialmente) quando fogem,
081_00	Como tampouco és guia dos cegos em seu erro, porque só podes fazer-te escutar por aqueles que crêem nos Nossosversículos e são muçulmanos.
082_00	E quando recair sobre eles a sentença, produzir-lhes-emos da terra uma besta, que lhe dirá: A verdade é que os humanosnão crêem nos Nossos versículos!
083_00	Recorda-te de que um dia congregaremos um grupo de cada povo, dentre aqueles que desmentiram os Nossos versículos, os quais serão postos em formação,
084_00	Até que compareçam (ante o tribunal). Dir-lhes-á (Deus): Com que então desmentistes os Meus versículos, semcompreendê-los! Que estáveis fazendo?
085_00	E a sentença recairá sobre eles, por sua iniqüidade, e nada terão a alegar.
086_00	Acaso, não reparam em que temos instituído a noite para o seu repouso e o dia para dar-lhes luz? Por certo que nisto hásinais para os crentes!
087_00	E no dia em que soar a trombeta, espantar-se-ão aqueles que estiverem nos céus e na terra, exceto aqueles que Deusagraciar. E todos comparecerão, humildes, ante Ele.
088_00	E verás as montanhas, que te parecem firmes, passarem rápidas como as nuvens. Tal é a obra de Deus, Que tem dispostoprudentemente todas as coisas, porque está inteirado de tudo quanto fazeis.
089_00	Aqueles que tiverem praticado boas ações receberão maior recompensa e estarão isentos do espanto daquele dia.
090_00	Aqueles que tiverem cometido más ações, porém, serão precipitados, de bruços, no fogo infernal. Sereis retribuídos, senão pelo que fizestes?
091_00	Tem-me sido ordenado adorar o Senhor desta Metrópole, o Qual a consagrou - a Ele tudo pertence -, e também me foiordenado ser um dos muçulmanos.
092_00	(Foi-me ordenado ainda) que recite o Alcorão. E quem se encaminhar, fá-lo-á em benefício próprio; por outra, a quem sedesviar, dize-lhe: Sou tão-somente um dos tantos admoestadores.
093_00	E dize (mais): Louvado seja Deus! Ele vos mostrará os Seus sinais; então, os conhecereis. Sabe que teu Senhor não estádesatento a tudo quanto fazeis.
