001_00	Алиф. Лам. Мим. Сад.
103_00	После них Мы отправили Мусу (Моисея) с Нашими знамениями к Фараону и его знати, но они поступили с ними несправедливо. Посмотри же, каким был конец распространявших нечестие!
104_00	Муса (Моисей) сказал: «О Фараон! Я - посланник от Господа миров.
105_00	Мне полагается говорить об Аллахе только правду. Я принес вам ясное знамение от вашего Господа. Пошли же со мной сынов Исраила (Израиля)».
106_00	Он сказал: «Если ты принес знамение, то покажи его, если ты говоришь правду».
107_00	Он бросил свой посох, и тот превратился в явную змею.
108_00	Затем он вытащил руку, и она стала белой (цвета молока, светящейся) для тех, кто смотрел на нее.
109_00	Знать из народа Фараона сказала: «Воистину, он - знающий колдун.
110_00	Он хочет вывести вас из вашей страны. Что же вы посоветуете?».
111_00	Они сказали: «Повремени с ним и его братом и разошли по городам сборщиков,
112_00	чтобы они привели к тебе всех знающих колдунов».
113_00	Колдуны пришли к Фараону и сказали: «Если мы одержим верх, то нам полагается вознаграждение!».
114_00	Он сказал: «Да, вы станете одними из приближенных».
115_00	Они сказали: «О Муса (Моисей)! Либо ты бросишь, либо бросим мы».
116_00	Он сказал: «Бросайте!». Когда же они бросили, то очаровали взоры людей, вселили в них страх и явили великое колдовство.
117_00	Мы внушили Мусе (Моисею): «Брось свой посох!». И вот она (змея) стала заглатывать то, что они измыслили.
118_00	Истина подтвердилась, и тщетным оказалось то, что они совершали.
119_00	Они были повержены там и вернулись униженными.
120_00	Колдуны пали ниц
121_00	и сказали: «Мы уверовали в Господа миров,
122_00	Господа Мусы (Моисея) и Харуна (Аарона)».
123_00	Фараон сказал: «Вы уверовали в него без моего дозволения? Воистину, это - козни, которые вы задумали в городе, чтобы изгнать из него его жителей. Но скоро вы узнаете!
124_00	Я отрублю вам руки и ноги накрест, а затем распну всех вас».
125_00	Они сказали: «Воистину, мы возвращаемся к нашему Господу.
126_00	Ты мстишь нам только за то, что мы уверовали в знамения нашего Господа, когда они явились к нам. Господь наш! Ниспошли нам терпение и умертви нас мусульманами».
127_00	Знатные люди из народа Фараона сказали: «Неужели ты позволишь Мусе (Моисею) и его народу распространять на земле нечестие и отречься от тебя и твоих богов?».
127_01	Он сказал: «Мы будем убивать их сыновей и оставлять в живых их женщин. Мы обладаем непоколебимой властью над ними».
128_00	Муса (Моисей) сказал своему народу: «Просите помощи у Аллаха и терпите. Воистину, земля принадлежит Аллаху. Он дарует ее в наследие тому из Своих рабов, кому пожелает, и благой конец уготован богобоязненным».
129_00	Они сказали: «Нам причиняли страдания до того, как ты явился к нам, и причиняют их после твоего пришествия».
129_01	Он сказал: «Быть может, ваш Господь погубит вашего врага и сделает вас их преемниками на земле, а затем посмотрит, как вы будете поступать».
130_00	Мы поразили род Фараона засушливыми годами и неурожаем плодов, дабы они помянули назидание.
131_00	Когда их постигало добро, они говорили: «Это - для нас».
131_01	А когда их постигало зло, они связывали его с Мусой (Моисеем) и теми, кто был с ним. Воистину, их дурные предзнаменования были у Аллаха, но большинство из них не знает этого.
132_00	Они сказали: «Какие бы знамения ты ни показывал, чтобы околдовать нас ими, мы не поверим тебе».
133_00	Мы наслали на них потоп, саранчу, вшей, жаб и кровь в качестве различных знамений. Однако они возгордились - они были народом грешным.
134_00	Когда наказание поражало их, они говорили: «О Муса (Моисей)!
134_01	Помолись за нас твоему Господу о том, что Он обещал тебе. Если ты избавишь нас от наказания, то мы поверим тебе и отпустим с тобой сынов Исраила (Израиля)».
135_00	Когда же Мы избавляли их от наказания до определенного срока, которого они непременно должны были достичь, они нарушали обещание.
136_00	Мы отомстили им и потопили их в море за то, что они сочли ложью Наши знамения и пренебрегли ими.
137_00	Мы даровали в наследие тем, которых считали слабыми, восточные и западные земли, которые Мы благословили.
137_01	Сбылось прекрасное Слово твоего Господа о сынах Исраила (Израиля), поскольку они проявили терпение. Мы разрушили то, что содеяли Фараон и его народ и что они воздвигали.
138_00	Мы переправили сынов Исраила (Израиля) через море, и они прибыли к народу, который был предан своим идолам. Они сказали: «О Муса (Моисей)!
138_01	Сделай нам божество, такое же, как у них». Он сказал: «Воистину, вы - невежественные люди.
139_00	У этих людей погублено будет то, что они исповедуют, и тщетно будет то, что они совершают».
140_00	Он сказал: «Неужели я стану искать для вас другое божество, кроме Аллаха, который возвысил вас над мирами».
141_00	Вот Мы спасли вас от рода Фараона.
141_01	Они подвергали вас ужасным мучениям, убивали ваших сыновей и оставляли в живых ваших женщин. Это было для вас великим испытанием (или великой милостью) от вашего Господа.
142_00	Мы определили Мусе (Моисею) тридцать ночей и добавили к ним еще десять, и поэтому срок его Господа составил сорок ночей.
142_01	Муса (Моисей) сказал своему брату Харуну (Аарону): «Оставайся вместо меня среди моего народа, поступай праведно и не следуй путем распространяющих нечестие».
143_00	Когда же Муса (Моисей) пришел к назначенному Нами сроку и месту, Господь его заговорил с ним. Он сказал: «Господи!
143_01	Покажись мне, чтобы я взглянул на Тебя». Он сказал: «Ты не увидишь Меня, но взгляни на гору.
143_02	Если она удержится на своем месте, то ты увидишь Меня». Когда же Господь его показался горе, то разбил ее и превратил в песок, а Муса (Моисей) упал без сознания. Придя в себя, он сказал: «Пречист Ты! Я раскаиваюсь перед Тобой, и я - первый из верующих».
144_00	Он сказал: «О Муса (Моисей)! Я возвысил тебя над людьми благодаря Моему посланию и Моей беседе. Посему возьми то, что Я даровал тебе, и будь одним из благодарных».
145_00	Мы написали для него на скрижалях увещевание о всякой вещи и разъяснение всего сущего: «Держи их крепко и вели твоему народу следовать наилучшему из этого.
145_01	Я покажу вам Обитель нечестивцев.
146_00	Я отвращу от Моих знамений тех, которые возгордились на земле без всякого права на то.
146_01	Какое бы знамение они ни увидели, они не уверуют в него.
146_02	Если они увидят правый путь, то не последуют этим путем, а если они увидят путь заблуждения, то последуют им. Это потому, что они сочли ложью Наши знамения и пренебрегли ими».
147_00	Деяния тех, которые сочли ложью Наши знамения и встречу в Последней жизни, окажутся тщетными. Разве им не воздастся только за то, что они совершали?
148_00	В отсутствие Мусы (Моисея) его народ сделал из своих украшений изваяние тельца, который мычал.
148_01	Разве они не видели, что он не разговаривал с ними и не наставлял их на прямой путь? Они стали поклоняться ему - они были несправедливы.
149_00	Когда же они пожалели о содеянном и увидели, что впали в заблуждение, то сказали: «Если наш Господь не смилостивится над нами и не простит нас, то мы непременно окажемся в числе потерпевших убыток».
150_00	Когда Муса (Моисей) вернулся к своему народу, он разгневался и опечалился. Он сказал: «Скверно то, что вы совершили в мое отсутствие.
150_01	Неужели вы хотели опередить повеление вашего Господа?». Он бросил скрижали, схватил своего брата за голову и потянул его к себе.
150_02	Тот сказал: «О сын моей матери! Воистину, люди сочли меня слабым и готовы были убить меня. Не давай врагам повода злорадствовать и не причисляй меня к несправедливым людям».
151_00	Он сказал: «Господи! Прости меня и моего брата и введи нас в Свою милость, ибо Ты - Милосерднейший из милосердных».
152_00	На тех, которые стали поклоняться тельцу, падут гнев их Господа и унижение в мирской жизни. Так Мы воздаем тем, кто измышляет ложь.
153_00	А если кто совершил злодеяния, а затем раскаялся и уверовал, то ведь твой Господь после всего этого - Прощающий, Милосердный.
154_00	Когда гнев Мусы (Моисея) спал, он взял скрижали, на которых были начертаны верное руководство и милость для тех, кто боится своего Господа.
155_00	Муса (Моисей) отобрал из своего народа семьдесят мужей для назначенного Нами срока и места. Когда же их поразило землетрясение, он сказал: «Господи!
155_01	Если бы Ты пожелал, то погубил бы их прежде вместе со мной. Неужели Ты погубишь нас за то, что совершили глупцы из нас?
155_02	Воистину, это является всего лишь Твоим искушением, посредством которого Ты вводишь в заблуждение, кого пожелаешь, и ведешь прямым путем, кого пожелаешь. Ты - наш Покровитель, прости же нас и помилуй, ибо Ты - Наилучший из прощающих!
156_00	Предпиши для нас добро в этом мире и в Последней жизни, ибо мы возвращаемся к Тебе (каемся перед Тобой).
156_01	Он сказал: «Я поражаю Своим наказанием, кого пожелаю, а Моя милость объемлет всякую вещь. Я предпишу ее для тех, которые будут богобоязненны, станут выплачивать закят и уверуют в Наши знамения,
157_00	которые последуют за посланником, неграмотным (не умеющим читать и писать) пророком, запись о котором они найдут в Таурате (Торе) и Инджиле (Евангелии).
157_01	Он повелит им совершать одобряемое и запретит им совершать предосудительное, объявит дозволенным благое и запрещенным скверное, освободит их от бремени и оков.
157_02	Те, которые уверуют в него, станут почитать его, окажут ему поддержку и последуют за ниспосланным вместе с ним светом, непременно преуспеют».
158_00	Скажи: «О люди! Я - Посланник Аллаха ко всем вам. Ему принадлежит власть над небесами и землей.
158_01	Нет божества, кроме Него. Он воскрешает и умерщвляет. Уверуйте же в Аллаха и в Его Посланника, неграмотного (не умеющего читать и писать) Пророка, который уверовал в Аллаха и Его Слова. Последуйте за ним, дабы вы последовали прямым путем».
159_00	Среди народа Мусы (Моисея) есть люди, которые истинно указывают путь и устанавливают справедливость.
160_00	Мы разделили их на двенадцать колен - родов.
160_01	Когда же его народ попросил его напоить их, Мы внушили Мусе (Моисею): «Ударь своим посохом по камню».
160_02	Из него забило двенадцать ключей, и все люди узнали, где им надлежит пить. Мы осенили их облаками и ниспослали им манну и перепелов: «Вкушайте блага, которыми Мы наделили вас». Они не были несправедливы по отношению к Нам - они поступали несправедливо лишь по отношению к себе.
161_00	Вот им было сказано: «Поселитесь в этом городе и ешьте там, где пожелаете.
161_01	Скажите: «Прости нас», - и войдите во врата, поклонившись. Мы простим ваши прегрешения и приумножим награду творящим добро».
162_00	Несправедливые из них заменили сказанное им слово другим, и Мы ниспослали на них наказание с небес за то, что они поступали несправедливо.
163_00	Спроси их о селении на берегу моря.
163_01	Они нарушили субботу, поскольку рыбы приплывали к ним открыто по субботам и не приплывали в не субботние дни. Так Мы подвергли их испытанию за то, что они отказались повиноваться.
164_00	Вот некоторые из них сказали: «Зачем вам увещевать людей, которых Аллах погубит или подвергнет тяжким мучениям?».
164_01	Они сказали: «Чтобы оправдаться перед вашим Господом. Быть может, они устрашатся».
165_00	Когда они забыли о том, что им напоминали, Мы спасли тех, которые запрещали творить злодеяния, и подвергли ужасным мучениям беззаконников за то, что они поступали нечестиво.
166_00	Когда они ослушались того, что им было запрещено, Мы сказали им: «Будьте обезьянами презренными!».
167_00	Вот твой Господь возвестил, что Он непременно будет насылать на них до Дня воскресения тех, кто будет подвергать их ужасным мучениям.
167_01	Воистину, твой Господь скор в наказании. Воистину, Он - Прощающий, Милосердный.
168_00	Мы разбросали их по земле общинами. Среди них есть и праведные, и не только праведные. Мы подвергли их испытанию злом и добром, - быть может, они вернутся на прямой путь.
169_00	Их преемниками стало поколение, которое унаследовало Писание. Они схватились за блага этой жалкой жизни и сказали: «Мы будем прощены».
169_01	Если бы им снова встретились подобные блага, они снова схватились бы за них. Разве с них не был взят завет Писания о том, что они будут говорить об Аллахе только правду?
169_02	Они изучили то, что было в нем (Писании). Обитель Последней жизни лучше для тех, кто богобоязнен. Неужели вы не понимаете?
170_00	Если кто придерживается Писания и совершает намаз, то ведь Мы не теряем вознаграждения тех, кто наводит порядок.
171_00	Вот Мы подняли над ними гору, словно тучу, и они подумали, что она упадет на них. Крепко держитесь того, что Мы даровали вам, и помните то, что содержится в нем, - быть может, вы устрашитесь.
172_00	Вот твой Господь вынул из чресл сынов Адама их потомство и заставил их засвидетельствовать против самих себя: «Разве Я - не ваш Господь?».
172_01	Они сказали: «Да, мы свидетельствуем». Это - для того, чтобы в День воскресения вы не говорили: «Мы не знали этого».
173_00	Или же не говорили: «Наши отцы были многобожниками раньше нас, а мы были всего лишь потомками, которые пришли после них. Неужели Ты погубишь нас за то, что совершили приверженцы лжи?».
174_00	Так Мы разъясняем знамения, - быть может, они вернутся на прямой путь.
175_00	Прочти им историю о том, кому Мы даровали Наши знамения, а он отбросил их. Дьявол последовал за ним, и он стал заблудшим.
176_00	Если бы Мы пожелали, то возвысили бы его посредством этого.
176_01	Однако он приник к земле и стал потакать своим желаниям.
176_02	Он подобен собаке: если ты прогоняешь ее, она высовывает язык, и если ты оставишь ее в покое, она тоже высовывает язык. Такова притча о тех, которые считают ложью Наши знамения. Рассказывай эти истории, - быть может, они призадумаются.
