001_00	Та. Син. Мим.
049_01	Но скоро вы узнаете! Я отрублю вам руки и ноги накрест и распну вас всех!».
050_00	Они сказали: «Не беда! Воистину, мы возвратимся к нашему Господу.
051_00	Мы жаждем, чтобы наш Господь простил нам наши грехи за то, что мы стали первыми верующими».
052_00	Мы внушили Мусе (Моисею): «Отправляйся в путь с Моими рабами ночью, ибо вас будут преследовать».
053_00	Фараон разослал по городам сборщиков.
054_00	Он сказал: «Это - всего лишь малочисленная кучка.
055_00	Они разгневали нас,
056_00	и мы все должны быть настороже».
057_00	Мы вынудили их покинуть сады и источники,
058_00	сокровища и благородные места.
059_00	Вот так! Мы позволили унаследовать это сынам Исраила (Израиля).
060_00	Они последовали за ними на восходе.
061_00	Когда два сборища увидели друг друга, сподвижники Мусы (Моисея) сказали: «Нас непременно настигнут».
062_00	Он сказал: «О нет! Со мной - мой Господь, и Он укажет мне прямой путь».
063_00	Тогда Мы внушили Мусе (Моисею): «Ударь своим посохом по морю». Оно разверзлось, и каждая часть его стала подобна огромной горе.
064_00	Мы приблизили к нему других (войско Фараона).
065_00	Мы спасли Мусу (Моисея) и тех, кто был с ним,
066_00	а затем потопили всех остальных.
067_00	Воистину, в этом - знамение, но большинство их не стали верующими.
068_00	Воистину, твой Господь - Могущественный, Милосердный.
069_00	Прочти им историю Ибрахима (Авраама).
070_00	Вот он сказал своему отцу и своему народу: «Чему вы поклоняетесь?».
071_00	Они сказали: «Мы поклоняемся идолам и постоянно предаемся им».
072_00	Он сказал: «Слышат ли они, когда вы взываете к ним?
073_00	Помогают ли они вам? И причиняют ли они вред?».
074_00	Они сказали: «Но мы видели, что наши отцы поступали таким образом».
075_00	Он сказал: «Видели ли вы, чему поклоняетесь
076_00	вы со своими древними отцами?
077_00	Все они - враги мои, кроме Господа миров,
078_00	Который сотворил меня и ведет прямым путем,
079_00	Который кормит меня и поит,
080_00	Который исцеляет меня, когда я заболеваю,
081_00	Который умертвит меня, а потом воскресит,
082_00	Который, я надеюсь, простит мой грех в День воздаяния.
083_00	Господи! Даруй мне власть (пророчество или знание) и воссоедини меня с праведниками!
084_00	Оставь обо мне правдивую молву в последующих поколениях!
085_00	Сделай меня одним из наследников Сада блаженства!
086_00	Прости моего отца, ибо он был одним из заблудших!
087_00	И не позорь меня в День воскресения -
088_00	в тот день, когда ни богатство, ни сыновья не принесут пользы никому,
089_00	кроме тех, которые предстанут перед Аллахом с непорочным сердцем».
090_00	Рай будет приближен к богобоязненным,
091_00	а Ад будет ясно показан заблудшим.
092_00	Им скажут: «Где же те, кому вы поклонялись
093_00	наряду с Аллахом? Помогут ли они вам и помогут ли они себе?».
094_00	Они будут брошены туда вместе с заблудшими,
095_00	а также со всеми воинами Иблиса.
096_00	Препираясь там, они скажут:
097_00	«Клянемся Аллахом, мы пребывали в очевидном заблуждении,
098_00	когда равняли вас с Господом миров.
099_00	Только грешники ввели нас в заблуждение,
100_00	и нет у нас ни заступников,
101_00	ни сострадательного друга.
102_00	Если бы у нас была возможность вернуться, то мы стали бы верующими!».
103_00	Воистину, в этом - знамение, но большинство их не стали верующими.
104_00	Воистину, твой Господь - Могущественный, Милосердный.
105_00	Народ Нуха (Ноя) счел лжецами посланников.
106_00	Вот их брат Нух (Ной) сказал им: «Неужели вы не устрашитесь?
107_00	Я являюсь посланником к вам, достойным доверия.
108_00	Бойтесь же Аллаха и повинуйтесь мне.
109_00	Я не прошу у вас за это вознаграждения, ибо вознаградит меня только Господь миров.
110_00	Бойтесь же Аллаха и повинуйтесь мне».
111_00	Они сказали: «Неужели мы поверим тебе, если за тобой последовали самые жалкие люди?».
112_00	Он сказал: «Не мне знать о том, что они совершают.
113_00	Только мой Господь предъявит им счет, если бы вы только понимали.
114_00	Я не стану прогонять верующих.
115_00	Я - всего лишь предостерегающий и разъясняющий увещеватель».
116_00	Они сказали: «О Нух (Ной)! Если ты не прекратишь, то непременно окажешься одним из тех, кого побили камнями».
117_00	Он сказал: «Господи! Мой народ счел меня лжецом.
118_00	Рассуди же нас окончательно и спаси меня и тех верующих, которые со мной».
119_00	Мы спасли его и тех, кто был с ним, в переполненном ковчеге,
120_00	а потом потопили оставшихся.
121_00	Воистину, в этом - знамение, но большинство их не стали верующими.
122_00	Воистину, твой Господь - Могущественный, Милосердный.
123_00	Адиты сочли лжецами посланников.
124_00	Вот их брат Худ сказал им: «Неужели вы не устрашитесь?
125_00	Я являюсь посланником к вам, достойным доверия.
126_00	Бойтесь же Аллаха и повинуйтесь мне.
127_00	Я не прошу у вас за это вознаграждения, ибо вознаградит меня только Господь миров.
128_00	Неужели вы будете понапрасну возводить на каждом холме по примете (по высокому строению),
129_00	строить замки (или водохранилища), словно вы будете жить вечно,
130_00	и хватать людей, подобно деспотичным тиранам?
131_00	Бойтесь же Аллаха и повинуйтесь мне.
132_00	Бойтесь Того, Кто помог вам тем, что вам известно.
133_00	Он помог вам домашней скотиной и сыновьями,
134_00	садами и источниками.
135_00	Я боюсь того, что вас постигнут мучения в Великий день».
136_00	Они сказали: «Нам все равно, будешь ты увещевать или же не будешь в числе тех, которые увещевают.
137_00	Это - всего лишь обычаи (или измышления) первых поколений,
138_00	и мы не будем наказаны».
139_00	Они сочли его лжецом, а Мы погубили их. Воистину, в этом - знамение, но большинство их не стали верующими.
140_00	Воистину, твой Господь - Могущественный, Милосердный.
141_00	Самудяне сочли лжецами посланников.
142_00	Вот их брат Салих сказал им: «Неужели вы не устрашитесь?
143_00	Я являюсь посланником к вам, достойным доверия.
144_00	Бойтесь же Аллаха и повинуйтесь мне.
145_00	Я не прошу у вас за это вознаграждения, ибо вознаградит меня только Господь миров.
146_00	Неужели вы будете оставлены в безопасности среди того, что есть здесь,
147_00	среди садов и источников,
148_00	среди посевов и финиковых пальм с нежными плодами,
149_00	и будете искусно (или горделиво) высекать в горах жилища?
150_00	Бойтесь же Аллаха и повинуйтесь мне,
151_00	и не слушайтесь повелений тех, кто излишествует,
152_00	кто распространяет на земле нечестие и ничего не улучшает».
153_00	Они сказали: «Ты - всего лишь один из околдованных.
154_00	Ты - всего лишь такой же человек, как и мы. Покажи нам знамение, если ты - один из тех, кто говорит правду».
155_00	Он сказал: «Вот верблюдица! Она должна пить, и вы должны пить по определенным дням.
156_00	Не прикасайтесь к ней со злом, а не то вас постигнут мучения в Великий день».
157_00	Но они подрезали ей поджилки и стали сожалеть об этом.
158_00	Их постигло наказание. Воистину, в этом - знамение, но большинство их не стали верующими.
159_00	Воистину, твой Господь - Могущественный, Милосердный.
160_00	Народ Лута (Лота) счел лжецами посланников.
161_00	Вот их брат Лут (Лот) сказал им: «Неужели вы не устрашитесь?
162_00	Я являюсь посланником к вам, достойным доверия.
163_00	Бойтесь же Аллаха и повинуйтесь мне.
164_00	Я не прошу у вас за это вознаграждения, ибо вознаградит меня только Господь миров.
165_00	Неужели вы будете возлежать с мужчинами из миров
166_00	и оставлять ваших жен, которых ваш Господь создал для вас? О нет! Вы являетесь преступным народом».
167_00	Они сказали: «О Лут (Лот), если ты не прекратишь, то окажешься одним из тех, кто был изгнан».
168_00	Он сказал: «Я - один из тех, кому ненавистно ваше деяние.
169_00	Господи! Спаси меня и мою семью от того, что они совершают».
170_00	Мы спасли его и его семью - всех,
171_00	кроме старухи, которая оказалась среди оставшихся позади.
172_00	Затем Мы уничтожили остальных
173_00	и пролили на них дождь. Как же пагубен дождь тех, кого предостерегали!
174_00	Воистину, в этом - знамение, но большинство их не стали верующими.
175_00	Воистину, твой Господь - Могущественный, Милосердный.
176_00	Жители Айки сочли лжецами посланников.
177_00	Вот Шуейб сказал им: «Неужели вы не устрашитесь?
178_00	Я являюсь посланником к вам, достойным доверия.
179_00	Бойтесь же Аллаха и повинуйтесь мне.
180_00	Я не прошу у вас за это вознаграждения, ибо вознаградит меня только Господь миров.
181_00	Наполняйте меру полностью и не будьте одними из тех, кто наносит урон.
182_00	Взвешивайте на точных весах.
183_00	Не убавляйте людям того, что им причитается, и не творите на земле зла, распространяя нечестие.
184_00	Бойтесь Того, Кто сотворил вас и первые поколения».
185_00	Они сказали: «Ты - всего лишь один из околдованных.
186_00	Ты - всего лишь такой же человек, как и мы, и мы полагаем, что ты являешься одним из лжецов.
187_00	Низринь на нас осколок неба, если ты - один из тех, кто говорит правду».
188_00	Он сказал: «Мой Господь лучше знает о том, что вы совершаете».
189_00	Они сочли его лжецом, и их постигли мучения в день тени. Воистину, это были мучения в Великий день.
190_00	Воистину, в этом - знамение, но большинство их не стали верующими.
191_00	Воистину, твой Господь - Могущественный, Милосердный.
192_00	Воистину, это - Ниспослание от Господа миров.
193_00	Верный Дух (Джибрил) сошел с ним
194_00	на твое сердце, чтобы ты стал одним из тех, кто предостерегает.
195_00	Оно ниспослано на ясном арабском языке
196_00	и упоминается в Писаниях древних народов.
197_00	Разве для них не является знамением то, что ученые сынов Исраила (Израиля) знают его?
198_00	Если бы Мы ниспослали его кому-либо из неарабов
199_00	и если бы он прочел его им, то они не уверовали бы в него.
200_00	Так Мы внедряем его (неверие) в сердца грешников.
201_00	Они не уверуют в него, пока не увидят мучительные страдания.
202_00	Они постигнут их неожиданно, так что они даже не почувствуют этого.
203_00	Тогда они скажут: «Предоставят ли нам отсрочку?».
204_00	Неужели они торопят мучения от Нас?
205_00	Знаешь ли ты, что если Мы позволим им пользоваться благами многие годы,
206_00	после чего к ним явится то, что им было обещано,
207_00	то все, чем им было позволено пользоваться, не принесет им никакой пользы?
208_00	Мы не губили ни одного селения, в котором предостерегающие увещеватели не побывали
209_00	с назиданиями. Мы не были несправедливы.
210_00	Дьяволы не нисходили с ним (Кораном).
211_00	Это не подобает им, и они не способны на это.
212_00	Они отстранены от прислушивания к нему.
213_00	Не взывай к другим богам помимо Аллаха, а не то окажешься в числе тех, кого подвергнут мучениям.
214_00	Предостереги своих ближайших родственников!
215_00	Склони свое крыло перед верующими, которые следует за тобой (будь добр и милосерден к ним).
216_00	Если же они ослушаются тебя, то скажи: «Я не причастен к тому, что вы совершаете».
217_00	Уповай на Могущественного, Милосердного,
218_00	Который видит тебя, когда ты выстаиваешь намазы по ночам
219_00	и двигаешься среди падающих ниц.
220_00	Воистину, Он - Слышащий, Знающий.
221_00	Поведать ли вам о том, на кого нисходят дьяволы?
222_00	Они нисходят на каждого лжеца и грешника.
223_00	Они подбрасывают услышанное, но большинство из них являются лжецами.
224_00	А за поэтами следуют заблудшие.
225_00	Разве ты не видишь, что они блуждают по всем долинам (слагают стихи на любые темы)
226_00	и говорят то, чего не делают?
227_00	Это не относится к тем, которые уверовали, совершают праведные деяния, многократно поминают Аллаха и защищаются после того, как с ними поступили несправедливо?
227_01	А те, которые поступают несправедливо, скоро узнают, куда они вернутся.
