001_00	Воистину, преуспели верующие,
093_00	Скажи: «Господи! Если Ты покажешь мне то, что им обещано,
094_00	то не делай меня, Господи, в числе несправедливых людей!».
095_00	Воистину, Мы способны показать тебе то, что им обещано.
096_00	Оттолкни зло тем, что лучше. Мы лучше знаем то, что они приписывают.
097_00	Скажи: «Господи! Я прибегаю к Тебе от наваждений дьяволов.
098_00	Я прибегаю к Тебе, Господи, дабы они не приближались ко мне».
099_00	Когда же смерть подступает к кому-нибудь из них, он говорит: «Господи! Верни меня обратно.
100_00	Быть может, я стану совершать праведные поступки, которые я отбросил». Но нет! Это - всего лишь слова, которые он произносит. Позади них будет преграда вплоть до того дня, когда они будут воскрешены.
101_00	А в тот день, когда затрубят в Рог, между ними не останется родственных связей, и они не будут расспрашивать друг друга.
102_00	Те, чья чаша Весов окажется тяжелой, обретут успех.
103_00	А те, чья чаша Весов окажется легкой, потеряют самих себя и вечно пребудут в Геенне.
104_00	Огонь будет сжигать их лица, и там они будут корчиться.
105_00	Разве вам не читали Мои аяты, а вы считали их ложью?
106_00	Они скажут: «Господи! Наше злосчастие одолело нас, и мы оказались заблудшими людьми.
107_00	Господи! Выведи нас отсюда. И если мы вернемся к грехам, то действительно будем беззаконниками».
108_00	Он скажет: «Оставайтесь здесь с позором и не говорите со Мной!
109_00	Воистину, некоторые из Моих рабов говорили: «Господи! Мы уверовали. Прости же нас и помилуй, ибо Ты - Наилучший из милосердных».
110_00	Вы же насмехались над ними, пока не забыли Мое Напоминание. И вы смеялись над ними.
111_00	Сегодня Я вознаградил их за то, что они проявили терпение. Воистину, они являются преуспевшими».
112_00	Аллах скажет: «Сколько лет вы пробыли на земле?».
113_00	Они скажут: «Мы пробыли день или часть дня. Лучше спроси тех, кто вел счет».
114_00	Он скажет: «Вы пробыли немного, если бы вы только знали.
115_00	Неужели вы полагали, что Мы сотворили вас ради забавы и что вы не будете возвращены к Нам?».
116_00	Превыше всего Аллах, Истинный Властелин! Нет божества, кроме Него, Господа благородного Трона.
117_00	У того, кто молится наряду с Аллахом другим богам, нет в пользу этого никакого довода. Его счет хранится у его Господа. Воистину, неверующие не преуспеют.
118_00	Скажи: «Господи, прости и помилуй, ведь Ты - Наилучший из милосердных!».
