001_00	Алиф. Лам. Ра. Это - аяты мудрого Писания.
015_00	Когда Наши ясные аяты читают тем, которые не надеются на встречу с Нами, они говорят: «Принеси нам другой Коран или замени его!».
015_01	Скажи: «Не подобает мне заменять его по своему желанию. Я лишь следую тому, что внушается мне в откровении, и боюсь, что если я ослушаюсь Господа моего, то меня постигнут мучения в Великий день».
016_00	Скажи: «Если бы Аллах пожелал, то я не стал бы читать его вам, и Он не стал бы обучать вас ему. Прежде я прожил с вами целую жизнь. Неужели вы не разумеете?».
017_00	Кто может быть несправедливее того, кто возвел на Аллаха навет или отверг Его знамения? Воистину, грешники не преуспеют.
018_00	Они поклоняются наряду с Аллахом тому, что не причиняет им вреда и не приносит им пользы. Они говорят: «Они - наши заступники перед Аллахом».
018_01	Скажи: «Разве вы можете поведать Аллаху такое на небесах и на земле, чего бы Он не знал?». Пречист Он и превыше тех, кого вы приобщаете в сотоварищи.
019_00	Люди были единой общиной верующих, но впали в разногласия. И если бы прежде не было Слова твоего Господа, то их разногласия были бы разрешены.
020_00	Неверующие говорят: «Почему ему не ниспослано знамение от его Господа?». Скажи: «Сокровенное принадлежит одному Аллаху. Ждите, и я подожду вместе с вами».
021_00	Когда Мы дали людям вкусить милость после того, как их постигло бедствие, они тотчас начали ухищряться против Наших знамений.
021_01	Скажи: «Аллах быстрее в ухищрениях!». Воистину, Наши посланцы записывают ваши козни.
022_00	Он - Тот, Кто предоставил вам возможность путешествовать по суше и по морю.
022_01	Вы путешествуете на кораблях, плывущих вместе с ними при благоприятном ветре, которому они рады.
022_02	Но вдруг подует ураганный ветер, и волны подступят к ним со всех сторон. Они решат, что они окружены, и станут взывать к Аллаху, очищая перед Ним веру: «Если Ты спасешь нас отсюда, то мы будем одними из благодарных!».
023_00	Когда же Он спасает их, они бесчинствуют на земле без всякого права на то. О люди!
023_01	Ваши бесчинства обернутся против вас самих. Это - преходящее наслаждение мирской жизнью. Потом Вы возвратитесь к Нам, и Мы поведаем вам о том, что вы совершали.
024_00	Мирская жизнь подобна воде, которую Мы ниспосылаем с неба и благодаря которой (или с которой) смешиваются земные растения, идущие в пищу людям и животным.
024_01	Когда же земля покрывается убранством и приукрашается, а ее жители полагают, что они властны над ней, Наше повеление постигает ее ночью или днем.
024_02	Мы превращаем ее в жнивье, словно еще вчера она не изобиловала. Так Мы разъясняем знамения для людей размышляющих.
025_00	Аллах призывает к Обители мира и благополучия и наставляет на прямой путь тех, кого пожелает.
026_00	Тем, которые творили добро, уготовано Наилучшее (Рай), и им будет добавлено еще (они получат возможность взглянуть на Лик Аллаха). Не будет на их лицах ни праха, ни унижения. Они - обитатели Рая, в котором они пребудут вечно.
027_00	А воздаянием тех, кто приобрел зло, будет равноценное зло. Их постигнет унижение, и никто не защитит их от Аллаха.
027_01	Их лица словно покроются клочьями ночного мрака. Они - обитатели Огня, в котором они пребудут вечно.
028_00	В тот день Мы соберем их вместе, а потом скажем многобожникам: «Оставайтесь на своих местах вместе со своими сотоварищами».
028_01	Потом Мы разделим их, и сотоварищи скажут им: «Вы вовсе не поклонялись нам.
029_00	Довольно того, что Аллах является Свидетелем между нами и вами. Мы не ведали о вашем поклонении».
030_00	Там каждый человек испытает то, что он совершил прежде. Они будут возвращены к Аллаху, их Истинному Покровителю, и покинет их (или исчезнет) то, что они измышляли.
031_00	Скажи: «Кто одаряет вас уделом с неба и земли? Кто властен над слухом и зрением? Кто мертвое превращает в живое, а живое превращает в мертвое?
031_01	Кто управляет делами?». Они скажут: «Аллах». Скажи: «Неужели вы не устрашитесь?».
032_00	Таков Аллах, ваш Истинный Господь! Что может быть за истиной, кроме заблуждения? До чего же вы отвращены от истины!
033_00	Так подтвердилось Слово твоего Господа о том, что нечестивцы не уверуют.
034_00	Скажи: «Есть ли среди тех, кого вы придаете в сотоварищи к Аллаху, такой, который создает творение, а затем воссоздает его?». Скажи: «Аллах создает творение, а затем воссоздает его. До чего же вы отвращены от истины!».
035_00	Спроси: «Есть ли среди тех, кого вы придаете в сотоварищи к Аллаху, такой, который указывает путь к истине?». Скажи: «Аллах указывает путь к истине.
035_01	Кто более достоин того, чтобы за ним следовали: тот, кто сам указывает путь к истине, или же тот, кто не может найти верного пути, пока ему не укажут на него? Что с вами? Как вы судите?».
036_00	Большинство их следует своим предположениям, но ведь предположения никак не могут заменить истину. Воистину, Аллаху известно о том, что они совершают.
037_00	Этот Коран не может быть сочинением кого-либо, кроме Аллаха. Он является подтверждением того, что было до него, и разъяснением Писания от Господа миров, в котором нет сомнения.
038_00	Или же они говорят: «Он выдумал его». Скажи: «Сочините хотя бы одну суру, подобную этим, и призовите, кого сможете, кроме Аллаха, если вы говорите правду».
039_00	Так нет же, они объявляют ложью знание, которое не способны постичь и толкование которого еще не свершилось. Таким же образом его отвергали их предшественники. Погляди же, каким был конец беззаконников!
040_00	Среди них есть такие, которые уверуют в него, и такие, которые не уверуют в него. Твой Господь лучше осведомлен о распространяющих нечестие.
041_00	Если тебя сочтут лжецом, то скажи: «Мне достанутся мои деяния, а вам - ваши деяния. Вы не причастны к тому, что я совершаю, а я не причастен к тому, что совершаете вы».
042_00	Среди них есть и такие, которые выслушивают тебя. Разве ты можешь заставить слышать глухих, если они к тому же не разумеют?
043_00	Среди них есть и такие, которые смотрят на тебя. Разве ты можешь наставить на прямой путь слепых, если они к тому же не видят?
044_00	Воистину, Аллах ни в чем не проявляет несправедливости к людям, но люди сами поступают несправедливо по отношению к себе.
045_00	В тот день Аллах соберет их, словно они пробыли на земле или в могилах всего лишь один дневной час, и они узнают друг друга.
045_01	Воистину, убыток потерпят те, которые считали ложью встречу с Аллахом и не следовали прямым путем.
046_00	Мы покажем тебе часть того, что Мы обещали им, или же умертвим тебя, но они все равно вернутся к Нам. Кроме того, Аллах является Свидетелем того, что они совершают.
047_00	У каждой общины есть посланник. Когда же приходил посланник, между ними все решалось по справедливости, и с ними не поступали несправедливо.
048_00	Они говорят: «Когда же исполнится это обещание, если вы говорите правду?».
049_00	Скажи: «Я не способен причинить себе зло или принести себе пользу, если того не пожелает Аллах.
049_01	Для каждой общины установлен срок. Когда же наступает их срок, они не могут отдалить или приблизить его даже на час».
050_00	Скажи: «Как вы думаете, какую часть мучений от Аллаха будут торопить грешники, если они постигнут вас ночью или днем».
051_00	Неужели вы уверуете в них только тогда, когда они постигнут вас? Неужели теперь, после того, как вы торопили их?
052_00	Потом будет сказано тем, кто поступал несправедливо: «Вкусите вечные мучения! Разве вам не воздается только за то, что вы совершали?».
053_00	Они спрашивают тебя: «Неужели это правда?». Скажи: «Конечно, клянусь моим Господом! Воистину, это - подлинная правда, и вам не избежать этого».
054_00	Если бы несправедливый человек владел всеми богатствами земными, то он отдал бы их в качестве выкупа.
054_01	Они скроют раскаяние, когда увидят мучения. Между ними рассудят беспристрастно, и с ними не поступят несправедливо.
055_00	Несомненно, Аллаху принадлежит то, что на небесах и на земле. Несомненно, обещание Аллаха является истиной, но большинство их не знает этого.
056_00	Он оживляет и умерщвляет, и к Нему вы будете возвращены.
057_00	О люди! К вам от вашего Господа явилось увещевание, исцеление для того, что в груди, верное руководство и милость для верующих.
058_00	Скажи: «Это - милость и милосердие Аллаха». Пусть они возрадуются этому, ибо это лучше того, что они накапливают.
059_00	Скажи: «Что вы думаете об уделе, который ниспослал вам Аллах, часть которого вы объявили запретной, а часть - дозволенной». Скажи: «Аллах позволил вам это или же вы возводите навет на Аллаха?».
060_00	Что думают о Дне воскресения те, которые возводят навет на Аллаха? Воистину, Аллах милостив к людям, но большинство их неблагодарно.
061_00	Какой бы поступок ты ни совершал, что бы ты ни читал из Корана и что бы вы ни совершали, Мы наблюдаем за вами с самого начала.
061_01	Ничто на земле и на небе не скроется от твоего Господа, будь оно даже весом в мельчайшую частицу, или меньше того, или больше того. Все это - в ясном Писании.
062_00	Воистину, угодники Аллаха не познают страха и не будут опечалены.
063_00	Они уверовали и были богобоязненны.
064_00	Им предназначена радостная весть в этом мире и в Последней жизни. Слова Аллаха не подлежат отмене. Это - великое преуспеяние.
065_00	Пусть тебя не печалит то, что они говорят, ибо могущество целиком принадлежит Аллаху. Он - Слышащий, Знающий.
066_00	Воистину, Аллаху принадлежат те, кто на небесах, и те, кто на земле.
066_01	Чему же следуют те, которые поклоняются помимо Аллаха другим божествам. Они следуют лишь предположениям и только измышляют.
067_00	Он - Тот, Кто сотворил для вас ночь, чтобы вы отдыхали в течение нее, и день для освещения. Воистину, в этом - знамения для тех, кто внимает.
068_00	Они говорят: «Аллах взял себе сына». Пречист Он!
068_01	Он богат, и Ему принадлежит то, что на небесах, и то, что на земле. Нет у вас никакого доказательства этому. Неужели вы наговариваете на Аллаха то, чего вы не знаете?
069_00	Скажи: «Воистину, те, которые возводят навет на Аллаха, не преуспеют!».
070_00	Они попользуются мирскими благами, а затем вернутся к Нам. И тогда Мы дадим им вкусить тяжкие мучения за то, что они не уверовали.
071_00	Прочти им рассказ о Нухе (Ное). Вот он сказал своему народу: «О народ мой!
071_01	Если вам тяжко от того, что я нахожусь среди вас и напоминаю о знамениях Аллаха, то я уповаю на Него. Объединитесь со своими идолами и действуйте открыто, а затем возьмитесь за меня и не предоставляйте мне отсрочки.
072_00	Но если вы отвернетесь, то ведь я не просил у вас награды. Меня вознаградит только Аллах, и мне велено быть одним из мусульман».
073_00	Они сочли его лжецом, и Мы спасли его и тех, кто был с ним, в ковчеге.
073_01	Мы сделали их преемниками и потопили тех, кто отвергал Наши знамения. Посмотри же, каким был конец увещеваемых!
074_00	После него Мы отправили посланников к их народам.
074_01	Они приносили им ясные знамения, но те не желали уверовать в то, что отвергали прежде. Так Мы запечатываем сердца преступников.
075_00	После них Мы послали Мусу (Моисея) и Харуна (Аарона) с Нашими знамениями к Фараону и его знати, но они возгордились. Они были грешным народом.
076_00	Когда к ним явилась истина от Нас, они сказали: «Воистину, это - очевидное колдовство».
077_00	Муса (Моисей) сказал: «Неужели, когда истина явилась к вам, вы говорите: «Колдовство ли это?». Воистину, колдуны не преуспеют».
078_00	Они сказали: «Неужели ты пришел для того, чтобы сбить нас с пути, по которому шли наши отцы, и чтобы вам обоим досталось величие на земле? Мы не уверуем в вас».
079_00	Фараон сказал: «Приведите ко мне всех знающих колдунов».
080_00	Когда колдуны явились, Муса (Моисей) сказал им: «Бросайте то, что вы хотите бросить!».
081_00	Когда они бросили, Муса (Моисей) сказал: «Вы явили колдовство. Воистину, Аллах сделает его тщетным. Аллах не исправляет деяний распространяющих нечестие.
082_00	Аллах утвердит истину Своими Словами, даже если это ненавистно грешникам».
083_00	Из-за страха перед тем, что Фараон и его знать будут преследовать их, Мусе (Моисею) поверили лишь немногие потомки из его народа.
083_01	Воистину, Фараон был деспотичным тираном на земле. Воистину, он был одним из тех, кто излишествует.
084_00	Муса (Моисей) сказал: «О мой народ! Если вы уверовали в Аллаха и стали мусульманами, то уповайте на Него».
085_00	Они сказали: «Мы уповаем на одного Аллаха. Господь наш, не делай нас искушением для людей несправедливых!
086_00	По Своей милости спаси нас от людей неверующих».
087_00	Мы ниспослали откровение Мусе (Моисею) и его брату: «Обеспечьте свой народ жилищами в Египте, превратите свои жилища в места для поклонения и совершайте намаз. Обрадуй же верующих!».
088_00	Муса (Моисей) сказал: «Господь наш! Ты даровал Фараону и его знати в мирской жизни украшения и богатства. Господь наш!
088_01	Они сбили других с Твоего пути. Господь наш! Уничтожь их богатство и ожесточи их сердца, чтобы они не могли уверовать, пока не увидят мучительные страдания».
089_00	Он сказал: «Ваша молитва принята. Ступайте прямым путем и не следуйте за теми, кто не обладает знанием».
090_00	Мы переправили сынов Исраила (Израиля) через море, а Фараон и его войско последовали за ними, бесчинствуя и поступая враждебно.
090_01	Когда же Фараон стал тонуть, он сказал: «Я уверовал в то, что нет Бога, кроме Того, в Кого уверовали сыны Исраила (Израиля). Я стал одним из мусульман».
091_00	Аллах сказал: «Только сейчас! А ведь раньше ты ослушался и был одним из распространяющих нечестие.
092_00	Сегодня Мы спасем твое тело, чтобы ты стал знамением для тех, кто будет после тебя». Воистину, многие люди пренебрегают Нашими знамениями.
093_00	Мы поселили сынов Исраила (Израиля) в славной стране и одарили их благами.
093_01	Между ними не было разногласий, пока к ним не явилось знание. Воистину, в День воскресения твой Господь рассудит между ними в том, в чем они расходились во мнениях.
094_00	Если ты сомневаешься в том, что Мы ниспослали тебе, то спроси тех, кто начал читать Писание раньше тебя.
094_01	Воистину, к тебе явилась истина от твоего Господа. Не будь же в числе тех, кто сомневается.
095_00	Не будь в числе тех, которые считают ложью знамения Аллаха, а не то окажешься одним из потерпевших убыток.
096_00	Воистину, те, о которых подтвердилось Слово Аллаха, не уверуют,
097_00	пока их не постигнут мучительные страдания, даже если им явятся любые знамения.
098_00	Разве были селения, жители которых уверовали после того, как они узрели наказание, и им помогла вера, кроме народа Йунуса (Ионы)? Когда они уверовали, Мы избавили их от позорных мучений в мирской жизни и дозволили им пользоваться мирскими благами до определенного времени.
099_00	Если бы твой Господь пожелал, то уверовали бы все, кто на земле. Разве ты стал бы принуждать людей обратиться в верующих?
100_00	Ни один человек не уверует без дозволения Аллаха. Он обрушивает ярость на тех, кто не разумеет.
101_00	Скажи: «Понаблюдайте за тем, что на небесах и на земле». Но знамения и увещевания не приносят пользы тем, кто не уверовал!
102_00	Неужели они ждут дней, подобных тем, которые наступили для их предшественников? Скажи: «Ждите, и я подожду вместе с вами».
103_00	Потом Мы спасем Наших посланников и тех, которые уверовали. Так Нам надлежит спасать верующих.
104_00	Скажи: «О люди!
104_01	Если вы сомневаетесь в моей религии, то ведь я не поклоняюсь тем, кому вы поклоняетесь вместо Аллаха. Я поклоняюсь Аллаху, Который умертвит вас, и мне приказано быть одним из верующих».
105_00	Искренне обрати свой лик к религии и не будь одним из многобожников.
106_00	Не взывай вместо Аллаха к тому, что не приносит тебе пользы и не причиняет тебе вреда. Если же ты поступишь так, то окажешься в числе беззаконников.
107_00	Если Аллах коснется тебя вредом, то никто, кроме Него, не избавит тебя от него. Если Он пожелает одарить тебя добром, то никто не отвратит Его милости.
107_01	Он одаряет ею того из Своих рабов, кого пожелает. Он - Прощающий, Милосердный.
108_00	Скажи: «О люди! К вам явилась истина от вашего Господа.
108_01	Кто следует прямым путем, тот поступает во благо себе, а кто впадает в заблуждение, тот поступает во вред себе. Я не являюсь вашим попечителем и хранителем».
109_00	Следуй тому, что внушается тебе в откровении, и терпи, пока Аллах не вынесет приговор, ведь Он - Наилучший из судей.
