001_00	Сад. Клянусь Кораном, содержащим напоминание!
075_00	Он сказал: «О Иблис! Что помешало тебе пасть ниц перед тем, кого Я сотворил Своими обеими Руками? Ты возгордился или же принадлежишь к числу превозносящихся?».
076_00	Иблис сказал: «Я лучше него. Ты сотворил меня из огня, а его сотворил из глины».
077_00	Аллах сказал: «Изыди, и отныне ты будешь изгнан и побит.
078_00	И проклятие Мое пребудет над тобой до Дня воздаяния».
079_00	Иблис сказал: «Господи! Предоставь мне отсрочку до того дня, когда они будут воскрешены».
080_00	Аллах сказал: «Воистину, ты - один из тех, кому предоставлена отсрочка
081_00	до дня, срок которого определен».
082_00	Иблис сказал: «Клянусь Твоим могуществом! Я совращу их всех,
083_00	кроме Твоих избранных (или искренних) рабов».
084_00	Аллах сказал: «Вот истина! Я говорю только истину.
085_00	Я непременно заполню Геенну тобою и всеми, кто последует за тобою».
086_00	Скажи: «Я не прошу у вас за это никакого вознаграждения и не обременяю себя измышлениями.
087_00	Это - не что иное, как Напоминание для миров.
088_00	А вы непременно узнаете весть о нем через определенное время».
