001_00	Ха. Мим.
043_00	Придерживайся того, что внушено тебе в откровении. Воистину, ты - на прямом пути.
044_00	Это - Напоминание о тебе и твоем народе (или для тебя и твоего народа), и вы будете спрошены.
045_00	Спроси тех посланников, которых Мы отправили до тебя, сделали ли Мы помимо Милостивого других богов, которым можно поклоняться?
046_00	Мы уже отправили Мусу (Моисея) с Нашими знамениями к Фараону и его знати, и он сказал: «Воистину, я - посланник Господа миров».
047_00	Когда же он явился к ним с Нашими знамениями, они стали смеяться над ними.
048_00	Какое бы из знамений Мы ни показывали им, оно превосходило предыдущее. Мы подвергли их мучениям, чтобы они могли вернуться на прямой путь.
049_00	Они сказали: «О колдун! Помолись за нас твоему Господу согласно завету, который Он заключил с тобой, и тогда мы обязательно последуем прямым путем».
050_00	Когда же Мы спасли их от мучений, они тотчас нарушили данное слово.
051_00	Фараон воззвал к своему народу и сказал: «О мой народ! Разве не мне принадлежит власть над Египтом и эти реки, что текут подо мною? Разве вы не видите?
052_00	Разве я не лучше этого презренного, который едва объясняется?
053_00	И почему на него не надеты браслеты из золота? И почему с ним не явились сопутствующие ангелы?».
054_00	Он обманул свой народ (или счел свой народ легкомысленным), и они подчинились ему. Воистину, они были людьми нечестивыми.
055_00	Когда же они разгневали Нас, Мы отомстили им и потопили их всех.
056_00	Мы сделали их предшественниками и назидательным примером для остальных.
057_00	А когда приводят в пример сына Марьям (Марии), твой народ радостно восклицает.
058_00	Они говорят: «Наши боги лучше или он?». Они приводят его тебе в пример только для того, чтобы поспорить. Они являются людьми препирающимися!
059_00	Он - всего лишь раб, которого Мы облагодетельствовали и сделали примером для сынов Исраила (Израиля).
060_00	Если бы Мы пожелали, то заменили бы вас на земле ангелами, которые бы стали вашими преемниками.
061_00	Воистину, он (Иса, или Коран, или Мухаммад) является признаком Часа. Нисколько не препирайтесь по поводу него (Часа) и следуйте за Мной! Это - прямой путь.
062_00	И пусть дьявол не отвратит вас, ведь он является вашим явным врагом.
063_00	Когда Иса (Иисус) явился с ясными знамениями, он сказал: «Я пришел к вам с мудростью и для того, чтобы разъяснить вам часть того, относительно чего вы расходитесь во мнениях. Бойтесь же Аллаха и повинуйтесь мне!
064_00	Воистину, Аллах - мой Господь и ваш Господь. Поклоняйтесь же Ему. Это - прямой путь».
065_00	Но секты разошлись во мнениях между собой. Горе же тем, которые поступали несправедливо, от страданий в Мучительный день!
066_00	Неужели они ожидают чего-либо, кроме Часа, который наступит для них внезапно, так что они даже не почувствуют его приближения?
067_00	В тот день врагами станут все любящие друзья, кроме богобоязненных.
068_00	О рабы Мои! Сегодня вы не познаете страха и не будете опечалены.
069_00	Вы были теми, которые уверовали в Наши знамения и были мусульманами.
070_00	Войдите же в Рай радостными вместе со своими женами (или вместе с себе подобными).
071_00	Их будут обносить блюдами из золота и чашами. Там будет то, чего жаждут души и чем услаждаются глаза. Вы пребудете там вечно.
072_00	Этот Рай дан вам в наследство за то, что вы совершали.
073_00	Для вас там уготованы многочисленные фрукты, которые вы будете есть.
074_00	Воистину, грешники вечно будут мучаться в Геенне.
075_00	Им не будет дано передышки, и там они придут в отчаяние.
076_00	Мы не поступили с ними несправедливо - они сами поступали несправедливо.
077_00	Они воззовут: «О Малик! Пусть твой Господь покончит с нами». Он скажет: «Вы останетесь здесь навечно».
078_00	Мы принесли вам истину, но большинство из вас не любят ее.
079_00	Приняли ли язычники окончательное решение? Мы уже приняли окончательное решение.
080_00	Неужели они полагают, что Мы не слышим их секретов и тайных переговоров? О нет! При них находятся Наши посланцы, которые записывают.
081_00	Скажи: «Если бы у Милостивого был сын, то я первым стал бы поклоняться (Аллаху или Его сыну)».
082_00	Пречист Господь небес и земли, Господь Трона, и далек от того, что они приписывают.
083_00	Оставь же их погружаться в словоблудие и забавляться, пока они не встретят тот день их, который им обещан.
084_00	Он - Тот, Кто является Богом на небесах и на земле. Он - Мудрый, Знающий.
085_00	Благословен Тот, Кому принадлежит власть над небесами, землей и тем, что между ними. У Него - знание о Часе, и к Нему вы будете возвращены.
086_00	Те, к кому вы взываете помимо Него, не владеют заступничеством. Заступаться будут только за тех или только те, которые осознанно засвидетельствовали истину.
087_00	Если ты спросишь у них, кто сотворил их, они непременно скажут: «Аллах». До чего же они отвращены от истины!
088_00	Он сказал: «Господи! Воистину, они - люди неверующие».
089_00	Отвернись же от них и скажи: «Мир!». Скоро они узнают.
